"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate"
"3","rule3435","rawgross < 47 & cat_elig >= 1.5 & shelter_expenses < 894",3,"INCLUDE",2.939,0.644,5.1,347,33,314,0.095,0.072,0.134,1.43,0.067
"3","rule3878","rawunearn < 672 & cat_elig >= 1.5",2,"INCLUDE",0.509,0.204,20,1372,122,1250,0.089,0.267,0.304,1.33,0.067
"3","rule3879","rawunearn < 672 & cat_elig >= 1.5 & unc_rawben_rel_max < 1.341",3,"INCLUDE",0.587,0.234,19.8,1356,120,1236,0.088,0.263,0.298,1.33,0.067
"3","rule3546","unc_rawben_rel_max >= 1.195 & utilities >= 327 & total_deductions >= 386.5 & rawunearn < 355.5",4,"INCLUDE",-7.9,2.496,11.2,771,64,707,0.083,0.14,0.16,1.25,0.067
"3","rule3563","rawunearn < 1002 & months_since_cert_n >= 3.5",2,"INCLUDE",0.578,0.286,43.2,2961,244,2717,0.082,0.534,0.55,1.24,0.067
"3","rule4059","rawunearn < 1142 & months_since_cert_n >= 2.5",2,"INCLUDE",1.992,0.99,55.7,3819,303,3516,0.079,0.663,0.677,1.19,0.067
"3","rule4149","utilities < 902 & rawgross >= 0.5",2,"SKIP",-3.463,1.522,73.8,5062,297,4765,0.059,0.65,0.553,0.88,0.067
"3","rule2573","shelter_expenses < 1861 & rawgross >= 0.5",2,"SKIP",-0.864,0.387,72.2,4948,280,4668,0.057,0.613,0.511,0.85,0.067
"3","rule2653","shelter_expenses < 1432 & unc_rawben_rel_max < 1.34",2,"SKIP",-0.653,0.257,80.8,5541,304,5237,0.055,0.665,0.645,0.82,0.067
"3","rule37","unc_rawben_rel_max < 1.194 & shelter_expenses < 1861",2,"SKIP",-9.892,3.925,80.4,5513,292,5221,0.053,0.639,0.567,0.79,0.067
"3","rule1520","shelter_expenses < 1822 & unc_rawben_rel_max < 1.194",2,"SKIP",-0.001,0,79.8,5469,289,5180,0.053,0.632,0.56,0.79,0.067
"3","rule4113","shelter_expenses < 1392 & unc_rawben_rel_max < 1.194",2,"SKIP",-0.315,0.143,71.1,4875,242,4633,0.05,0.53,0.473,0.74,0.067
"4","rule1833","shelter_expenses >= 1161 & rawgross < 86 & utilities >= 514 & utilities < 570",4,"INCLUDE",37.057,1.834,0.2,13,8,5,0.615,0.023,0.034,9.23,0.067
"4","rule4453","unc_rawben_rel_max >= 0.5962 & rawearn >= 1938 & total_deductions < 965.2 & months_since_cert_n >= 6.5",4,"INCLUDE",20.628,1.059,0.3,14,8,6,0.571,0.023,0.028,8.57,0.067
"4","rule5353","total_deductions < 584.3 & rawearn >= 184.5 & rawben_rel_max >= 0.7675 & rawben_rel_max < 0.7919",4,"INCLUDE",31.531,1.731,0.3,16,9,7,0.562,0.025,0.043,8.44,0.067
"4","rule2838","shelter_expenses >= 1688 & rawgross < 2008 & rawgross >= 1648 & rawgross < 1760",4,"INCLUDE",4.208,0.224,0.3,15,8,7,0.533,0.023,0.032,8,0.067
"4","rule5499","total_deductions >= 596.9 & rawben_rel_max >= 0.9092 & rawben_rel_max < 0.947 & rawgross < 1155",4,"INCLUDE",99.874,5.65,0.3,17,9,8,0.529,0.025,0.048,7.94,0.067
"4","rule1807","unc_rawben_rel_max >= 0.6409 & rawearn >= 1034 & rawgross < 1138 & utilities < 440.5",4,"INCLUDE",2.854,0.196,0.5,25,12,13,0.48,0.034,0.053,7.2,0.067
"4","rule3063","total_deductions < 570.9 & rawearn >= 151.5 & rawben_rel_max >= 0.7673 & rawben_rel_max < 0.8028",4,"INCLUDE",2.785,0.187,0.5,24,11,13,0.458,0.031,0.049,6.88,0.067
"4","rule5123","unc_rawben_rel_max < 1.187 & rawben_rel_max < 0.938 & rawben_rel_max >= 0.9313 & utilities >= 487",4,"INCLUDE",6.076,0.277,0.2,11,5,6,0.455,0.014,0.03,6.82,0.067
"4","rule5251","shelter_expenses >= 1780 & months_since_cert_n >= 5.5 & rawgross < 2014 & married >= 0.5",4,"INCLUDE",23.046,1.701,0.5,29,13,16,0.448,0.037,0.049,6.72,0.067
"4","rule6145","rawben_rel_max >= 0.6598 & rawearn >= 1034 & rawearn < 1136 & utilities < 422.5",4,"INCLUDE",5.212,0.385,0.5,29,13,16,0.448,0.037,0.051,6.72,0.067
"4","rule5748","months_since_cert_n < 13.5 & unc_rawben_rel_max < 0.947 & unc_rawben_rel_max >= 0.9313 & utilities >= 487",4,"INCLUDE",11.014,0.641,0.3,18,8,10,0.444,0.023,0.037,6.67,0.067
"4","rule4545","shelter_expenses >= 1764 & rawgross < 1996 & rawgross >= 1580 & rawgross < 1758",4,"INCLUDE",4.066,0.262,0.4,22,9,13,0.409,0.025,0.036,6.14,0.067
"4","rule3937","total_deductions >= 949.7 & rawgross < 1668 & rawben_rel_max < 0.9681 & utilities >= 465.5",4,"INCLUDE",6.391,0.392,0.4,20,8,12,0.4,0.023,0.032,6,0.067
"4","rule3572","total_deductions >= 931.1 & rawgross < 1660 & shelter_expenses >= 1818 & months_since_cert_n >= 2.5",4,"INCLUDE",6.175,0.423,0.5,25,10,15,0.4,0.028,0.041,6,0.067
