"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate"
"4","rule5894","rawunearn < 754.5 & rawben_rel_max < 0.938 & rawgross < 1200 & utilities >= 72.5",4,"INCLUDE",46.395,5.519,1.4,76,20,56,0.263,0.057,0.1,3.95,0.067
"4","rule5788","unc_rawben_rel_max >= 0.6532 & rawben_rel_max < 0.9927 & rawearn >= 139 & rawearn < 368",4,"INCLUDE",7.488,0.632,0.7,38,10,28,0.263,0.028,0.048,3.95,0.067
"4","rule5142","percent_abawd < 0.125 & total_deductions < 1872 & shelter_expenses < 344.5 & shelter_expenses >= 338",4,"INCLUDE",10.066,0.73,0.5,28,7,21,0.25,0.02,0.034,3.75,0.067
"4","rule5878","total_deductions < 623.9 & shelter_expenses < 403.5 & rawearn >= 181.5 & rawearn < 376",4,"INCLUDE",8.172,0.593,0.5,28,7,21,0.25,0.02,0.036,3.75,0.067
"4","rule1535","utilities >= 916.5 & shelter_expenses >= 1442 & total_deductions < 1034",3,"INCLUDE",12.467,1.373,1.2,65,16,49,0.246,0.045,0.049,3.69,0.067
"4","rule5668","months_since_cert_n >= 3.5 & shelter_expenses >= 1194 & unc_rawben_rel_max >= 0.8808 & rawgross >= 1114",4,"INCLUDE",9.97,1.201,1.5,78,19,59,0.244,0.054,0.079,3.65,0.067
"4","rule1968","shelter_expenses >= 1186 & rawgross < 1800 & utilities >= 520.5 & utilities < 559.5",4,"INCLUDE",23.392,1.949,0.7,37,9,28,0.243,0.025,0.048,3.65,0.067
"4","rule4641","cat_elig >= 1.5 & total_deductions >= 1277 & utilities >= 568.5",3,"INCLUDE",15.639,1.513,0.9,50,12,38,0.24,0.034,0.047,3.6,0.067
"4","rule2583","rawunearn >= 174.5 & rawearn >= 7.5 & rawben_rel_max >= 0.8417 & total_deductions < 474.4",4,"INCLUDE",17.922,1.127,0.4,21,5,16,0.238,0.014,0.032,3.57,0.067
"4","rule4896","rawben_rel_max < 0.9922 & unc_rawben_rel_max >= 0.8602 & rawearn >= 4.5 & rawearn < 440",4,"INCLUDE",29.548,2.494,0.7,38,9,29,0.237,0.025,0.058,3.55,0.067
"4","rule4171","shelter_expenses >= 1150 & rawgross < 90 & utilities >= 425 & utilities < 559.5",4,"INCLUDE",9.643,1.046,1.2,63,14,49,0.222,0.04,0.063,3.33,0.067
"4","rule3397","rawearn >= 642.5 & rawearn < 1240 & rawben_rel_max < 0.9938 & utilities >= 679.5",4,"INCLUDE",3.638,0.319,0.8,41,9,32,0.22,0.025,0.039,3.29,0.067
"4","rule5980","cat_elig >= 1.5 & total_deductions >= 1215 & rawgross < 2852",3,"INCLUDE",6.877,0.638,0.9,46,10,36,0.217,0.028,0.046,3.26,0.067
"4","rule2050","total_deductions >= 623.8 & rawgross < 86 & utilities < 540.5",3,"INCLUDE",18.386,2.748,2.3,121,26,95,0.215,0.074,0.096,3.22,0.067
"4","rule2504","rawben_rel_max >= 0.6619 & rawgross >= 1074 & shelter_expenses < 479",3,"INCLUDE",6.011,0.79,1.8,93,20,73,0.215,0.057,0.068,3.23,0.067
"4","rule3649","total_deductions >= 834.1 & cat_elig >= 1.5 & total_deductions >= 1279 & months_since_cert_n >= 3.5",4,"INCLUDE",8.966,0.841,0.9,47,10,37,0.213,0.028,0.044,3.19,0.067
"4","rule4251","shelter_expenses >= 1133 & rawben_rel_max >= 0.8 & unc_rawben_rel_max < 0.9814 & months_since_cert_n >= 5.5",4,"INCLUDE",2.549,0.34,1.8,96,20,76,0.208,0.057,0.08,3.12,0.067
"4","rule4221","rawunearn < 0.5 & total_deductions >= 939.3 & total_deductions < 998.6",3,"INCLUDE",2.844,0.425,2.3,121,25,96,0.207,0.071,0.072,3.1,0.067
"4","rule4075","months_since_cert_n < 9.5 & total_deductions < 623.9 & rawunearn < 483.5 & rawunearn >= 463.5",4,"INCLUDE",7.334,0.39,0.3,15,3,12,0.2,0.008,0.026,3,0.067
"5+","rule3531","shelter_expenses >= 1626 & rawben_rel_max >= 0.787 & rawben_rel_max < 0.9545 & shelter_expenses < 2221",4,"INCLUDE",0.349,0.052,2.3,136,34,102,0.25,0.08,0.128,3.48,0.072
"5+","rule1135","shelter_expenses >= 1378 & rawben_rel_max >= 0.8027 & rawben_rel_max < 0.9545 & shelter_expenses < 2221",4,"INCLUDE",4.136,0.732,3.2,192,41,151,0.214,0.096,0.147,2.97,0.072
