"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Arizona","unearned_income","1","months_since_cert_n >   6.50 & percent_abawd <=   0.50 & unc_rawben_rel_max >   1.95 & utilities <= 606.00","months_since_cert_n >   6.500 & percent_abawd <=   0.450 & unc_rawben_rel_max >   1.755 & utilities <= 545.400",FALSE,7,5,0.714,0.472,7,0.429,1,0
"Arizona","unearned_income","1","months_since_cert_n >    7.50 & shelter_expenses_by_hh_size <= 1330.00 & unc_rawben_rel_max >    1.93 & utilities <=  678.00","months_since_cert_n >    6.750 & shelter_expenses_by_hh_size <= 1197.000 & unc_rawben_rel_max >    1.737 & utilities <=  610.200",FALSE,7,4,0.571,0.342,2,1,0,NA
"Arizona","unearned_income","1","married <=   0.50 & unc_rawben_rel_max >   1.93 & utilities >  14.50 & utilities <= 302.00","married <=   0.450 & unc_rawben_rel_max >   1.737 & utilities >  13.050 & utilities <= 332.200",FALSE,32,6,0.188,0.115,14,0.286,1,0
"Arizona","unearned_income","1","shelter_expenses_by_hh_size <= 642.00 & total_deductions_by_hh_size <= 758.00 & unc_rawben_rel_max >   1.93","shelter_expenses_by_hh_size <= 706.200 & total_deductions_by_hh_size <= 682.200 & unc_rawben_rel_max >   1.737",FALSE,7,3,0.429,0.226,5,0.4,0,NA
"Arizona","unearned_income","2-3","months_since_cert_n > 5.5 & unc_rawben_rel_max > 1.8","months_since_cert_n > 4.125 & unc_rawben_rel_max > 1.350",FALSE,16,5,0.312,0.187,8,0.5,0,NA
"Arizona","unearned_income","1","count_divisible_by_100 <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.93 & utilities <= 664.00","count_divisible_by_100 <=   0.450 & months_since_cert_n >   5.850 & unc_rawben_rel_max >   1.737 & utilities <= 597.600",FALSE,11,6,0.545,0.36,7,0.429,1,0
"Arizona","unearned_income","1","expedited_i <=   0.50 & total_deductions_by_hh_size <= 639.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   3.19","expedited_i <=   0.450 & total_deductions_by_hh_size <= 702.900 & unc_rawben_rel_max >   1.737 & unc_rawben_rel_max <=   2.871",FALSE,22,7,0.318,0.207,6,0.333,0,NA
"Arizona","underissuance","1","months_since_cert_n <= 29.50000 & rawben_rel_max <=  0.80200 & unc_rawben_rel_max > -0.00744 & unc_rawben_rel_max <= -0.00172","months_since_cert_n <= 29.50000 & rawben_rel_max <=  0.80200 & unc_rawben_rel_max > -0.00744 & unc_rawben_rel_max <= -0.00172",TRUE,5,2,0.4,0.18,2,0.5,2,0.5
"Arizona","other_error","2-3","medical_deductions <= 747.000 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 466.000 & unc_rawben_rel_max >   0.993","medical_deductions <= 672.300 & rawben_rel_max <=   1.096 & total_deductions_by_hh_size > 419.400 & unc_rawben_rel_max >   1.092",FALSE,7,3,0.429,0.226,7,0.571,0,NA
"Arizona","other_error","2-3","months_since_cert_n <=  36.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 468.000","months_since_cert_n <=  32.8500 & rawben_rel_max >   0.8937 & rawben_rel_max <=   1.0960 & total_deductions_by_hh_size > 421.2000",FALSE,8,3,0.375,0.195,9,0.444,0,NA
"Arizona","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 524.000","rawben_rel_max >   0.7448 & rawben_rel_max <=   1.0940 & total_deductions_by_hh_size > 471.6000",FALSE,6,3,0.5,0.268,8,0.5,0,NA
"Arizona","other_error","2-3","children_i <=   0.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 559.000","children_i <=   0.450 & rawben_rel_max >   0.993 & rawben_rel_max <=   1.098 & shelter_expenses_by_hh_size > 503.100",FALSE,5,0,0,0,3,0.667,0,NA
"Arizona","other_error","2-3","expedited_i <=   0.500 & shelter_expenses_by_hh_size > 547.000 & unc_rawben_rel_max >   0.994 & unc_rawben_rel_max <=   0.996","expedited_i <=   0.4500 & shelter_expenses_by_hh_size > 492.3000 & unc_rawben_rel_max >   0.8946 & unc_rawben_rel_max <=   1.0960",FALSE,5,1,0.2,0.062,3,0.333,0,NA
"Arizona","other_error","2-3","shelter_expenses_by_hh_size > 547.000 & unc_rawben_rel_max >   0.994 & unc_rawben_rel_max <=   0.996","shelter_expenses_by_hh_size > 492.3000 & unc_rawben_rel_max >   0.7455 & unc_rawben_rel_max <=   0.8964",FALSE,9,6,0.667,0.454,5,0.2,0,NA
"Arizona","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 466.000","rawben_rel_max >   0.7448 & rawben_rel_max <=   0.8982 & total_deductions_by_hh_size > 349.5000",FALSE,5,4,0.8,0.514,4,0.25,0,NA
"Arizona","other_error","2-3","rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 345.000 & unc_rawben_rel_max >   0.993","rawben_rel_max <=   0.8955 & total_deductions_by_hh_size > 345.0000 & unc_rawben_rel_max >   0.7448",FALSE,6,5,0.833,0.575,4,0.25,0,NA
"Arizona","other_error","2-3","months_since_cert_n <=  21.500 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 351.000 & unc_rawben_rel_max >   0.994","months_since_cert_n <=  19.350 & rawben_rel_max <=   1.094 & total_deductions_by_hh_size > 351.000 & unc_rawben_rel_max >   1.093",FALSE,11,4,0.364,0.207,9,0.444,0,NA
"Arizona","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 371.000","rawben_rel_max >   0.7448 & rawben_rel_max <=   0.8955 & total_deductions_by_hh_size > 371.0000",FALSE,5,4,0.8,0.514,4,0.25,0,NA
"Arizona","other_error","2-3","rawben_rel_max >   0.961 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 637.000","rawben_rel_max >   0.7208 & rawben_rel_max <=   1.0940 & total_deductions_by_hh_size > 477.8000",FALSE,7,3,0.429,0.226,8,0.5,0,NA
"Arizona","other_error","2-3","months_since_cert_n <=  10.500 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 345.000 & unc_rawben_rel_max >   0.993","months_since_cert_n <=   9.450 & rawben_rel_max <=   1.094 & total_deductions_by_hh_size > 345.000 & unc_rawben_rel_max >   1.092",FALSE,11,4,0.364,0.207,9,0.444,0,NA
"Arizona","other_error","2-3","children_i <=   0.500 & rawben_rel_max >   0.992 & rawben_rel_max <=   0.996 & shelter_expenses_by_hh_size > 301.000","children_i <=   0.4500 & rawben_rel_max >   0.8928 & rawben_rel_max <=   1.0960 & shelter_expenses_by_hh_size > 331.1000",FALSE,9,1,0.111,0.034,5,0.4,0,NA
"Arizona","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.995 & shelter_expenses_by_hh_size > 559.000 & unc_rawben_rel_max <=   1.000","rawben_rel_max >   0.8937 & rawben_rel_max <=   1.0940 & shelter_expenses_by_hh_size > 559.0000 & unc_rawben_rel_max <=   1.1000",FALSE,6,1,0.167,0.051,2,0.5,0,NA
"Arizona","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.995 & shelter_expenses_by_hh_size > 502.000","rawben_rel_max >   0.7448 & rawben_rel_max <=   0.8955 & shelter_expenses_by_hh_size > 502.0000",FALSE,9,6,0.667,0.454,5,0.2,0,NA
"Arizona","other_error","2-3","rawben_rel_max <=   0.996 & shelter_expenses_by_hh_size > 553.000 & unc_rawben_rel_max >   0.993 & utilities >  28.500","rawben_rel_max <=   1.096 & shelter_expenses_by_hh_size > 497.700 & unc_rawben_rel_max >   1.092 & utilities >  25.650",FALSE,26,6,0.231,0.143,16,0.375,0,NA
"Arizona","other_error","2-3","children_i <= 0.500 & rawben_rel_max > 0.994 & rawben_rel_max <= 0.996","children_i <= 0.3750 & rawben_rel_max > 0.7455 & rawben_rel_max <= 0.9960",FALSE,14,7,0.5,0.338,6,0.167,0,NA
"Arizona","other_error","2-3","children_i <= 0.500 & HH_size_n <= 2.500 & unc_rawben_rel_max > 0.993 & unc_rawben_rel_max <= 0.996","children_i <= 0.4500 & HH_size_n <= 2.2500 & unc_rawben_rel_max > 0.8937 & unc_rawben_rel_max <= 1.0960",FALSE,5,1,0.2,0.062,1,0,0,NA
"Arizona","other_error","2-3","rawben_rel_max >   0.993 & shelter_expenses_by_hh_size > 742.000 & unc_rawben_rel_max <=   0.998","rawben_rel_max >   0.7448 & shelter_expenses_by_hh_size > 556.5000 & unc_rawben_rel_max <=   0.9980",FALSE,5,3,0.6,0.33,5,0.2,0,NA
