"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any","error_frame"
"1","months_since_cert_n < 30.000 & rawben_rel_max >=  0.988 & rawben_rel_max <  0.992","xgboost",420,124,0.2952,0.26,230,49,0.213,0.0654,0.0744,1.084,230,49,0.213,0.0379,0.0356,1.057,"other_error"
"1","medical_deductions >=  4.000 & medical_deductions < 15.000 & unc_rawben_rel_max >=  0.268 & unc_rawben_rel_max <  1.020","xgboost",66,23,0.3485,0.2597,33,9,0.2727,0.012,0.0068,0.155,33,9,0.2727,0.007,0.0032,0.152,"other_error"
"1","rawben_rel_max >    0.987 & rawben_rel_max <=    0.991 & shelter_expenses_by_hh_size >  790.000 & total_deductions_by_hh_size <= 1330.000","ranger_mtry1",372,110,0.2957,0.2584,172,45,0.2616,0.0601,0.07,0.81,172,45,0.2616,0.0348,0.0335,0.79,"other_error"
"1","months_since_cert_n <   16.000 & rawben_rel_max <    0.992 & shelter_expenses_by_hh_size >= 1850.000 & total_deductions_by_hh_size >= 1290.000","xgboost",50,18,0.36,0.2582,39,10,0.2564,0.0134,0.0134,0.184,44,15,0.3409,0.0116,0.0109,0.202,"other_error"
"1","medical_deductions <  3.000 & months_since_cert_n < 30.000 & rawben_rel_max >=  0.988 & rawben_rel_max <  0.992","xgboost",394,116,0.2944,0.2581,212,47,0.2217,0.0628,0.0723,0.999,212,47,0.2217,0.0363,0.0346,0.974,"other_error"
"1","cat_elig >=   1 & total_deductions_by_hh_size >=   8 & total_deductions_by_hh_size <  13 & utilities >= 277","xgboost",70,24,0.3429,0.2569,52,17,0.3269,0.0227,0.0153,0.245,52,17,0.3269,0.0131,0.0073,0.239,"other_error"
"1","homeless <=  0.5 & medical_deductions >  0.5 & medical_deductions <=  7.5 & months_since_cert_n <= 16.5","ranger_mtry1",70,24,0.3429,0.2569,30,11,0.3667,0.0147,0.0081,0.141,30,11,0.3667,0.0085,0.0039,0.138,"other_error"
"1","medical_deductions >= 390.000 & rawben_rel_max >=   0.284 & rawben_rel_max <   0.848","xgboost",70,24,0.3429,0.2569,33,12,0.3636,0.016,0.0233,0.155,34,13,0.3824,0.0101,0.0115,0.156,"other_error"
"1","rawben_rel_max >=  0.988 & rawben_rel_max <  0.992 & shelter_expenses_by_hh_size >= 29.000 & unc_rawben_rel_max >=  0.380","xgboost",436,127,0.2913,0.2569,214,50,0.2336,0.0668,0.0761,1.008,214,50,0.2336,0.0387,0.0365,0.983,"other_error"
"1","medical_deductions >= 158.00 & medical_deductions < 161.00 & unc_rawben_rel_max <   1.16","xgboost",25,10,0.4,0.2564,10,2,0.2,0.0027,0.0015,0.047,10,2,0.2,0.0015,7e-04,0.046,"other_error"
"1","homeless >   0.500 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 682.000","ranger_mtry1",19,8,0.4211,0.2563,14,3,0.2143,0.004,0.0078,0.066,14,3,0.2143,0.0023,0.0037,0.064,"other_error"
"1","children_i >= 1 & elderly_disabled_i >= 1","xgboost",22,9,0.4091,0.256,12,4,0.3333,0.0053,0.0085,0.057,12,4,0.3333,0.0031,0.0041,0.055,"other_error"
"1","rawben_rel_max >  0.987 & rawben_rel_max <=  0.991 & utilities > 30.500","ranger_mtry1",403,117,0.2903,0.2546,194,45,0.232,0.0601,0.068,0.914,194,45,0.232,0.0348,0.0326,0.891,"other_error"
"1","elderly_disabled_i > 0.500 & months_since_cert_n > 5.500 & rawben_rel_max > 0.987 & unc_rawben_rel_max <= 0.991","ranger_mtry1",272,81,0.2978,0.2544,139,32,0.2302,0.0427,0.0463,0.655,139,32,0.2302,0.0247,0.0222,0.639,"other_error"
"1","children_i >   0.50 & married <=   0.50 & rawben_rel_max <=   0.71 & shelter_expenses_by_hh_size <= 706.00","ranger_mtry1",41,15,0.3659,0.254,20,2,0.1,0.0027,0.0036,0.094,25,7,0.28,0.0054,0.0048,0.115,"other_error"
"1","rawben_rel_max >= 0.988 & rawben_rel_max < 0.992 & total_deductions_by_hh_size >= 8.000","xgboost",442,127,0.2873,0.2533,218,50,0.2294,0.0668,0.0761,1.027,218,50,0.2294,0.0387,0.0365,1.002,"other_error"
"1","cat_elig >=   1.000 & medical_deductions < 401.000 & rawben_rel_max >=   0.988 & rawben_rel_max <   0.992","xgboost",426,122,0.2864,0.2518,224,49,0.2188,0.0654,0.0737,1.055,224,49,0.2188,0.0379,0.0353,1.029,"other_error"
"1","children_i <= 0.500 & rawben_rel_max <= 0.991 & unc_rawben_rel_max > 0.987","ranger_mtry1",443,126,0.2844,0.2506,236,50,0.2119,0.0668,0.0761,1.112,236,50,0.2119,0.0387,0.0365,1.084,"other_error"
"1","rawben_rel_max > 0.987 & rawben_rel_max <= 0.991","ranger_mtry1",447,127,0.2841,0.2504,236,50,0.2119,0.0668,0.0761,1.112,236,50,0.2119,0.0387,0.0365,1.084,"other_error"
"1","cat_elig >=   1.000 & medical_deductions >= 390.000 & rawben_rel_max <   0.848 & unc_rawben_rel_max >=   0.036","xgboost",69,23,0.3333,0.2478,32,10,0.3125,0.0134,0.0204,0.151,33,11,0.3333,0.0085,0.0101,0.152,"other_error"
"1","children_i >= 1.000 & count_divisible_by_100 < 1.000 & months_since_cert_n < 4.000 & rawben_rel_max < 0.708","xgboost",42,15,0.3571,0.2476,24,5,0.2083,0.0067,0.0067,0.113,27,8,0.2963,0.0062,0.005,0.124,"other_error"
"1","medical_deductions >    0.50 & months_since_cert_n >    4.50 & shelter_expenses_by_hh_size > 1900.00 & unc_rawben_rel_max <=    1.03","ranger_mtry1",36,13,0.3611,0.2434,24,1,0.0417,0.0013,0.0015,0.113,27,4,0.1481,0.0031,0.0029,0.124,"other_error"
"1","children_i >=  1 & elderly_disabled_i >=  1 & months_since_cert_n < 28","xgboost",20,8,0.4,0.2424,11,3,0.2727,0.004,0.0068,0.052,11,3,0.2727,0.0023,0.0033,0.051,"other_error"
"1","count_divisible_by_100 <=  0.5 & medical_deductions >  3.5 & medical_deductions <= 11.5 & months_since_cert_n >  2.5","ranger_mtry1",74,24,0.3243,0.2424,32,6,0.1875,0.008,0.0047,0.151,32,6,0.1875,0.0046,0.0023,0.147,"other_error"
"1","children_i > 0.5 & elderly_disabled_i > 0.5 & homeless <= 0.5 & months_since_cert_n > 4.5","ranger_mtry1",11,5,0.4545,0.2421,2,0,0,0,0,0.009,2,0,0,0,0,0.009,"other_error"
"1","elderly_disabled_i > 0.500 & homeless > 0.500 & unc_rawben_rel_max > 0.987 & unc_rawben_rel_max <= 0.991","ranger_mtry1",11,5,0.4545,0.2421,6,5,0.8333,0.0067,0.0075,0.028,6,5,0.8333,0.0039,0.0036,0.028,"other_error"
"1","rawben_rel_max > 0.985 & rawben_rel_max <= 0.991","ranger_mtry1",479,131,0.2735,0.2413,266,54,0.203,0.0721,0.0837,1.253,266,54,0.203,0.0418,0.0401,1.222,"other_error"
"1","homeless >   0.5 & months_since_cert_n >  15.5 & total_deductions_by_hh_size > 678.0","ranger_mtry1",17,7,0.4118,0.2411,8,1,0.125,0.0013,0.0029,0.038,8,1,0.125,8e-04,0.0014,0.037,"other_error"
"1","medical_deductions <=  1.500 & months_since_cert_n > 13.500 & rawben_rel_max >  0.987 & rawben_rel_max <=  0.991","ranger_mtry1",115,35,0.3043,0.2389,59,11,0.1864,0.0147,0.016,0.278,59,11,0.1864,0.0085,0.0077,0.271,"other_error"
"1","cat_elig >=   1 & medical_deductions >= 157 & medical_deductions < 161","xgboost",30,11,0.3667,0.2386,12,2,0.1667,0.0027,0.0015,0.057,12,2,0.1667,0.0015,7e-04,0.055,"other_error"
"1","homeless <   1 & total_deductions_by_hh_size >=  10 & total_deductions_by_hh_size <  13 & utilities >= 281","xgboost",47,16,0.3404,0.2382,29,10,0.3448,0.0134,0.0077,0.137,29,10,0.3448,0.0077,0.0037,0.133,"other_error"
"1","months_since_cert_n >= 12 & total_deductions_by_hh_size >= 10 & total_deductions_by_hh_size < 13","xgboost",37,13,0.3514,0.2364,18,4,0.2222,0.0053,0.003,0.085,18,4,0.2222,0.0031,0.0014,0.083,"other_error"
"1","rawben_rel_max >= 0.984 & rawben_rel_max < 0.992","xgboost",493,132,0.2677,0.2363,266,54,0.203,0.0721,0.0837,1.253,266,54,0.203,0.0418,0.0401,1.222,"other_error"
"1","percent_abawd <=   0.500 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 380.000 & unc_rawben_rel_max >   0.987","ranger_mtry1",484,128,0.2645,0.2329,243,52,0.214,0.0694,0.0806,1.145,245,54,0.2204,0.0418,0.0406,1.126,"other_error"
"1","rawben_rel_max >=   0.988 & total_deductions_by_hh_size >= 292.000 & unc_rawben_rel_max >=   0.268 & unc_rawben_rel_max <   1.000","xgboost",498,131,0.2631,0.2319,248,52,0.2097,0.0694,0.0813,1.169,250,54,0.216,0.0418,0.0409,1.149,"other_error"
"1","medical_deductions >=  5 & medical_deductions < 18","xgboost",111,33,0.2973,0.2314,54,14,0.2593,0.0187,0.0125,0.254,54,14,0.2593,0.0108,0.006,0.248,"other_error"
"1","medical_deductions >  1.5 & medical_deductions <= 11.5","ranger_mtry1",115,34,0.2957,0.231,48,13,0.2708,0.0174,0.0116,0.226,48,13,0.2708,0.0101,0.0056,0.221,"other_error"
"1","percent_abawd <= 0.500 & rawben_rel_max > 0.322 & rawben_rel_max <= 0.995 & unc_rawben_rel_max > 0.987","ranger_mtry1",485,127,0.2619,0.2304,263,52,0.1977,0.0694,0.0793,1.239,263,52,0.1977,0.0402,0.038,1.208,"other_error"
"1","children_i >  0.5 & elderly_disabled_i >  0.5 & months_since_cert_n <= 31.0","ranger_mtry1",21,8,0.381,0.2299,11,3,0.2727,0.004,0.0068,0.052,11,3,0.2727,0.0023,0.0033,0.051,"other_error"
"1","medical_deductions >=   7 & medical_deductions < 130 & shelter_expenses_by_hh_size >= 790 & shelter_expenses_by_hh_size < 815","xgboost",21,8,0.381,0.2299,8,5,0.625,0.0067,0.0044,0.038,8,5,0.625,0.0039,0.0021,0.037,"other_error"
"1","cat_elig <   2 & months_since_cert_n <  18 & utilities >= 341 & utilities < 361","xgboost",135,39,0.2889,0.2294,568,42,0.0739,0.0561,0.0545,2.676,590,64,0.1085,0.0495,0.0484,2.711,"other_error"
"1","homeless <=  0.5 & medical_deductions >  1.5 & medical_deductions <= 11.5","ranger_mtry1",109,32,0.2936,0.2275,47,13,0.2766,0.0174,0.0116,0.221,47,13,0.2766,0.0101,0.0056,0.216,"other_error"
"1","medical_deductions >= 133 & total_deductions_by_hh_size >= 375 & utilities >=  31 & utilities < 277","xgboost",42,14,0.3333,0.227,18,2,0.1111,0.0027,0.0036,0.085,19,3,0.1579,0.0023,0.0021,0.087,"other_error"
"1","homeless >   0.5 & total_deductions_by_hh_size > 632.0 & unc_rawben_rel_max <=   1.0","ranger_mtry1",28,10,0.3571,0.2269,24,6,0.25,0.008,0.0108,0.113,24,6,0.25,0.0046,0.0052,0.11,"other_error"
"1","children_i >  0.5 & elderly_disabled_i >  0.5 & utilities > 26.0","ranger_mtry1",18,7,0.3889,0.2266,9,3,0.3333,0.004,0.0068,0.042,9,3,0.3333,0.0023,0.0033,0.041,"other_error"
"1","expedited_i <=   0.5 & medical_deductions > 264.0 & months_since_cert_n >   5.5 & utilities <=  29.5","ranger_mtry1",18,7,0.3889,0.2266,14,3,0.2143,0.004,0.005,0.066,14,3,0.2143,0.0023,0.0024,0.064,"other_error"
"1","married <=   0.500 & medical_deductions > 339.000 & shelter_expenses_by_hh_size <= 368.000 & unc_rawben_rel_max <=   0.991","ranger_mtry1",18,7,0.3889,0.2266,7,0,0,0,0,0.033,7,0,0,0,0,0.032,"other_error"
"1","medical_deductions >= 345.00 & months_since_cert_n >=  10.00 & rawben_rel_max >=   0.12 & shelter_expenses_by_hh_size < 726.00","xgboost",18,7,0.3889,0.2266,9,3,0.3333,0.004,0.0069,0.042,9,3,0.3333,0.0023,0.0033,0.041,"other_error"
"1","homeless <=  0.5 & medical_deductions >  1.5 & medical_deductions <=  9.5 & months_since_cert_n <= 13.5","ranger_mtry1",79,24,0.3038,0.2263,35,12,0.3429,0.016,0.0091,0.165,35,12,0.3429,0.0093,0.0044,0.161,"other_error"
"1","children_i >   0.50 & rawben_rel_max <=   0.71 & shelter_expenses_by_hh_size <= 706.00","ranger_mtry1",53,17,0.3208,0.2262,26,2,0.0769,0.0027,0.0036,0.123,31,7,0.2258,0.0054,0.0048,0.142,"other_error"
"1","rawben_rel_max >   0.987 & total_deductions_by_hh_size > 626.000 & unc_rawben_rel_max <=   1.000","ranger_mtry1",461,119,0.2581,0.2261,232,46,0.1983,0.0614,0.0742,1.093,234,48,0.2051,0.0371,0.0375,1.075,"other_error"
"1","children_i >  0.500 & elderly_disabled_i >  0.500 & unc_rawben_rel_max >  0.085 & utilities > 28.500","ranger_mtry1",15,6,0.4,0.2232,6,3,0.5,0.004,0.0068,0.028,6,3,0.5,0.0023,0.0033,0.028,"other_error"
"1","cat_elig > 1.500 & count_divisible_by_100 <= 0.500 & rawben_rel_max <= 0.998 & unc_rawben_rel_max > 0.987","ranger_mtry1",115,33,0.287,0.2231,4,0,0,0,0,0.019,4,0,0,0,0,0.018,"other_error"
"1","medical_deductions >= 126.000 & medical_deductions < 133.000 & unc_rawben_rel_max >=   0.715","xgboost",32,11,0.3438,0.2228,66,2,0.0303,0.0027,0.0014,0.311,67,3,0.0448,0.0023,0.002,0.308,"other_error"
"1","elderly_disabled_i >=    1.000 & rawben_rel_max >=    0.344 & rawben_rel_max <    0.992 & shelter_expenses_by_hh_size >= 1850.000","xgboost",88,26,0.2955,0.2225,69,16,0.2319,0.0214,0.025,0.325,73,20,0.274,0.0155,0.0153,0.335,"other_error"
"1","cat_elig <= 1.5 & medical_deductions > 0.5 & medical_deductions <= 7.5 & percent_abawd <= 0.5","ranger_mtry1",58,18,0.3103,0.2208,36,12,0.3333,0.016,0.0106,0.17,36,12,0.3333,0.0093,0.0051,0.165,"other_error"
"1","children_i >  0.5 & elderly_disabled_i >  0.5 & months_since_cert_n >  2.0 & utilities > 55.5","ranger_mtry1",12,5,0.4167,0.22,5,1,0.2,0.0013,0.0027,0.024,5,1,0.2,8e-04,0.0013,0.023,"other_error"
"1","cat_elig >   0.500 & medical_deductions > 376.000 & months_since_cert_n >   5.500 & unc_rawben_rel_max <=   0.864","ranger_mtry1",62,19,0.3065,0.2199,25,6,0.24,0.008,0.0115,0.118,25,6,0.24,0.0046,0.0055,0.115,"other_error"
"1","cat_elig > 1.500 & rawben_rel_max <= 0.998 & unc_rawben_rel_max > 0.987","ranger_mtry1",125,35,0.28,0.2191,6,0,0,0,0,0.028,6,0,0,0,0,0.028,"other_error"
"1","cat_elig > 0.500 & rawben_rel_max > 0.987 & unc_rawben_rel_max <= 0.996","ranger_mtry1",506,126,0.249,0.2188,258,52,0.2016,0.0694,0.0786,1.216,258,52,0.2016,0.0402,0.0376,1.185,"other_error"
"1","months_since_cert_n <=  27.500 & shelter_expenses_by_hh_size > 192.000 & unc_rawben_rel_max >   0.987 & unc_rawben_rel_max <=   1.000","ranger_mtry1",519,129,0.2486,0.2187,268,53,0.1978,0.0708,0.0813,1.263,270,55,0.2037,0.0425,0.0409,1.24,"other_error"
"1","count_divisible_by_100 <    1 & medical_deductions >=  192 & medical_deductions <  203 & shelter_expenses_by_hh_size < 1060","xgboost",29,10,0.3448,0.2186,17,1,0.0588,0.0013,0.0013,0.08,17,1,0.0588,8e-04,6e-04,0.078,"other_error"
"1","count_divisible_by_100 <= 0.500 & rawben_rel_max > 0.987 & rawben_rel_max <= 0.998 & total_deductions_by_hh_size > 7.800","ranger_mtry1",515,128,0.2485,0.2186,262,50,0.1908,0.0668,0.0773,1.235,263,51,0.1939,0.0394,0.038,1.208,"other_error"
"1","medical_deductions > 345.000 & months_since_cert_n >  10.500 & rawben_rel_max <=   0.991","ranger_mtry1",51,16,0.3137,0.2185,22,5,0.2273,0.0067,0.0103,0.104,22,5,0.2273,0.0039,0.0049,0.101,"other_error"
"1","cat_elig > 0.500 & cat_elig <= 2.500 & rawben_rel_max > 0.987 & unc_rawben_rel_max <= 0.996","ranger_mtry1",503,125,0.2485,0.2182,258,52,0.2016,0.0694,0.0786,1.216,258,52,0.2016,0.0402,0.0376,1.185,"other_error"
"1","cat_elig <   2 & total_deductions_by_hh_size >=   8 & utilities >= 341 & utilities < 361","xgboost",196,52,0.2653,0.2169,593,55,0.0927,0.0734,0.0676,2.794,624,86,0.1378,0.0665,0.0627,2.867,"other_error"
"1","cat_elig > 0.500 & homeless <= 0.500 & rawben_rel_max > 0.985 & rawben_rel_max <= 0.996","ranger_mtry1",507,125,0.2465,0.2165,272,51,0.1875,0.0681,0.0786,1.282,272,51,0.1875,0.0394,0.0377,1.25,"other_error"
"1","children_i <= 0.500 & rawben_rel_max > 0.987 & rawben_rel_max <= 0.996","ranger_mtry1",525,129,0.2457,0.2162,271,53,0.1956,0.0708,0.081,1.277,271,53,0.1956,0.041,0.0388,1.245,"other_error"
"1","married <= 0.500 & rawben_rel_max > 0.987 & rawben_rel_max <= 0.996 & unc_rawben_rel_max > 0.301","ranger_mtry1",531,130,0.2448,0.2155,270,52,0.1926,0.0694,0.0793,1.272,270,52,0.1926,0.0402,0.038,1.24,"other_error"
"1","rawben_rel_max > 0.987 & rawben_rel_max <= 0.996","ranger_mtry1",532,130,0.2444,0.2151,272,53,0.1949,0.0708,0.081,1.282,272,53,0.1949,0.041,0.0388,1.25,"other_error"
"1","medical_deductions >=  4.00 & medical_deductions < 25.00 & rawben_rel_max <  0.44","xgboost",91,26,0.2857,0.2149,33,7,0.2121,0.0093,0.0092,0.155,33,7,0.2121,0.0054,0.0044,0.152,"other_error"
"1","rawben_rel_max >=    0.988 & rawben_rel_max <    0.992 & shelter_expenses_by_hh_size < 1330.000","xgboost",377,94,0.2493,0.2146,199,38,0.191,0.0507,0.0529,0.938,199,38,0.191,0.0294,0.0253,0.914,"other_error"
"1","count_divisible_by_100 <= 0.500 & expedited_i <= 0.500 & rawben_rel_max > 0.987 & rawben_rel_max <= 0.998","ranger_mtry1",482,118,0.2448,0.2141,251,46,0.1833,0.0614,0.0684,1.183,252,47,0.1865,0.0363,0.0338,1.158,"other_error"
"1","children_i >=   1 & elderly_disabled_i >=   1 & months_since_cert_n <  18 & utilities < 992","xgboost",19,7,0.3684,0.2137,11,3,0.2727,0.004,0.0068,0.052,11,3,0.2727,0.0023,0.0033,0.051,"other_error"
"1","children_i >=  1.00 & rawben_rel_max <  0.66 & utilities < 27.00","xgboost",19,7,0.3684,0.2137,10,1,0.1,0.0013,9e-04,0.047,12,3,0.25,0.0023,0.0017,0.055,"other_error"
"1","medical_deductions > 264.0 & months_since_cert_n >   5.5 & utilities <=  29.5","ranger_mtry1",19,7,0.3684,0.2137,14,3,0.2143,0.004,0.005,0.066,14,3,0.2143,0.0023,0.0024,0.064,"other_error"
"1","rawben_rel_max >   0.987 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size <= 866.000 & utilities >  30.500","ranger_mtry1",320,80,0.25,0.2124,152,31,0.2039,0.0414,0.0406,0.716,152,31,0.2039,0.024,0.0194,0.698,"other_error"
"1","total_deductions_by_hh_size >   7.800 & total_deductions_by_hh_size <= 860.000 & unc_rawben_rel_max >   0.987 & unc_rawben_rel_max <=   0.991","ranger_mtry1",355,88,0.2479,0.2122,170,35,0.2059,0.0467,0.0458,0.801,170,35,0.2059,0.0271,0.0219,0.781,"other_error"
"1","cat_elig >   0.500 & medical_deductions > 386.000 & rawben_rel_max <=   0.998 & utilities >  28.500","ranger_mtry1",81,23,0.284,0.2096,38,8,0.2105,0.0107,0.0183,0.179,39,9,0.2308,0.007,0.0091,0.179,"other_error"
"1","children_i >=   1.00 & rawben_rel_max <   0.66 & total_deductions_by_hh_size < 302.00","xgboost",34,11,0.3235,0.2089,18,2,0.1111,0.0027,0.0036,0.085,22,6,0.2727,0.0046,0.0045,0.101,"other_error"
"1","children_i <=   0.500 & shelter_expenses_by_hh_size > 166.000 & unc_rawben_rel_max >   0.985 & unc_rawben_rel_max <=   1.000","ranger_mtry1",580,137,0.2362,0.2085,306,57,0.1863,0.0761,0.0886,1.442,308,59,0.1916,0.0456,0.0445,1.415,"other_error"
"1","medical_deductions >=  136.000 & months_since_cert_n >=   26.000 & rawben_rel_max >=    0.476 & shelter_expenses_by_hh_size < 1100.000","xgboost",23,8,0.3478,0.2085,4,0,0,0,0,0.019,4,0,0,0,0,0.018,"other_error"
"1","shelter_expenses_by_hh_size > 166.000 & unc_rawben_rel_max >   0.985 & unc_rawben_rel_max <=   1.000","ranger_mtry1",587,138,0.2351,0.2076,309,58,0.1877,0.0774,0.0907,1.456,311,60,0.1929,0.0464,0.0454,1.429,"other_error"
"1","homeless <= 0.500 & rawben_rel_max > 0.987 & rawben_rel_max <= 0.989","ranger_mtry1",192,49,0.2552,0.2071,0,0,NA,0,0,0,0,0,NA,0,0,0,"other_error"
"1","rawben_rel_max <= 0.998 & unc_rawben_rel_max > 0.987","ranger_mtry1",557,131,0.2352,0.207,290,54,0.1862,0.0721,0.0831,1.366,292,56,0.1918,0.0433,0.0418,1.341,"other_error"
"1","cat_elig <=   1.500 & rawben_rel_max >   0.987 & total_deductions_by_hh_size > 486.000 & unc_rawben_rel_max <=   1.000","ranger_mtry1",392,94,0.2398,0.2062,247,49,0.1984,0.0654,0.0779,1.164,249,51,0.2048,0.0394,0.0393,1.144,"other_error"
"1","children_i >  0.50 & rawben_rel_max <=  0.67 & utilities <= 55.50","ranger_mtry1",27,9,0.3333,0.2054,18,2,0.1111,0.0027,0.0018,0.085,20,4,0.2,0.0031,0.0022,0.092,"other_error"
"1","homeless >=  1.000 & rawben_rel_max >=  0.848 & rawben_rel_max <  0.990 & utilities >= 30.000","xgboost",27,9,0.3333,0.2054,24,5,0.2083,0.0067,0.0078,0.113,25,6,0.24,0.0046,0.0048,0.115,"other_error"
"1","medical_deductions <= 0.500 & rawben_rel_max <= 0.998 & unc_rawben_rel_max > 0.987","ranger_mtry1",521,122,0.2342,0.2051,268,52,0.194,0.0694,0.081,1.263,270,54,0.2,0.0418,0.0408,1.24,"other_error"
"1","rawben_rel_max > 0.987 & total_deductions_by_hh_size > 7.800 & unc_rawben_rel_max <= 1.000","ranger_mtry1",581,135,0.2324,0.2048,300,54,0.18,0.0721,0.0831,1.414,302,56,0.1854,0.0433,0.0418,1.387,"other_error"
"1","cat_elig >=   1.000 & medical_deductions >= 401.000 & rawben_rel_max <   0.992","xgboost",83,23,0.2771,0.2043,44,11,0.25,0.0147,0.0233,0.207,45,12,0.2667,0.0093,0.0115,0.207,"other_error"
"1","children_i <= 0.500 & percent_abawd <= 0.500 & rawben_rel_max > 0.987 & unc_rawben_rel_max <= 1.000","ranger_mtry1",575,133,0.2313,0.2037,303,52,0.1716,0.0694,0.0793,1.428,305,54,0.177,0.0418,0.04,1.401,"other_error"
"1","medical_deductions >= 390.000 & rawben_rel_max <   0.848 & unc_rawben_rel_max >=   0.036","xgboost",96,26,0.2708,0.2033,41,12,0.2927,0.016,0.0233,0.193,42,13,0.3095,0.0101,0.0115,0.193,"other_error"
"1","medical_deductions >= 157 & medical_deductions < 161","xgboost",35,11,0.3143,0.2025,13,2,0.1538,0.0027,0.0015,0.061,13,2,0.1538,0.0015,7e-04,0.06,"other_error"
"1","rawben_rel_max >    0.985 & rawben_rel_max <=    0.991 & shelter_expenses_by_hh_size <= 1310.000","ranger_mtry1",399,94,0.2356,0.2025,226,42,0.1858,0.0561,0.0605,1.065,226,42,0.1858,0.0325,0.029,1.038,"other_error"
"1","elderly_disabled_i >=  1 & months_since_cert_n >= 12 & total_deductions_by_hh_size >=  8 & total_deductions_by_hh_size < 13","xgboost",63,18,0.2857,0.2024,35,10,0.2857,0.0134,0.0086,0.165,35,10,0.2857,0.0077,0.0041,0.161,"other_error"
"1","count_divisible_by_100 <= 0.500 & married <= 0.500 & rawben_rel_max <= 0.998 & unc_rawben_rel_max > 0.983","ranger_mtry1",579,133,0.2297,0.2022,305,53,0.1738,0.0708,0.0831,1.437,306,54,0.1765,0.0418,0.0408,1.406,"other_error"
"1","medical_deductions >=  192 & medical_deductions <  200 & shelter_expenses_by_hh_size < 1110","xgboost",20,7,0.35,0.2022,15,1,0.0667,0.0013,0.0013,0.071,15,1,0.0667,8e-04,6e-04,0.069,"other_error"
"1","children_i >  0.500 & percent_abawd <=  0.500 & rawben_rel_max <=  0.542 & utilities <= 13.500","ranger_mtry1",13,5,0.3846,0.2016,4,0,0,0,0,0.019,4,0,0,0,0,0.018,"other_error"
"1","children_i <= 0.500 & expedited_i <= 0.500 & rawben_rel_max > 0.987 & unc_rawben_rel_max <= 1.000","ranger_mtry1",542,124,0.2288,0.2005,286,49,0.1713,0.0654,0.0722,1.348,288,51,0.1771,0.0394,0.0366,1.323,"other_error"
"1","expedited_i <= 0.500 & rawben_rel_max > 0.987 & unc_rawben_rel_max <= 1.000","ranger_mtry1",547,125,0.2285,0.2004,288,50,0.1736,0.0668,0.0742,1.357,290,52,0.1793,0.0402,0.0375,1.332,"other_error"
"2-3","count_divisible_by_100 <=   0.500 & rawben_rel_max >   0.963 & total_deductions_by_hh_size > 666.000 & unc_rawben_rel_max <=   0.996","ranger_mtry1",11,10,0.9091,0.6772,3,1,0.3333,0.0026,0.0081,0.035,4,2,0.5,0.002,0.0041,0.044,"other_error"
"2-3","rawben_rel_max >=   0.994 & rawben_rel_max <   0.995 & total_deductions_by_hh_size >= 368.000 & unc_rawben_rel_max <   1.060","xgboost",22,18,0.8182,0.651,12,4,0.3333,0.0102,0.0178,0.14,12,4,0.3333,0.0041,0.0058,0.131,"other_error"
"2-3","medical_deductions >= 202 & months_since_cert_n >=   4 & total_deductions_by_hh_size >= 506 & utilities < 770","xgboost",15,12,0.8,0.5912,12,0,0,0,0,0.14,12,0,0,0,0,0.131,"other_error"
"2-3","elderly_disabled_i > 0.500 & HH_size_n <= 2.500 & rawben_rel_max > 0.992 & rawben_rel_max <= 0.998","ranger_mtry1",45,27,0.6,0.4775,16,6,0.375,0.0153,0.0225,0.186,16,6,0.375,0.0061,0.0074,0.174,"other_error"
"2-3","elderly_disabled_i > 0.500 & rawben_rel_max > 0.993 & unc_rawben_rel_max <= 0.995","ranger_mtry1",45,27,0.6,0.4775,16,7,0.4375,0.0179,0.0245,0.186,16,7,0.4375,0.0071,0.008,0.174,"other_error"
"2-3","months_since_cert_n <=   5.500 & total_deductions_by_hh_size > 342.000 & unc_rawben_rel_max >   0.993 & unc_rawben_rel_max <=   0.997","ranger_mtry1",24,15,0.625,0.4577,12,3,0.25,0.0077,0.0158,0.14,12,3,0.25,0.003,0.0052,0.131,"other_error"
"2-3","elderly_disabled_i > 0.500 & percent_abawd <= 0.583 & rawben_rel_max > 0.993 & rawben_rel_max <= 0.996","ranger_mtry1",49,27,0.551,0.4345,24,11,0.4583,0.0281,0.0343,0.279,24,11,0.4583,0.0112,0.0113,0.261,"other_error"
"2-3","children_i <= 0.500 & homeless <= 0.500 & unc_rawben_rel_max > 0.992 & unc_rawben_rel_max <= 0.997","ranger_mtry1",37,21,0.5676,0.4335,16,7,0.4375,0.0179,0.0256,0.186,16,7,0.4375,0.0071,0.0084,0.174,"other_error"
"2-3","rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 334.000 & unc_rawben_rel_max >=   0.993","xgboost",44,24,0.5455,0.4229,23,6,0.2609,0.0153,0.0287,0.268,23,6,0.2609,0.0061,0.0094,0.25,"other_error"
