"n_deduction_types","rawben_rel_max","earned_by_hh_size","n_excluded","workload_cut_pct","clean_excluded","errors_lost","exclusion_purity","err_dollars_lost","dollar_recall_retained","recall_retained","retained_precision"
2,0.3,100,4,0.7533,1,3,0.25,270,0.9846,0.9663,0.1632
3,0.3,100,1,0.1883,0,1,0,154,0.9912,0.9888,0.166
4,0.3,100,0,0,0,0,NA,0,1,1,0.1676
1,0.35,100,7,1.3183,3,4,0.4286,409,0.9767,0.9551,0.1622
2,0.35,100,5,0.9416,1,4,0.2,409,0.9767,0.9551,0.1616
3,0.35,100,2,0.3766,0,2,0,293,0.9833,0.9775,0.1645
4,0.35,100,0,0,0,0,NA,0,1,1,0.1676
1,0.4,100,9,1.6949,5,4,0.5556,409,0.9767,0.9551,0.1628
2,0.4,100,6,1.1299,2,4,0.3333,409,0.9767,0.9551,0.1619
3,0.4,100,2,0.3766,0,2,0,293,0.9833,0.9775,0.1645
4,0.4,100,0,0,0,0,NA,0,1,1,0.1676
1,0.45,100,13,2.4482,8,5,0.6154,475,0.9729,0.9438,0.1622
2,0.45,100,8,1.5066,4,4,0.5,409,0.9767,0.9551,0.1625
3,0.45,100,2,0.3766,0,2,0,293,0.9833,0.9775,0.1645
4,0.45,100,0,0,0,0,NA,0,1,1,0.1676
1,0.5,100,19,3.5782,13,6,0.6842,597,0.9659,0.9326,0.1621
2,0.5,100,14,2.6365,9,5,0.6429,531,0.9697,0.9438,0.1625
3,0.5,100,4,0.7533,2,2,0.5,293,0.9833,0.9775,0.1651
4,0.5,100,0,0,0,0,NA,0,1,1,0.1676
1,0.55,100,21,3.9548,15,6,0.7143,597,0.9659,0.9326,0.1627
2,0.55,100,16,3.0132,11,5,0.6875,531,0.9697,0.9438,0.1631
3,0.55,100,4,0.7533,2,2,0.5,293,0.9833,0.9775,0.1651
4,0.55,100,0,0,0,0,NA,0,1,1,0.1676
1,0.6,100,28,5.2731,21,7,0.75,748,0.9573,0.9213,0.163
2,0.6,100,22,4.1431,16,6,0.7273,682,0.9611,0.9326,0.1631
3,0.6,100,6,1.1299,3,3,0.5,444,0.9747,0.9663,0.1638
4,0.6,100,0,0,0,0,NA,0,1,1,0.1676
1,0.65,100,34,6.403,24,10,0.7059,1283,0.9268,0.8876,0.159
2,0.65,100,27,5.0847,18,9,0.6667,1217,0.9306,0.8989,0.1587
3,0.65,100,6,1.1299,3,3,0.5,444,0.9747,0.9663,0.1638
4,0.65,100,0,0,0,0,NA,0,1,1,0.1676
1,0.7,100,36,6.7797,26,10,0.7222,1283,0.9268,0.8876,0.1596
2,0.7,100,28,5.2731,19,9,0.6786,1217,0.9306,0.8989,0.159
3,0.7,100,6,1.1299,3,3,0.5,444,0.9747,0.9663,0.1638
4,0.7,100,0,0,0,0,NA,0,1,1,0.1676
1,0.75,100,41,7.7213,31,10,0.7561,1283,0.9268,0.8876,0.1612
2,0.75,100,33,6.2147,24,9,0.7273,1217,0.9306,0.8989,0.1606
3,0.75,100,6,1.1299,3,3,0.5,444,0.9747,0.9663,0.1638
4,0.75,100,0,0,0,0,NA,0,1,1,0.1676
1,0.8,100,41,7.7213,31,10,0.7561,1283,0.9268,0.8876,0.1612
2,0.8,100,33,6.2147,24,9,0.7273,1217,0.9306,0.8989,0.1606
3,0.8,100,6,1.1299,3,3,0.5,444,0.9747,0.9663,0.1638
4,0.8,100,0,0,0,0,NA,0,1,1,0.1676
1,0.85,100,46,8.6629,34,12,0.7391,1519,0.9133,0.8652,0.1588
2,0.85,100,38,7.1563,27,11,0.7105,1453,0.9171,0.8764,0.1582
3,0.85,100,7,1.3183,3,4,0.4286,515,0.9706,0.9551,0.1622
4,0.85,100,0,0,0,0,NA,0,1,1,0.1676
1,0.9,100,53,9.9812,40,13,0.7547,1585,0.9096,0.8539,0.159
2,0.9,100,45,8.4746,33,12,0.7333,1519,0.9133,0.8652,0.1584
3,0.9,100,7,1.3183,3,4,0.4286,515,0.9706,0.9551,0.1622
4,0.9,100,0,0,0,0,NA,0,1,1,0.1676
1,0.95,100,58,10.9228,44,14,0.7586,1663,0.9051,0.8427,0.1586
2,0.95,100,50,9.4162,37,13,0.74,1597,0.9089,0.8539,0.158
3,0.95,100,8,1.5066,4,4,0.5,515,0.9706,0.9551,0.1625
4,0.95,100,0,0,0,0,NA,0,1,1,0.1676
1,1,100,67,12.6177,49,18,0.7313,2241,0.8721,0.7978,0.153
2,1,100,59,11.1111,42,17,0.7119,2175,0.8759,0.809,0.1525
3,1,100,11,2.0716,6,5,0.5455,762,0.9565,0.9438,0.1615
4,1,100,0,0,0,0,NA,0,1,1,0.1676
1,0.15,150,1,0.1883,0,1,0,38,0.9978,0.9888,0.166
2,0.15,150,1,0.1883,0,1,0,38,0.9978,0.9888,0.166
3,0.15,150,0,0,0,0,NA,0,1,1,0.1676
4,0.15,150,0,0,0,0,NA,0,1,1,0.1676
1,0.2,150,3,0.565,1,2,0.3333,192,0.989,0.9775,0.1648
2,0.2,150,3,0.565,1,2,0.3333,192,0.989,0.9775,0.1648
3,0.2,150,1,0.1883,0,1,0,154,0.9912,0.9888,0.166
4,0.2,150,0,0,0,0,NA,0,1,1,0.1676
1,0.25,150,6,1.1299,3,3,0.5,270,0.9846,0.9663,0.1638
2,0.25,150,4,0.7533,1,3,0.25,270,0.9846,0.9663,0.1632
3,0.25,150,1,0.1883,0,1,0,154,0.9912,0.9888,0.166
4,0.25,150,0,0,0,0,NA,0,1,1,0.1676
1,0.3,150,6,1.1299,3,3,0.5,270,0.9846,0.9663,0.1638
2,0.3,150,4,0.7533,1,3,0.25,270,0.9846,0.9663,0.1632
3,0.3,150,1,0.1883,0,1,0,154,0.9912,0.9888,0.166
4,0.3,150,0,0,0,0,NA,0,1,1,0.1676
1,0.35,150,7,1.3183,3,4,0.4286,409,0.9767,0.9551,0.1622
2,0.35,150,5,0.9416,1,4,0.2,409,0.9767,0.9551,0.1616
3,0.35,150,2,0.3766,0,2,0,293,0.9833,0.9775,0.1645
4,0.35,150,0,0,0,0,NA,0,1,1,0.1676
1,0.4,150,9,1.6949,5,4,0.5556,409,0.9767,0.9551,0.1628
2,0.4,150,6,1.1299,2,4,0.3333,409,0.9767,0.9551,0.1619
3,0.4,150,2,0.3766,0,2,0,293,0.9833,0.9775,0.1645
4,0.4,150,0,0,0,0,NA,0,1,1,0.1676
1,0.45,150,13,2.4482,8,5,0.6154,475,0.9729,0.9438,0.1622
2,0.45,150,8,1.5066,4,4,0.5,409,0.9767,0.9551,0.1625
3,0.45,150,2,0.3766,0,2,0,293,0.9833,0.9775,0.1645
4,0.45,150,0,0,0,0,NA,0,1,1,0.1676
1,0.5,150,19,3.5782,13,6,0.6842,597,0.9659,0.9326,0.1621
2,0.5,150,14,2.6365,9,5,0.6429,531,0.9697,0.9438,0.1625
3,0.5,150,4,0.7533,2,2,0.5,293,0.9833,0.9775,0.1651
4,0.5,150,0,0,0,0,NA,0,1,1,0.1676
1,0.55,150,21,3.9548,15,6,0.7143,597,0.9659,0.9326,0.1627
2,0.55,150,16,3.0132,11,5,0.6875,531,0.9697,0.9438,0.1631
3,0.55,150,4,0.7533,2,2,0.5,293,0.9833,0.9775,0.1651
4,0.55,150,0,0,0,0,NA,0,1,1,0.1676
1,0.6,150,28,5.2731,21,7,0.75,748,0.9573,0.9213,0.163
2,0.6,150,22,4.1431,16,6,0.7273,682,0.9611,0.9326,0.1631
3,0.6,150,6,1.1299,3,3,0.5,444,0.9747,0.9663,0.1638
4,0.6,150,0,0,0,0,NA,0,1,1,0.1676
1,0.65,150,34,6.403,24,10,0.7059,1283,0.9268,0.8876,0.159
2,0.65,150,27,5.0847,18,9,0.6667,1217,0.9306,0.8989,0.1587
3,0.65,150,6,1.1299,3,3,0.5,444,0.9747,0.9663,0.1638
4,0.65,150,0,0,0,0,NA,0,1,1,0.1676
1,0.7,150,36,6.7797,26,10,0.7222,1283,0.9268,0.8876,0.1596
2,0.7,150,28,5.2731,19,9,0.6786,1217,0.9306,0.8989,0.159
3,0.7,150,6,1.1299,3,3,0.5,444,0.9747,0.9663,0.1638
4,0.7,150,0,0,0,0,NA,0,1,1,0.1676
1,0.75,150,42,7.9096,31,11,0.7381,1406,0.9198,0.8764,0.1595
2,0.75,150,34,6.403,24,10,0.7059,1340,0.9235,0.8876,0.159
3,0.75,150,7,1.3183,3,4,0.4286,567,0.9676,0.9551,0.1622
4,0.75,150,0,0,0,0,NA,0,1,1,0.1676
1,0.8,150,42,7.9096,31,11,0.7381,1406,0.9198,0.8764,0.1595
2,0.8,150,34,6.403,24,10,0.7059,1340,0.9235,0.8876,0.159
3,0.8,150,7,1.3183,3,4,0.4286,567,0.9676,0.9551,0.1622
4,0.8,150,0,0,0,0,NA,0,1,1,0.1676
1,0.85,150,47,8.8512,34,13,0.7234,1642,0.9063,0.8539,0.157
2,0.85,150,39,7.3446,27,12,0.6923,1576,0.9101,0.8652,0.1565
3,0.85,150,8,1.5066,3,5,0.375,638,0.9636,0.9438,0.1606
4,0.85,150,0,0,0,0,NA,0,1,1,0.1676
1,0.9,150,54,10.1695,40,14,0.7407,1708,0.9025,0.8427,0.1572
2,0.9,150,46,8.6629,33,13,0.7174,1642,0.9063,0.8539,0.1567
3,0.9,150,8,1.5066,3,5,0.375,638,0.9636,0.9438,0.1606
4,0.9,150,0,0,0,0,NA,0,1,1,0.1676
1,0.95,150,60,11.2994,45,15,0.75,1786,0.8981,0.8315,0.1571
2,0.95,150,52,9.7928,38,14,0.7308,1720,0.9019,0.8427,0.1566
3,0.95,150,10,1.8832,5,5,0.5,638,0.9636,0.9438,0.1612
4,0.95,150,0,0,0,0,NA,0,1,1,0.1676
1,1,150,69,12.9944,50,19,0.7246,2364,0.8651,0.7865,0.1515
2,1,150,61,11.4878,43,18,0.7049,2298,0.8689,0.7978,0.1511
3,1,150,13,2.4482,7,6,0.5385,885,0.9495,0.9326,0.1602
4,1,150,0,0,0,0,NA,0,1,1,0.1676
1,0.15,200,1,0.1883,0,1,0,38,0.9978,0.9888,0.166
2,0.15,200,1,0.1883,0,1,0,38,0.9978,0.9888,0.166
3,0.15,200,0,0,0,0,NA,0,1,1,0.1676
4,0.15,200,0,0,0,0,NA,0,1,1,0.1676
1,0.2,200,4,0.7533,2,2,0.5,192,0.989,0.9775,0.1651
2,0.2,200,4,0.7533,2,2,0.5,192,0.989,0.9775,0.1651
3,0.2,200,1,0.1883,0,1,0,154,0.9912,0.9888,0.166
4,0.2,200,0,0,0,0,NA,0,1,1,0.1676
1,0.25,200,7,1.3183,4,3,0.5714,270,0.9846,0.9663,0.1641
2,0.25,200,5,0.9416,2,3,0.4,270,0.9846,0.9663,0.1635
3,0.25,200,1,0.1883,0,1,0,154,0.9912,0.9888,0.166
4,0.25,200,0,0,0,0,NA,0,1,1,0.1676
1,0.3,200,7,1.3183,4,3,0.5714,270,0.9846,0.9663,0.1641
2,0.3,200,5,0.9416,2,3,0.4,270,0.9846,0.9663,0.1635
3,0.3,200,1,0.1883,0,1,0,154,0.9912,0.9888,0.166
4,0.3,200,0,0,0,0,NA,0,1,1,0.1676
1,0.35,200,8,1.5066,4,4,0.5,409,0.9767,0.9551,0.1625
2,0.35,200,6,1.1299,2,4,0.3333,409,0.9767,0.9551,0.1619
3,0.35,200,2,0.3766,0,2,0,293,0.9833,0.9775,0.1645
4,0.35,200,0,0,0,0,NA,0,1,1,0.1676
1,0.4,200,10,1.8832,6,4,0.6,409,0.9767,0.9551,0.1631
2,0.4,200,7,1.3183,3,4,0.4286,409,0.9767,0.9551,0.1622
3,0.4,200,2,0.3766,0,2,0,293,0.9833,0.9775,0.1645
4,0.4,200,0,0,0,0,NA,0,1,1,0.1676
1,0.45,200,14,2.6365,9,5,0.6429,475,0.9729,0.9438,0.1625
2,0.45,200,9,1.6949,5,4,0.5556,409,0.9767,0.9551,0.1628
3,0.45,200,2,0.3766,0,2,0,293,0.9833,0.9775,0.1645
4,0.45,200,0,0,0,0,NA,0,1,1,0.1676
1,0.5,200,21,3.9548,15,6,0.7143,597,0.9659,0.9326,0.1627
2,0.5,200,16,3.0132,11,5,0.6875,531,0.9697,0.9438,0.1631
3,0.5,200,5,0.9416,3,2,0.6,293,0.9833,0.9775,0.1654
4,0.5,200,0,0,0,0,NA,0,1,1,0.1676
1,0.55,200,24,4.5198,17,7,0.7083,731,0.9583,0.9213,0.1617
2,0.55,200,19,3.5782,13,6,0.6842,665,0.9621,0.9326,0.1621
3,0.55,200,5,0.9416,3,2,0.6,293,0.9833,0.9775,0.1654
4,0.55,200,0,0,0,0,NA,0,1,1,0.1676
1,0.6,200,31,5.838,23,8,0.7419,882,0.9497,0.9101,0.162
2,0.6,200,25,4.7081,18,7,0.72,816,0.9534,0.9213,0.1621
3,0.6,200,7,1.3183,4,3,0.5714,444,0.9747,0.9663,0.1641
4,0.6,200,0,0,0,0,NA,0,1,1,0.1676
1,0.65,200,37,6.968,26,11,0.7027,1417,0.9191,0.8764,0.1579
2,0.65,200,30,5.6497,20,10,0.6667,1351,0.9229,0.8876,0.1577
3,0.65,200,7,1.3183,4,3,0.5714,444,0.9747,0.9663,0.1641
4,0.65,200,0,0,0,0,NA,0,1,1,0.1676
1,0.7,200,39,7.3446,28,11,0.7179,1417,0.9191,0.8764,0.1585
2,0.7,200,31,5.838,21,10,0.6774,1351,0.9229,0.8876,0.158
3,0.7,200,7,1.3183,4,3,0.5714,444,0.9747,0.9663,0.1641
4,0.7,200,0,0,0,0,NA,0,1,1,0.1676
1,0.75,200,45,8.4746,33,12,0.7333,1540,0.9121,0.8652,0.1584
2,0.75,200,37,6.968,26,11,0.7027,1474,0.9159,0.8764,0.1579
3,0.75,200,8,1.5066,4,4,0.5,567,0.9676,0.9551,0.1625
4,0.75,200,0,0,0,0,NA,0,1,1,0.1676
1,0.8,200,46,8.6629,34,12,0.7391,1540,0.9121,0.8652,0.1588
2,0.8,200,38,7.1563,27,11,0.7105,1474,0.9159,0.8764,0.1582
3,0.8,200,8,1.5066,4,4,0.5,567,0.9676,0.9551,0.1625
4,0.8,200,0,0,0,0,NA,0,1,1,0.1676
1,0.85,200,51,9.6045,37,14,0.7255,1776,0.8987,0.8427,0.1562
2,0.85,200,43,8.0979,30,13,0.6977,1710,0.9024,0.8539,0.1557
3,0.85,200,9,1.6949,4,5,0.4444,638,0.9636,0.9438,0.1609
4,0.85,200,0,0,0,0,NA,0,1,1,0.1676
1,0.9,200,58,10.9228,43,15,0.7414,1842,0.8949,0.8315,0.1564
2,0.9,200,50,9.4162,36,14,0.72,1776,0.8987,0.8427,0.1559
3,0.9,200,9,1.6949,4,5,0.4444,638,0.9636,0.9438,0.1609
4,0.9,200,0,0,0,0,NA,0,1,1,0.1676
1,0.95,200,64,12.0527,48,16,0.75,1920,0.8904,0.8202,0.1563
2,0.95,200,56,10.5461,41,15,0.7321,1854,0.8942,0.8315,0.1558
3,0.95,200,11,2.0716,6,5,0.5455,638,0.9636,0.9438,0.1615
4,0.95,200,0,0,0,0,NA,0,1,1,0.1676
1,1,200,76,14.3126,56,20,0.7368,2498,0.8575,0.7753,0.1516
2,1,200,68,12.806,49,19,0.7206,2432,0.8612,0.7865,0.1512
3,1,200,17,3.2015,11,6,0.6471,885,0.9495,0.9326,0.1615
4,1,200,0,0,0,0,NA,0,1,1,0.1676
1,0.15,250,1,0.1883,0,1,0,38,0.9978,0.9888,0.166
2,0.15,250,1,0.1883,0,1,0,38,0.9978,0.9888,0.166
3,0.15,250,0,0,0,0,NA,0,1,1,0.1676
4,0.15,250,0,0,0,0,NA,0,1,1,0.1676
1,0.2,250,4,0.7533,2,2,0.5,192,0.989,0.9775,0.1651
2,0.2,250,4,0.7533,2,2,0.5,192,0.989,0.9775,0.1651
3,0.2,250,1,0.1883,0,1,0,154,0.9912,0.9888,0.166
4,0.2,250,0,0,0,0,NA,0,1,1,0.1676
1,0.25,250,7,1.3183,4,3,0.5714,270,0.9846,0.9663,0.1641
2,0.25,250,5,0.9416,2,3,0.4,270,0.9846,0.9663,0.1635
3,0.25,250,1,0.1883,0,1,0,154,0.9912,0.9888,0.166
4,0.25,250,0,0,0,0,NA,0,1,1,0.1676
1,0.3,250,8,1.5066,5,3,0.625,270,0.9846,0.9663,0.1644
2,0.3,250,6,1.1299,3,3,0.5,270,0.9846,0.9663,0.1638
3,0.3,250,2,0.3766,1,1,0.5,154,0.9912,0.9888,0.1664
4,0.3,250,0,0,0,0,NA,0,1,1,0.1676
1,0.35,250,9,1.6949,5,4,0.5556,409,0.9767,0.9551,0.1628
2,0.35,250,7,1.3183,3,4,0.4286,409,0.9767,0.9551,0.1622
