"","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Michigan",-0.1458,-0.0215,-0.1103,0.1306,0.2097,0.026,0.0474,-0.0577,-0.0282,0.2671,0.0181,-0.0214,-0.3388,0.2466,0.0421,-0.559,-0.0719,-0.3169,-0.4327,-0.0455,1,-0.1065,-0.2253,0.1063,-0.0678,-0.2212,-0.0858,-0.023,-0.2076,-0.132,-0.1158,-0.0852,0.4644,0.0032,-0.0422,0.0208,0.024,0.1356,-0.3601,-0.0712,-0.0353,0.1833,0.0987,0.0679,0.0309,-0.0314,-0.266,0.0982,0.3062
"Minnesota",-0.2236,-0.4146,0.0632,0.3312,-0.3657,-0.0168,-0.0886,0.3533,0.1372,-0.3812,-0.1115,0.1918,-0.1222,-0.0633,-0.1514,-0.3413,-0.1587,0.0799,0.2046,0.0914,-0.1065,1,0.0909,-0.216,0.4754,-0.0025,-0.2039,0.5824,0.1403,-0.1971,0.0825,-0.3487,-0.0735,-0.0531,-0.2132,-0.0476,0.3426,0.3451,-0.1264,-0.1626,-0.1875,-0.4305,-0.2247,0.0233,-0.225,0.1223,-0.1226,-0.257,-0.1675
"Mississippi",-0.0948,-0.0553,0.6153,-0.1389,-0.4069,-0.21,0.0542,-0.1774,0.344,-0.131,-0.0297,0.1697,0.0099,-0.0725,-0.075,0.1575,-0.2603,-0.2019,0.1254,0.0522,-0.2253,0.0909,1,-0.1194,-0.0591,-0.416,0.1975,0.1937,-0.1153,0.1289,0.1935,-0.0112,-0.372,-0.1538,-0.2962,-0.198,-0.0226,-0.1958,0.4647,0.0869,0.384,-0.0041,0.1391,-0.4887,-0.2243,0.313,0.2672,-0.4565,0.1524
"Missouri",0.1102,0.151,0.1504,-0.0731,0.2547,-0.1261,-0.4869,-0.1988,-0.5468,0.2141,-0.5666,-0.0668,-0.0119,-0.1983,0.7225,-0.3538,-0.0762,-0.6167,-0.1226,0.0749,0.1063,-0.216,-0.1194,1,0.0193,-0.1268,-0.3228,-0.1783,0.0013,-0.4275,-0.1975,-0.3012,0.1076,-0.1165,0.0819,0.392,-0.1121,0.2413,-0.326,0.5344,0.3427,-0.0057,0.1826,0.2774,0.0159,-0.2168,-0.1027,0.0782,0.4047
"Montana",-0.4221,0.1566,-0.1415,-0.046,-0.0354,7e-04,-0.1944,0.2687,-0.2993,-0.2602,-0.3713,0.3074,-0.1237,-0.4797,-0.0558,-0.0893,0.0222,-0.4012,0.3707,-0.0393,-0.0678,0.4754,-0.0591,0.0193,1,0.059,-0.0612,0.2019,0.4342,0.078,0.2031,-0.3671,-0.0863,-0.039,0.1847,-0.0031,0.6442,0.2982,-0.2313,-0.1377,-0.1917,-0.351,-0.2665,0.1797,0.0228,-0.3014,0.0102,0.0718,-0.2258
"Nebraska",-0.198,-0.1796,-0.5691,-0.3099,0.0098,-0.1527,-0.013,-0.0684,-0.1683,-0.0848,0.2836,-0.2648,-0.032,0.2441,0.1655,0.1203,-0.1467,0.5253,-0.2713,-0.2638,-0.2212,-0.0025,-0.416,-0.1268,0.059,1,0.155,0.0462,0.2254,-0.13,0.0674,0.1875,0.5383,0.0153,0.1237,-0.3784,0.0719,-0.3646,-0.1311,0.2545,-0.3869,-0.2514,0.1253,0.1027,-0.0648,0.0955,-0.2594,0.7192,0.0633
"Nevada",0.2507,0.5323,-0.0398,-0.6002,-0.0413,-0.4279,0.665,-0.2014,0.6023,0.573,0.4121,0.1586,0.4469,0.521,-0.4001,0.0016,-0.0403,0.1664,-0.1818,-0.4678,-0.0858,-0.2039,0.1975,-0.3228,-0.0612,0.155,1,0.1175,-0.4742,0.2211,-0.5237,0.4777,0.0863,-0.0408,0.3288,-0.2723,-0.4246,-0.7133,0.5328,-0.02,0.0338,0.2494,0.4561,-0.6622,-0.2977,-0.3123,-0.1689,0.2916,0.2084
"New Hampshire",-0.0279,-0.3102,0.1141,-0.2688,-0.3905,-0.2515,0.0627,-0.2617,0.3256,-0.0551,0.3286,0.2908,-0.3294,0.2723,-0.2661,-0.2186,-0.2367,0.1499,-0.3578,-0.0559,-0.023,0.5824,0.1937,-0.1783,0.2019,0.0462,0.1175,1,0.0241,-0.3692,-0.0292,0.1584,0.2862,-0.3338,-0.4266,-0.3371,0.2382,0.2562,0.1963,-0.0257,-0.4107,-0.0952,-0.0727,0.0236,-0.4534,-0.1718,-0.2366,-0.0318,0.294
"New Jersey",-0.4287,-0.3428,0.0345,0.1269,-0.0771,0.2715,-0.544,0.0548,-0.3333,-0.6201,-0.0277,-0.1916,-0.3788,-0.5913,0.2033,0.3441,-0.3373,0.0738,0.2904,0.0544,-0.2076,0.1403,-0.1153,0.0013,0.4342,0.2254,-0.4742,0.0241,1,-0.002,0.6551,-0.1924,-0.1704,-0.045,-0.2215,-0.1627,0.7627,0.4602,-0.4489,-0.059,-0.1957,-0.3918,-0.3139,0.5095,-0.0045,0.1334,0.5517,0.0066,-0.1996
"New Mexico",-0.0947,0.3445,-0.0137,0.2219,-0.0211,0.3428,0.0374,0.2134,0.1077,-0.1499,-0.0176,0.2229,0.2221,-0.2058,-0.2419,0.4405,0.2783,-0.0266,0.4422,-0.1715,-0.132,-0.1971,0.1289,-0.4275,0.078,-0.13,0.2211,-0.3692,-0.002,1,-0.0872,-0.1424,-0.3749,0.2137,0.2903,0.2362,0.1464,-0.1022,0.1224,-0.4767,0.0276,0.1305,-0.2625,-0.1728,0.3584,-0.1005,0.5179,-0.1837,-0.426
"New York",-0.5721,-0.4955,-0.0712,0.1341,-0.2056,0.2562,-0.4192,0.1056,-0.2304,-0.6538,0.0199,-0.262,-0.5072,-0.5876,-0.0363,0.2922,-0.2522,0.0843,0.2764,0.4577,-0.1158,0.0825,0.1935,-0.1975,0.2031,0.0674,-0.5237,-0.0292,0.6551,-0.0872,1,-0.2057,-0.1531,-0.224,-0.3224,-0.2819,0.5146,0.3394,-0.1056,0.0642,-0.3012,-0.3887,-0.2564,0.4596,0.0311,0.5477,0.2561,-0.1332,-0.1987
