fiscal_year,calendar_year,month_name,month_num,state,stratum,sampling_interval,stratum_sampling_size,snap_units_in_state,units_with_complete_reviews,ineligible_units,disqualification_rate,adjusted_snap_units_in_state,failing_units,stratum_sampling_size_edited,stratum_specific_weight,pct_ineligible,ym
2017,2017,March,3,Colorado,0,1,96,225108,67,1,0.0149,221748,0,66,3360,1.49,2017-03
2017,2017,March,3,Connecticut,0,1,92,234720,76,0,0,234720,2,74,3172,0,2017-03
2017,2017,March,3,Delaware,0,1,96,71999,78,3,0.0385,69230,0,75,923,3.85,2017-03
2017,2017,March,3,District of Columbia,0,1,76,70447,64,0,0,70447,0,64,1101,0,2017-03
2017,2017,March,3,Florida,0,1,93,1689271,81,1,0.0123,1668416,0,80,20855,1.23,2017-03
2017,2017,March,3,Georgia,0,1,94,753684,86,1,0.0116,744920,0,85,8764,1.16,2017-03
2017,2017,March,3,Hawaii,0,1,82,86183,50,0,0,86183,0,50,1724,0,2017-03
2017,2017,March,3,Idaho,0,1,100,76023,86,0,0,76023,0,86,884,0,2017-03
2017,2017,March,3,Illinois,0,1,105,981849,89,0,0,981849,0,89,11032,0,2017-03
2017,2017,March,3,Indiana,0,1,103,300241,75,1,0.0133,296238,1,73,4058,1.3299999999999998,2017-03
2017,2017,March,3,Iowa,0,1,85,173157,76,4,0.0526,164043,0,72,2278,5.26,2017-03
2017,2017,March,3,Kansas,0,1,90,108082,83,0,0,108082,0,83,1302,0,2017-03
2017,2017,March,3,Kentucky,0,1,150,310540,141,2,0.0142,306135,0,139,2202,1.4200000000000002,2017-03
2017,2017,March,3,Louisiana,0,1,102,422671,73,0,0,422671,0,73,5790,0,2017-03
2017,2017,March,3,Maine,0,1,83,93640,74,1,0.0135,92375,0,73,1265,1.35,2017-03
2017,2017,March,3,Maryland,0,1,86,357191,67,0,0,357191,0,67,5331,0,2017-03
2017,2017,March,3,Massachusetts,0,1,92,442480,81,0,0,442480,0,81,5463,0,2017-03
2017,2017,March,3,Michigan,0,1,91,732906,77,1,0.013,723388,0,76,9518,1.3,2017-03
2017,2017,March,3,Minnesota,0,1,92,224234,87,4,0.046,213924,0,83,2577,4.6,2017-03
2017,2017,March,3,Mississippi,0,1,92,243472,88,1,0.0114,240705,0,87,2767,1.1400000000000001,2017-03
2017,2017,March,3,Missouri,0,1,86,352493,73,2,0.0274,342836,0,71,4829,2.74,2017-03
2017,2017,March,3,Montana,0,1,83,58268,68,4,0.0588,54840,0,64,857,5.88,2017-03
2017,2017,March,3,Nebraska,0,1,92,79819,74,1,0.0135,78740,1,72,1094,1.35,2017-03
2017,2017,March,3,Nevada,0,1,101,224551,89,1,0.0112,222028,1,87,2552,1.1199999999999999,2017-03
2017,2017,March,3,New Hampshire,0,1,67,46221,59,1,0.0169,45438,0,58,783,1.69,2017-03
2017,2017,March,3,New Jersey,0,1,86,408473,66,0,0,408473,0,66,6189,0,2017-03
2017,2017,March,3,New Mexico,0,1,98,214778,78,2,0.0256,209271,0,76,2754,2.56,2017-03
2017,2017,March,3,New York,0,1,92,1619731,78,1,0.0128,1598965,0,77,20766,1.28,2017-03
2017,2017,March,3,North Carolina,0,1,86,768605,79,1,0.0127,758876,0,78,9729,1.27,2017-03
2017,2017,March,3,North Dakota,0,1,44,25328,42,1,0.0238,24725,0,41,603,2.3800000000000003,2017-03
2017,2017,March,3,Ohio,0,1,96,755927,84,1,0.0119,746928,0,83,8999,1.1900000000000002,2017-03
2017,2017,March,3,Oklahoma,0,1,99,272551,88,1,0.0114,269454,0,87,3097,1.1400000000000001,2017-03
2017,2017,March,3,Oregon,0,1,103,391980,81,0,0,391980,0,81,4839,0,2017-03
2017,2017,March,3,Pennsylvania,0,1,88,949914,65,1,0.0154,935300,0,64,14614,1.54,2017-03
2017,2017,March,3,Rhode Island,0,1,89,95391,71,2,0.0282,92704,0,69,1344,2.82,2017-03
2017,2017,March,3,South Carolina,0,1,91,338685,83,0,0,338685,0,83,4081,0,2017-03
2017,2017,March,3,South Dakota,0,1,63,41472,61,0,0,41472,0,61,680,0,2017-03
2017,2017,March,3,Tennessee,0,1,106,516931,78,1,0.0128,510304,0,77,6627,1.28,2017-03
2017,2017,March,3,Texas,0,1,103,1598275,91,0,0,1598275,0,91,17563,0,2017-03
2017,2017,March,3,Utah,0,1,88,84307,77,0,0,84307,0,77,1095,0,2017-03
