"state","basis","budget","decile","n_rules","median_own_precision","median_marginal_precision"
"Georgia","holdout",5,2,1,0.263157894736842,0.263157894736842
"Georgia","holdout",5,4,1,1,1
"Georgia","holdout",5,5,1,0.666666666666667,0.5
"Georgia","holdout",5,7,1,0.230769230769231,0.25
"Georgia","holdout",5,9,1,0.266666666666667,0.266666666666667
"Georgia","holdout",5,10,1,0.25,0
"Georgia","holdout",10,1,1,0.263157894736842,0.263157894736842
"Georgia","holdout",10,2,1,1,1
"Georgia","holdout",10,3,1,0.666666666666667,0.5
"Georgia","holdout",10,4,1,0.230769230769231,0.25
"Georgia","holdout",10,5,2,0.258333333333333,0.133333333333333
"Georgia","holdout",10,6,1,0.466666666666667,0.666666666666667
"Georgia","holdout",10,7,1,0.384615384615385,0
"Georgia","holdout",10,8,1,0.363636363636364,0.363636363636364
"Georgia","holdout",10,9,1,0.176470588235294,0.176470588235294
"Georgia","holdout",10,10,2,0.276363636363636,0.183333333333333
"Georgia","train",5,1,6,1,1
"Georgia","train",5,2,6,0.681985294117647,0.538235294117647
"Georgia","train",5,3,6,0.66260162601626,0.5
"Georgia","train",5,4,6,0.641025641025641,0.475
"Georgia","train",5,5,6,0.639318885448916,0.433155080213904
"Georgia","train",5,6,6,0.6321044546851,0.416666666666667
"Georgia","train",5,7,6,0.614285714285714,0.522222222222222
"Georgia","train",5,8,6,0.609756097560976,0.333333333333333
"Georgia","train",5,9,6,0.591989987484355,0.330357142857143
"Georgia","train",5,10,6,0.611455108359133,0
"Georgia","train",10,1,15,0.709677419354839,0.676470588235294
"Georgia","train",10,2,16,0.641941391941392,0.477272727272727
"Georgia","train",10,3,15,0.621621621621622,0.444444444444444
"Georgia","train",10,4,16,0.597872340425532,0.30952380952381
"Georgia","train",10,5,15,0.56140350877193,0.25
"Georgia","train",10,6,16,0.597297297297297,0.166666666666667
"Georgia","train",10,7,15,0.546875,0
"Georgia","train",10,8,16,0.559429824561404,0.1
"Georgia","train",10,9,15,0.549019607843137,0
"Georgia","train",10,10,16,0.535714285714286,0
"Idaho","holdout",5,1,2,0.5,0.5
"Idaho","holdout",5,2,2,0.25,0.25
"Idaho","holdout",5,3,2,0.5,0.75
"Idaho","holdout",5,4,2,0.5,0.5
"Idaho","holdout",5,5,3,0.2,0
"Idaho","holdout",5,6,2,0,0
"Idaho","holdout",5,7,2,0,0
"Idaho","holdout",5,8,2,0.166666666666667,0.166666666666667
"Idaho","holdout",5,9,2,0.25,0.25
"Idaho","holdout",5,10,3,0.142857142857143,0
"Idaho","holdout",10,1,3,0,0
"Idaho","holdout",10,2,4,0.5,0.5
"Idaho","holdout",10,3,4,0.333333333333333,0.227272727272727
"Idaho","holdout",10,4,4,0,0
"Idaho","holdout",10,5,4,0.166666666666667,0.166666666666667
"Idaho","holdout",10,6,4,0.0714285714285714,0
"Idaho","holdout",10,7,4,0.25,0
"Idaho","holdout",10,8,4,0,0
"Idaho","holdout",10,9,4,0,0
"Idaho","holdout",10,10,4,0.18,0
"Idaho","train",5,1,16,0.629166666666667,0
"Idaho","train",5,2,16,0.354166666666667,0
"Idaho","train",5,3,16,0,0
"Idaho","train",5,4,16,0,0
"Idaho","train",5,5,16,0,0
"Idaho","train",5,6,16,0.166666666666667,0
"Idaho","train",5,7,16,0.05,0
"Idaho","train",5,8,16,0.105555555555556,0
"Idaho","train",5,9,16,0.0954545454545455,0
"Idaho","train",5,10,17,0.105263157894737,0
"Idaho","train",10,1,28,0.580645161290323,0
"Idaho","train",10,2,29,0,0
"Idaho","train",10,3,29,0,0
"Idaho","train",10,4,29,0.1,0
"Idaho","train",10,5,29,0.1,0
"Idaho","train",10,6,29,0.0909090909090909,0
"Idaho","train",10,7,29,0.0869565217391304,0
"Idaho","train",10,8,29,0.135922330097087,0
"Idaho","train",10,9,29,0.0958904109589041,0
"Idaho","train",10,10,29,0.0975609756097561,0
"Illinois","holdout",5,1,1,0.7,0.7
"Illinois","holdout",5,2,2,0.488095238095238,0.666666666666667
"Illinois","holdout",5,3,1,0.571428571428571,0.428571428571429
"Illinois","holdout",5,4,2,0.572727272727273,0
"Illinois","holdout",5,5,1,0.636363636363636,0
"Illinois","holdout",5,6,2,0.3,0
"Illinois","holdout",5,7,1,0.5,0.5
"Illinois","holdout",5,8,2,0.588942307692308,0
"Illinois","holdout",5,9,1,0.416666666666667,0
"Illinois","holdout",5,10,2,0.730769230769231,0.5
"Illinois","holdout",10,1,2,0.516666666666667,0.516666666666667
"Illinois","holdout",10,2,2,0.607142857142857,0.714285714285714
"Illinois","holdout",10,3,2,0.572727272727273,0
"Illinois","holdout",10,4,2,0.618181818181818,0
"Illinois","holdout",10,5,2,0.25,0.25
"Illinois","holdout",10,6,2,0.588942307692308,0
"Illinois","holdout",10,7,2,0.351190476190476,0.09375
"Illinois","holdout",10,8,2,0.445054945054945,0
"Illinois","holdout",10,9,2,0.636363636363636,0.5
"Illinois","holdout",10,10,3,0.5,0
"Illinois","train",5,1,10,0.730921052631579,0.527777777777778
"Illinois","train",5,2,10,0.664102564102564,0
"Illinois","train",5,3,10,0.636813186813187,0.267857142857143
"Illinois","train",5,4,10,0.615217391304348,0
"Illinois","train",5,5,10,0.623310810810811,0
"Illinois","train",5,6,10,0.58615221987315,0.166666666666667
"Illinois","train",5,7,10,0.53519768563163,0.633333333333333
"Illinois","train",5,8,10,0.535359801488834,0
"Illinois","train",5,9,10,0.494897959183673,0.125
"Illinois","train",5,10,11,0.517857142857143,0
"Illinois","train",10,1,20,0.701351351351351,0
"Illinois","train",10,2,20,0.630602006688963,0.1
"Illinois","train",10,3,20,0.618503118503118,0
"Illinois","train",10,4,21,0.532258064516129,0
"Illinois","train",10,5,20,0.507301587301587,0
"Illinois","train",10,6,20,0.5,0
"Illinois","train",10,7,21,0.424050632911392,0
"Illinois","train",10,8,20,0.418859649122807,0
"Illinois","train",10,9,20,0.463624338624339,0
"Illinois","train",10,10,21,0.415841584158416,0
"Indiana","holdout",5,1,1,0,0
"Indiana","holdout",5,2,1,0,0
"Indiana","holdout",5,3,2,0,0
"Indiana","holdout",5,4,1,1,1
"Indiana","holdout",5,5,2,0.695652173913043,0.695652173913043
"Indiana","holdout",5,6,1,0.666666666666667,0
"Indiana","holdout",5,7,1,0.466666666666667,0.333333333333333
"Indiana","holdout",5,8,2,0.376644736842105,0.1
"Indiana","holdout",5,9,1,0.285714285714286,0.5
"Indiana","holdout",5,10,2,0.736842105263158,0.5
"Indiana","holdout",10,1,2,0,0
"Indiana","holdout",10,2,2,0,0
"Indiana","holdout",10,3,3,1,1
"Indiana","holdout",10,4,2,0.566666666666667,0.166666666666667
"Indiana","holdout",10,5,3,0.315789473684211,0.2
"Indiana","holdout",10,6,2,0.642857142857143,0.7
"Indiana","holdout",10,7,2,0.236842105263158,0
"Indiana","holdout",10,8,3,0.333333333333333,0.333333333333333
"Indiana","holdout",10,9,2,0.337301587301587,0.416666666666667
"Indiana","holdout",10,10,3,0.296296296296296,0
"Indiana","train",5,1,7,0.5,0.142857142857143
"Indiana","train",5,2,7,0.628571428571429,0.631578947368421
"Indiana","train",5,3,7,0.595238095238095,0.4
"Indiana","train",5,4,7,0.557692307692308,0
"Indiana","train",5,5,8,0.291666666666667,0
"Indiana","train",5,6,7,0.54,0.285714285714286
"Indiana","train",5,7,7,0.547619047619048,0
"Indiana","train",5,8,7,0.558823529411765,0.272727272727273
"Indiana","train",5,9,7,0.444444444444444,0
"Indiana","train",5,10,8,0.5,0.111111111111111
"Indiana","train",10,1,21,0.605263157894737,0.5
"Indiana","train",10,2,21,0.526315789473684,0
"Indiana","train",10,3,21,0.527272727272727,0
"Indiana","train",10,4,21,0.5,0
"Indiana","train",10,5,22,0.5,0
"Indiana","train",10,6,21,0.467741935483871,0
"Indiana","train",10,7,21,0.447761194029851,0
"Indiana","train",10,8,21,0.426666666666667,0
"Indiana","train",10,9,21,0.43859649122807,0
"Indiana","train",10,10,22,0.434285714285714,0
"Iowa","holdout",5,1,3,0.333333333333333,0.5
"Iowa","holdout",5,2,3,0.5,0
"Iowa","holdout",5,3,3,1,1
"Iowa","holdout",5,4,3,0,0
"Iowa","holdout",5,5,3,0.5,0
"Iowa","holdout",5,6,3,0,0
"Iowa","holdout",5,7,3,0,0
"Iowa","holdout",5,8,3,0.2,0
"Iowa","holdout",5,9,3,0,0
"Iowa","holdout",5,10,4,0.208333333333333,0
"Iowa","holdout",10,1,5,0.5,0.5
"Iowa","holdout",10,2,5,0.5,0.5
"Iowa","holdout",10,3,5,0.5,0
"Iowa","holdout",10,4,6,0,0
"Iowa","holdout",10,5,5,0,0
"Iowa","holdout",10,6,5,0.166666666666667,0
"Iowa","holdout",10,7,6,0.166666666666667,0
"Iowa","holdout",10,8,5,0.285714285714286,0.2
"Iowa","holdout",10,9,5,0,0
"Iowa","holdout",10,10,6,0.366666666666667,0.166666666666667
"Iowa","train",5,1,20,0.266666666666667,0.3
"Iowa","train",5,2,20,0.333333333333333,0
"Iowa","train",5,3,20,0.285714285714286,0.236111111111111
"Iowa","train",5,4,20,0.333333333333333,0
"Iowa","train",5,5,21,0.333333333333333,0
"Iowa","train",5,6,20,0.323863636363636,0
"Iowa","train",5,7,20,0.288018433179724,0
"Iowa","train",5,8,20,0.171428571428571,0
"Iowa","train",5,9,20,0.255434782608696,0
"Iowa","train",5,10,21,0.230769230769231,0
"Iowa","train",10,1,36,0.333333333333333,0
"Iowa","train",10,2,36,0.333333333333333,0
"Iowa","train",10,3,36,0.333333333333333,0
"Iowa","train",10,4,36,0.263186813186813,0
"Iowa","train",10,5,36,0.236111111111111,0
"Iowa","train",10,6,36,0.225806451612903,0
"Iowa","train",10,7,36,0.201371826371826,0
"Iowa","train",10,8,36,0.201123595505618,0
"Iowa","train",10,9,36,0.203605743279715,0
"Iowa","train",10,10,37,0.207142857142857,0
