"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","engine","param","setting"
0.65,1,9,0.000252397778899546,0.333333333333333,0.00100200400801603,0.00170734539197567,0.00170734539197567,"ranger","num_trees","num_trees=1000"
0.7,1,9,0.000252397778899546,0.333333333333333,0.00100200400801603,0.00170734539197567,0.00170734539197567,"ranger","num_trees","num_trees=1000"
0.75,1,9,0.000252397778899546,0.333333333333333,0.00100200400801603,0.00170734539197567,0.00170734539197567,"ranger","num_trees","num_trees=1000"
0.8,1,9,0.000252397778899546,0.333333333333333,0.00100200400801603,0.00170734539197567,0.00170734539197567,"ranger","num_trees","num_trees=1000"
0.85,1,9,0.000252397778899546,0.333333333333333,0.00100200400801603,0.00170734539197567,0.00170734539197567,"ranger","num_trees","num_trees=1000"
0.05,44592,35658,1,0.0839643277805822,1,1,1,"ranger","num_trees","num_trees=2500"
0.1,34730,28523,0.799904649727971,0.0999544227465554,0.952237808951236,0.949986390725136,0.949986390725136,"ranger","num_trees","num_trees=2500"
0.15,19953,17727,0.497139491839138,0.1319456196762,0.7812291249165,0.812513680652179,0.812513680652179,"ranger","num_trees","num_trees=2500"
0.2,6842,9775,0.274132032082562,0.160716112531969,0.524716098864395,0.564585050354317,0.564585050354317,"ranger","num_trees","num_trees=2500"
0.25,2373,5087,0.142660833473554,0.191468448987616,0.325317301269205,0.356998878900294,0.356998878900294,"ranger","num_trees","num_trees=2500"
0.3,1068,2240,0.0628190027483314,0.219642857142857,0.164328657314629,0.182573656631333,0.182573656631333,"ranger","num_trees","num_trees=2500"
0.35,515,1189,0.0333445510123955,0.24053826745164,0.0955243820975284,0.10677475412894,0.10677475412894,"ranger","num_trees","num_trees=2500"
0.4,296,728,0.0204161758932077,0.245879120879121,0.0597862391449566,0.0672659823326868,0.0672659823326868,"ranger","num_trees","num_trees=2500"
0.45,145,396,0.01110550227158,0.27020202020202,0.0357381429525718,0.0412008900275421,0.0412008900275421,"ranger","num_trees","num_trees=2500"
0.5,72,240,0.00673060743732122,0.2875,0.0230460921843687,0.0274355367669312,0.0274355367669312,"ranger","num_trees","num_trees=2500"
0.55,33,109,0.00305681754445005,0.18348623853211,0.00668002672010688,0.00892121276721288,0.00892121276721288,"ranger","num_trees","num_trees=2500"
0.6,16,58,0.00162656346401929,0.206896551724138,0.00400801603206413,0.00490885592631577,0.00490885592631577,"ranger","num_trees","num_trees=2500"
0.65,7,24,0.000673060743732122,0.208333333333333,0.00167000668002672,0.00239256762286891,0.00239256762286891,"ranger","num_trees","num_trees=2500"
0.7,3,11,0.000308486174210556,0.363636363636364,0.00133600534402138,0.00206137687793718,0.00206137687793718,"ranger","num_trees","num_trees=2500"
0.75,2,9,0.000252397778899546,0.333333333333333,0.00100200400801603,0.00170734539197567,0.00170734539197567,"ranger","num_trees","num_trees=2500"
0.8,2,9,0.000252397778899546,0.333333333333333,0.00100200400801603,0.00170734539197567,0.00170734539197567,"ranger","num_trees","num_trees=2500"
0.85,2,9,0.000252397778899546,0.333333333333333,0.00100200400801603,0.00170734539197567,0.00170734539197567,"ranger","num_trees","num_trees=2500"
0.05,5541,35656,0.999943911604689,0.0839690374691496,1,1,1,"ranger","max_depth","max_depth=3"
0.1,4226,26051,0.730579393123563,0.1066369813059,0.927855711422846,0.929778045099043,0.929778045099043,"ranger","max_depth","max_depth=3"
0.15,2338,15179,0.425682876212912,0.137887871401278,0.699064796259185,0.732534922541337,0.732534922541337,"ranger","max_depth","max_depth=3"
