"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","n_pool","subsample","setting"
0.5,43,246,0.00689887262325425,0.272357723577236,0.022378089512358,0.0264590950879083,0.0264590950879083,9448,0.7,"subsample=0.70"
0.55,21,119,0.0033372595210051,0.226890756302521,0.00901803607214429,0.0134189353549927,0.0134189353549927,9448,0.7,"subsample=0.70"
0.6,13,68,0.00190700544057435,0.205882352941176,0.00467601870407482,0.00788005565527231,0.00788005565527231,9448,0.7,"subsample=0.70"
0.65,6,22,0.000616972348421112,0.272727272727273,0.00200400801603206,0.00349653677264136,0.00349653677264136,9448,0.7,"subsample=0.70"
0.7,5,22,0.000616972348421112,0.272727272727273,0.00200400801603206,0.00349653677264136,0.00349653677264136,9448,0.7,"subsample=0.70"
0.75,3,21,0.000588928150765607,0.285714285714286,0.00200400801603206,0.00349653677264136,0.00349653677264136,9448,0.7,"subsample=0.70"
0.05,9096,35658,1,0.0839643277805822,1,1,1,9246,0.75,"subsample=0.75"
0.1,7403,29148,0.817432273262662,0.0986002470152326,0.959919839679359,0.959988731901092,0.959988731901092,9246,0.75,"subsample=0.75"
0.15,4882,20047,0.56220203039991,0.125355414775278,0.83934535738143,0.853975335806478,0.853975335806478,9246,0.75,"subsample=0.75"
0.2,2333,11389,0.319395367098547,0.158661866713495,0.603540414161657,0.632956905231862,0.632956905231862,9246,0.75,"subsample=0.75"
0.25,1209,6230,0.174715351393797,0.185232744783307,0.385437541750167,0.418071213623741,0.418071213623741,9246,0.75,"subsample=0.75"
0.3,658,3299,0.0925178080655112,0.20733555622916,0.228456913827655,0.250722814283838,0.250722814283838,9246,0.75,"subsample=0.75"
0.35,375,1720,0.0482360199674687,0.222093023255814,0.127588510354041,0.139823403003938,0.139823403003938,9246,0.75,"subsample=0.75"
0.4,214,1076,0.0301755566773235,0.25185873605948,0.0905143620574482,0.103460943284537,0.103460943284537,9246,0.75,"subsample=0.75"
0.45,95,436,0.0122272701778002,0.256880733944954,0.0374081496325985,0.0450248107549436,0.0450248107549436,9246,0.75,"subsample=0.75"
0.5,53,274,0.00768411015760839,0.281021897810219,0.0257181028724115,0.0308597445263116,0.0308597445263116,9246,0.75,"subsample=0.75"
0.55,26,148,0.00415054125301475,0.27027027027027,0.0133600534402138,0.0171153286116446,0.0171153286116446,9246,0.75,"subsample=0.75"
0.6,13,66,0.00185091704526334,0.212121212121212,0.00467601870407482,0.00729571336392724,0.00729571336392724,9246,0.75,"subsample=0.75"
0.65,6,28,0.000785237534354142,0.285714285714286,0.00267201068804275,0.00399141949495315,0.00399141949495315,9246,0.75,"subsample=0.75"
0.7,4,18,0.000504795557799091,0.277777777777778,0.00167000668002672,0.00257529355110711,0.00257529355110711,9246,0.75,"subsample=0.75"
0.75,3,15,0.000420662964832576,0.333333333333333,0.00167000668002672,0.00257529355110711,0.00257529355110711,9246,0.75,"subsample=0.75"
0.8,1,7,0.000196309383588536,0.428571428571429,0.00100200400801603,0.00170734539197567,0.00170734539197567,9246,0.75,"subsample=0.75"
0.85,1,7,0.000196309383588536,0.428571428571429,0.00100200400801603,0.00170734539197567,0.00170734539197567,9246,0.75,"subsample=0.75"
