"target","arm","seed","budget","n_te","n_err_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","artifact_share_flagged","n_rules_deployed","n_rules_deployed_newfeat","n_rules_deployed_slt","slack"
"Washington","cand_slt",20260805,0.1,678,61,67,22,0.3284,0.09,0.3983,0.0149,250,216,29,0
"Washington","cand_slt",31415,0.05,678,61,33,10,0.303,0.09,0.2252,0,112,99,11,0
"Washington","cand_slt",31415,0.1,678,61,67,17,0.2537,0.09,0.3313,0.0149,242,214,31,0
"Louisiana","base",117,0.05,873,96,43,10,0.2326,0.11,0.125,0.0465,120,0,0,0
"Louisiana","base",117,0.1,873,96,87,22,0.2529,0.11,0.285,0.023,230,0,0,0
"Louisiana","base",20260805,0.05,873,96,43,14,0.3256,0.11,0.1801,0.0465,108,0,0,0
"Louisiana","base",20260805,0.1,873,96,87,27,0.3103,0.11,0.3508,0.023,220,0,0,0
"Louisiana","base",31415,0.05,873,96,43,10,0.2326,0.11,0.0883,0.0465,116,0,0,0
"Louisiana","base",31415,0.1,873,96,87,25,0.2874,0.11,0.2874,0.023,220,0,0,0
"Louisiana","cand",117,0.05,873,96,43,13,0.3023,0.11,0.1407,0.0233,123,105,0,0
"Louisiana","cand",117,0.1,873,96,87,25,0.2874,0.11,0.2735,0.023,236,207,0,0
"Louisiana","cand",20260805,0.05,873,96,43,13,0.3023,0.11,0.1519,0.0465,104,92,0,0
"Louisiana","cand",20260805,0.1,873,96,87,24,0.2759,0.11,0.3008,0.023,238,209,0,0
"Louisiana","cand",31415,0.05,873,96,43,9,0.2093,0.11,0.1194,0.0465,131,116,0,0
"Louisiana","cand",31415,0.1,873,96,87,21,0.2414,0.11,0.229,0.023,244,220,0,0
"Louisiana","base_slt",117,0.05,873,96,43,13,0.3023,0.11,0.1694,0.0233,125,41,41,0
"Louisiana","base_slt",117,0.1,873,96,87,25,0.2874,0.11,0.3174,0.023,234,77,77,0
"Louisiana","base_slt",20260805,0.05,873,96,43,12,0.2791,0.11,0.158,0.0465,121,36,36,0
"Louisiana","base_slt",20260805,0.1,873,96,87,21,0.2414,0.11,0.2667,0.023,231,65,65,0
"Louisiana","base_slt",31415,0.05,873,96,43,12,0.2791,0.11,0.1472,0.0465,111,26,26,0
"Louisiana","base_slt",31415,0.1,873,96,87,24,0.2759,0.11,0.3116,0.023,218,69,69,0
"Louisiana","cand_slt",117,0.05,873,96,43,14,0.3256,0.11,0.1569,0.0233,117,104,16,0
"Louisiana","cand_slt",117,0.1,873,96,87,27,0.3103,0.11,0.3108,0.023,239,214,33,0
"Louisiana","cand_slt",20260805,0.05,873,96,43,12,0.2791,0.11,0.1871,0.0465,114,96,10,0
"Louisiana","cand_slt",20260805,0.1,873,96,87,22,0.2529,0.11,0.3046,0.023,230,198,22,0
"Louisiana","cand_slt",31415,0.05,873,96,43,11,0.2558,0.11,0.1473,0.0233,120,108,15,0
"Louisiana","cand_slt",31415,0.1,873,96,87,20,0.2299,0.11,0.2479,0.0115,233,208,30,0
"Maine","base",117,0.05,928,115,46,10,0.2174,0.1239,0.137,0.0217,116,0,0,0
"Maine","base",117,0.1,928,115,92,24,0.2609,0.1239,0.2474,0.0217,244,0,0,0
"Maine","base",20260805,0.05,928,115,46,10,0.2174,0.1239,0.1479,0,121,0,0,0
"Maine","base",20260805,0.1,928,115,92,23,0.25,0.1239,0.2753,0,268,0,0,0
"Maine","base",31415,0.05,928,115,46,11,0.2391,0.1239,0.1613,0,111,0,0,0
"Maine","base",31415,0.1,928,115,92,23,0.25,0.1239,0.2669,0.0109,243,0,0,0
"Maine","cand",117,0.05,928,115,46,9,0.1957,0.1239,0.1349,0.0217,115,100,0,0
"Maine","cand",117,0.1,928,115,92,24,0.2609,0.1239,0.2778,0.0109,264,230,0,0
"Maine","cand",20260805,0.05,928,115,46,12,0.2609,0.1239,0.1268,0.0217,124,104,0,0
"Maine","cand",20260805,0.1,928,115,92,22,0.2391,0.1239,0.2459,0.0435,272,227,0,0
"Maine","cand",31415,0.05,928,115,46,12,0.2609,0.1239,0.1489,0.0217,120,100,0,0
"Maine","cand",31415,0.1,928,115,92,23,0.25,0.1239,0.2747,0.0109,250,218,0,0
"Maine","base_slt",117,0.05,928,115,46,13,0.2826,0.1239,0.1698,0,121,35,35,0
"Maine","base_slt",117,0.1,928,115,92,21,0.2283,0.1239,0.2388,0.0761,252,70,70,0
"Maine","base_slt",20260805,0.05,928,115,46,8,0.1739,0.1239,0.135,0,117,29,29,0
"Maine","base_slt",20260805,0.1,928,115,92,23,0.25,0.1239,0.2586,0.0109,254,66,66,0
"Maine","base_slt",31415,0.05,928,115,46,11,0.2391,0.1239,0.1473,0.1087,117,34,34,0
"Maine","base_slt",31415,0.1,928,115,92,26,0.2826,0.1239,0.3027,0.0652,253,70,70,0
"Maine","cand_slt",117,0.05,928,115,46,15,0.3261,0.1239,0.1613,0,133,110,9,0
"Maine","cand_slt",117,0.1,928,115,92,29,0.3152,0.1239,0.3263,0,269,228,20,0
"Maine","cand_slt",20260805,0.05,928,115,46,11,0.2391,0.1239,0.1657,0.0217,120,97,9,0
"Maine","cand_slt",20260805,0.1,928,115,92,23,0.25,0.1239,0.294,0.0109,261,219,26,0
"Maine","cand_slt",31415,0.05,928,115,46,14,0.3043,0.1239,0.1714,0.0217,126,106,15,0
"Maine","cand_slt",31415,0.1,928,115,92,27,0.2935,0.1239,0.2903,0.0109,264,224,32,0
"New Jersey","base",117,0.05,621,59,31,4,0.129,0.095,0.0897,0.0323,110,0,0,0
"New Jersey","base",117,0.1,621,59,62,10,0.1613,0.095,0.1774,0.0161,199,0,0,0
"New Jersey","base",20260805,0.05,621,59,31,7,0.2258,0.095,0.1529,0.0323,97,0,0,0
"New Jersey","base",20260805,0.1,621,59,62,14,0.2258,0.095,0.2631,0.0161,195,0,0,0
"New Jersey","base",31415,0.05,621,59,31,5,0.1613,0.095,0.1166,0.0323,96,0,0,0
"New Jersey","base",31415,0.1,621,59,62,14,0.2258,0.095,0.2392,0.0161,201,0,0,0
"New Jersey","cand",117,0.05,621,59,31,4,0.129,0.095,0.046,0,115,97,0,0
"New Jersey","cand",117,0.1,621,59,62,11,0.1774,0.095,0.1508,0.0323,224,194,0,0
"New Jersey","cand",20260805,0.05,621,59,31,8,0.2581,0.095,0.1197,0,103,91,0,0
"New Jersey","cand",20260805,0.1,621,59,62,15,0.2419,0.095,0.233,0.0323,225,193,0,0
"New Jersey","cand",31415,0.05,621,59,31,6,0.1935,0.095,0.0942,0.0323,110,94,0,0
"New Jersey","cand",31415,0.1,621,59,62,11,0.1774,0.095,0.194,0.0323,218,187,0,0
"New Jersey","base_slt",117,0.05,621,59,31,7,0.2258,0.095,0.1587,0,101,22,22,0
"New Jersey","base_slt",117,0.1,621,59,62,10,0.1613,0.095,0.1995,0.0161,203,55,55,0
"New Jersey","base_slt",20260805,0.05,621,59,31,6,0.1935,0.095,0.1091,0.0323,104,26,26,0
"New Jersey","base_slt",20260805,0.1,621,59,62,13,0.2097,0.095,0.2375,0.0161,199,49,49,0
"New Jersey","base_slt",31415,0.05,621,59,31,4,0.129,0.095,0.0897,0.0323,102,22,22,0
"New Jersey","base_slt",31415,0.1,621,59,62,10,0.1613,0.095,0.1943,0.0161,205,50,50,0
"New Jersey","cand_slt",117,0.05,621,59,31,8,0.2581,0.095,0.1132,0,111,96,11,0
"New Jersey","cand_slt",117,0.1,621,59,62,16,0.2581,0.095,0.2545,0.0323,223,192,22,0
"New Jersey","cand_slt",20260805,0.05,621,59,31,8,0.2581,0.095,0.145,0,104,87,8,0
"New Jersey","cand_slt",20260805,0.1,621,59,62,14,0.2258,0.095,0.216,0.0323,215,184,25,0
"New Jersey","cand_slt",31415,0.05,621,59,31,6,0.1935,0.095,0.0942,0.0323,115,95,7,0
"New Jersey","cand_slt",31415,0.1,621,59,62,13,0.2097,0.095,0.2265,0.0161,235,189,18,0
"Mississippi","base",117,0.05,902,127,45,15,0.3333,0.1408,0.0993,0.1111,106,0,0,0
"Mississippi","base",117,0.1,902,127,90,24,0.2667,0.1408,0.1727,0.0556,169,0,0,0
"Mississippi","base",20260805,0.05,902,127,45,13,0.2889,0.1408,0.0924,0.1333,102,0,0,0
"Mississippi","base",20260805,0.1,902,127,90,24,0.2667,0.1408,0.1808,0.0667,186,0,0,0
"Mississippi","base",31415,0.05,902,127,45,15,0.3333,0.1408,0.102,0.1333,104,0,0,0
"Mississippi","base",31415,0.1,902,127,90,25,0.2778,0.1408,0.174,0.0667,170,0,0,0
"Mississippi","cand",117,0.05,902,127,45,14,0.3111,0.1408,0.0941,0.1333,114,97,0,0
"Mississippi","cand",117,0.1,902,127,90,33,0.3667,0.1408,0.2338,0.0667,206,183,0,0
"Mississippi","cand",20260805,0.05,902,127,45,16,0.3556,0.1408,0.1139,0.1333,97,86,0,0
"Mississippi","cand",20260805,0.1,902,127,90,33,0.3667,0.1408,0.2341,0.0778,206,181,0,0
"Mississippi","cand",31415,0.05,902,127,45,16,0.3556,0.1408,0.1393,0.1556,98,84,0,0
"Mississippi","cand",31415,0.1,902,127,90,34,0.3778,0.1408,0.2602,0.0778,204,177,0,0
"Mississippi","base_slt",117,0.05,902,127,45,14,0.3111,0.1408,0.1125,0.1556,92,39,39,0
"Mississippi","base_slt",117,0.1,902,127,90,28,0.3111,0.1408,0.2123,0.0778,180,75,75,0
"Mississippi","base_slt",20260805,0.05,902,127,45,12,0.2667,0.1408,0.0832,0.1333,94,32,32,0
"Mississippi","base_slt",20260805,0.1,902,127,90,30,0.3333,0.1408,0.2459,0.0667,180,54,54,0
"Mississippi","base_slt",31415,0.05,902,127,45,12,0.2667,0.1408,0.0762,0.1333,96,30,30,0
"Mississippi","base_slt",31415,0.1,902,127,90,28,0.3111,0.1408,0.2252,0.0667,160,51,51,0
"Mississippi","cand_slt",117,0.05,902,127,45,15,0.3333,0.1408,0.1091,0.0889,103,91,10,0
"Mississippi","cand_slt",117,0.1,902,127,90,33,0.3667,0.1408,0.2432,0.0667,215,195,28,0
"Mississippi","cand_slt",20260805,0.05,902,127,45,19,0.4222,0.1408,0.1364,0.1111,92,77,10,0
"Mississippi","cand_slt",20260805,0.1,902,127,90,35,0.3889,0.1408,0.2737,0.0667,207,182,33,0
"Mississippi","cand_slt",31415,0.05,902,127,45,16,0.3556,0.1408,0.1299,0.1556,91,79,20,0
"Mississippi","cand_slt",31415,0.1,902,127,90,34,0.3778,0.1408,0.2396,0.0778,189,167,41,0
