"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Connecticut","other_error","2-3","children_i <=   0.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 559.000","children_i <=   0.4500 & rawben_rel_max >   0.8937 & rawben_rel_max <=   0.9980 & shelter_expenses_by_hh_size > 614.9000",FALSE,5,2,0.4,0.18,3,0.333,0,NA
"Connecticut","other_error","2-3","elderly_disabled_i >   0.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 456.000","elderly_disabled_i >   0.4500 & rawben_rel_max >   0.8937 & rawben_rel_max <=   0.9980 & total_deductions_by_hh_size > 410.4000",FALSE,6,3,0.5,0.268,5,0.4,0,NA
"Connecticut","other_error","2-3","elderly_disabled_i >   0.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 559.000","elderly_disabled_i >   0.4500 & rawben_rel_max >   0.8937 & rawben_rel_max <=   0.9980 & shelter_expenses_by_hh_size > 614.9000",FALSE,6,3,0.5,0.268,5,0.4,0,NA
"Connecticut","other_error","2-3","expedited_i <=   0.500 & shelter_expenses_by_hh_size > 547.000 & unc_rawben_rel_max >   0.994 & unc_rawben_rel_max <=   0.996","expedited_i <=   0.4500 & shelter_expenses_by_hh_size > 601.7000 & unc_rawben_rel_max >   0.8946 & unc_rawben_rel_max <=   0.9960",FALSE,12,4,0.333,0.189,9,0.222,0,NA
"Connecticut","other_error","2-3","children_i <=   0.500 & shelter_expenses_by_hh_size > 499.000 & unc_rawben_rel_max >   0.992 & unc_rawben_rel_max <=   0.997","children_i <=   0.4500 & shelter_expenses_by_hh_size > 548.9000 & unc_rawben_rel_max >   0.8928 & unc_rawben_rel_max <=   0.9970",FALSE,7,2,0.286,0.125,3,0.333,0,NA
"Connecticut","other_error","2-3","expedited_i <=   0.500 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 533.000 & unc_rawben_rel_max >   0.979","expedited_i <=   0.4500 & rawben_rel_max <=   0.9950 & total_deductions_by_hh_size > 533.0000 & unc_rawben_rel_max >   0.8811",FALSE,5,2,0.4,0.18,3,0.333,0,NA
"Connecticut","other_error","2-3","homeless <=   0.500 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 524.000 & unc_rawben_rel_max >   0.979","homeless <=   0.4500 & rawben_rel_max <=   0.9950 & total_deductions_by_hh_size > 524.0000 & unc_rawben_rel_max >   0.8811",FALSE,6,3,0.5,0.268,3,0.333,0,NA
"Connecticut","other_error","2-3","rawben_rel_max >   0.993 & shelter_expenses_by_hh_size > 547.000 & unc_rawben_rel_max <=   0.996 & utilities > 682.000","rawben_rel_max >   0.8937 & shelter_expenses_by_hh_size > 601.7000 & unc_rawben_rel_max <=   0.9960 & utilities > 613.8000",FALSE,13,5,0.385,0.234,10,0.2,1,0
"Connecticut","other_error","2-3","shelter_expenses_by_hh_size > 547.000 & unc_rawben_rel_max >   0.994 & unc_rawben_rel_max <=   0.996","shelter_expenses_by_hh_size > 601.7000 & unc_rawben_rel_max >   0.8946 & unc_rawben_rel_max <=   0.9960",FALSE,13,5,0.385,0.234,10,0.2,0,NA
"Connecticut","other_error","2-3","elderly_disabled_i >   0.500 & rawben_rel_max >   0.993 & shelter_expenses_by_hh_size > 502.000 & unc_rawben_rel_max <=   0.996","elderly_disabled_i >   0.4500 & rawben_rel_max >   0.8937 & shelter_expenses_by_hh_size > 552.2000 & unc_rawben_rel_max <=   0.9960",FALSE,9,3,0.333,0.172,5,0.4,0,NA
"Connecticut","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 466.000","rawben_rel_max >   0.8937 & rawben_rel_max <=   0.9980 & total_deductions_by_hh_size > 512.6000",FALSE,6,3,0.5,0.268,3,0.333,0,NA
"Connecticut","other_error","2-3","rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 345.000 & unc_rawben_rel_max >   0.993","rawben_rel_max <=   0.9950 & total_deductions_by_hh_size > 431.2000 & unc_rawben_rel_max >   0.8937",FALSE,9,4,0.444,0.258,5,0.4,0,NA
"Connecticut","other_error","2-3","rawben_rel_max >   0.978 & total_deductions_by_hh_size > 644.000 & unc_rawben_rel_max <=   0.998","rawben_rel_max >   0.978 & total_deductions_by_hh_size > 579.600 & unc_rawben_rel_max <=   1.098",FALSE,6,3,0.5,0.268,0,NA,0,NA
"Connecticut","other_error","2-3","elderly_disabled_i >   0.500 & shelter_expenses_by_hh_size > 543.000 & unc_rawben_rel_max >   0.993 & unc_rawben_rel_max <=   0.998","elderly_disabled_i >   0.4500 & shelter_expenses_by_hh_size > 597.3000 & unc_rawben_rel_max >   0.8937 & unc_rawben_rel_max <=   0.9980",FALSE,7,3,0.429,0.226,5,0.4,0,NA
"Connecticut","other_error","2-3","cat_elig >   0.500 & total_deductions_by_hh_size > 475.000 & unc_rawben_rel_max >   0.993 & unc_rawben_rel_max <=   0.997","cat_elig >   0.4500 & total_deductions_by_hh_size > 522.5000 & unc_rawben_rel_max >   0.8937 & unc_rawben_rel_max <=   1.0970",FALSE,11,5,0.455,0.281,4,0.25,0,NA
