"state","budget","f_min","n_rules_core","n_rules_total","used_completion","window_redone","walk_depth","base_precision","rewalk_precision","precision_diff","base_errors","rewalk_errors","base_dollar_recall_unw","rewalk_dollar_recall_unw","dollar_recall_unw_diff","base_dollar_recall_wtd","rewalk_dollar_recall_wtd","dollar_recall_wtd_diff","base_flagged_share","rewalk_flagged_share","fill_rate"
"Colorado",10,0.55,63,183,FALSE,FALSE,10598,0.380952380952381,0.455882352941176,0.0749299719887955,32,31,0.282034379595355,0.365295877490999,0.0832614978956442,0.279752056369767,0.342321293473683,0.0625692371039155,0.104607721046077,0.0846824408468244,0.846824408468244
"Colorado",10,0.6,63,186,FALSE,FALSE,10765,0.380952380952381,0.454545454545455,0.0735930735930736,32,30,0.282034379595355,0.298007200446225,0.0159728208508697,0.279752056369767,0.291226539133359,0.0114744827635923,0.104607721046077,0.0821917808219178,0.821917808219178
"Colorado",10,0.65,69,193,FALSE,FALSE,10972,0.380952380952381,0.444444444444444,0.0634920634920635,32,28,0.282034379595355,0.282845697479844,0.000811317884488627,0.279752056369767,0.274951077328371,-0.00480097904139593,0.104607721046077,0.0784557907845579,0.784557907845579
"Colorado",10,0.7,75,202,FALSE,TRUE,14904,0.380952380952381,0.360824742268041,-0.0201276386843397,32,35,0.282034379595355,0.395821712894884,0.113787333299528,0.279752056369767,0.370092637400243,0.0903405810304763,0.104607721046077,0.12079701120797,1.2079701120797
"Colorado",10,0.75,70,203,FALSE,TRUE,14372,0.380952380952381,0.354838709677419,-0.0261136712749616,32,33,0.282034379595355,0.382384260433041,0.100349880837686,0.279752056369767,0.357601966786816,0.077849910417049,0.104607721046077,0.115815691158157,1.15815691158157
"Connecticut",5,0.25,28,78,FALSE,FALSE,1013,0.350877192982456,0.368421052631579,0.0175438596491228,20,21,0.202400204272704,0.208017703634352,0.00561749936164779,0.243387155230454,0.248444618822554,0.00505746359210088,0.0634037819799778,0.0634037819799778,1.26807563959956
"Connecticut",5,0.4,27,79,FALSE,FALSE,1388,0.350877192982456,0.388888888888889,0.0380116959064328,20,21,0.202400204272704,0.208017703634352,0.00561749936164779,0.243387155230454,0.248444618822554,0.00505746359210088,0.0634037819799778,0.0600667408231368,1.20133481646274
"Connecticut",5,0.5,28,70,FALSE,FALSE,1244,0.350877192982456,0.384615384615385,0.0337381916329285,20,20,0.202400204272704,0.202400204272704,0,0.243387155230454,0.243387155230454,0,0.0634037819799778,0.0578420467185762,1.15684093437152
"Connecticut",5,0.55,24,61,FALSE,FALSE,1388,0.350877192982456,0.363636363636364,0.0127591706539075,20,16,0.202400204272704,0.167418503702443,-0.0349817005702613,0.243387155230454,0.202928181580386,-0.0404589736500679,0.0634037819799778,0.0489432703003337,0.978865406006674
"Connecticut",5,0.6,24,66,FALSE,FALSE,1543,0.350877192982456,0.363636363636364,0.0127591706539075,20,16,0.202400204272704,0.167418503702443,-0.0349817005702613,0.243387155230454,0.202928181580386,-0.0404589736500679,0.0634037819799778,0.0489432703003337,0.978865406006674
"Connecticut",5,0.65,24,80,FALSE,FALSE,2307,0.350877192982456,0.369565217391304,0.0186880244088482,20,17,0.202400204272704,0.173206230317474,-0.0291939739552302,0.243387155230454,0.209749175934472,-0.0336379792959812,0.0634037819799778,0.0511679644048943,1.02335928809789
"Connecticut",5,0.7,23,78,FALSE,FALSE,2619,0.350877192982456,0.4,0.0491228070175439,20,16,0.202400204272704,0.152608732658099,-0.0497914716146055,0.243387155230454,0.182697967276553,-0.060689187953901,0.0634037819799778,0.0444938820912125,0.889877641824249
"Connecticut",5,0.75,26,84,FALSE,FALSE,2954,0.350877192982456,0.409090909090909,0.058213716108453,20,18,0.202400204272704,0.175036173291344,-0.0273640309813601,0.243387155230454,0.20746272745951,-0.0359244277709441,0.0634037819799778,0.0489432703003337,0.978865406006674
"Connecticut",10,0.25,63,163,FALSE,FALSE,4001,0.363636363636364,0.377358490566038,0.0137221269296741,36,40,0.310537066984424,0.347263596901864,0.0367265299174398,0.357558822708493,0.408728859738324,0.0511700370298314,0.110122358175751,0.117908787541713,1.17908787541713
"Connecticut",10,0.4,51,153,FALSE,FALSE,5517,0.363636363636364,0.4,0.0363636363636364,36,40,0.310537066984424,0.349987232955996,0.0394501659715721,0.357558822708493,0.399848789141379,0.0422899664328862,0.110122358175751,0.111234705228031,1.11234705228031
"Connecticut",10,0.5,52,164,FALSE,FALSE,6956,0.363636363636364,0.391752577319588,0.028116213683224,36,38,0.310537066984424,0.320623031747383,0.0100859647629586,0.357558822708493,0.356741804699822,-0.000817018008670622,0.110122358175751,0.10789766407119,1.0789766407119
"Connecticut",10,0.55,46,141,FALSE,FALSE,9816,0.363636363636364,0.411111111111111,0.0474747474747474,36,37,0.310537066984424,0.310877521491191,0.000340454506766563,0.357558822708493,0.346794267730372,-0.0107645549781209,0.110122358175751,0.100111234705228,1.00111234705228
