"idx","var","lo","hi","width","rel_width","hh","rule"
46116,"gross_by_hh_size",939,942,3,0.00318471337579618,"1","gross_by_hh_size >= 939 & gross_by_hh_size < 942 & total_deductions_by_hh_size < 175"
46370,"total_deductions_by_hh_size",0.25,3.25,3,0.923076923076923,"1","rawben_rel_max <= 0.316 & shelter_expenses_by_hh_size <= 2320 & total_deductions_by_hh_size > 0.25 & total_deductions_by_hh_size <= 3.25"
49085,"utilities",676,679,3,0.00441826215022091,"1","shelter_expenses_by_hh_size >= 1150 & shelter_expenses_by_hh_size < 1260 & utilities >= 676 & utilities < 679"
50461,"total_deductions_by_hh_size",552,555,3,0.00540540540540541,"1","total_deductions_by_hh_size >= 552 & total_deductions_by_hh_size < 555"
53439,"gross_by_hh_size",939,942,3,0.00318471337579618,"1","gross_by_hh_size >= 939 & gross_by_hh_size < 942"
100,"earned_by_hh_size",0.5,4,3.5,0.875,"1","earned_by_hh_size > 0.5 & earned_by_hh_size <= 4 & rawben_rel_max <= 0.997 & total_deductions_by_hh_size > 144"
3450,"earned_by_hh_size",0.5,4,3.5,0.875,"1","earned_by_hh_size > 0.5 & earned_by_hh_size <= 4 & rawben_rel_max <= 0.997"
31081,"gross_by_hh_size",75.5,79,3.5,0.0443037974683544,"2-3","gross_by_hh_size >= 75.5 & gross_by_hh_size < 79 & unc_rawben_rel_max < 1.17 & utilities < 560"
38141,"gross_by_hh_size",75.5,79,3.5,0.0443037974683544,"2-3","gross_by_hh_size >= 75.5 & gross_by_hh_size < 79 & total_deductions_by_hh_size < 676"
40415,"gross_by_hh_size",75.5,79,3.5,0.0443037974683544,"2-3","gross_by_hh_size >= 75.5 & gross_by_hh_size < 79 & months_since_cert_n >= 3 & total_deductions_by_hh_size < 676"
651,"gross_by_hh_size",336,340,4,0.0117647058823529,"2-3","gross_by_hh_size >= 336 & gross_by_hh_size < 340 & months_since_cert_n < 8 & shelter_expenses_by_hh_size >= 318"
1140,"gross_by_hh_size",336,340,4,0.0117647058823529,"2-3","gross_by_hh_size >= 336 & gross_by_hh_size < 340 & shelter_expenses_by_hh_size >= 318"
1172,"gross_by_hh_size",336,340,4,0.0117647058823529,"2-3","gross_by_hh_size >= 336 & gross_by_hh_size < 340 & unearned_by_hh_size < 946"
1339,"earned_by_hh_size",244,248,4,0.0161290322580645,"2-3","earned_by_hh_size >= 244 & earned_by_hh_size < 248 & gross_by_hh_size < 314 & rawben_rel_max >= 0.321"
1770,"earned_by_hh_size",244,248,4,0.0161290322580645,"2-3","earned_by_hh_size >= 244 & earned_by_hh_size < 248 & unc_rawben_rel_max < 1.36"
5300,"total_deductions_by_hh_size",232,236,4,0.0169491525423729,"4+","HH_size_n < 7 & rawben_rel_max >= 0.292 & total_deductions_by_hh_size >= 232 & total_deductions_by_hh_size < 236"
7547,"shelter_expenses_by_hh_size",421,425,4,0.00941176470588235,"4+","HH_size_n < 10 & shelter_expenses_by_hh_size >= 421 & shelter_expenses_by_hh_size < 425 & total_deductions_by_hh_size < 315"
8590,"utilities",366,370,4,0.0108108108108108,"4+","months_since_cert_n >= 3 & total_deductions_by_hh_size >= 138 & utilities >= 366 & utilities < 370"
9565,"gross_by_hh_size",583,587,4,0.00681431005110733,"2-3","gross_by_hh_size >= 583 & gross_by_hh_size < 587 & months_since_cert_n < 13 & total_deductions_by_hh_size >= 238"
14433,"utilities",366,370,4,0.0108108108108108,"4+","total_deductions_by_hh_size >= 138 & utilities >= 366 & utilities < 370"
15604,"unearned_by_hh_size",142,146,4,0.0273972602739726,"4+","shelter_expenses_by_hh_size > 69.4 & unearned_by_hh_size > 142 & unearned_by_hh_size <= 146"
19253,"utilities",388,392,4,0.0102040816326531,"4+","earned_by_hh_size < 694 & shelter_expenses_by_hh_size < 212 & utilities >= 388 & utilities < 392"
21450,"utilities",366,370,4,0.0108108108108108,"4+","utilities >= 366 & utilities < 370"
22373,"unearned_by_hh_size",142,146,4,0.0273972602739726,"4+","shelter_expenses_by_hh_size > 69.4 & unearned_by_hh_size > 142 & unearned_by_hh_size <= 146 & utilities <= 927"
25324,"shelter_expenses_by_hh_size",324,328,4,0.0121951219512195,"4+","shelter_expenses_by_hh_size >= 324 & shelter_expenses_by_hh_size < 328"
25342,"shelter_expenses_by_hh_size",286,290,4,0.0137931034482759,"4+","shelter_expenses_by_hh_size >= 286 & shelter_expenses_by_hh_size < 290 & total_deductions_by_hh_size < 213"
25939,"unearned_by_hh_size",142,146,4,0.0273972602739726,"4+","unearned_by_hh_size > 142 & unearned_by_hh_size <= 146"
28631,"gross_by_hh_size",583,587,4,0.00681431005110733,"2-3","gross_by_hh_size >= 583 & gross_by_hh_size < 587 & months_since_cert_n < 13"
30445,"gross_by_hh_size",583,587,4,0.00681431005110733,"2-3","gross_by_hh_size >= 583 & gross_by_hh_size < 587 & shelter_expenses_by_hh_size >= 126 & utilities >= 38"
32298,"shelter_expenses_by_hh_size",386,390,4,0.0102564102564103,"2-3","shelter_expenses_by_hh_size >= 386 & shelter_expenses_by_hh_size < 390 & total_deductions_by_hh_size >= 256"
33635,"gross_by_hh_size",216,220,4,0.0181818181818182,"2-3","gross_by_hh_size >= 216 & gross_by_hh_size < 220 & shelter_expenses_by_hh_size >= 35.7 & unc_rawben_rel_max >= -0.494"
36030,"utilities",46.5,50.5,4,0.0792079207920792,"1","earned_by_hh_size > 330 & rawben_rel_max > 0.395 & utilities > 46.5 & utilities <= 50.5"
41118,"utilities",360,364,4,0.010989010989011,"1","total_deductions_by_hh_size < 143 & utilities >= 360 & utilities < 364"
41345,"total_deductions_by_hh_size",294,298,4,0.0134228187919463,"2-3","total_deductions_by_hh_size >= 294 & total_deductions_by_hh_size < 298"
43408,"medical_deductions",126,130,4,0.0307692307692308,"2-3","medical_deductions > 126 & medical_deductions <= 130 & unc_rawben_rel_max > 0.207"
43614,"shelter_expenses_by_hh_size",624,628,4,0.00636942675159236,"2-3","earned_by_hh_size > 0.167 & months_since_cert_n <= 5.5 & shelter_expenses_by_hh_size > 624 & shelter_expenses_by_hh_size <= 628"
