"idx","var","lo","hi","width","rel_width","state","rank","rule"
598,"earned_by_hh_size",125,190,65,0.342105263157895,"Illinois",16,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
647,"earned_by_hh_size",125,190,65,0.342105263157895,"Indiana",12,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
691,"earned_by_hh_size",125,190,65,0.342105263157895,"Iowa",11,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
997,"earned_by_hh_size",125,190,65,0.342105263157895,"Louisiana",10,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
1171,"earned_by_hh_size",125,190,65,0.342105263157895,"Massachusetts",10,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
1217,"earned_by_hh_size",125,190,65,0.342105263157895,"Michigan",9,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
1382,"earned_by_hh_size",125,190,65,0.342105263157895,"Missouri",12,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
1457,"earned_by_hh_size",125,190,65,0.342105263157895,"Montana",6,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
1541,"earned_by_hh_size",125,190,65,0.342105263157895,"Nebraska",9,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
1646,"earned_by_hh_size",125,190,65,0.342105263157895,"Nevada",10,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
1744,"earned_by_hh_size",125,190,65,0.342105263157895,"New Hampshire",9,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
1899,"earned_by_hh_size",125,190,65,0.342105263157895,"New Mexico",13,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
1927,"earned_by_hh_size",125,190,65,0.342105263157895,"New York",10,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
1962,"earned_by_hh_size",125,190,65,0.342105263157895,"North Carolina",8,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
2054,"earned_by_hh_size",125,190,65,0.342105263157895,"North Dakota",8,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
2125,"earned_by_hh_size",125,190,65,0.342105263157895,"Ohio",11,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
2297,"earned_by_hh_size",125,190,65,0.342105263157895,"Pennsylvania",10,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
2395,"earned_by_hh_size",125,190,65,0.342105263157895,"South Carolina",11,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
2596,"earned_by_hh_size",125,190,65,0.342105263157895,"Texas",8,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
2649,"earned_by_hh_size",125,190,65,0.342105263157895,"Utah",7,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
2747,"earned_by_hh_size",125,190,65,0.342105263157895,"Vermont",6,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
2819,"earned_by_hh_size",125,190,65,0.342105263157895,"Virginia",12,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
2856,"earned_by_hh_size",125,190,65,0.342105263157895,"Washington",11,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
2942,"earned_by_hh_size",125,190,65,0.342105263157895,"West Virginia",5,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
3048,"earned_by_hh_size",125,190,65,0.342105263157895,"Wisconsin",12,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
3171,"earned_by_hh_size",125,190,65,0.342105263157895,"Wyoming",4,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
209,"total_deductions_by_hh_size",112,179,67,0.374301675977654,"Arkansas",83,"expedited_i <= 0 & percent_abawd > 0.279 & total_deductions_by_hh_size > 112 & total_deductions_by_hh_size <= 179"
