"state","rank","rule","hh","smd_min","smd_max","in_training_smd_range"
"Maine",9,"medical_deductions <= 122 & rawben_rel_max > 0.997 & unearned_by_hh_size > 401 & utilities <= 14","1",0,0,FALSE
"Maine",29,"medical_deductions >= 229 & rawben_rel_max >= 0.751","2-3",0,0,FALSE
"Maine",30,"medical_deductions >= 582 & shelter_expenses_by_hh_size < 2000 & unc_rawben_rel_max < 1.4 & unearned_by_hh_size < 1580","1",0,0,FALSE
"Maryland",8,"medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3",0,0,FALSE
"Maryland",15,"bbce_state_i >= 1 & medical_deductions > 734 & shelter_expenses_by_hh_size > 18.5 & unc_rawben_rel_max <= 1.28","1",0,0,FALSE
"Maryland",16,"medical_deductions >= 173 & rawben_rel_max >= 0.433 & unearned_by_hh_size >= 1210 & utilities < 277","1",0,0,FALSE
"Massachusetts",8,"medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3",155,155,FALSE
"Massachusetts",14,"bbce_state_i >= 1 & medical_deductions > 734 & shelter_expenses_by_hh_size > 18.5 & unc_rawben_rel_max <= 1.28","1",155,155,FALSE
"Massachusetts",18,"medical_deductions > 138 & rawben_rel_max > 0.159 & total_deductions_by_hh_size > 515 & unc_rawben_rel_max <= 1","2-3",155,155,FALSE
"Massachusetts",19,"bbce_state_i >= 1 & medical_deductions > 625 & unc_rawben_rel_max <= 1.24 & unearned_by_hh_size > 288","1",155,155,FALSE
"Massachusetts",29,"elderly_disabled_i >= 1 & medical_deductions > 158 & rawben_rel_max > 0.997 & unc_rawben_rel_max <= 1.03","1",155,155,FALSE
"Massachusetts",30,"medical_deductions >= 582 & shelter_expenses_by_hh_size < 2000 & unc_rawben_rel_max < 1.4 & unearned_by_hh_size < 1580","1",155,155,FALSE
"Michigan",6,"medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3",165,165,FALSE
"Michigan",12,"bbce_state_i >= 1 & medical_deductions > 734 & shelter_expenses_by_hh_size > 18.5 & unc_rawben_rel_max <= 1.28","1",165,165,FALSE
"Michigan",28,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42","2-3",165,165,FALSE
"Michigan",56,"medical_deductions >= 157 & rawben_rel_max >= 0.993 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.09","1",165,165,FALSE
"Minnesota",10,"count_divisible_by_100 < 2 & medical_deductions >= 311 & rawben_rel_max >= 0.804","2-3",0,0,FALSE
"Minnesota",12,"medical_deductions <= 122 & rawben_rel_max > 0.997 & unearned_by_hh_size > 401 & utilities <= 14","1",0,0,FALSE
"Minnesota",15,"medical_deductions > 138 & rawben_rel_max > 0.159 & total_deductions_by_hh_size > 515 & unc_rawben_rel_max <= 1","2-3",0,0,FALSE
"Minnesota",18,"bbce_state_i >= 1 & medical_deductions > 625 & unc_rawben_rel_max <= 1.24 & unearned_by_hh_size > 288","1",0,0,FALSE
"Minnesota",24,"medical_deductions >= 326 & rawben_rel_max >= 0.581","2-3",0,0,FALSE
"Minnesota",34,"medical_deductions >= 229 & rawben_rel_max >= 0.751","2-3",0,0,FALSE
"Minnesota",65,"gross_by_hh_size > 1290 & medical_deductions > 140 & rawben_rel_max > 0.997 & utilities <= 598","1",0,0,FALSE
"Mississippi",6,"medical_deductions <= 122 & rawben_rel_max > 0.997 & unearned_by_hh_size > 401 & utilities <= 14","1",0,0,FALSE
"Mississippi",18,"medical_deductions >= 326 & rawben_rel_max >= 0.581","2-3",0,0,FALSE
"Mississippi",21,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42","2-3",0,0,FALSE
