"state","arm","budget","n_admitted","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","n_rules_deployed","n_rules_deployed_p","fill_cases","fill_gap_core","fill_gap_total","cap_buf"
"Rhode Island","persize",0.05,10803,933,44,18,0.4091,0.1801,0.1096,3,0,237,0,0,237
"Rhode Island","persize",0.1,10803,933,89,28,0.3146,0.1801,0.1967,5,0,474,0,0,474
"Rhode Island","benp",0.05,11300,933,38,17,0.4474,0.1801,0.097,2,2,237,0,0,237
"Rhode Island","benp",0.1,11300,933,91,35,0.3846,0.1801,0.2121,8,7,474,0,0,474
"South Carolina","persize",0.05,5901,828,41,12,0.2927,0.1329,0.1393,2,0,224,0,0,224
"South Carolina","persize",0.1,5901,828,82,25,0.3049,0.1329,0.2919,6,0,449,0,0,449
"South Carolina","benp",0.05,5882,828,41,6,0.1463,0.1329,0.0573,2,1,224,0,0,224
"South Carolina","benp",0.1,5882,828,82,26,0.3171,0.1329,0.2853,5,1,449,1,0,449
"South Dakota","persize",0.05,5,590,16,3,0.1875,0.0492,0.0794,2,0,70,0,0,160
"South Dakota","persize",0.1,5,590,31,4,0.129,0.0492,0.1094,3,0,70,0,0,321
"South Dakota","benp",0.05,52,590,27,2,0.0741,0.0492,0.0468,6,6,155,0,0,160
"South Dakota","benp",0.1,52,590,59,4,0.0678,0.0492,0.1094,9,7,155,0,0,321
"Tennessee","persize",0.05,6875,938,46,6,0.1304,0.0991,0.0664,6,0,274,0,0,274
"Tennessee","persize",0.1,6875,938,93,14,0.1505,0.0991,0.1815,10,0,549,0,0,549
"Tennessee","benp",0.05,6367,938,40,8,0.2,0.0991,0.0856,4,4,274,0,0,274
"Tennessee","benp",0.1,6367,938,93,18,0.1935,0.0991,0.2405,8,5,549,0,0,549
"Texas","persize",0.05,3250,832,41,11,0.2683,0.149,0.1007,5,0,225,0,0,225
"Texas","persize",0.1,3250,832,83,22,0.2651,0.149,0.1872,4,0,450,0,0,450
"Texas","benp",0.05,3281,832,29,11,0.3793,0.149,0.0718,1,1,225,0,0,225
"Texas","benp",0.1,3281,832,82,21,0.2561,0.149,0.1606,6,3,450,0,0,450
"Utah","persize",0.05,2110,982,45,6,0.1333,0.0438,0.2318,8,0,284,0,0,284
"Utah","persize",0.1,2110,982,98,10,0.102,0.0438,0.3085,8,0,569,0,0,569
"Utah","benp",0.05,2356,982,44,5,0.1136,0.0438,0.2086,3,2,284,0,0,284
"Utah","benp",0.1,2356,982,97,7,0.0722,0.0438,0.2822,8,5,569,0,0,569
"Vermont","persize",0.05,968,631,31,9,0.2903,0.0634,0.2973,6,0,204,0,0,204
"Vermont","persize",0.1,968,631,63,15,0.2381,0.0634,0.39,8,0,408,0,0,409
"Vermont","benp",0.05,855,631,31,9,0.2903,0.0634,0.2647,4,4,204,0,0,204
"Vermont","benp",0.1,855,631,63,15,0.2381,0.0634,0.4338,8,8,409,0,0,409
"Virginia","persize",0.05,7674,695,34,11,0.3235,0.1698,0.0918,4,0,219,0,0,219
"Virginia","persize",0.1,7674,695,68,22,0.3235,0.1698,0.2628,5,0,438,0,0,438
"Virginia","benp",0.05,7524,695,32,10,0.3125,0.1698,0.0915,2,2,219,0,0,219
"Virginia","benp",0.1,7524,695,67,21,0.3134,0.1698,0.2411,7,6,438,0,0,438
"Washington","persize",0.05,4337,678,33,10,0.303,0.09,0.1634,2,0,191,0,0,191
"Washington","persize",0.1,4337,678,66,19,0.2879,0.09,0.2692,10,0,383,0,0,383
"Washington","benp",0.05,4674,678,31,8,0.2581,0.09,0.1045,3,1,191,0,0,191
"Washington","benp",0.1,4674,678,65,18,0.2769,0.09,0.2952,6,2,383,0,0,383
"West Virginia","persize",0.05,4415,643,32,4,0.125,0.0715,0.0766,4,0,219,0,0,219
"West Virginia","persize",0.1,4415,643,64,10,0.1562,0.0715,0.1694,7,0,439,2,0,439
"West Virginia","benp",0.05,4178,643,30,6,0.2,0.0715,0.1042,3,1,219,0,0,219
"West Virginia","benp",0.1,4178,643,64,12,0.1875,0.0715,0.2105,7,2,439,0,0,439
"Wisconsin","persize",0.05,5091,979,37,5,0.1351,0.0603,0.0893,4,0,297,0,0,297
"Wisconsin","persize",0.1,5091,979,97,15,0.1546,0.0603,0.2227,11,0,595,0,0,595
"Wisconsin","benp",0.05,5224,979,46,6,0.1304,0.0603,0.1031,6,6,297,1,0,297
"Wisconsin","benp",0.1,5224,979,94,15,0.1596,0.0603,0.2885,11,8,595,0,0,595
"Wyoming","persize",0.05,0,266,0,0,NA,0.0752,NA,0,0,NA,NA,NA,NA
"Wyoming","persize",0.1,0,266,0,0,NA,0.0752,NA,0,0,NA,NA,NA,NA
"Wyoming","benp",0.05,0,266,0,0,NA,0.0752,NA,0,0,NA,NA,NA,NA
"Wyoming","benp",0.1,0,266,0,0,NA,0.0752,NA,0,0,NA,NA,NA,NA
