"state","budget","var","n_rules_using_var","share_flagged_gt90","share_caseload_gt90","share_errors_gt90","share_flagged_gt99","share_caseload_gt99","share_errors_gt99","share_flagged_p0","share_caseload_p0","share_benponly_err_gt90","share_shared_err_gt90"
"Idaho",0.1,"rawunearn_p",2,0,0.0673,0.0426,0,0.0064,0,0.4,0.3408,0,0
"Idaho",0.1,"rawmedded_p",0,NA,0.0032,0,NA,0,0,NA,0.9669,0,0
"Idaho",0.1,"rawdepded_p",0,NA,0.0043,0,NA,0.0021,0,NA,0.9722,0,0
"Idaho",0.1,"rawcsded_p",0,NA,0,0,NA,0,0,NA,0.984,0,0
"Idaho",0.1,"rawrent_p",2,0.037,0.0962,0.1702,0.037,0.0118,0.0426,0,0.3002,0,0
"Illinois",0.05,"rawgrinc_p",0,NA,0.0929,0.1407,NA,0.011,0.0296,NA,0.2714,0,0.0769
"Illinois",0.05,"rawearn_p",0,NA,0.0428,0.0963,NA,0.0049,0.0296,NA,0.6944,0,0
"Illinois",0.05,"rawunearn_p",1,0.1429,0.0599,0.0741,0,0.0037,0,0,0.4902,0,0.0769
"Illinois",0.05,"rawmedded_p",1,0.2143,0.0073,0.0296,0,0.0012,0.0074,0,0.923,0,0.2308
"Illinois",0.05,"rawdepded_p",0,NA,0,0,NA,0,0,NA,0.9658,0,0
"Illinois",0.05,"rawcsded_p",0,NA,0,0,NA,0,0,NA,0.9963,0,0
"Illinois",0.05,"rawrent_p",1,0,0.0697,0.1259,0,0.011,0.037,0,0.3007,0.5,0.0769
"Illinois",0.1,"rawgrinc_p",0,NA,0.0929,0.1407,NA,0.011,0.0296,NA,0.2714,0.2,0.0455
"Illinois",0.1,"rawearn_p",0,NA,0.0428,0.0963,NA,0.0049,0.0296,NA,0.6944,0,0
"Illinois",0.1,"rawunearn_p",2,0.35,0.0599,0.0741,0,0.0037,0,0,0.4902,0.2,0.0909
"Illinois",0.1,"rawmedded_p",2,0.2353,0.0073,0.0296,0,0.0012,0.0074,0,0.923,0,0.1364
"Illinois",0.1,"rawdepded_p",0,NA,0,0,NA,0,0,NA,0.9658,0,0
"Illinois",0.1,"rawcsded_p",0,NA,0,0,NA,0,0,NA,0.9963,0,0
"Illinois",0.1,"rawrent_p",3,0,0.0697,0.1259,0,0.011,0.037,0,0.3007,0.2,0.1818
"Indiana",0.05,"rawgrinc_p",0,NA,0.064,0.0476,NA,0.0114,0.0159,NA,0.2149,0,0
"Indiana",0.05,"rawearn_p",0,NA,0.0274,0.0317,NA,0.0034,0.0079,NA,0.7086,0,0
"Indiana",0.05,"rawunearn_p",1,0,0.056,0.0317,0,0.0091,0,0.6667,0.4251,0,0
"Indiana",0.05,"rawmedded_p",0,NA,0,0,NA,0,0,NA,0.9794,0,0
"Indiana",0.05,"rawdepded_p",0,NA,0.0023,0,NA,0.0023,0,NA,0.9817,0,0
"Indiana",0.05,"rawcsded_p",0,NA,0.0034,0.0159,NA,0.0034,0.0159,NA,0.9874,0,0
"Indiana",0.05,"rawrent_p",0,NA,0.0857,0.127,NA,0.0103,0.0079,NA,0.4,0.1,0
"Indiana",0.1,"rawgrinc_p",0,NA,0.064,0.0476,NA,0.0114,0.0159,NA,0.2149,0,0.0833
"Indiana",0.1,"rawearn_p",3,0,0.0274,0.0317,0,0.0034,0.0079,0.2647,0.7086,0,0.0417
"Indiana",0.1,"rawunearn_p",1,0,0.056,0.0317,0,0.0091,0,0.6667,0.4251,0,0
"Indiana",0.1,"rawmedded_p",0,NA,0,0,NA,0,0,NA,0.9794,0,0
"Indiana",0.1,"rawdepded_p",0,NA,0.0023,0,NA,0.0023,0,NA,0.9817,0,0
"Indiana",0.1,"rawcsded_p",1,0,0.0034,0.0159,0,0.0034,0.0159,1,0.9874,0,0
"Indiana",0.1,"rawrent_p",2,0,0.0857,0.127,0,0.0103,0.0079,0.375,0.4,0,0.125
"Iowa",0.05,"rawgrinc_p",3,0.04,0.0876,0.1486,0,0.0118,0.0135,0,0.1645,0.2,0
"Iowa",0.05,"rawearn_p",1,0,0.0363,0.0811,0,0.0064,0.0135,0,0.6581,0,0
"Iowa",0.05,"rawunearn_p",1,0,0.0705,0.0676,0,0.0032,0,0.5,0.3632,0.2,0.5
"Iowa",0.05,"rawmedded_p",0,NA,0.0064,0.0135,NA,0.0021,0,NA,0.9423,0.2,0
"Iowa",0.05,"rawdepded_p",0,NA,0,0,NA,0,0,NA,0.985,0,0
"Iowa",0.05,"rawcsded_p",0,NA,0.0032,0,NA,0.0011,0,NA,0.9583,0,0
"Iowa",0.05,"rawrent_p",0,NA,0.0812,0.1081,NA,0.0107,0.0135,NA,0.297,0,0
"Iowa",0.1,"rawgrinc_p",4,0.0192,0.0876,0.1486,0,0.0118,0.0135,0,0.1645,0.1818,0.2
"Iowa",0.1,"rawearn_p",3,0.1087,0.0363,0.0811,0.0217,0.0064,0.0135,0.2174,0.6581,0.0909,0
"Iowa",0.1,"rawunearn_p",1,0,0.0705,0.0676,0,0.0032,0,0,0.3632,0.0909,0.4
"Iowa",0.1,"rawmedded_p",0,NA,0.0064,0.0135,NA,0.0021,0,NA,0.9423,0,0.2
"Iowa",0.1,"rawdepded_p",0,NA,0,0,NA,0,0,NA,0.985,0,0
"Iowa",0.1,"rawcsded_p",0,NA,0.0032,0,NA,0.0011,0,NA,0.9583,0,0
"Iowa",0.1,"rawrent_p",1,0.3684,0.0812,0.1081,0.1053,0.0107,0.0135,0,0.297,0.0909,0
"Kansas",0.05,"rawgrinc_p",3,0.075,0.0929,0.1319,0,0.008,0.011,0,0.1445,0.2,0
"Kansas",0.05,"rawearn_p",0,NA,0.0264,0.033,NA,0.0046,0.022,NA,0.7202,0,0
"Kansas",0.05,"rawunearn_p",0,NA,0.0757,0.0769,NA,0.0115,0,NA,0.3142,0,0
"Kansas",0.05,"rawmedded_p",1,0,0.0069,0.022,0,0.0023,0.011,0.7895,0.914,0,0
"Kansas",0.05,"rawdepded_p",0,NA,0.0034,0.011,NA,0.0034,0.011,NA,0.9828,0.2,0
"Kansas",0.05,"rawcsded_p",0,NA,0.0046,0.011,NA,0.0034,0.011,NA,0.9644,0,0
"Kansas",0.05,"rawrent_p",0,NA,0.0963,0.0879,NA,0.0161,0,NA,0.2397,0,0
"Kansas",0.1,"rawgrinc_p",3,0.075,0.0929,0.1319,0,0.008,0.011,0,0.1445,0,0.1
"Kansas",0.1,"rawearn_p",2,0.0476,0.0264,0.033,0.0476,0.0046,0.022,0,0.7202,0,0.1
"Kansas",0.1,"rawunearn_p",1,0.1579,0.0757,0.0769,0.0526,0.0115,0,0,0.3142,0,0
"Kansas",0.1,"rawmedded_p",1,0,0.0069,0.022,0,0.0023,0.011,0.7895,0.914,0,0
"Kansas",0.1,"rawdepded_p",0,NA,0.0034,0.011,NA,0.0034,0.011,NA,0.9828,0,0
"Kansas",0.1,"rawcsded_p",0,NA,0.0046,0.011,NA,0.0034,0.011,NA,0.9644,0,0.1
"Kansas",0.1,"rawrent_p",1,0.1364,0.0963,0.0879,0.0909,0.0161,0,0,0.2397,0,0
"Kentucky",0.05,"rawgrinc_p",1,0,0.1225,0.1449,0,0.019,0.029,0,0.22,0,0
"Kentucky",0.05,"rawearn_p",2,0,0.0428,0.1159,0,0.0095,0.0145,0,0.7551,0,0
"Kentucky",0.05,"rawunearn_p",0,NA,0.0939,0.0145,NA,0.0143,0,NA,0.3924,0,0
"Kentucky",0.05,"rawmedded_p",0,NA,0.0024,0,NA,0.0012,0,NA,0.9512,0,0
"Kentucky",0.05,"rawdepded_p",0,NA,0.0024,0.0145,NA,0.0012,0.0145,NA,0.9834,0,0
"Kentucky",0.05,"rawcsded_p",0,NA,0.0024,0.0145,NA,0.0012,0.0145,NA,0.9869,0,0.1111
"Kentucky",0.05,"rawrent_p",0,NA,0.0535,0.1159,NA,0.0095,0.0145,NA,0.4364,0,0.1111
"Kentucky",0.1,"rawgrinc_p",1,0.0435,0.1225,0.1449,0,0.019,0.029,0,0.22,0.25,0.2143
"Kentucky",0.1,"rawearn_p",2,0,0.0428,0.1159,0,0.0095,0.0145,0,0.7551,0.25,0.2143
"Kentucky",0.1,"rawunearn_p",1,0,0.0939,0.0145,0,0.0143,0,0,0.3924,0,0
"Kentucky",0.1,"rawmedded_p",0,NA,0.0024,0,NA,0.0012,0,NA,0.9512,0,0
"Kentucky",0.1,"rawdepded_p",1,0,0.0024,0.0145,0,0.0012,0.0145,0.9565,0.9834,0,0.0714
"Kentucky",0.1,"rawcsded_p",0,NA,0.0024,0.0145,NA,0.0012,0.0145,NA,0.9869,0,0.0714
"Kentucky",0.1,"rawrent_p",0,NA,0.0535,0.1159,NA,0.0095,0.0145,NA,0.4364,0.25,0.0714
"Louisiana",0.05,"rawgrinc_p",2,0,0.126,0.1979,0,0.0263,0.0104,0,0.1775,0.1667,0
"Louisiana",0.05,"rawearn_p",1,0,0.0619,0.125,0,0.0137,0.0104,0,0.6896,0,0
"Louisiana",0.05,"rawunearn_p",1,0,0.0733,0.0729,0,0.0126,0,0.4,0.394,0,0.2
"Louisiana",0.05,"rawmedded_p",0,NA,0.0034,0,NA,0.0011,0,NA,0.9347,0,0
"Louisiana",0.05,"rawdepded_p",0,NA,0.008,0.0104,NA,0.0034,0,NA,0.9576,0,0
"Louisiana",0.05,"rawcsded_p",0,NA,0.0023,0.0104,NA,0.0023,0.0104,NA,0.9885,0,0
"Louisiana",0.05,"rawrent_p",5,0,0.0813,0.1146,0,0.0137,0,0.1351,0.3471,0,0
"Louisiana",0.1,"rawgrinc_p",2,0,0.126,0.1979,0,0.0263,0.0104,0,0.1775,0.2222,0
