"gross_by_hh_size","unc_rawben_rel_max","shelter_expenses","n_flagged","workload_pct","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","err_dollars_caught"
600,0.55,2150,57,10.7345,1466,-1409,25.7193,0.1103,0.0805,1.0278,40788
50,1.25,1250,28,5.2731,720,-692,25.7143,0.0542,0.037,1.0276,18725
850,0.7,800,45,8.4746,1157,-1112,25.7111,0.0871,0.0756,1.0274,38280
900,0.7,800,45,8.4746,1157,-1112,25.7111,0.0871,0.0756,1.0274,38280
650,0.55,1500,62,11.6761,1594,-1532,25.7097,0.12,0.0891,1.0274,45130
600,0.7,2150,109,20.5273,2802,-2693,25.7064,0.2109,0.2484,1.0273,125791
600,0.8,2150,153,28.8136,3933,-3780,25.7059,0.296,0.3691,1.0272,186949
600,0.7,2100,108,20.339,2776,-2668,25.7037,0.2089,0.2023,1.0271,102443
600,0.8,2100,151,28.4369,3880,-3729,25.6954,0.292,0.3028,1.0268,153368
50,1.25,1750,32,6.0264,822,-790,25.6875,0.0619,0.0616,1.0265,31181
650,0.45,1700,35,6.5913,899,-864,25.6857,0.0677,0.043,1.0264,21797
650,0.45,1750,35,6.5913,899,-864,25.6857,0.0677,0.043,1.0264,21797
50,1.3,850,25,4.7081,642,-617,25.68,0.0483,0.037,1.0262,18725
600,0.75,2200,134,25.2354,3441,-3307,25.6791,0.259,0.2919,1.0262,147827
600,0.75,2250,134,25.2354,3441,-3307,25.6791,0.259,0.2919,1.0262,147827
600,0.75,2300,134,25.2354,3441,-3307,25.6791,0.259,0.2919,1.0262,147827
600,0.75,2350,134,25.2354,3441,-3307,25.6791,0.259,0.2919,1.0262,147827
850,0.8,800,65,12.2411,1669,-1604,25.6769,0.1256,0.12,1.0261,60754
600,0.8,2400,156,29.3785,4005,-3849,25.6731,0.3014,0.3781,1.0259,191504
600,0.8,2450,156,29.3785,4005,-3849,25.6731,0.3014,0.3781,1.0259,191504
950,0.8,800,70,13.1827,1797,-1727,25.6714,0.1352,0.1264,1.0259,64038
1000,0.8,800,70,13.1827,1797,-1727,25.6714,0.1352,0.1264,1.0259,64038
1050,0.8,800,70,13.1827,1797,-1727,25.6714,0.1352,0.1264,1.0259,64038
650,0.55,1350,54,10.1695,1386,-1332,25.6667,0.1043,0.0812,1.0257,41140
650,0.35,2600,24,4.5198,616,-592,25.6667,0.0464,0.0286,1.0257,14495
650,0.35,2650,24,4.5198,616,-592,25.6667,0.0464,0.0286,1.0257,14495
600,0.7,2050,107,20.1507,2746,-2639,25.6636,0.2067,0.2013,1.0255,101933
600,0.8,2500,157,29.5669,4029,-3872,25.6624,0.3032,0.3781,1.0255,191504
600,0.75,2150,133,25.0471,3413,-3280,25.6617,0.2568,0.2851,1.0255,144411
600,0.7,2400,112,21.0923,2874,-2762,25.6607,0.2163,0.2574,1.0254,130346
600,0.7,2450,112,21.0923,2874,-2762,25.6607,0.2163,0.2574,1.0254,130346
750,0.4,1850,44,8.2863,1129,-1085,25.6591,0.085,0.0473,1.0254,23957
