hh,rule,era,basis,n_cases_flagged,n_error_cases,n_variances,mode_element,mode_element_share,mode_nature,mode_nature_share,agency_agency,agency_client,agency_third_party,agency_other,agency_UNDOCUMENTED,agency_unknown,timeper_before_action,timeper_at_action,timeper_after_action,timeper_undetermined,findg_overissuance,findg_underissuance,findg_ineligible,n_desk_closable,n_catchable_at_action,share_agency,share_desk_closable,share_catchable_at_action,amterr_total,amount_total,n_pre_auth,share_pre_auth,review_mode
2-3,elderly_disabled_i >= 1.000 & rawben_rel_max >= 0.993 & rawben_rel_max < 0.996,test_2024,deployed,17,12,14,363.0,0.8571428571428571,56.0,0.8571428571428571,5,7,0,0,2,0,2,11,1,0,12,0,0,2,13,0.35714285714285715,0.14285714285714285,0.9285714285714286,2489.0,2387.0,0,0.0,post_authorization
1,elderly_disabled_i >   0.500 & total_deductions_by_hh_size > 438.000 & unc_rawben_rel_max >   0.316 & utilities <= 276.000,train_2022_23,national,487,174,273,363.0,0.358974358974359,53.0,0.5201465201465202,131,126,7,9,0,0,39,156,78,0,208,9,0,44,195,0.47985347985347987,0.16117216117216118,0.7142857142857143,41585.0,27284.0,20,0.07326007326007326,post_authorization
1,elderly_disabled_i >   0.500 & total_deductions_by_hh_size > 438.000 & unc_rawben_rel_max >   0.316 & utilities <= 276.000,test_2024,national,315,111,185,363.0,0.42162162162162165,53.0,0.3945945945945946,93,87,0,3,2,0,15,108,62,0,150,5,0,33,123,0.5027027027027027,0.1783783783783784,0.6648648648648648,30767.0,21695.0,14,0.07567567567567568,post_authorization
1,elderly_disabled_i >   0.500 & total_deductions_by_hh_size > 438.000 & unc_rawben_rel_max >   0.316 & utilities <= 276.000,test_2024,deployed,111,33,52,363.0,0.4807692307692308,53.0,0.40384615384615385,26,26,0,0,0,0,2,38,12,0,41,0,0,5,40,0.5,0.09615384615384616,0.7692307692307693,8682.0,6015.0,5,0.09615384615384616,post_authorization
1,months_since_cert_n >   2.50 & unc_rawben_rel_max >   1.93 & utilities >  14.00 & utilities <= 680.00,train_2022_23,national,304,112,164,331.0,0.40853658536585363,37.0,0.23170731707317074,97,57,2,8,0,0,18,50,96,0,135,2,0,49,68,0.5914634146341463,0.29878048780487804,0.4146341463414634,28091.0,19159.0,20,0.12195121951219512,post_authorization
1,months_since_cert_n >   2.50 & unc_rawben_rel_max >   1.93 & utilities >  14.00 & utilities <= 680.00,test_2024,national,122,45,60,331.0,0.38333333333333336,37.0,0.26666666666666666,34,24,0,2,0,0,2,28,30,0,44,0,0,15,30,0.5666666666666667,0.25,0.5,10772.0,6955.0,6,0.1,post_authorization
1,months_since_cert_n >   2.50 & unc_rawben_rel_max >   1.93 & utilities >  14.00 & utilities <= 680.00,test_2024,deployed,22,10,16,311.0,0.3125,35.0,0.1875,9,6,0,1,0,0,0,9,7,0,13,0,0,2,9,0.5625,0.125,0.5625,2779.0,1481.0,1,0.0625,post_authorization
2-3,months_since_cert_n <=  0.500 & total_deductions_by_hh_size > 83.500 & unc_rawben_rel_max <=  0.999 & utilities <= 22.000,train_2022_23,national,80,34,43,311.0,0.3953488372093023,38.0,0.18604651162790697,28,14,0,1,0,0,1,41,1,0,18,10,0,7,42,0.6511627906976745,0.16279069767441862,0.9767441860465116,6394.0,3624.0,7,0.16279069767441862,post_authorization
2-3,months_since_cert_n <=  0.500 & total_deductions_by_hh_size > 83.500 & unc_rawben_rel_max <=  0.999 & utilities <= 22.000,test_2024,national,39,12,18,363.0,0.2777777777777778,38.0,0.2777777777777778,9,4,1,1,3,0,2,16,0,0,5,4,0,4,18,0.5,0.2222222222222222,1.0,3449.0,1107.0,1,0.05555555555555555,post_authorization
2-3,months_since_cert_n <=  0.500 & total_deductions_by_hh_size > 83.500 & unc_rawben_rel_max <=  0.999 & utilities <= 22.000,test_2024,deployed,18,6,8,363.0,0.25,53.0,0.25,4,2,1,0,1,0,0,8,0,0,3,3,0,2,8,0.5,0.25,1.0,1932.0,969.0,1,0.125,post_authorization
