hh,rule,era,basis,n_cases_flagged,n_error_cases,n_variances,mode_element,mode_element_share,mode_nature,mode_nature_share,agency_agency,agency_client,agency_third_party,agency_other,agency_UNDOCUMENTED,agency_unknown,timeper_before_action,timeper_at_action,timeper_after_action,timeper_undetermined,findg_overissuance,findg_underissuance,findg_ineligible,n_desk_closable,n_catchable_at_action,share_agency,share_desk_closable,share_catchable_at_action,amterr_total,amount_total,n_pre_auth,share_pre_auth,review_mode
2-3,children_i <=   0.5 & months_since_cert_n <=  20.5 & total_deductions_by_hh_size > 312.0,test_2024,deployed,25,8,19,363.0,0.2631578947368421,35.0,0.2631578947368421,0,18,0,0,1,0,0,5,13,0,17,1,0,0,5,0.0,0.0,0.2631578947368421,4812.0,4559.0,0,0.0,post_authorization
4+,total_deductions_by_hh_size >  14.600 & unc_rawben_rel_max >   0.363 & utilities <= 156.000,train_2022_23,national,924,214,334,311.0,0.3712574850299401,38.0,0.16766467065868262,208,115,1,9,0,1,27,203,103,0,157,90,1,90,230,0.6227544910179641,0.2694610778443114,0.688622754491018,76607.0,42783.0,60,0.17964071856287425,post_authorization
4+,total_deductions_by_hh_size >  14.600 & unc_rawben_rel_max >   0.363 & utilities <= 156.000,test_2024,national,489,101,148,311.0,0.2972972972972973,53.0,0.14189189189189189,68,64,1,4,11,0,18,85,43,0,77,42,1,32,103,0.4594594594594595,0.21621621621621623,0.6959459459459459,27177.0,18107.0,16,0.10810810810810811,post_authorization
4+,total_deductions_by_hh_size >  14.600 & unc_rawben_rel_max >   0.363 & utilities <= 156.000,test_2024,deployed,15,1,1,350.0,1.0,38.0,1.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.0,0.0,1.0,110.0,110.0,0,0.0,insufficient
2-3,married <   1.00 & total_deductions_by_hh_size >= 392.00 & unc_rawben_rel_max >=   1.42,train_2022_23,national,90,40,53,311.0,0.2830188679245283,38.0,0.2830188679245283,27,25,0,1,0,0,6,26,21,0,41,1,0,12,32,0.5094339622641509,0.22641509433962265,0.6037735849056604,12325.0,11049.0,9,0.16981132075471697,post_authorization
2-3,married <   1.00 & total_deductions_by_hh_size >= 392.00 & unc_rawben_rel_max >=   1.42,test_2024,national,66,22,36,311.0,0.3055555555555556,99.0,0.16666666666666666,14,15,0,0,7,0,2,28,6,0,21,1,0,8,30,0.3888888888888889,0.2222222222222222,0.8333333333333334,12925.0,5122.0,5,0.1388888888888889,post_authorization
2-3,married <   1.00 & total_deductions_by_hh_size >= 392.00 & unc_rawben_rel_max >=   1.42,test_2024,deployed,3,1,1,342.0,1.0,99.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1.0,0.0,1.0,169.0,169.0,0,0.0,insufficient
4+,total_deductions_by_hh_size > 37.500 & total_deductions_by_hh_size <= 89.300 & unc_rawben_rel_max <=  0.998,train_2022_23,national,1383,310,480,311.0,0.3375,38.0,0.15,293,171,1,15,0,0,49,284,147,0,188,138,3,118,333,0.6104166666666667,0.24583333333333332,0.69375,102342.0,60021.0,77,0.16041666666666668,post_authorization
4+,total_deductions_by_hh_size > 37.500 & total_deductions_by_hh_size <= 89.300 & unc_rawben_rel_max <=  0.998,test_2024,national,555,143,219,311.0,0.2831050228310502,38.0,0.182648401826484,104,90,1,7,17,0,21,147,50,1,111,62,0,64,168,0.4748858447488584,0.2922374429223744,0.7671232876712328,44324.0,28017.0,36,0.1643835616438356,post_authorization
4+,total_deductions_by_hh_size > 37.500 & total_deductions_by_hh_size <= 89.300 & unc_rawben_rel_max <=  0.998,test_2024,deployed,34,9,10,311.0,0.4,52.0,0.3,7,3,0,0,0,0,0,10,0,0,7,3,0,1,10,0.7,0.1,1.0,1868.0,1865.0,1,0.1,post_authorization
4+,rawben_rel_max >=   0.623 & rawben_rel_max <   0.860 & total_deductions_by_hh_size < 105.000,train_2022_23,national,1204,270,404,311.0,0.29455445544554454,38.0,0.15594059405940594,249,146,1,8,0,0,41,260,103,0,171,125,0,106,301,0.6163366336633663,0.2623762376237624,0.745049504950495,78119.0,49077.0,73,0.1806930693069307,post_authorization
4+,rawben_rel_max >=   0.623 & rawben_rel_max <   0.860 & total_deductions_by_hh_size < 105.000,test_2024,national,554,129,190,311.0,0.28421052631578947,38.0,0.1631578947368421,102,68,2,6,12,0,16,129,44,1,82,71,0,54,145,0.5368421052631579,0.28421052631578947,0.7631578947368421,39094.0,27377.0,36,0.18947368421052632,post_authorization
4+,rawben_rel_max >=   0.623 & rawben_rel_max <   0.860 & total_deductions_by_hh_size < 105.000,test_2024,deployed,31,6,6,363.0,0.5,52.0,0.6666666666666666,5,1,0,0,0,0,0,6,0,0,3,3,0,0,6,0.8333333333333334,0.0,1.0,885.0,885.0,0,0.0,post_authorization
4+,rawben_rel_max >=  0.756 & rawben_rel_max <  0.998 & total_deductions_by_hh_size < 93.300,train_2022_23,national,1151,234,342,311.0,0.23976608187134502,44.0,0.15497076023391812,209,121,0,12,0,0,33,206,103,0,139,102,0,93,239,0.6111111111111112,0.2719298245614035,0.6988304093567251,75705.0,45947.0,47,0.13742690058479531,post_authorization
4+,rawben_rel_max >=  0.756 & rawben_rel_max <  0.998 & total_deductions_by_hh_size < 93.300,test_2024,national,561,124,180,311.0,0.25555555555555554,52.0,0.15,99,58,1,9,13,0,16,123,40,1,69,67,0,47,139,0.55,0.2611111111111111,0.7722222222222223,37831.0,23511.0,26,0.14444444444444443,post_authorization
4+,rawben_rel_max >=  0.756 & rawben_rel_max <  0.998 & total_deductions_by_hh_size < 93.300,test_2024,deployed,26,8,11,363.0,0.36363636363636365,52.0,0.5454545454545454,7,3,0,1,0,0,0,11,0,0,4,7,0,1,11,0.6363636363636364,0.09090909090909091,1.0,1880.0,1877.0,1,0.09090909090909091,post_authorization
4+,months_since_cert_n >   5.500 & percent_abawd <=   0.268 & shelter_expenses_by_hh_size <= 500.000 & total_deductions_by_hh_size > 228.000,train_2022_23,national,337,124,201,311.0,0.3283582089552239,38.0,0.17412935323383086,99,87,0,15,0,0,17,101,83,0,109,46,0,47,118,0.4925373134328358,0.23383084577114427,0.5870646766169154,44424.0,28072.0,24,0.11940298507462686,post_authorization
4+,months_since_cert_n >   5.500 & percent_abawd <=   0.268 & shelter_expenses_by_hh_size <= 500.000 & total_deductions_by_hh_size > 228.000,test_2024,national,220,62,109,311.0,0.3486238532110092,38.0,0.14678899082568808,59,41,0,0,9,0,3,40,63,0,63,14,0,32,43,0.5412844036697247,0.29357798165137616,0.3944954128440367,27237.0,14065.0,13,0.11926605504587157,post_authorization
4+,months_since_cert_n >   5.500 & percent_abawd <=   0.268 & shelter_expenses_by_hh_size <= 500.000 & total_deductions_by_hh_size > 228.000,test_2024,deployed,9,1,2,311.0,0.5,38.0,0.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,220.0,110.0,0,0.0,insufficient
2-3,cat_elig >   0.5 & HH_size_n >   2.5 & total_deductions_by_hh_size > 437.0 & unc_rawben_rel_max <=   1.0,train_2022_23,national,156,61,107,311.0,0.2616822429906542,53.0,0.24299065420560748,52,52,0,3,0,0,11,66,30,0,56,15,0,18,77,0.48598130841121495,0.16822429906542055,0.719626168224299,21065.0,10557.0,14,0.1308411214953271,post_authorization
2-3,cat_elig >   0.5 & HH_size_n >   2.5 & total_deductions_by_hh_size > 437.0 & unc_rawben_rel_max <=   1.0,test_2024,national,125,34,56,311.0,0.375,56.0,0.14285714285714285,24,25,1,3,3,0,7,38,11,0,29,23,0,9,45,0.42857142857142855,0.16071428571428573,0.8035714285714286,14234.0,8639.0,8,0.14285714285714285,post_authorization
2-3,cat_elig >   0.5 & HH_size_n >   2.5 & total_deductions_by_hh_size > 437.0 & unc_rawben_rel_max <=   1.0,test_2024,deployed,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,insufficient
2-3,expedited_i >=   1.000 & rawben_rel_max <   0.909 & total_deductions_by_hh_size >=  23.500 & utilities < 285.000,train_2022_23,national,108,40,66,311.0,0.2878787878787879,38.0,0.21212121212121213,41,22,0,3,0,0,0,41,25,0,22,22,0,18,41,0.6212121212121212,0.2727272727272727,0.6212121212121212,13023.0,5690.0,12,0.18181818181818182,post_authorization
2-3,expedited_i >=   1.000 & rawben_rel_max <   0.909 & total_deductions_by_hh_size >=  23.500 & utilities < 285.000,test_2024,national,38,14,18,311.0,0.2777777777777778,35.0,0.2222222222222222,7,11,0,0,0,0,1,10,7,0,14,3,0,1,11,0.3888888888888889,0.05555555555555555,0.6111111111111112,3389.0,3436.0,0,0.0,post_authorization
2-3,expedited_i >=   1.000 & rawben_rel_max <   0.909 & total_deductions_by_hh_size >=  23.500 & utilities < 285.000,test_2024,deployed,5,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,insufficient
4+,months_since_cert_n >  4.500 & months_since_cert_n <=  9.500 & shelter_expenses_by_hh_size > 74.000 & unc_rawben_rel_max >  0.422,train_2022_23,national,2117,479,701,311.0,0.31383737517831667,38.0,0.16547788873038516,393,281,1,24,0,2,66,366,267,0,357,186,0,195,432,0.5606276747503567,0.2781740370898716,0.6162624821683309,156922.0,97223.0,104,0.14835948644793154,post_authorization
4+,months_since_cert_n >  4.500 & months_since_cert_n <=  9.500 & shelter_expenses_by_hh_size > 74.000 & unc_rawben_rel_max >  0.422,test_2024,national,1109,266,413,311.0,0.3220338983050847,35.0,0.15254237288135594,205,178,1,3,25,1,27,200,176,1,238,83,1,90,227,0.4963680387409201,0.2179176755447942,0.549636803874092,102355.0,59168.0,43,0.10411622276029056,post_authorization
4+,months_since_cert_n >  4.500 & months_since_cert_n <=  9.500 & shelter_expenses_by_hh_size > 74.000 & unc_rawben_rel_max >  0.422,test_2024,deployed,18,4,5,311.0,0.6,35.0,0.6,0,3,0,0,2,0,0,4,0,0,4,0,0,2,4,0.0,0.4,0.8,1245.0,817.0,0,0.0,post_authorization
4+,months_since_cert_n >  4.500 & rawben_rel_max >  0.401 & rawben_rel_max <=  0.950 & shelter_expenses_by_hh_size > 90.900,train_2022_23,national,2004,544,838,311.0,0.31742243436754175,38.0,0.16945107398568018,469,335,1,31,0,2,81,412,343,0,408,243,2,231,493,0.5596658711217184,0.2756563245823389,0.5883054892601431,169839.0,106968.0,126,0.15035799522673032,post_authorization
4+,months_since_cert_n >  4.500 & rawben_rel_max >  0.401 & rawben_rel_max <=  0.950 & shelter_expenses_by_hh_size > 90.900,test_2024,national,1020,287,453,311.0,0.32671081677704195,38.0,0.1479028697571744,237,177,2,5,31,1,28,207,207,1,237,116,1,121,235,0.5231788079470199,0.2671081677704194,0.5187637969094923,106144.0,61771.0,52,0.11479028697571744,post_authorization
4+,months_since_cert_n >  4.500 & rawben_rel_max >  0.401 & rawben_rel_max <=  0.950 & shelter_expenses_by_hh_size > 90.900,test_2024,deployed,14,2,3,311.0,0.6666666666666666,35.0,0.6666666666666666,0,2,0,0,1,0,0,2,0,0,2,0,0,2,2,0.0,0.6666666666666666,0.6666666666666666,800.0,372.0,0,0.0,insufficient
4+,cat_elig <=  0.500 & months_since_cert_n >  4.500 & total_deductions_by_hh_size > 65.700 & unc_rawben_rel_max <=  0.947,train_2022_23,national,289,71,98,311.0,0.45918367346938777,53.0,0.20408163265306123,39,53,0,6,0,0,13,48,37,0,72,24,0,24,61,0.3979591836734694,0.24489795918367346,0.6224489795918368,16713.0,12017.0,13,0.1326530612244898,post_authorization
4+,cat_elig <=  0.500 & months_since_cert_n >  4.500 & total_deductions_by_hh_size > 65.700 & unc_rawben_rel_max <=  0.947,test_2024,national,111,26,35,311.0,0.45714285714285713,56.0,0.17142857142857143,19,11,0,1,3,1,0,10,22,0,20,11,0,7,10,0.5428571428571428,0.2,0.2857142857142857,6445.0,4022.0,2,0.05714285714285714,post_authorization
4+,cat_elig <=  0.500 & months_since_cert_n >  4.500 & total_deductions_by_hh_size > 65.700 & unc_rawben_rel_max <=  0.947,test_2024,deployed,11,1,1,311.0,1.0,97.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,56.0,0.0,0,0.0,insufficient
4+,HH_size_n >  4.500 & months_since_cert_n >  3.500 & unc_rawben_rel_max >  0.405 & utilities > 32.500,train_2022_23,national,1963,472,732,311.0,0.3333333333333333,38.0,0.17759562841530055,449,252,2,29,0,0,57,396,279,0,360,188,0,221,453,0.6133879781420765,0.30191256830601093,0.6188524590163934,167112.0,95078.0,126,0.1721311475409836,post_authorization
4+,HH_size_n >  4.500 & months_since_cert_n >  3.500 & unc_rawben_rel_max >  0.405 & utilities > 32.500,test_2024,national,1043,264,424,311.0,0.33254716981132076,38.0,0.16037735849056603,223,171,0,4,25,1,24,211,179,1,219,91,0,118,235,0.5259433962264151,0.2783018867924528,0.5542452830188679,116325.0,59765.0,51,0.12028301886792453,post_authorization
4+,HH_size_n >  4.500 & months_since_cert_n >  3.500 & unc_rawben_rel_max >  0.405 & utilities > 32.500,test_2024,deployed,21,4,9,311.0,0.4444444444444444,52.0,0.2222222222222222,5,3,0,0,1,0,0,8,0,0,8,0,0,4,8,0.5555555555555556,0.4444444444444444,0.8888888888888888,1559.0,625.0,2,0.2222222222222222,post_authorization
4+,expedited_i <=  0.500 & rawben_rel_max >  0.738 & rawben_rel_max <=  0.970 & utilities > 17.500,train_2022_23,national,2036,504,751,311.0,0.2956058588548602,38.0,0.170439414114514,427,296,1,27,0,0,86,460,205,0,375,192,0,214,546,0.5685752330226365,0.28495339547270304,0.7270306258322237,167044.0,99492.0,119,0.1584553928095872,post_authorization
4+,expedited_i <=  0.500 & rawben_rel_max >  0.738 & rawben_rel_max <=  0.970 & utilities > 17.500,test_2024,national,1086,300,435,311.0,0.2735632183908046,38.0,0.135632183908046,243,150,1,8,32,1,35,287,104,1,208,124,0,103,322,0.5586206896551724,0.2367816091954023,0.7402298850574712,95318.0,57295.0,56,0.12873563218390804,post_authorization
4+,expedited_i <=  0.500 & rawben_rel_max >  0.738 & rawben_rel_max <=  0.970 & utilities > 17.500,test_2024,deployed,30,3,7,311.0,0.42857142857142855,52.0,0.2857142857142857,6,1,0,0,0,0,0,7,0,0,7,0,0,2,7,0.8571428571428571,0.2857142857142857,1.0,912.0,406.0,2,0.2857142857142857,mixed
4+,total_deductions_by_hh_size >=  89.10 & unc_rawben_rel_max <   1.03 & utilities < 417.00,train_2022_23,national,2202,498,784,311.0,0.34438775510204084,38.0,0.20153061224489796,451,301,2,30,0,0,79,508,197,0,314,169,1,182,587,0.5752551020408163,0.23214285714285715,0.7487244897959183,161568.0,77226.0,135,0.17219387755102042,post_authorization
4+,total_deductions_by_hh_size >=  89.10 & unc_rawben_rel_max <   1.03 & utilities < 417.00,test_2024,national,799,219,342,311.0,0.31871345029239767,38.0,0.16374269005847952,166,152,3,2,19,0,28,234,78,0,147,75,2,65,262,0.4853801169590643,0.19005847953216373,0.7660818713450293,79470.0,32293.0,29,0.0847953216374269,post_authorization
4+,total_deductions_by_hh_size >=  89.10 & unc_rawben_rel_max <   1.03 & utilities < 417.00,test_2024,deployed,12,3,3,311.0,0.6666666666666666,97.0,0.3333333333333333,1,1,0,0,1,0,0,2,0,0,1,1,0,0,2,0.3333333333333333,0.0,0.6666666666666666,386.0,330.0,0,0.0,insufficient
4+,months_since_cert_n >  2.500 & rawben_rel_max >  0.721 & utilities > 32.500,train_2022_23,national,2993,597,871,311.0,0.3099885189437428,38.0,0.16647531572904709,499,339,2,31,0,0,86,460,324,1,465,183,0,250,546,0.5729047072330654,0.2870264064293915,0.6268656716417911,204330.0,118108.0,115,0.13203214695752008,post_authorization
4+,months_since_cert_n >  2.500 & rawben_rel_max >  0.721 & utilities > 32.500,test_2024,national,1486,328,495,311.0,0.28484848484848485,35.0,0.13737373737373737,268,188,2,7,29,1,35,269,183,0,268,114,1,137,304,0.5414141414141415,0.2767676767676768,0.6141414141414141,129468.0,68571.0,59,0.1191919191919192,post_authorization
4+,months_since_cert_n >  2.500 & rawben_rel_max >  0.721 & utilities > 32.500,test_2024,deployed,35,7,11,311.0,0.45454545454545453,52.0,0.18181818181818182,8,2,0,0,1,0,0,11,0,0,10,1,0,3,11,0.7272727272727273,0.2727272727272727,1.0,2317.0,1811.0,3,0.2727272727272727,mixed
4+,expedited_i <= 0.500 & HH_size_n > 5.500 & unc_rawben_rel_max <= 0.718,train_2022_23,national,1123,269,411,311.0,0.34549878345498786,38.0,0.1678832116788321,264,136,0,11,0,0,24,268,119,0,169,104,1,123,292,0.6423357664233577,0.29927007299270075,0.7104622871046229,90128.0,55965.0,91,0.22141119221411193,post_authorization
4+,expedited_i <= 0.500 & HH_size_n > 5.500 & unc_rawben_rel_max <= 0.718,test_2024,national,620,170,270,311.0,0.35555555555555557,38.0,0.15555555555555556,138,113,1,3,15,0,23,166,79,1,129,74,1,59,189,0.5111111111111111,0.21851851851851853,0.7,74096.0,40611.0,37,0.13703703703703704,post_authorization
4+,expedited_i <= 0.500 & HH_size_n > 5.500 & unc_rawben_rel_max <= 0.718,test_2024,deployed,14,4,7,311.0,0.2857142857142857,35.0,0.42857142857142855,3,4,0,0,0,0,0,7,0,0,0,0,0,0,7,0.42857142857142855,0.0,1.0,1493.0,0.0,0,0.0,post_authorization
4+,shelter_expenses_by_hh_size > 213 & shelter_expenses_by_hh_size <= 334 & total_deductions_by_hh_size > 121 & utilities > 390,train_2022_23,national,1699,367,524,311.0,0.3473282442748092,38.0,0.17938931297709923,308,199,2,15,0,0,41,332,151,0,285,113,0,135,373,0.5877862595419847,0.25763358778625955,0.7118320610687023,99879.0,64762.0,88,0.16793893129770993,post_authorization
4+,shelter_expenses_by_hh_size > 213 & shelter_expenses_by_hh_size <= 334 & total_deductions_by_hh_size > 121 & utilities > 390,test_2024,national,1017,240,358,311.0,0.388268156424581,38.0,0.17318435754189945,177,144,0,4,33,0,27,205,117,1,169,69,1,101,232,0.49441340782122906,0.28212290502793297,0.6480446927374302,84570.0,45883.0,52,0.1452513966480447,post_authorization
4+,shelter_expenses_by_hh_size > 213 & shelter_expenses_by_hh_size <= 334 & total_deductions_by_hh_size > 121 & utilities > 390,test_2024,deployed,39,11,19,311.0,0.42105263157894735,99.0,0.3157894736842105,11,5,0,1,2,0,1,16,2,0,0,0,0,8,17,0.5789473684210527,0.42105263157894735,0.8947368421052632,3509.0,0.0,5,0.2631578947368421,mixed
4+,HH_size_n >   5.5 & months_since_cert_n <=   8.0 & shelter_expenses_by_hh_size > 116.0,train_2022_23,national,1216,278,408,311.0,0.31862745098039214,38.0,0.17892156862745098,262,138,1,7,0,0,34,287,87,0,165,95,0,123,321,0.6421568627450981,0.3014705882352941,0.7867647058823529,104235.0,63796.0,93,0.22794117647058823,post_authorization
4+,HH_size_n >   5.5 & months_since_cert_n <=   8.0 & shelter_expenses_by_hh_size > 116.0,test_2024,national,735,194,291,311.0,0.32989690721649484,38.0,0.15120274914089346,155,118,1,0,16,1,18,187,83,1,150,65,1,62,205,0.5326460481099656,0.21305841924398625,0.7044673539518901,77339.0,42667.0,38,0.13058419243986255,post_authorization
4+,HH_size_n >   5.5 & months_since_cert_n <=   8.0 & shelter_expenses_by_hh_size > 116.0,test_2024,deployed,22,3,7,363.0,0.2857142857142857,35.0,0.2857142857142857,3,4,0,0,0,0,0,7,0,0,0,0,0,0,7,0.42857142857142855,0.0,1.0,1504.0,0.0,0,0.0,post_authorization
4+,HH_size_n >   5.5 & months_since_cert_n >   1.5 & utilities > 202.0,train_2022_23,national,1499,355,534,311.0,0.33707865168539325,38.0,0.19662921348314608,333,180,1,20,0,0,46,310,178,0,237,136,0,160,356,0.6235955056179775,0.299625468164794,0.6666666666666666,130205.0,78184.0,100,0.18726591760299627,post_authorization
4+,HH_size_n >   5.5 & months_since_cert_n >   1.5 & utilities > 202.0,test_2024,national,799,215,329,311.0,0.3586626139817629,38.0,0.1641337386018237,166,140,1,1,20,1,27,174,124,1,182,81,1,88,201,0.5045592705167173,0.2674772036474164,0.6109422492401215,91902.0,53683.0,46,0.1398176291793313,post_authorization
4+,HH_size_n >   5.5 & months_since_cert_n >   1.5 & utilities > 202.0,test_2024,deployed,16,5,6,363.0,0.3333333333333333,52.0,0.3333333333333333,3,3,0,0,0,0,0,6,0,0,0,0,0,0,6,0.5,0.0,1.0,1373.0,0.0,0,0.0,post_authorization
4+,count_divisible_by_100 >= 1.000 & HH_size_n >= 6.000 & rawben_rel_max >= 0.465 & rawben_rel_max < 0.891,train_2022_23,national,78,31,50,311.0,0.32,35.0,0.2,33,17,0,0,0,0,1,41,8,0,25,11,0,10,42,0.66,0.2,0.84,12803.0,6306.0,9,0.18,post_authorization
4+,count_divisible_by_100 >= 1.000 & HH_size_n >= 6.000 & rawben_rel_max >= 0.465 & rawben_rel_max < 0.891,test_2024,national,51,20,36,311.0,0.2777777777777778,38.0,0.2222222222222222,18,12,0,2,4,0,3,24,9,0,18,11,0,12,27,0.5,0.3333333333333333,0.75,6308.0,3536.0,9,0.25,mixed
4+,count_divisible_by_100 >= 1.000 & HH_size_n >= 6.000 & rawben_rel_max >= 0.465 & rawben_rel_max < 0.891,test_2024,deployed,2,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,insufficient
4+,expedited_i >  0.500 & total_deductions_by_hh_size > 12.700 & unc_rawben_rel_max >  0.469 & unc_rawben_rel_max <=  0.935,train_2022_23,national,218,76,131,311.0,0.2748091603053435,38.0,0.22137404580152673,87,38,1,5,0,0,19,66,46,0,55,33,0,36,85,0.6641221374045801,0.2748091603053435,0.648854961832061,24094.0,13171.0,24,0.183206106870229,post_authorization
4+,expedited_i >  0.500 & total_deductions_by_hh_size > 12.700 & unc_rawben_rel_max >  0.469 & unc_rawben_rel_max <=  0.935,test_2024,national,88,31,46,311.0,0.41304347826086957,35.0,0.1956521739130435,21,20,0,0,5,0,2,24,19,1,25,10,1,11,26,0.45652173913043476,0.2391304347826087,0.5652173913043478,14606.0,8531.0,10,0.21739130434782608,post_authorization
4+,expedited_i >  0.500 & total_deductions_by_hh_size > 12.700 & unc_rawben_rel_max >  0.469 & unc_rawben_rel_max <=  0.935,test_2024,deployed,2,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,insufficient
1,total_deductions_by_hh_size > 647 & utilities <= 276,train_2022_23,national,318,105,182,363.0,0.3076923076923077,53.0,0.46153846153846156,94,76,5,7,0,0,24,104,54,0,124,7,0,27,128,0.5164835164835165,0.14835164835164835,0.7032967032967034,29981.0,17415.0,10,0.054945054945054944,post_authorization
1,total_deductions_by_hh_size > 647 & utilities <= 276,test_2024,national,337,92,152,363.0,0.3618421052631579,53.0,0.3355263157894737,78,70,0,2,2,0,11,89,52,0,121,4,0,30,100,0.5131578947368421,0.19736842105263158,0.6578947368421053,29745.0,20956.0,14,0.09210526315789473,post_authorization
1,total_deductions_by_hh_size > 647 & utilities <= 276,test_2024,deployed,10,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,insufficient
1,rawben_rel_max <   1 & total_deductions_by_hh_size >= 450 & utilities < 277,train_2022_23,national,580,182,285,363.0,0.35789473684210527,53.0,0.5052631578947369,128,143,5,9,0,0,42,167,76,0,203,21,0,36,209,0.44912280701754387,0.12631578947368421,0.7333333333333333,41715.0,26454.0,18,0.06315789473684211,post_authorization
1,rawben_rel_max <   1 & total_deductions_by_hh_size >= 450 & utilities < 277,test_2024,national,411,114,189,363.0,0.42857142857142855,53.0,0.4021164021164021,93,91,0,2,3,0,20,122,47,0,139,14,0,28,142,0.49206349206349204,0.14814814814814814,0.7513227513227513,30885.0,21207.0,17,0.08994708994708994,post_authorization
1,rawben_rel_max <   1 & total_deductions_by_hh_size >= 450 & utilities < 277,test_2024,deployed,10,1,2,364.0,0.5,53.0,1.0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,0.0,1.0,334.0,0.0,0,0.0,insufficient
4+,rawben_rel_max <   0.965 & shelter_expenses_by_hh_size >= 466.000 & shelter_expenses_by_hh_size < 569.000 & total_deductions_by_hh_size < 255.000,train_2022_23,national,105,39,70,311.0,0.2857142857142857,38.0,0.21428571428571427,38,31,0,1,0,0,7,35,28,0,38,18,2,15,42,0.5428571428571428,0.21428571428571427,0.6,18713.0,14796.0,7,0.1,post_authorization
4+,rawben_rel_max <   0.965 & shelter_expenses_by_hh_size >= 466.000 & shelter_expenses_by_hh_size < 569.000 & total_deductions_by_hh_size < 255.000,test_2024,national,67,17,23,311.0,0.30434782608695654,35.0,0.17391304347826086,10,9,0,0,4,0,0,16,6,1,13,4,0,5,16,0.43478260869565216,0.21739130434782608,0.6956521739130435,6218.0,3637.0,4,0.17391304347826086,post_authorization
4+,rawben_rel_max <   0.965 & shelter_expenses_by_hh_size >= 466.000 & shelter_expenses_by_hh_size < 569.000 & total_deductions_by_hh_size < 255.000,test_2024,deployed,2,1,1,130.0,1.0,6.0,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1.0,1.0,1.0,196.0,196.0,1,1.0,insufficient
1,rawben_rel_max >=   0.988 & rawben_rel_max <   1.000 & utilities < 580.000,train_2022_23,national,375,119,158,363.0,0.689873417721519,53.0,0.6582278481012658,73,84,1,0,0,0,22,108,28,0,114,3,0,19,130,0.4620253164556962,0.12025316455696203,0.8227848101265823,23011.0,12964.0,12,0.0759493670886076,post_authorization
1,rawben_rel_max >=   0.988 & rawben_rel_max <   1.000 & utilities < 580.000,test_2024,national,191,69,99,363.0,0.6666666666666666,56.0,0.40404040404040403,51,46,0,2,0,0,7,63,29,0,76,0,0,15,70,0.5151515151515151,0.15151515151515152,0.7070707070707071,15582.0,10944.0,8,0.08080808080808081,post_authorization
1,rawben_rel_max >=   0.988 & rawben_rel_max <   1.000 & utilities < 580.000,test_2024,deployed,7,1,1,363.0,1.0,53.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1.0,1.0,1.0,66.0,66.0,1,1.0,insufficient
2-3,cat_elig >   0.5 & HH_size_n >   2.5 & total_deductions_by_hh_size > 642.0,train_2022_23,national,46,22,39,323.0,0.3076923076923077,53.0,0.3333333333333333,18,21,0,0,0,0,7,22,10,0,29,1,0,8,29,0.46153846153846156,0.20512820512820512,0.7435897435897436,9710.0,6984.0,5,0.1282051282051282,post_authorization
2-3,cat_elig >   0.5 & HH_size_n >   2.5 & total_deductions_by_hh_size > 642.0,test_2024,national,32,14,24,311.0,0.25,56.0,0.25,9,12,1,1,1,0,5,15,4,0,18,6,0,4,20,0.375,0.16666666666666666,0.8333333333333334,8770.0,3954.0,3,0.125,post_authorization
2-3,cat_elig >   0.5 & HH_size_n >   2.5 & total_deductions_by_hh_size > 642.0,test_2024,deployed,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,insufficient
2-3,HH_size_n >=   3.000 & rawben_rel_max >=   0.663 & total_deductions_by_hh_size >= 501.000,train_2022_23,national,88,38,61,323.0,0.19672131147540983,53.0,0.2459016393442623,32,28,0,1,0,0,7,42,12,0,34,5,0,13,49,0.5245901639344263,0.21311475409836064,0.8032786885245902,14180.0,10516.0,12,0.19672131147540983,post_authorization
