state,budget,rank,role,hh,rule,n_flagged_state_2024
Arizona,10,35,core,4+,elderly_disabled_i <= 0.500 & months_since_cert_n > 5.500 & rawben_rel_max > 0.372 & unc_rawben_rel_max <= 0.834,14
Arizona,10,39,core,4+,months_since_cert_n >=   6.000 & rawben_rel_max <   0.884 & shelter_expenses_by_hh_size >= 167.000,19
Arizona,10,40,core,4+,HH_size_n <=   4.500 & rawben_rel_max <=   0.834 & total_deductions_by_hh_size > 154.000,18
Arizona,10,41,core,1,count_divisible_by_100 <   1.00 & months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.63 & utilities < 353.00,7
Arizona,10,42,core,4+,months_since_cert_n > 5.500 & total_deductions_by_hh_size > 1.380 & unc_rawben_rel_max <= 0.834,26
Arizona,10,45,buffer,4+,HH_size_n <=   5.5 & shelter_expenses_by_hh_size > 234.0 & total_deductions_by_hh_size > 183.0,37
Arizona,10,46,buffer,4+,rawben_rel_max <   0.745 & shelter_expenses_by_hh_size >= 215.000 & total_deductions_by_hh_size >= 183.000,24
Arizona,10,50,buffer,4+,months_since_cert_n >   4.500 & rawben_rel_max <=   0.616 & shelter_expenses_by_hh_size > 163.000,18
Arkansas,5,1,core,1,total_deductions_by_hh_size > 336.000 & unc_rawben_rel_max >   0.891 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500,1
Arkansas,5,2,core,1,months_since_cert_n >=   8.00 & shelter_expenses_by_hh_size < 648.00 & unc_rawben_rel_max >=   1.82 & utilities < 493.00,1
Arkansas,5,6,core,1,count_divisible_by_100 <   1.00 & months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.63 & utilities < 353.00,2
Arkansas,5,8,core,1,rawben_rel_max >=   0.236 & rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 511.000 & utilities < 249.000,3
Arkansas,5,10,core,1,rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 272.000 & unc_rawben_rel_max >   0.913 & utilities <= 346.000,8
Arkansas,5,14,core,4+,months_since_cert_n >   4.500 & rawben_rel_max <=   0.977 & total_deductions_by_hh_size > 221.000 & utilities <= 454.000,1
Arkansas,5,16,core,1,rawben_rel_max >   0.727 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 413.000 & utilities <=  28.500,2
Arkansas,5,17,core,2-3,total_deductions_by_hh_size >= 428 & utilities >= 303 & utilities < 342,3
Arkansas,5,19,core,1,rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 588.000 & unc_rawben_rel_max >   0.322 & utilities <= 344.000,15
Arkansas,5,20,core,1,elderly_disabled_i >   0.500 & total_deductions_by_hh_size > 438.000 & unc_rawben_rel_max >   0.316 & utilities <= 276.000,7
Arkansas,5,22,core,2-3,months_since_cert_n <=  0.500 & total_deductions_by_hh_size > 83.500 & unc_rawben_rel_max <=  0.999 & utilities <= 22.000,3
Arkansas,5,26,core,1,medical_deductions >= 111.000 & medical_deductions < 130.000 & rawben_rel_max >=   0.274 & shelter_expenses_by_hh_size < 868.000,1
Arkansas,5,27,core,2-3,rawben_rel_max <   0.703 & total_deductions_by_hh_size < 201.000 & unc_rawben_rel_max >=   0.698 & utilities < 586.000,1
Arkansas,5,29,core,2-3,expedited_i <=   0.500 & percent_abawd >   0.583 & rawben_rel_max <=   0.711 & shelter_expenses_by_hh_size <= 278.000,1
Arkansas,5,30,core,4+,expedited_i >=   1.000 & rawben_rel_max <   0.962 & total_deductions_by_hh_size >=   2.250 & total_deductions_by_hh_size < 124.000,1
Arkansas,5,32,core,2-3,married >=   1.000 & rawben_rel_max >=   0.523 & total_deductions_by_hh_size >= 154.000 & utilities <  29.000,1
Arkansas,5,35,core,1,months_since_cert_n >=   6.00 & rawben_rel_max >=   1.00 & unc_rawben_rel_max >=   1.48 & utilities < 340.00,3
Arkansas,5,36,core,4+,HH_size_n >   5.500 & months_since_cert_n >   4.500 & rawben_rel_max <=   0.825 & utilities <= 424.000,1
Arkansas,5,45,buffer,1,months_since_cert_n >=   5.000 & rawben_rel_max >=   0.381 & total_deductions_by_hh_size >= 395.000 & utilities <  27.000,6
Arkansas,10,1,core,1,total_deductions_by_hh_size > 336.000 & unc_rawben_rel_max >   0.891 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500,1
Arkansas,10,2,core,1,months_since_cert_n >=   8.00 & shelter_expenses_by_hh_size < 648.00 & unc_rawben_rel_max >=   1.82 & utilities < 493.00,1
Arkansas,10,6,core,1,count_divisible_by_100 <   1.00 & months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.63 & utilities < 353.00,2
Arkansas,10,8,core,1,rawben_rel_max >=   0.236 & rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 511.000 & utilities < 249.000,3
Arkansas,10,10,core,1,rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 272.000 & unc_rawben_rel_max >   0.913 & utilities <= 346.000,8
Arkansas,10,14,core,4+,months_since_cert_n >   4.500 & rawben_rel_max <=   0.977 & total_deductions_by_hh_size > 221.000 & utilities <= 454.000,1
Arkansas,10,16,core,1,rawben_rel_max >   0.727 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 413.000 & utilities <=  28.500,2
Arkansas,10,17,core,2-3,total_deductions_by_hh_size >= 428 & utilities >= 303 & utilities < 342,3
Arkansas,10,19,core,1,rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 588.000 & unc_rawben_rel_max >   0.322 & utilities <= 344.000,15
Arkansas,10,20,core,1,elderly_disabled_i >   0.500 & total_deductions_by_hh_size > 438.000 & unc_rawben_rel_max >   0.316 & utilities <= 276.000,7
Arkansas,10,22,core,2-3,months_since_cert_n <=  0.500 & total_deductions_by_hh_size > 83.500 & unc_rawben_rel_max <=  0.999 & utilities <= 22.000,3
Arkansas,10,26,core,1,medical_deductions >= 111.000 & medical_deductions < 130.000 & rawben_rel_max >=   0.274 & shelter_expenses_by_hh_size < 868.000,1
Arkansas,10,27,core,2-3,rawben_rel_max <   0.703 & total_deductions_by_hh_size < 201.000 & unc_rawben_rel_max >=   0.698 & utilities < 586.000,1
