"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","qualified","train_n","train_errors","train_precision","train_dollars","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Arizona","unearned_income","1","expedited_i <=   0.50 & total_deductions_by_hh_size <= 639.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   3.19","expedited_i <=   0.450 & total_deductions_by_hh_size <= 702.900 & unc_rawben_rel_max >   1.737 & unc_rawben_rel_max <=   2.871",FALSE,TRUE,22,7,0.318,1571,6,0.333,0,NA
"Arizona","underissuance","1","unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172 & utilities <=  3.00000","unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172 & utilities <=  3.00000",TRUE,FALSE,1,0,0,0,1,0,1,0
"Arizona","underissuance","1","total_deductions_by_hh_size > 62.20000 & unc_rawben_rel_max > -0.00544 & unc_rawben_rel_max <= -0.00172","total_deductions_by_hh_size > 62.20000 & unc_rawben_rel_max > -0.00544 & unc_rawben_rel_max <= -0.00172",TRUE,FALSE,2,1,0.5,154,2,0.5,2,0.5
"Arizona","underissuance","1","months_since_cert_n <= 29.50000 & rawben_rel_max <=  0.80200 & unc_rawben_rel_max > -0.00744 & unc_rawben_rel_max <= -0.00172","months_since_cert_n <= 29.50000 & rawben_rel_max <=  0.80200 & unc_rawben_rel_max > -0.00744 & unc_rawben_rel_max <= -0.00172",TRUE,FALSE,5,2,0.4,384,2,0.5,2,0.5
"Arizona","underissuance","1","shelter_expenses_by_hh_size <=  7.50000 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","shelter_expenses_by_hh_size <=  7.50000 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172",TRUE,FALSE,1,0,0,0,0,NA,0,NA
"Arizona","other_error","2-3","medical_deductions <= 747.000 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 466.000 & unc_rawben_rel_max >   0.993","medical_deductions <= 672.3000 & rawben_rel_max <=   1.0960 & total_deductions_by_hh_size > 466.0000 & unc_rawben_rel_max >   0.8937",FALSE,FALSE,4,2,0.5,426,8,0.5,0,NA
"Arizona","other_error","2-3","months_since_cert_n <=  36.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 468.000","months_since_cert_n <=  32.8500 & rawben_rel_max >   0.8937 & rawben_rel_max <=   1.0960 & total_deductions_by_hh_size > 468.0000",FALSE,FALSE,4,2,0.5,426,8,0.5,0,NA
"Arizona","other_error","2-3","children_i <=   0.500 & rawben_rel_max >   0.994 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 466.000","children_i <=   0.4500 & rawben_rel_max >   0.8946 & rawben_rel_max <=   1.0960 & total_deductions_by_hh_size > 419.4000",FALSE,FALSE,1,0,0,0,1,1,0,NA
"Arizona","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 524.000","rawben_rel_max >   0.7448 & rawben_rel_max <=   0.8955 & total_deductions_by_hh_size > 393.0000",FALSE,FALSE,3,2,0.667,428,3,0,0,NA
"Arizona","other_error","2-3","children_i <=   0.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 559.000","children_i <=   0.4500 & rawben_rel_max >   0.8937 & rawben_rel_max <=   0.9980 & shelter_expenses_by_hh_size > 503.1000",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Arizona","other_error","2-3","elderly_disabled_i >   0.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 456.000","elderly_disabled_i >   0.4500 & rawben_rel_max >   0.8937 & rawben_rel_max <=   1.0980 & total_deductions_by_hh_size > 410.4000",FALSE,FALSE,4,2,0.5,764,2,1,0,NA
"Arizona","other_error","2-3","elderly_disabled_i >   0.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 559.000","elderly_disabled_i >   0.4500 & rawben_rel_max >   0.8937 & rawben_rel_max <=   0.9980 & shelter_expenses_by_hh_size > 503.1000",FALSE,FALSE,1,0,0,0,1,1,0,NA
"Arizona","other_error","2-3","expedited_i <=   0.500 & shelter_expenses_by_hh_size > 547.000 & unc_rawben_rel_max >   0.994 & unc_rawben_rel_max <=   0.996","expedited_i <=   0.4500 & shelter_expenses_by_hh_size > 601.7000 & unc_rawben_rel_max >   0.8946 & unc_rawben_rel_max <=   0.9960",FALSE,FALSE,1,1,1,251,0,NA,0,NA
"Arizona","other_error","2-3","children_i <=   0.500 & shelter_expenses_by_hh_size > 499.000 & unc_rawben_rel_max >   0.992 & unc_rawben_rel_max <=   0.997","children_i <=   0.4500 & shelter_expenses_by_hh_size > 449.1000 & unc_rawben_rel_max >   0.8928 & unc_rawben_rel_max <=   0.9970",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Arizona","other_error","2-3","expedited_i <=   0.500 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 533.000 & unc_rawben_rel_max >   0.979","expedited_i <=   0.4500 & rawben_rel_max <=   1.0940 & total_deductions_by_hh_size > 479.7000 & unc_rawben_rel_max >   0.8811",FALSE,FALSE,4,2,0.5,426,7,0.429,0,NA
"Arizona","other_error","2-3","homeless <=   0.500 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 524.000 & unc_rawben_rel_max >   0.979","homeless <=   0.4500 & rawben_rel_max <=   1.0940 & total_deductions_by_hh_size > 471.6000 & unc_rawben_rel_max >   0.8811",FALSE,FALSE,4,2,0.5,426,8,0.5,0,NA
"Arizona","other_error","2-3","shelter_expenses_by_hh_size > 547.000 & unc_rawben_rel_max >   0.994 & unc_rawben_rel_max <=   0.996","shelter_expenses_by_hh_size > 410.2000 & unc_rawben_rel_max >   0.7455 & unc_rawben_rel_max <=   0.9960",FALSE,TRUE,22,8,0.364,2408,9,0.333,0,NA
