"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"2","rule13677","rawgross < 0.5 & count_divisible_by_100 < 0.5 & unc_rawben_rel_max >= 1.497",3,"INCLUDE",0.807,0.125,2.5,102,33,69,0.324,0.12,0.177,4.85,0.067,"unearned_overissuance"
"2","rule10218","total_deductions >= 1026 & months_since_cert_n < 4.5 & elderly_disabled_i %in% c(""TRUE"")",3,"INCLUDE",5.608,0.748,1.8,75,23,52,0.307,0.083,0.127,4.6,0.067,"unearned_overissuance"
"2","rule766","unc_rawben_rel_max >= 1.485 & utilities >= 378.5 & utilities < 732",3,"INCLUDE",2.355,0.358,2.4,98,28,70,0.286,0.101,0.155,4.29,0.067,"unearned_overissuance"
"2","rule8930","unc_rawben_rel_max >= 1.286 & cat_elig >= 0.5 & shelter_expenses >= 1708",3,"INCLUDE",0.617,0.071,1.4,56,16,40,0.286,0.058,0.107,4.29,0.067,"unearned_overissuance"
"2","rule678","shelter_expenses >= 1694 & utilities < 606.5",2,"INCLUDE",17.81,2.774,2.5,103,29,74,0.282,0.105,0.142,4.22,0.067,"unearned_overissuance"
"2","rule6490","total_deductions >= 996.9 & rawearn < 1685 & shelter_expenses >= 1534",3,"INCLUDE",3.858,0.615,2.6,108,29,79,0.269,0.105,0.154,4.03,0.067,"unearned_overissuance"
"2","rule10574","shelter_expenses >= 1743 & children_i %in% c(""FALSE"")",2,"INCLUDE",10.967,1.634,2.3,94,25,69,0.266,0.091,0.132,3.99,0.067,"unearned_overissuance"
"2","rule2737","total_deductions >= 1041 & utilities >= 421 & rawunearn < 12.5",3,"INCLUDE",5.904,0.92,2.5,103,26,77,0.252,0.094,0.135,3.79,0.067,"unearned_overissuance"
"2","rule7497","unc_rawben_rel_max < 1.561 & married < 0.5 & count_divisible_by_100 >= 0.5 & rawunearn < 258",4,"INCLUDE",3.847,0.658,3,125,29,96,0.232,0.105,0.093,3.48,0.067,"unearned_overissuance"
"2","rule5693","total_deductions < 1295 & rawgross < 0.5 & shelter_expenses >= 745.5 & expedited_i %in% c(""FALSE"")",4,"INCLUDE",7.12,1.265,3.3,135,27,108,0.2,0.098,0.143,3,0.067,"unearned_overissuance"
"3","rule9994","shelter_expenses < 2074 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 193",3,"INCLUDE",57.767,5.627,1,26,15,11,0.577,0.083,0.131,8.65,0.067,"unearned_overissuance"
"3","rule634","elderly_disabled_i %in% c(""TRUE"") & rawgross < 772",2,"INCLUDE",4.93,0.663,1.8,50,17,33,0.34,0.094,0.137,5.1,0.067,"unearned_overissuance"
"3","rule890","count_divisible_by_100 >= 0.5 & rawearn < 1317 & rawunearn < 100",3,"INCLUDE",18.008,2.669,2.2,61,20,41,0.328,0.11,0.144,4.92,0.067,"unearned_overissuance"
"3","rule3540","shelter_expenses < 2284 & months_since_cert_n < 4.5 & utilities >= 459 & count_divisible_by_100 >= 0.5",4,"INCLUDE",0.019,0.003,1.9,52,15,37,0.288,0.083,0.106,4.33,0.067,"unearned_overissuance"
"3","rule10914","total_deductions < 1318 & count_divisible_by_100 >= 0.5 & cat_elig < 1.5 & utilities >= 437",4,"INCLUDE",5.621,0.846,2.3,63,17,46,0.27,0.094,0.122,4.05,0.067,"unearned_overissuance"
"3","rule11617","count_divisible_by_100 >= 0.5 & utilities >= 415.5",2,"INCLUDE",2.26,0.45,4.1,112,27,85,0.241,0.149,0.17,3.62,0.067,"unearned_overissuance"
"3","rule1410","rawearn < 2931 & rawgross < 892 & rawben_rel_max >= 0.9597 & total_deductions >= 730.5",4,"INCLUDE",1.988,0.326,2.8,75,18,57,0.24,0.099,0.14,3.6,0.067,"unearned_overissuance"
"3","rule14990","shelter_expenses < 2172 & elderly_disabled_i %in% c(""TRUE"") & total_deductions >= 793",3,"INCLUDE",0.687,0.12,3.1,85,20,65,0.235,0.11,0.151,3.53,0.067,"unearned_overissuance"
"3","rule6975","rawunearn < 2221 & rawgross < 0.5 & utilities < 705 & unc_rawben_rel_max >= 1.339",4,"INCLUDE",3.708,0.627,2.9,80,18,62,0.225,0.099,0.162,3.38,0.067,"unearned_overissuance"
"3","rule12534","total_deductions >= 692.6 & rawearn < 763.5 & shelter_expenses >= 1631",3,"INCLUDE",6.733,0.923,1.9,52,11,41,0.212,0.061,0.119,3.17,0.067,"unearned_overissuance"
"3","rule2537","total_deductions >= 692.6 & rawgross < 761",2,"INCLUDE",0.536,0.087,2.7,73,15,58,0.205,0.083,0.133,3.08,0.067,"unearned_overissuance"
"5+","rule16063","elderly_disabled_i %in% c(""TRUE"") & rawunearn < 48",2,"INCLUDE",32.353,3.143,1,20,10,10,0.5,0.071,0.112,7.5,0.067,"unearned_overissuance"
"5+","rule579","shelter_expenses >= 2412 & shelter_expenses < 2554",2,"INCLUDE",11.698,1.108,0.9,19,6,13,0.316,0.043,0.095,4.74,0.067,"unearned_overissuance"
"5+","rule6187","elderly_disabled_i %in% c(""TRUE"") & rawben_rel_max >= 0.7598 & utilities >= 603",3,"INCLUDE",17.137,2.372,2,41,12,29,0.293,0.086,0.138,4.39,0.067,"unearned_overissuance"
"5+","rule18349","rawunearn < 2084 & shelter_expenses >= 2406 & shelter_expenses < 2608",3,"INCLUDE",6.792,0.676,1,21,6,15,0.286,0.043,0.095,4.29,0.067,"unearned_overissuance"
"5+","rule11652","total_deductions >= 761 & utilities >= 599 & utilities < 665.5",3,"INCLUDE",25.579,3.036,1.4,30,8,22,0.267,0.057,0.125,4,0.067,"unearned_overissuance"
"5+","rule10088","rawearn < 3352 & rawgross < 2698 & utilities >= 606.5 & utilities < 665.5",4,"INCLUDE",29.976,3.784,1.6,34,9,25,0.265,0.064,0.136,3.97,0.067,"unearned_overissuance"
"5+","rule11406","shelter_expenses < 2416 & elderly_disabled_i %in% c(""TRUE"") & rawben_rel_max >= 0.7156 & rawben_rel_max < 0.8024",4,"INCLUDE",14.579,2.308,2.6,54,13,41,0.241,0.093,0.129,3.61,0.067,"unearned_overissuance"
"5+","rule11089","utilities >= 493.5 & rawben_rel_max >= 0.7584 & shelter_expenses < 2237 & elderly_disabled_i %in% c(""TRUE"")",4,"INCLUDE",3.479,0.584,2.9,61,14,47,0.23,0.1,0.152,3.44,0.067,"unearned_overissuance"
"5+","rule5273","total_deductions >= 891 & rawearn < 1469",2,"INCLUDE",1.359,0.255,3.7,77,16,61,0.208,0.114,0.155,3.12,0.067,"unearned_overissuance"
