"hh_size","rule_id","optimize_for","min_flagged_req","n_conditions","n_optimized","n_flagged","errors_caught","clean_flagged","workload_pct","precision","recall","dollar_recall","lift","precision_state_orig","precision_national_csv","optimized_rule","original_rule","rule_text","imp","rule"
"1","rule1153","recall",10,2,2,16,4,12,1.14,0.25,0.033,0.021,2.84,0.118,0.248,"rawearn >= 1350 & utilities >= 625","rawearn >= 344 & utilities >= 17.5","rawearn >= 1350 & utilities >= 625",0,"rawearn >= 1350 & utilities >= 625"
"1","rule2210","recall",10,4,4,32,8,24,2.29,0.25,0.065,0.076,2.84,0.179,0.289,"unc_rawben_rel_max >= -0.25 & utilities >= 0 & shelter_expenses >= 1450 & total_deductions < 1050","unc_rawben_rel_max >= 1.625 & utilities >= 479 & shelter_expenses >= 1103 & total_deductions < 706.4","unc_rawben_rel_max >= -0.25 & utilities >= 0 & shelter_expenses >= 1450 & total_deductions < 1050",0,"unc_rawben_rel_max >= -0.25 & utilities >= 0 & shelter_expenses >= 1450 & total_deductions < 1050"
"1","rule844","recall",10,4,2,36,9,27,2.58,0.25,0.073,0.112,2.84,0.235,0.258,"unc_rawben_rel_max >= 1.8 & months_since_cert_n < 8 & expedited_i %in% c(""FALSE"") & cat_elig < 1.5","unc_rawben_rel_max >= 1.849 & months_since_cert_n < 6.5 & expedited_i %in% c(""FALSE"") & cat_elig < 1.5","unc_rawben_rel_max >= 1.8 & months_since_cert_n < 8 & expedited_i %in% c(""FALSE"") & cat_elig < 1.5",0,"unc_rawben_rel_max >= 1.8 & months_since_cert_n < 8 & expedited_i %in% c(""FALSE"") & cat_elig < 1.5"
"1","rule2932","recall",10,4,3,16,4,12,1.14,0.25,0.033,0.035,2.84,0.163,0.231,"unc_rawben_rel_max < 1.15 & rawunearn < 800 & elderly_disabled_i %in% c(""TRUE"") & total_deductions < 150","unc_rawben_rel_max < 2.331 & rawunearn < 801.5 & elderly_disabled_i %in% c(""TRUE"") & total_deductions < 406.1","unc_rawben_rel_max < 1.15 & rawunearn < 800 & elderly_disabled_i %in% c(""TRUE"") & total_deductions < 150",0,"unc_rawben_rel_max < 1.15 & rawunearn < 800 & elderly_disabled_i %in% c(""TRUE"") & total_deductions < 150"
"1","rule2416","recall",10,3,3,28,7,21,2,0.25,0.057,0.081,2.84,0.162,0.3,"unc_rawben_rel_max >= 1.55 & months_since_cert_n >= 10 & rawgross < 750","unc_rawben_rel_max >= 1.466 & months_since_cert_n >= 5.5 & rawgross < 488.5","unc_rawben_rel_max >= 1.55 & months_since_cert_n >= 10 & rawgross < 750",0,"unc_rawben_rel_max >= 1.55 & months_since_cert_n >= 10 & rawgross < 750"
"1","rule3888","recall",10,3,3,20,5,15,1.43,0.25,0.041,0.043,2.84,0.2,0.267,"months_since_cert_n < 34.5 & shelter_expenses < 1000 & total_deductions >= 800","months_since_cert_n < 34.5 & shelter_expenses < 72 & total_deductions >= 63","months_since_cert_n < 34.5 & shelter_expenses < 1000 & total_deductions >= 800",0,"months_since_cert_n < 34.5 & shelter_expenses < 1000 & total_deductions >= 800"
"1","rule2528","recall",10,2,1,48,12,36,3.43,0.25,0.098,0.135,2.84,0.186,0.358,"rawgross < 100 & elderly_disabled_i %in% c(""TRUE"")","rawgross < 741 & elderly_disabled_i %in% c(""TRUE"")","rawgross < 100 & elderly_disabled_i %in% c(""TRUE"")",0,"rawgross < 100 & elderly_disabled_i %in% c(""TRUE"")"
"2","rule19260","recall",10,3,3,12,4,8,3.9,0.333,0.114,0.116,2.93,1,0.281,"rawgross < 2500 & rawearn >= 1850 & utilities < 625","rawgross < 1721 & rawearn >= 961.5 & utilities < 457","rawgross < 2500 & rawearn >= 1850 & utilities < 625",0,"rawgross < 2500 & rawearn >= 1850 & utilities < 625"
"2","rule5980","recall",10,4,4,13,4,9,4.22,0.308,0.114,0.126,2.71,0.125,0.223,"rawearn < 2350 & rawearn >= 1850 & months_since_cert_n >= 0 & rawben_rel_max >= 0","rawearn < 3470 & rawearn >= 1137 & months_since_cert_n >= 2.5 & rawben_rel_max >= 0.4764","rawearn < 2350 & rawearn >= 1850 & months_since_cert_n >= 0 & rawben_rel_max >= 0",0,"rawearn < 2350 & rawearn >= 1850 & months_since_cert_n >= 0 & rawben_rel_max >= 0"
"2","rule2250","recall",10,4,4,13,4,9,4.22,0.308,0.114,0.126,2.71,0.154,0.269,"rawearn < 2350 & rawearn >= 1850 & utilities >= 0 & months_since_cert_n >= 0","rawearn < 2674 & rawearn >= 581 & utilities >= 15.5 & months_since_cert_n >= 7.5","rawearn < 2350 & rawearn >= 1850 & utilities >= 0 & months_since_cert_n >= 0",0,"rawearn < 2350 & rawearn >= 1850 & utilities >= 0 & months_since_cert_n >= 0"
