hh_size,rule_id,min_flagged_req,n_conditions,n_optimized,n_flagged,errors_caught,clean_flagged,workload_pct,precision,recall,dollar_recall,lift,precision_state_orig,precision_national_csv,optimized_rule (state),original_rule (national)
2-3,rule3880,10,3,3,12,4,8,2.56,0.333,0.1,0.115,3.9,0.25,0.34,shelter_expenses >= 1600 & shelter_expenses < 1778 & rawearn < 2250,shelter_expenses >= 1680 & shelter_expenses < 1778 & rawearn < 376.5
2-3,rule10399,10,3,2,13,4,9,2.78,0.308,0.1,0.067,3.6,0.133,0.272,"rawben_rel_max < 0.45 & elderly_disabled_i %in% c(""FALSE"") & rawunearn >= 150","rawben_rel_max < 0.7888 & elderly_disabled_i %in% c(""FALSE"") & rawunearn >= 771"
2-3,rule1398,10,3,3,13,4,9,2.78,0.308,0.1,0.086,3.6,0.5,0.224,rawunearn < 1400 & shelter_expenses >= 1562 & shelter_expenses < 1750,rawunearn < 942 & shelter_expenses >= 1562 & shelter_expenses < 1606
2-3,rule12772,10,3,2,10,3,7,2.14,0.3,0.075,0.061,3.51,0.154,0.237,"rawearn < 1750 & unc_rawben_rel_max < 0.45 & elderly_disabled_i %in% c(""FALSE"")","rawearn < 0.5 & unc_rawben_rel_max < 0.8306 & elderly_disabled_i %in% c(""FALSE"")"
2-3,rule9637,10,3,3,10,3,7,2.14,0.3,0.075,0.044,3.51,0.182,0.219,total_deductions < 200 & rawgross >= 1400 & rawben_rel_max >= 0.15,total_deductions < 617.7 & rawgross >= 980 & rawben_rel_max >= 0.6966
2-3,rule2987,10,2,1,10,3,7,2.14,0.3,0.075,0.166,3.51,0.231,0.2,"elderly_disabled_i %in% c(""TRUE"") & rawunearn < 500","elderly_disabled_i %in% c(""TRUE"") & rawunearn < 838.5"
2-3,rule2081,10,3,3,10,3,7,2.14,0.3,0.075,0.066,3.51,0.3,0.273,rawben_rel_max < 1 & rawearn >= 300 & rawearn < 800,rawben_rel_max < 0.9163 & rawearn >= 36.5 & rawearn < 922
2-3,rule3944,10,3,3,20,6,14,4.27,0.3,0.15,0.225,3.51,NA,0.233,rawgross >= 1400 & utilities < 500 & rawben_rel_max >= 0.7,rawgross >= 1013 & utilities < 360.5 & rawben_rel_max >= 0.5458
2-3,rule9282,10,3,3,10,3,7,2.14,0.3,0.075,0.066,3.51,0.176,0.216,rawearn >= 300 & rawearn < 800 & rawgross >= 700,rawearn >= 577 & rawearn < 1721 & rawgross >= 1442
2-3,rule13752,10,3,3,10,3,7,2.14,0.3,0.075,0.121,3.51,0.167,0.214,shelter_expenses >= 1750 & shelter_expenses < 2350 & rawgross >= 2100,shelter_expenses >= 1855 & shelter_expenses < 2098 & rawgross >= 1807
