"hh","rule","n_flagged_train","precision_train","precision_train_lcb"
"1","months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.60 & unc_rawben_rel_max <   2.23 & utilities < 620.00",516,0.1512,0.1181
"1","unc_rawben_rel_max >= 1.43",4299,0.0549,0.0474
"1","elderly_disabled_i >= 1.00 & unc_rawben_rel_max >= 1.43",1431,0.144,0.1237
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.43 & utilities < 450.00",390,0.3128,0.2611
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.43 & utilities >= 450.00",1041,0.0807,0.0632
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 736.00 & unc_rawben_rel_max >=   1.43 & utilities < 450.00",212,0.3632,0.2907
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size >= 736.00 & unc_rawben_rel_max >=   1.43 & utilities < 450.00",178,0.2528,0.1851
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.52 & unc_rawben_rel_max <   2.49 & utilities < 827.00",739,0.2057,0.1733
"1","shelter_expenses_by_hh_size < 1810.00 & unc_rawben_rel_max >=    1.63 & utilities >=  325.00",2405,0.0615,0.0511
"1","shelter_expenses_by_hh_size >= 1810.00 & unc_rawben_rel_max >=    1.63 & utilities >=  325.00",216,0.0648,0.0355
"1","shelter_expenses_by_hh_size >=  810.00 & shelter_expenses_by_hh_size < 1810.00 & unc_rawben_rel_max >=    1.63 & utilities >=  325.00",1335,0.0599,0.0465
"1","months_since_cert_n >= 6.00 & unc_rawben_rel_max >= 1.67",1104,0.1196,0.0987
"1","months_since_cert_n <    6.00 & shelter_expenses_by_hh_size >= 1530.00 & unc_rawben_rel_max >=    1.67",238,0.0672,0.0383
"1","months_since_cert_n >=    6.00 & shelter_expenses_by_hh_size < 1370.00 & unc_rawben_rel_max >=    1.67",880,0.133,0.1086
"1","months_since_cert_n >=    6.00 & shelter_expenses_by_hh_size >= 1370.00 & unc_rawben_rel_max >=    1.67",224,0.067,0.0375
"1","medical_deductions >= 78.000 & rawben_rel_max >=  0.472 & rawben_rel_max <  0.968 & unc_rawben_rel_max <  1.670",841,0.0511,0.0362
"1","months_since_cert_n <    6.00 & shelter_expenses_by_hh_size < 1530.00 & unc_rawben_rel_max >=    1.67 & utilities <  379.00",448,0.058,0.0372
"1","expedited_i <    1.00 & months_since_cert_n >=    6.00 & shelter_expenses_by_hh_size < 1370.00 & unc_rawben_rel_max >=    1.67",656,0.1479,0.1185
"1","expedited_i >=    1.00 & months_since_cert_n >=    6.00 & shelter_expenses_by_hh_size < 1370.00 & unc_rawben_rel_max >=    1.67",224,0.0893,0.0541
"1","elderly_disabled_i >=   1.00 & months_since_cert_n <  14.00 & unc_rawben_rel_max >=   1.67 & utilities < 800.00",507,0.2465,0.2049
"1","shelter_expenses_by_hh_size < 1180.00 & total_deductions_by_hh_size < 1020.00 & unc_rawben_rel_max >=    2.01 & unc_rawben_rel_max <    2.23",136,0.3162,0.232
"1","count_divisible_by_100 <   1.00 & medical_deductions < 130.00 & unc_rawben_rel_max >=   1.26 & utilities < 366.00",1300,0.08,0.0642
"1","medical_deductions >=  130.000 & medical_deductions <  229.000 & rawben_rel_max >=    0.328 & shelter_expenses_by_hh_size >= 1120.000",416,0.0721,0.0478
"1","unc_rawben_rel_max >=   1.67 & utilities < 367.00",578,0.1228,0.0945
"1","shelter_expenses_by_hh_size < 838.00 & unc_rawben_rel_max >=   1.67 & utilities < 367.00",358,0.1564,0.1169
"1","shelter_expenses_by_hh_size >= 838.00 & unc_rawben_rel_max >=   1.67 & utilities < 367.00",220,0.0682,0.0381
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.67 & utilities >= 367.00",753,0.1554,0.1271
"1","elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size < 968.00 & unc_rawben_rel_max >=   1.67 & utilities >= 367.00",288,0.2188,0.1676
"1","elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size >= 968.00 & unc_rawben_rel_max >=   1.67 & utilities >= 367.00",465,0.1161,0.0859
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.46 & utilities < 860.00",1036,0.1931,0.1662
"1","elderly_disabled_i >=   1.00 & months_since_cert_n <   3.00 & unc_rawben_rel_max >=   1.46 & utilities < 860.00",207,0.1063,0.0661
"1","elderly_disabled_i >=   1.00 & months_since_cert_n >=   3.00 & unc_rawben_rel_max >=   1.46 & utilities < 860.00",828,0.215,0.1837
"1","unc_rawben_rel_max >= 1.81 & unc_rawben_rel_max < 2.49",2065,0.0634,0.0521
"1","unc_rawben_rel_max >=   1.81 & unc_rawben_rel_max <   2.49 & utilities < 505.00",879,0.1001,0.079
"1","shelter_expenses_by_hh_size < 951.00 & unc_rawben_rel_max >=   1.81 & unc_rawben_rel_max <   2.49 & utilities < 505.00",495,0.1556,0.1214
"1","unc_rawben_rel_max >=   2.23 & unc_rawben_rel_max <   2.49 & utilities >= 505.00",113,0.1239,0.0686
"1","months_since_cert_n >=   6.00 & shelter_expenses_by_hh_size < 776.00 & unc_rawben_rel_max >=   1.55",511,0.1468,0.1141
"1","shelter_expenses_by_hh_size >=  776.00 & total_deductions_by_hh_size >= 1330.00 & unc_rawben_rel_max >=    1.55",280,0.1214,0.0831
"1","months_since_cert_n >=   6.00 & shelter_expenses_by_hh_size < 776.00 & total_deductions_by_hh_size < 447.00 & unc_rawben_rel_max >=   1.55",163,0.1288,0.0795
"1","months_since_cert_n >=   6.00 & shelter_expenses_by_hh_size < 776.00 & total_deductions_by_hh_size >= 447.00 & unc_rawben_rel_max >=   1.55",348,0.1552,0.1153
"1","shelter_expenses_by_hh_size >=  776.00 & total_deductions_by_hh_size < 1330.00 & unc_rawben_rel_max >=    1.55 & utilities <  366.00",262,0.0802,0.0491
"1","months_since_cert_n >=   6.00 & months_since_cert_n <  10.00 & shelter_expenses_by_hh_size >= 815.00 & unc_rawben_rel_max >=   2.01",82,0.3171,0.2121
"1","elderly_disabled_i >=    1.00 & shelter_expenses_by_hh_size < 1070.00 & unc_rawben_rel_max >=    1.63 & utilities <  827.00",460,0.2804,0.2345
"1","elderly_disabled_i >=    1.00 & shelter_expenses_by_hh_size >= 1070.00 & unc_rawben_rel_max >=    1.63 & utilities <  827.00",264,0.1856,0.1365
"1","elderly_disabled_i >=   1.00 & months_since_cert_n >=   3.00 & unc_rawben_rel_max >=   1.55 & utilities < 366.00",145,0.469,0.3754
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.55 & utilities >= 366.00 & utilities < 488.00",206,0.2087,0.1508
"1","shelter_expenses_by_hh_size >= 960.00 & unc_rawben_rel_max >=   1.52",1511,0.051,0.0393
"1","percent_abawd <   0.50 & shelter_expenses_by_hh_size < 960.00 & unc_rawben_rel_max >=   1.52",1689,0.0876,0.0729
"1","shelter_expenses_by_hh_size >= 960.00 & unc_rawben_rel_max >=   1.52 & utilities < 560.00",638,0.0517,0.0348
"1","shelter_expenses_by_hh_size >= 960.00 & unc_rawben_rel_max >=   1.52 & utilities >= 560.00",873,0.0504,0.0358
"1","months_since_cert_n >=   5.00 & shelter_expenses_by_hh_size >= 960.00 & unc_rawben_rel_max >=   1.52 & utilities >= 560.00",526,0.0532,0.0347
