"target","rep","arm","variant","budget","n_admitted","n_scanned","base_rate","n_deployed","workload","precision","dollar_recall","n_core","n_buffer","slack"
"Arkansas",3,"selfscored","common",0.05,38402,20000,0.0795,17,0.0491,0.2381,0.1797,33,47,0
"Arkansas",3,"selfscored","common",0.1,38402,20000,0.0795,33,0.0994,0.1765,0.2503,60,94,0
"Arkansas",3,"outoffold","own",0.05,38402,20000,0.0795,21,0.0491,0.1667,0.1095,38,38,0
"Arkansas",3,"outoffold","own",0.1,38402,20000,0.0795,27,0.0994,0.1647,0.2197,52,115,0
"Arkansas",3,"selfscored","own",0.05,40777,20000,0.0795,24,0.0491,0.2143,0.1679,33,54,0
"Arkansas",3,"selfscored","own",0.1,40777,20000,0.0795,39,0.0994,0.1765,0.2763,50,117,0
"Arkansas",4,"outoffold","common",0.05,37609,20000,0.0795,17,0.0491,0.1667,0.124,34,45,0
"Arkansas",4,"outoffold","common",0.1,37609,20000,0.0795,31,0.0994,0.1412,0.1972,62,96,0
"Arkansas",4,"selfscored","common",0.05,37609,20000,0.0795,27,0.0491,0.1429,0.1152,34,52,0
"Arkansas",4,"selfscored","common",0.1,37609,20000,0.0795,31,0.0994,0.1529,0.2158,51,119,0
"Arkansas",4,"outoffold","own",0.05,37609,20000,0.0795,17,0.0491,0.1667,0.124,34,45,0
"Arkansas",4,"outoffold","own",0.1,37609,20000,0.0795,31,0.0994,0.1412,0.1972,62,96,0
"Arkansas",4,"selfscored","own",0.05,41674,20000,0.0795,24,0.0491,0.1905,0.1322,32,62,0
"Arkansas",4,"selfscored","own",0.1,41674,20000,0.0795,31,0.0994,0.1647,0.2172,61,115,0
"Arkansas",5,"outoffold","common",0.05,37278,20000,0.0795,13,0.0491,0.2143,0.1691,30,54,0
"Arkansas",5,"outoffold","common",0.1,37278,20000,0.0795,29,0.0994,0.1882,0.2639,50,107,0
"Arkansas",5,"selfscored","common",0.05,37278,20000,0.0795,11,0.0491,0.1667,0.1141,27,51,0
"Arkansas",5,"selfscored","common",0.1,37278,20000,0.0795,27,0.0994,0.1882,0.2658,50,102,0
"Arkansas",5,"outoffold","own",0.05,37278,20000,0.0795,13,0.0491,0.2143,0.1691,30,54,0
"Arkansas",5,"outoffold","own",0.1,37278,20000,0.0795,29,0.0994,0.1882,0.2639,50,107,0
"Arkansas",5,"selfscored","own",0.05,41403,20000,0.0795,13,0.0491,0.1429,0.1008,32,61,0
"Arkansas",5,"selfscored","own",0.1,41403,20000,0.0795,27,0.0994,0.1294,0.1739,62,124,0
"California",1,"outoffold","common",0.05,36875,20000,0.1302,15,0.0491,0.3,0.1324,26,59,0
"California",1,"outoffold","common",0.1,36875,20000,0.1302,29,0.0995,0.2963,0.2761,49,124,0
"California",1,"selfscored","common",0.05,36875,20000,0.1302,18,0.0491,0.25,0.1594,22,60,0
"California",1,"selfscored","common",0.1,36875,20000,0.1302,33,0.0995,0.2469,0.2716,48,117,0
"California",1,"outoffold","own",0.05,36875,20000,0.1302,15,0.0491,0.3,0.1324,26,59,0
"California",1,"outoffold","own",0.1,36875,20000,0.1302,29,0.0995,0.2963,0.2761,49,124,0
"California",1,"selfscored","own",0.05,41541,20000,0.1302,20,0.0491,0.25,0.1594,24,60,0
"California",1,"selfscored","own",0.1,41541,20000,0.1302,35,0.0995,0.284,0.3115,57,120,0
"California",2,"outoffold","common",0.05,36511,20000,0.1302,11,0.0491,0.375,0.1456,24,53,0
"California",2,"outoffold","common",0.1,36511,20000,0.1302,26,0.0995,0.3086,0.3185,50,115,0
"California",2,"selfscored","common",0.05,36511,20000,0.1302,17,0.0491,0.35,0.1701,29,40,0
"California",2,"selfscored","common",0.1,36511,20000,0.1302,27,0.0995,0.2963,0.2643,47,108,0
"California",2,"outoffold","own",0.05,36511,20000,0.1302,11,0.0491,0.375,0.1456,24,53,0
"California",2,"outoffold","own",0.1,36511,20000,0.1302,26,0.0995,0.3086,0.3185,50,115,0
"California",2,"selfscored","own",0.05,41821,20000,0.1302,18,0.0491,0.325,0.157,30,38,0
"California",2,"selfscored","own",0.1,41821,20000,0.1302,33,0.0995,0.2593,0.2436,43,124,0
"California",3,"outoffold","common",0.05,38402,20000,0.1302,17,0.0491,0.325,0.1725,23,56,0
"California",3,"outoffold","common",0.1,38402,20000,0.1302,30,0.0995,0.284,0.2636,46,101,0
"California",3,"selfscored","common",0.05,38402,20000,0.1302,17,0.0491,0.2,0.1026,32,66,0
"California",3,"selfscored","common",0.1,38402,20000,0.1302,18,0.0995,0.1728,0.1959,63,105,0
"California",3,"outoffold","own",0.05,38402,20000,0.1302,17,0.0491,0.325,0.1725,23,56,0
"California",3,"outoffold","own",0.1,38402,20000,0.1302,30,0.0995,0.284,0.2636,46,101,0
"California",3,"selfscored","own",0.05,40777,20000,0.1302,20,0.0491,0.225,0.1057,35,63,0
"California",3,"selfscored","own",0.1,40777,20000,0.1302,21,0.0995,0.1852,0.199,61,129,0
"California",4,"outoffold","common",0.05,37609,20000,0.1302,13,0.0491,0.25,0.1556,21,69,0
"California",4,"outoffold","common",0.1,37609,20000,0.1302,26,0.0995,0.2222,0.2653,45,134,0
"California",4,"selfscored","common",0.05,37609,20000,0.1302,19,0.0491,0.375,0.1906,27,48,0
"California",4,"selfscored","common",0.1,37609,20000,0.1302,30,0.0995,0.284,0.2974,60,114,0
"California",4,"outoffold","own",0.05,37609,20000,0.1302,13,0.0491,0.25,0.1556,21,69,0
"California",4,"outoffold","own",0.1,37609,20000,0.1302,26,0.0995,0.2222,0.2653,45,134,0
"California",4,"selfscored","own",0.05,41674,20000,0.1302,19,0.0491,0.25,0.1415,26,59,0
"California",4,"selfscored","own",0.1,41674,20000,0.1302,41,0.0995,0.2716,0.2961,62,116,0
"California",5,"outoffold","common",0.05,37278,20000,0.1302,13,0.0491,0.25,0.1861,18,54,0
"California",5,"outoffold","common",0.1,37278,20000,0.1302,30,0.0995,0.2593,0.2877,42,122,0
"California",5,"selfscored","common",0.05,37278,20000,0.1302,18,0.0491,0.35,0.1408,23,58,0
"California",5,"selfscored","common",0.1,37278,20000,0.1302,28,0.0995,0.2963,0.2329,57,119,0
"California",5,"outoffold","own",0.05,37278,20000,0.1302,13,0.0491,0.25,0.1861,18,54,0
"California",5,"outoffold","own",0.1,37278,20000,0.1302,30,0.0995,0.2593,0.2877,42,122,0
"California",5,"selfscored","own",0.05,41403,20000,0.1302,14,0.0491,0.3,0.1642,28,63,0
"California",5,"selfscored","own",0.1,41403,20000,0.1302,35,0.0995,0.284,0.296,57,130,0
"Colorado",1,"outoffold","common",0.05,36875,20000,0.1208,19,0.0498,0.4,0.1465,37,63,0
"Colorado",1,"outoffold","common",0.1,36875,20000,0.1208,42,0.0996,0.3125,0.2326,77,135,0
"Colorado",1,"selfscored","common",0.05,36875,20000,0.1208,22,0.0498,0.45,0.1858,37,64,0
"Colorado",1,"selfscored","common",0.1,36875,20000,0.1208,41,0.0996,0.3375,0.3187,71,136,0
"Colorado",1,"outoffold","own",0.05,36875,20000,0.1208,19,0.0498,0.4,0.1465,37,63,0
"Colorado",1,"outoffold","own",0.1,36875,20000,0.1208,42,0.0996,0.3125,0.2326,77,135,0
"Colorado",1,"selfscored","own",0.05,41541,20000,0.1208,21,0.0498,0.475,0.2293,40,72,0
"Colorado",1,"selfscored","own",0.1,41541,20000,0.1208,45,0.0996,0.325,0.2945,71,162,0
"Colorado",2,"outoffold","common",0.05,36511,20000,0.1208,25,0.0498,0.325,0.1315,34,47,0
"Colorado",2,"outoffold","common",0.1,36511,20000,0.1208,41,0.0996,0.35,0.3142,61,147,0
"Colorado",2,"selfscored","common",0.05,36511,20000,0.1208,20,0.0498,0.35,0.147,39,63,0
"Colorado",2,"selfscored","common",0.1,36511,20000,0.1208,44,0.0996,0.3,0.237,74,146,0
"Colorado",2,"outoffold","own",0.05,36511,20000,0.1208,25,0.0498,0.325,0.1315,34,47,0
"Colorado",2,"outoffold","own",0.1,36511,20000,0.1208,41,0.0996,0.35,0.3142,61,147,0
"Colorado",2,"selfscored","own",0.05,41821,20000,0.1208,20,0.0498,0.325,0.1405,37,76,0
"Colorado",2,"selfscored","own",0.1,41821,20000,0.1208,43,0.0996,0.3375,0.2562,72,172,0
"Colorado",3,"outoffold","common",0.05,38402,20000,0.1208,22,0.0498,0.425,0.1956,24,69,0
"Colorado",3,"outoffold","common",0.1,38402,20000,0.1208,41,0.0996,0.3875,0.3305,61,124,0
"Colorado",3,"selfscored","common",0.05,38402,20000,0.1208,23,0.0498,0.375,0.1231,34,64,0
"Colorado",3,"selfscored","common",0.1,38402,20000,0.1208,41,0.0996,0.3375,0.2965,70,139,0
"Colorado",3,"outoffold","own",0.05,38402,20000,0.1208,22,0.0498,0.425,0.1956,24,69,0
"Colorado",3,"outoffold","own",0.1,38402,20000,0.1208,41,0.0996,0.3875,0.3305,61,124,0
"Colorado",3,"selfscored","own",0.05,40777,20000,0.1208,26,0.0498,0.4,0.1296,39,68,0
"Colorado",3,"selfscored","own",0.1,40777,20000,0.1208,41,0.0996,0.35,0.2974,74,154,0
"Colorado",4,"outoffold","common",0.05,37609,20000,0.1208,14,0.0498,0.325,0.0969,26,75,0
"Colorado",4,"outoffold","common",0.1,37609,20000,0.1208,33,0.0996,0.3,0.2928,64,122,0
"Colorado",4,"selfscored","common",0.05,37609,20000,0.1208,20,0.0498,0.45,0.1829,31,64,0
"Colorado",4,"selfscored","common",0.1,37609,20000,0.1208,33,0.0996,0.375,0.3191,62,155,0
"Colorado",4,"outoffold","own",0.05,37609,20000,0.1208,14,0.0498,0.325,0.0969,26,75,0
"Colorado",4,"outoffold","own",0.1,37609,20000,0.1208,33,0.0996,0.3,0.2928,64,122,0
"Colorado",4,"selfscored","own",0.05,41674,20000,0.1208,22,0.0498,0.425,0.1693,33,69,0
"Colorado",4,"selfscored","own",0.1,41674,20000,0.1208,38,0.0996,0.375,0.3277,63,169,0
"Colorado",5,"outoffold","common",0.05,37278,20000,0.1208,20,0.0498,0.45,0.1894,30,57,0
"Colorado",5,"outoffold","common",0.1,37278,20000,0.1208,36,0.0996,0.3625,0.339,56,135,0
"Colorado",5,"selfscored","common",0.05,37278,20000,0.1208,23,0.0498,0.4,0.1382,38,55,0
"Colorado",5,"selfscored","common",0.1,37278,20000,0.1208,45,0.0996,0.35,0.2418,63,138,0
"Colorado",5,"outoffold","own",0.05,37278,20000,0.1208,20,0.0498,0.45,0.1894,30,57,0
"Colorado",5,"outoffold","own",0.1,37278,20000,0.1208,36,0.0996,0.3625,0.339,56,135,0
"Colorado",5,"selfscored","own",0.05,41403,20000,0.1208,24,0.0498,0.4,0.154,38,62,0
"Colorado",5,"selfscored","own",0.1,41403,20000,0.1208,45,0.0996,0.3625,0.3136,65,161,0
"Connecticut",1,"outoffold","common",0.05,36875,20000,0.1446,19,0.0489,0.3636,0.1555,35,61,0
"Connecticut",1,"outoffold","common",0.1,36875,20000,0.1446,30,0.099,0.3371,0.2419,62,145,0
"Connecticut",1,"selfscored","common",0.05,36875,20000,0.1446,15,0.0489,0.4545,0.2345,33,80,0
"Connecticut",1,"selfscored","common",0.1,36875,20000,0.1446,34,0.099,0.3708,0.3165,68,138,0
"Connecticut",1,"outoffold","own",0.05,36875,20000,0.1446,19,0.0489,0.3636,0.1555,35,61,0
"Connecticut",1,"outoffold","own",0.1,36875,20000,0.1446,30,0.099,0.3371,0.2419,62,145,0
"Connecticut",1,"selfscored","own",0.05,41541,20000,0.1446,18,0.0489,0.4545,0.2141,35,80,0
"Connecticut",1,"selfscored","own",0.1,41541,20000,0.1446,38,0.099,0.3596,0.3179,70,148,0
"Connecticut",2,"outoffold","common",0.05,36511,20000,0.1446,21,0.0489,0.2727,0.1121,35,56,0
"Connecticut",2,"outoffold","common",0.1,36511,20000,0.1446,32,0.099,0.3034,0.24,60,131,0
"Connecticut",2,"selfscored","common",0.05,36511,20000,0.1446,20,0.0489,0.3864,0.1749,36,57,0
"Connecticut",2,"selfscored","common",0.1,36511,20000,0.1446,36,0.099,0.3483,0.2869,63,139,0
"Connecticut",2,"outoffold","own",0.05,36511,20000,0.1446,21,0.0489,0.2727,0.1121,35,56,0
"Connecticut",2,"outoffold","own",0.1,36511,20000,0.1446,32,0.099,0.3034,0.24,60,131,0
"Connecticut",2,"selfscored","own",0.05,41821,20000,0.1446,14,0.0489,0.3409,0.164,33,73,0
"Connecticut",2,"selfscored","own",0.1,41821,20000,0.1446,33,0.099,0.4157,0.3516,74,151,0
"Connecticut",3,"outoffold","common",0.05,38402,20000,0.1446,15,0.0489,0.3636,0.1664,35,56,0
"Connecticut",3,"outoffold","common",0.1,38402,20000,0.1446,30,0.099,0.3933,0.3172,64,137,0
"Connecticut",3,"selfscored","common",0.05,38402,20000,0.1446,19,0.0489,0.3636,0.1582,37,71,0
"Connecticut",3,"selfscored","common",0.1,38402,20000,0.1446,36,0.099,0.3258,0.2506,79,134,0
"Connecticut",3,"outoffold","own",0.05,38402,20000,0.1446,15,0.0489,0.3636,0.1664,35,56,0
"Connecticut",3,"outoffold","own",0.1,38402,20000,0.1446,30,0.099,0.3933,0.3172,64,137,0
"Connecticut",3,"selfscored","own",0.05,40777,20000,0.1446,19,0.0489,0.3636,0.1616,36,80,0
"Connecticut",3,"selfscored","own",0.1,40777,20000,0.1446,37,0.099,0.3371,0.2683,74,161,0
"Connecticut",4,"outoffold","common",0.05,37609,20000,0.1446,16,0.0489,0.3636,0.171,34,69,0
"Connecticut",4,"outoffold","common",0.1,37609,20000,0.1446,37,0.099,0.3371,0.269,66,136,0
"Connecticut",4,"selfscored","common",0.05,37609,20000,0.1446,14,0.0489,0.4545,0.2001,35,74,0
"Connecticut",4,"selfscored","common",0.1,37609,20000,0.1446,34,0.099,0.3483,0.3084,64,154,0
"Connecticut",4,"outoffold","own",0.05,37609,20000,0.1446,16,0.0489,0.3636,0.171,34,69,0
"Connecticut",4,"outoffold","own",0.1,37609,20000,0.1446,37,0.099,0.3371,0.269,66,136,0
"Connecticut",4,"selfscored","own",0.05,41674,20000,0.1446,16,0.0489,0.4545,0.2001,35,77,0
"Connecticut",4,"selfscored","own",0.1,41674,20000,0.1446,39,0.099,0.3483,0.305,77,157,0
"Connecticut",5,"outoffold","common",0.05,37278,20000,0.1446,16,0.0489,0.3864,0.193,24,71,0
"Connecticut",5,"outoffold","common",0.1,37278,20000,0.1446,32,0.099,0.3708,0.3145,64,128,0
"Connecticut",5,"selfscored","common",0.05,37278,20000,0.1446,15,0.0489,0.3182,0.1118,29,49,0
"Connecticut",5,"selfscored","common",0.1,37278,20000,0.1446,32,0.099,0.3146,0.2368,53,137,0
"Connecticut",5,"outoffold","own",0.05,37278,20000,0.1446,16,0.0489,0.3864,0.193,24,71,0
"Connecticut",5,"outoffold","own",0.1,37278,20000,0.1446,32,0.099,0.3708,0.3145,64,128,0
"Connecticut",5,"selfscored","own",0.05,41403,20000,0.1446,18,0.0489,0.2727,0.116,30,61,0
"Connecticut",5,"selfscored","own",0.1,41403,20000,0.1446,33,0.099,0.3146,0.2649,57,159,0
"Delaware",1,"outoffold","common",0.05,36875,20000,0.1363,18,0.0499,0.3243,0.1261,22,32,0
"Delaware",1,"outoffold","common",0.1,36875,20000,0.1363,25,0.0999,0.3919,0.2773,37,66,0
"Delaware",1,"selfscored","common",0.05,36875,20000,0.1363,13,0.0499,0.5135,0.1558,17,28,0
"Delaware",1,"selfscored","common",0.1,36875,20000,0.1363,22,0.0999,0.4324,0.313,31,60,0
"Delaware",1,"outoffold","own",0.05,36875,20000,0.1363,18,0.0499,0.3243,0.1261,22,32,0
"Delaware",1,"outoffold","own",0.1,36875,20000,0.1363,25,0.0999,0.3919,0.2773,37,66,0
"Delaware",1,"selfscored","own",0.05,41541,20000,0.1363,19,0.0499,0.4324,0.1334,19,34,0
"Delaware",1,"selfscored","own",0.1,41541,20000,0.1363,28,0.0999,0.3919,0.2643,33,65,0
"Delaware",2,"outoffold","common",0.05,36511,20000,0.1363,18,0.0499,0.3243,0.1009,17,30,0
