"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","n_flagged_state","n_new_at_rank","rank","role"
"children_i <=   0.500 & medical_deductions <= 300.000 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 685.000","2-3","national","ranger","any_error",71,0.5352,0.4,2,1,28,"buffer"
"HH_size_n <=   4.5 & months_since_cert_n <=   5.5 & shelter_expenses_by_hh_size <= 424.0 & unc_rawben_rel_max <=   1.0","4+","state","ranger","any_error",38,0.5789,0.3945,38,1,29,"buffer"
"HH_size_n >  5.500 & months_since_cert_n > 10.500 & rawben_rel_max <=  0.952 & shelter_expenses_by_hh_size <= 92.000","4+","national","ranger","any_error",38,0.5789,0.3945,1,1,30,"buffer"
"HH_size_n <=  11.500 & months_since_cert_n >   2.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 490.000","4+","national","ranger","any_error",36,0.5833,0.3939,2,1,31,"buffer"
"rawben_rel_max <    0.992 & shelter_expenses_by_hh_size >= 2330.000 & total_deductions_by_hh_size >= 1240.000","1","national","xgboost","any_error",53,0.5472,0.3912,2,1,32,"buffer"
"cat_elig <   2.0 & shelter_expenses_by_hh_size < 275.0 & total_deductions_by_hh_size >=  66.2","4+","state","xgboost","any_error",53,0.5472,0.3912,53,7,33,"buffer"
"rawben_rel_max <   0.934 & total_deductions_by_hh_size >=  66.200 & total_deductions_by_hh_size < 185.000","4+","state","xgboost","any_error",66,0.5303,0.3906,66,5,34,"buffer"
"total_deductions_by_hh_size >  35.6 & total_deductions_by_hh_size <= 182.0 & utilities <= 468.0","4+","state","ranger","any_error",49,0.551,0.389,49,3,35,"buffer"
"cat_elig <=   1.5 & medical_deductions > 104.0 & total_deductions_by_hh_size > 502.0 & utilities <= 696.0","2-3","national","ranger","any_error",95,0.5053,0.3889,4,2,36,"buffer"
"HH_size_n <= 4.500 & rawben_rel_max > 0.555 & rawben_rel_max <= 0.998","4+","state","ranger","any_error",45,0.5556,0.3867,45,1,37,"buffer"
