"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"medical_deductions >= 137.00 & rawben_rel_max >=   0.51 & utilities <  54.50","1","national","xgboost","any_error",151,0.3642,0.2793,55.7,5,4,108,"buffer"
"elderly_disabled_i >=   0.5 & total_deductions_by_hh_size >= 515.0 & utilities < 825.0","2-3","national","xgboost","any_error",524,0.3244,0.2789,72.05,2,1,109,"buffer"
"months_since_cert_n >=   0.500 & rawben_rel_max <   0.909 & shelter_expenses_by_hh_size < 275.000 & total_deductions_by_hh_size >= 196.000","4+","national","xgboost","any_error",321,0.3364,0.2783,68.48,6,4,110,"buffer"
"HH_size_n >=   4.50 & rawben_rel_max <   0.64 & shelter_expenses_by_hh_size < 455.00 & total_deductions_by_hh_size >= 234.00","4+","national","xgboost","any_error",266,0.3421,0.2782,72.3,2,2,111,"buffer"
"months_since_cert_n >=   3.500 & rawben_rel_max <   0.564 & shelter_expenses_by_hh_size < 426.000 & total_deductions_by_hh_size >= 239.000","4+","national","xgboost","any_error",196,0.352,0.2776,70.27,2,1,112,"buffer"
"cat_elig > 0.500 & months_since_cert_n > 6.500 & rawben_rel_max > 0.661 & unc_rawben_rel_max <= 0.998","4+","national","ranger","any_error",1370,0.3051,0.277,71.24,10,5,113,"buffer"
"months_since_cert_n >   5.500 & shelter_expenses_by_hh_size > 862.000 & unc_rawben_rel_max <=   0.996","2-3","national","ranger","any_error",363,0.3306,0.276,67.72,4,2,114,"buffer"
"expedited_i >=   0.50 & months_since_cert_n <  10.50 & total_deductions_by_hh_size >= 971.00 & unc_rawben_rel_max <   1.16","1","national","xgboost","any_error",94,0.383,0.2758,70.73,3,2,115,"buffer"
"cat_elig >   0.500 & total_deductions_by_hh_size > 734.000 & unc_rawben_rel_max >   0.987 & unc_rawben_rel_max <=   0.998","1","national","ranger","any_error",433,0.3256,0.2757,51.18,2,2,116,"buffer"
"children_i <=  0.500 & expedited_i >  0.500 & months_since_cert_n <= 21.000 & unc_rawben_rel_max <=  0.702","2-3","national","ranger","any_error",91,0.3846,0.2757,88.16,2,1,117,"buffer"
"percent_abawd >   0.155 & total_deductions_by_hh_size > 234.000 & utilities >  84.000","4+","national","ranger","any_error",128,0.3672,0.2754,67.97,1,1,118,"buffer"
"cat_elig >   0.500 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 862.000","2-3","national","ranger","any_error",844,0.3092,0.2736,67.56,1,1,119,"buffer"
"count_divisible_by_100 >   0.5 & HH_size_n >   4.5 & total_deductions_by_hh_size > 176.0 & total_deductions_by_hh_size <= 472.0","4+","national","ranger","any_error",154,0.3571,0.2736,83.31,4,2,120,"buffer"
"expedited_i <   0.50 & shelter_expenses_by_hh_size >= 972.00 & unc_rawben_rel_max <   1.08","2-3","national","xgboost","any_error",427,0.3232,0.273,67.68,2,1,121,"buffer"
"cat_elig >  0.5 & HH_size_n >  5.5 & months_since_cert_n >  5.5 & shelter_expenses_by_hh_size > 70.5","4+","national","ranger","any_error",753,0.3108,0.273,77.94,8,4,122,"buffer"
