"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"expedited_i >   0.500 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 987.000","1","national","ranger","any_error",86,0.4767,0.3566,81.98,4,1,78,"core"
"months_since_cert_n >=   3.5 & shelter_expenses_by_hh_size < 657.0 & total_deductions_by_hh_size >= 440.0","4+","national","xgboost","any_error",58,0.5,0.354,150.83,2,1,79,"core"
"cat_elig >   0.5 & expedited_i <=   0.5 & medical_deductions > 122.0 & total_deductions_by_hh_size > 516.0","2-3","national","ranger","any_error",186,0.4355,0.3539,84.48,17,2,80,"core"
"elderly_disabled_i >=   0.500 & rawben_rel_max >=   0.987 & rawben_rel_max <   0.991 & utilities < 824.000","1","national","xgboost","any_error",567,0.4004,0.3537,55.21,3,1,81,"core"
"medical_deductions <= 102.000 & rawben_rel_max <=   0.813 & total_deductions_by_hh_size > 905.000 & unc_rawben_rel_max <=   0.819","1","state","ranger","any_error",33,0.5455,0.3521,83.82,33,8,82,"core"
"months_since_cert_n >=  11.50 & shelter_expenses_by_hh_size >= 413.00 & unc_rawben_rel_max >=   1.35 & utilities >= 598.00","2-3","national","xgboost","any_error",33,0.5455,0.3521,163.58,14,6,83,"core"
"rawben_rel_max >=    0.806 & rawben_rel_max <    0.997 & shelter_expenses_by_hh_size >= 1160.000","2-3","national","xgboost","any_error",33,0.5455,0.3521,173.24,6,2,84,"core"
"months_since_cert_n >=   2.5 & total_deductions_by_hh_size >= 459.0","4+","national","xgboost","any_error",68,0.4853,0.3507,122.82,5,3,85,"core"
"rawben_rel_max >=   0.395 & total_deductions_by_hh_size >= 439.000 & utilities >= 442.000","4+","national","xgboost","any_error",73,0.4795,0.3496,141.75,7,2,86,"buffer"
"cat_elig <=   1.5 & months_since_cert_n >   6.5 & shelter_expenses_by_hh_size > 257.0 & utilities > 840.0","4+","state","ranger","any_error",31,0.5484,0.3492,142.87,31,27,87,"buffer"
"rawben_rel_max >=   0.600 & rawben_rel_max <   0.997 & shelter_expenses_by_hh_size >= 976.000 & total_deductions_by_hh_size >= 438.000","2-3","national","xgboost","any_error",133,0.4436,0.3476,107.05,16,2,88,"buffer"
"medical_deductions > 104 & total_deductions_by_hh_size > 502","2-3","national","ranger","any_error",231,0.4199,0.3471,78.54,23,3,89,"buffer"
"months_since_cert_n <   0.5 & total_deductions_by_hh_size >= 684.0","2-3","national","xgboost","any_error",38,0.5263,0.3467,133.55,5,1,90,"buffer"
"medical_deductions >=   3.50 & medical_deductions <   7.00 & percent_abawd <   0.25 & utilities >= 470.00","1","national","xgboost","any_error",45,0.5111,0.3462,37.42,3,1,91,"buffer"
"elderly_disabled_i >   0.5 & total_deductions_by_hh_size <= 960.0 & unc_rawben_rel_max >   1.8 & utilities <= 820.0","1","national","ranger","any_error",380,0.4026,0.3459,64.37,4,1,92,"buffer"
"elderly_disabled_i >   0.5 & total_deductions_by_hh_size > 512.0 & unc_rawben_rel_max <=   1.0 & utilities <= 199.0","1","national","ranger","any_error",450,0.3978,0.3456,62.67,6,1,93,"buffer"
"months_since_cert_n <   11.50 & shelter_expenses_by_hh_size < 1800.00 & unc_rawben_rel_max >=    2.54 & utilities <  748.00","1","national","xgboost","any_error",96,0.4583,0.3454,88.03,2,2,94,"buffer"
"medical_deductions > 181.0 & months_since_cert_n >   4.5 & total_deductions_by_hh_size > 468.0 & utilities >  30.5","2-3","national","ranger","any_error",96,0.4583,0.3454,65.82,6,1,95,"buffer"
"rawben_rel_max >=   0.987 & rawben_rel_max <   0.991 & total_deductions_by_hh_size >= 321.000 & utilities < 847.000","1","national","xgboost","any_error",586,0.3908,0.3451,54.27,8,2,96,"buffer"
"children_i <   0.5 & shelter_expenses_by_hh_size < 736.0 & total_deductions_by_hh_size >= 579.0","2-3","national","xgboost","any_error",69,0.4783,0.3451,122.01,8,1,97,"buffer"
"months_since_cert_n <=    8.500 & rawben_rel_max <=    0.998 & shelter_expenses_by_hh_size > 2460.000","1","national","ranger","any_error",36,0.5278,0.3437,104.56,5,1,98,"buffer"
"months_since_cert_n >   1.500 & percent_abawd >   0.125 & total_deductions_by_hh_size > 647.000","2-3","national","ranger","any_error",36,0.5278,0.3437,106.31,7,1,99,"buffer"
