"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"rawben_rel_max <   0.666 & total_deductions_by_hh_size >= 356.000 & utilities < 346.000","2-3","national","xgboost","any_error",211,0.3697,0.2965,66.52,30,8,123,"buffer"
"HH_size_n >=   4.500 & rawben_rel_max >=   0.324 & total_deductions_by_hh_size >= 249.000 & unc_rawben_rel_max <   1.040","4+","national","xgboost","any_error",305,0.3574,0.2965,78.44,8,1,124,"buffer"
"cat_elig >   1.500 & total_deductions_by_hh_size > 283.000 & unc_rawben_rel_max >   0.337 & utilities >  30.500","4+","national","ranger","any_error",327,0.3547,0.296,80.72,13,6,125,"buffer"
"rawben_rel_max >   0.0441 & shelter_expenses_by_hh_size > 986.0000 & total_deductions_by_hh_size > 438.0000 & total_deductions_by_hh_size <= 497.0000","2-3","national","ranger","any_error",52,0.4423,0.2952,102.75,3,1,126,"buffer"
"HH_size_n >= 6.50 & married < 0.50 & rawben_rel_max < 0.91 & total_deductions_by_hh_size >= 2.04","4+","national","xgboost","any_error",359,0.351,0.295,83.44,12,12,127,"buffer"
"HH_size_n >   2.500 & percent_abawd >   0.125 & total_deductions_by_hh_size > 355.000","2-3","national","ranger","any_error",77,0.4156,0.2947,71.36,2,1,128,"buffer"
"months_since_cert_n >=  2.5 & shelter_expenses_by_hh_size < 60.3 & total_deductions_by_hh_size >= 50.0 & total_deductions_by_hh_size < 58.1","4+","national","xgboost","any_error",44,0.4545,0.2947,98,1,1,129,"buffer"
"HH_size_n >   4.500 & rawben_rel_max <=   0.961 & shelter_expenses_by_hh_size > 251.000 & unc_rawben_rel_max >   0.813","4+","national","ranger","any_error",307,0.355,0.2945,99.49,8,6,130,"buffer"
"shelter_expenses_by_hh_size >= 415 & shelter_expenses_by_hh_size < 473 & total_deductions_by_hh_size >= 303","4+","national","xgboost","any_error",126,0.3889,0.2944,73.31,4,2,131,"buffer"
"rawben_rel_max >=   0.509 & rawben_rel_max <   0.928 & shelter_expenses_by_hh_size < 369.000 & total_deductions_by_hh_size >= 255.000","4+","national","xgboost","any_error",268,0.3582,0.2935,71.59,10,6,132,"buffer"
"cat_elig >   0.500 & rawben_rel_max >   0.335 & shelter_expenses_by_hh_size > 828.000 & utilities <=  30.500","1","national","ranger","any_error",413,0.3438,0.2918,57.94,35,1,133,"buffer"
"months_since_cert_n >=   5.500 & rawben_rel_max <   0.971 & total_deductions_by_hh_size >= 366.000 & utilities < 560.000","2-3","national","xgboost","any_error",470,0.3404,0.2917,62.7,2,1,134,"buffer"
"HH_size_n >=   5.5 & married <   0.5 & total_deductions_by_hh_size >= 182.0","4+","national","xgboost","any_error",160,0.375,0.2914,92.06,7,3,135,"buffer"
"cat_elig >   0.500 & children_i <=   0.500 & medical_deductions > 122.000 & unc_rawben_rel_max >   0.144","2-3","national","ranger","any_error",452,0.3407,0.291,52.37,5,2,136,"buffer"
"cat_elig >   0.5 & HH_size_n >   5.5 & total_deductions_by_hh_size > 183.0","4+","national","ranger","any_error",370,0.3459,0.291,92.26,11,2,137,"buffer"
"months_since_cert_n >=   3.500 & rawben_rel_max <   0.747 & shelter_expenses_by_hh_size >= 374.000 & shelter_expenses_by_hh_size < 391.000","4+","national","xgboost","any_error",104,0.3942,0.2907,73.38,1,1,138,"buffer"
"rawben_rel_max <   0.886 & shelter_expenses_by_hh_size < 331.000 & total_deductions_by_hh_size >= 235.000 & utilities >= 282.000","4+","national","xgboost","any_error",286,0.3531,0.2907,69.28,5,1,139,"buffer"
