"rule","hh","source","n_flagged_train","precision_train","precision_train_lcb","rank","role"
"count_divisible_by_100 <=   0.500 & total_deductions_by_hh_size > 107.000 & unc_rawben_rel_max >   0.993 & unc_rawben_rel_max <=   0.997","2-3","national",171,0.3977,0.315,95,"buffer"
"medical_deductions > 194.000 & rawben_rel_max >   0.150 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 471.000","2-3","national",146,0.4041,0.3147,96,"buffer"
"cat_elig >=   1 & HH_size_n >=   6 & utilities >= 415 & utilities < 431","4+","national",94,0.4255,0.3142,97,"buffer"
"HH_size_n >=   5.00 & shelter_expenses_by_hh_size < 356.00 & total_deductions_by_hh_size >= 240.00 & unc_rawben_rel_max <   1.09","4+","national",153,0.3987,0.3116,98,"buffer"
"cat_elig < 1.000 & months_since_cert_n >= 6.000 & rawben_rel_max < 0.848","4+","state",47,0.4681,0.311,99,"buffer"
"total_deductions_by_hh_size > 468.00 & unc_rawben_rel_max <=   0.78 & utilities <= 578.00","2-3","national",623,0.3531,0.31,100,"buffer"
"medical_deductions > 567.00 & shelter_expenses_by_hh_size <= 580.00 & total_deductions_by_hh_size >   7.80 & unc_rawben_rel_max <=   1.93","1","national",37,0.4865,0.3097,101,"buffer"
"homeless <=   0.500 & total_deductions_by_hh_size > 524.000 & unc_rawben_rel_max <=   0.998 & utilities <= 276.000","1","national",625,0.352,0.309,102,"buffer"
"HH_size_n <=   2.500 & medical_deductions > 194.000 & rawben_rel_max >   0.155","2-3","national",244,0.377,0.3083,103,"buffer"
"percent_abawd > 0.125 & rawben_rel_max <= 0.700 & unc_rawben_rel_max > 0.675","2-3","national",50,0.46,0.3081,104,"buffer"
"months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.63 & utilities < 462.00","1","national",512,0.3555,0.308,105,"buffer"
"count_divisible_by_100 <   1.00 & elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.24 & utilities < 385.00","1","national",511,0.3542,0.3068,106,"buffer"
"rawben_rel_max >=   0.837 & shelter_expenses_by_hh_size >= 309.000 & total_deductions_by_hh_size < 203.000 & unc_rawben_rel_max <   0.935","4+","national",148,0.3919,0.3039,107,"buffer"
"HH_size_n > 5.500 & months_since_cert_n > 5.500 & rawben_rel_max > 0.558 & unc_rawben_rel_max <= 0.961","4+","national",498,0.3514,0.3035,108,"buffer"
"months_since_cert_n > 5.50 & rawben_rel_max <= 0.85","4+","state",56,0.4464,0.3035,109,"buffer"
"months_since_cert_n >=   6.00 & total_deductions_by_hh_size >= 409.00 & unc_rawben_rel_max >=   1.67 & utilities < 462.00","1","national",524,0.3492,0.3026,110,"buffer"
"homeless <   1.000 & medical_deductions >= 181.000 & rawben_rel_max >=   0.344 & shelter_expenses_by_hh_size < 948.000","2-3","national",166,0.3855,0.3026,111,"buffer"
