"rule","hh","source","n_flagged_train","precision_train","precision_train_lcb","rank","role"
"months_since_cert_n <=  10.5 & total_deductions_by_hh_size > 299.0 & utilities <= 468.0","2-3","state",30,0.5667,0.3625,72,"buffer"
"rawben_rel_max >   0.629 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 333.000","2-3","state",30,0.5667,0.3625,73,"buffer"
"HH_size_n <   6.00 & months_since_cert_n <   5.00 & total_deductions_by_hh_size < 228.00 & unc_rawben_rel_max <   1.05","4+","state",57,0.5088,0.3608,74,"buffer"
"months_since_cert_n <=   5.5 & shelter_expenses_by_hh_size <= 430.0 & total_deductions_by_hh_size >  68.3","4+","state",90,0.4778,0.3601,75,"buffer"
"months_since_cert_n <   8.00 & shelter_expenses_by_hh_size < 246.00 & total_deductions_by_hh_size >=  65.50 & unc_rawben_rel_max <   1.03","4+","state",48,0.5208,0.3597,76,"buffer"
"cat_elig <=   1.500 & HH_size_n >   4.500 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 115.000","4+","state",39,0.5385,0.3597,77,"buffer"
"shelter_expenses_by_hh_size >  74.7 & total_deductions_by_hh_size <= 202.0 & utilities <= 468.0","4+","state",46,0.5217,0.3574,78,"buffer"
"months_since_cert_n >=   7 & total_deductions_by_hh_size >= 218 & total_deductions_by_hh_size < 375 & utilities < 442","4+","national",135,0.4519,0.356,79,"buffer"
"HH_size_n <= 5.50 & months_since_cert_n <= 4.50 & unc_rawben_rel_max <= 1.19","4+","state",79,0.481,0.3557,80,"buffer"
"medical_deductions > 216.000 & rawben_rel_max >   0.315 & rawben_rel_max <=   0.997 & utilities <= 414.000","1","national",143,0.4476,0.3545,81,"buffer"
"rawben_rel_max <=   0.952 & shelter_expenses_by_hh_size <= 340.000 & total_deductions_by_hh_size >  60.300","4+","state",77,0.4805,0.3538,82,"buffer"
"elderly_disabled_i <=   0.500 & months_since_cert_n >   2.500 & rawben_rel_max <=   0.759 & shelter_expenses_by_hh_size > 453.000","2-3","state",33,0.5455,0.3521,83,"buffer"
"total_deductions_by_hh_size >= 599.000 & unc_rawben_rel_max <   0.993 & utilities <  41.000","1","national",303,0.4158,0.352,84,"buffer"
"cat_elig >   0.5 & elderly_disabled_i >   0.5 & total_deductions_by_hh_size > 494.0 & utilities <=  30.5","1","national",400,0.4075,0.352,85,"buffer"
"months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.88 & utilities < 469.00","1","national",254,0.4213,0.3516,86,"buffer"
"elderly_disabled_i < 1.000 & rawben_rel_max >= 0.486 & rawben_rel_max < 0.738","2-3","state",49,0.5102,0.3516,87,"buffer"
"months_since_cert_n >  3.500 & rawben_rel_max >  0.536 & rawben_rel_max <=  0.904 & total_deductions_by_hh_size > 47.100","2-3","state",49,0.5102,0.3516,88,"buffer"
"homeless >=   1 & medical_deductions < 110 & shelter_expenses_by_hh_size >= 852 & utilities < 800","1","national",80,0.475,0.3509,89,"buffer"
"married <=  0.500 & total_deductions_by_hh_size > 65.800 & unc_rawben_rel_max <=  0.974","4+","state",80,0.475,0.3509,90,"buffer"
"elderly_disabled_i >   0.50 & medical_deductions <=   4.50 & total_deductions_by_hh_size <= 850.00 & unc_rawben_rel_max >   1.79","1","national",304,0.4145,0.3508,91,"buffer"
"rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 104.000 & unc_rawben_rel_max >   0.580","4+","state",68,0.4853,0.3507,92,"buffer"
"cat_elig <   2.0 & total_deductions_by_hh_size >=  53.2 & total_deductions_by_hh_size < 185.0","4+","state",73,0.4795,0.3496,93,"buffer"
"months_since_cert_n <   4.000 & rawben_rel_max <   0.944 & shelter_expenses_by_hh_size < 249.000","4+","state",40,0.525,0.3496,94,"buffer"
"elderly_disabled_i >   0.5 & shelter_expenses_by_hh_size > 922.0 & total_deductions_by_hh_size > 343.0 & utilities <=   8.0","1","national",227,0.4229,0.3493,95,"buffer"
"expedited_i >= 1.00 & unc_rawben_rel_max < 1.06","2-3","state",31,0.5484,0.3492,96,"buffer"
"married <=   0.500 & percent_abawd <=   0.833 & total_deductions_by_hh_size > 299.000 & utilities <= 468.000","2-3","state",31,0.5484,0.3492,97,"buffer"
"percent_abawd <=   0.417 & shelter_expenses_by_hh_size > 394.000 & total_deductions_by_hh_size > 167.000 & utilities <= 468.000","2-3","state",38,0.5263,0.3467,98,"buffer"
"months_since_cert_n <   4 & total_deductions_by_hh_size >= 140","4+","state",38,0.5263,0.3467,99,"buffer"
"months_since_cert_n >   3.5 & total_deductions_by_hh_size > 281.0 & total_deductions_by_hh_size <= 935.0 & utilities <= 528.0","2-3","state",45,0.5111,0.3462,100,"buffer"
"elderly_disabled_i >   0.5 & total_deductions_by_hh_size > 512.0 & unc_rawben_rel_max <=   1.0 & utilities <= 199.0","1","national",450,0.3978,0.3456,101,"buffer"
"count_divisible_by_100 <=   2.5 & months_since_cert_n <=   5.5 & total_deductions_by_hh_size >  53.2 & total_deductions_by_hh_size <= 252.0","4+","state",91,0.4615,0.3456,102,"buffer"
"months_since_cert_n >=   7.00 & shelter_expenses_by_hh_size < 954.00 & unc_rawben_rel_max >=   1.48 & utilities <  74.00","1","national",152,0.4342,0.3446,103,"buffer"
