"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"months_since_cert_n >=   5.500 & rawben_rel_max <   0.971 & total_deductions_by_hh_size >= 218.000 & utilities < 474.000","4+","national","xgboost","any_error",246,0.4106,0.3403,98.54,1,1,76,"buffer"
"count_divisible_by_100 <=   0.5 & months_since_cert_n >   8.5 & shelter_expenses_by_hh_size > 631.0 & total_deductions_by_hh_size > 736.0","2-3","national","ranger","any_error",65,0.4769,0.3402,127.15,2,1,77,"buffer"
"months_since_cert_n >=  10.5 & total_deductions_by_hh_size >= 215.0 & total_deductions_by_hh_size < 252.0","4+","national","xgboost","any_error",65,0.4769,0.3402,99.03,8,2,78,"buffer"
"months_since_cert_n >  10.500 & total_deductions_by_hh_size > 218.000 & unc_rawben_rel_max <=   0.994 & utilities >  30.500","4+","national","ranger","any_error",128,0.4375,0.3401,91.84,9,1,79,"buffer"
"medical_deductions >= 122.000 & medical_deductions < 130.000 & rawben_rel_max >=   0.382","1","national","xgboost","any_error",85,0.4588,0.3394,36.74,2,2,80,"buffer"
"children_i <=   0.500 & married >   0.500 & total_deductions_by_hh_size > 541.000 & unc_rawben_rel_max <=   0.996","2-3","national","ranger","any_error",228,0.4123,0.3393,76.66,16,2,81,"buffer"
"elderly_disabled_i >   0.50 & medical_deductions <=   0.50 & percent_abawd >   0.75 & total_deductions_by_hh_size > 684.00","1","national","ranger","any_error",32,0.5312,0.3369,81.38,1,1,82,"buffer"
"expedited_i <=   0.500 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 615.000","2-3","national","ranger","any_error",401,0.3915,0.3366,72.91,20,1,83,"buffer"
"shelter_expenses_by_hh_size >= 481 & total_deductions_by_hh_size >= 232 & total_deductions_by_hh_size < 260","4+","national","xgboost","any_error",91,0.4505,0.3354,114.93,8,7,84,"buffer"
"months_since_cert_n <=   32.5 & shelter_expenses_by_hh_size > 2310.0 & unc_rawben_rel_max <=    1.0","1","national","ranger","any_error",86,0.4535,0.3351,82.62,7,1,85,"buffer"
"children_i <=   0.500 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 504.000 & utilities <=  14.500","1","national","ranger","any_error",415,0.388,0.3341,62.49,5,1,86,"buffer"
"elderly_disabled_i >=   0.50 & total_deductions_by_hh_size < 935.00 & unc_rawben_rel_max >=   1.64 & utilities < 646.00","1","national","xgboost","any_error",454,0.3855,0.334,64.67,7,2,87,"buffer"
"HH_size_n >   5.5 & HH_size_n <=   6.5 & months_since_cert_n >   1.5 & total_deductions_by_hh_size > 205.0","4+","national","ranger","any_error",154,0.4221,0.3337,111.01,5,2,88,"buffer"
"total_deductions_by_hh_size >= 830 & utilities >= 392 & utilities < 952","2-3","national","xgboost","any_error",133,0.4286,0.3335,105.77,8,1,89,"buffer"
"children_i <=   0.500 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 539.000","2-3","national","ranger","any_error",333,0.3934,0.3333,73.17,23,2,90,"buffer"
