"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"expedited_i <=   0.500 & shelter_expenses_by_hh_size > 898.000 & total_deductions_by_hh_size > 602.000 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",226,0.4204,0.3467,84.38,10,1,57,"core"
"medical_deductions > 140 & medical_deductions <= 300 & shelter_expenses_by_hh_size > 456 & total_deductions_by_hh_size > 493","2-3","national","ranger","any_error",81,0.4691,0.3462,88.2,8,2,58,"core"
"HH_size_n <=   2.500 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 860.000 & total_deductions_by_hh_size > 615.000","2-3","national","ranger","any_error",227,0.4185,0.3451,81.68,12,1,59,"core"
"count_divisible_by_100 <=   1.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 636.000","2-3","national","ranger","any_error",352,0.4034,0.3445,78.99,18,1,60,"core"
"cat_elig > 0.50 & elderly_disabled_i > 0.50 & unc_rawben_rel_max > 1.52","2-3","national","ranger","any_error",195,0.4205,0.3415,128.17,4,1,61,"core"
"cat_elig <   1.500 & months_since_cert_n >=  10.500 & rawben_rel_max >=   0.429 & total_deductions_by_hh_size >= 239.000","4+","national","xgboost","any_error",60,0.4833,0.341,76.8,5,3,62,"core"
"months_since_cert_n >  10.500 & total_deductions_by_hh_size > 218.000 & unc_rawben_rel_max <=   0.994 & utilities >  30.500","4+","national","ranger","any_error",128,0.4375,0.3401,91.84,5,2,63,"core"
"months_since_cert_n >  12.5 & total_deductions_by_hh_size > 232.0","4+","national","ranger","any_error",41,0.5122,0.3401,123.24,3,1,64,"core"
"children_i <=   0.500 & married >   0.500 & total_deductions_by_hh_size > 541.000 & unc_rawben_rel_max <=   0.996","2-3","national","ranger","any_error",228,0.4123,0.3393,76.66,18,5,65,"core"
"HH_size_n >   2.500 & percent_abawd <=   0.125 & shelter_expenses_by_hh_size > 341.000 & unc_rawben_rel_max >   1.400","2-3","national","ranger","any_error",58,0.4828,0.3383,126.59,1,1,66,"core"
"shelter_expenses_by_hh_size >= 481 & total_deductions_by_hh_size >= 232 & total_deductions_by_hh_size < 260","4+","national","xgboost","any_error",91,0.4505,0.3354,114.93,2,2,67,"core"
"months_since_cert_n <=   32.5 & shelter_expenses_by_hh_size > 2310.0 & unc_rawben_rel_max <=    1.0","1","national","ranger","any_error",86,0.4535,0.3351,82.62,1,1,68,"core"
"HH_size_n >   5.5 & HH_size_n <=   6.5 & months_since_cert_n >   1.5 & total_deductions_by_hh_size > 205.0","4+","national","ranger","any_error",154,0.4221,0.3337,111.01,5,3,69,"core"
"children_i <=   0.500 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 539.000","2-3","national","ranger","any_error",333,0.3934,0.3333,73.17,23,2,70,"core"
"months_since_cert_n >   6.500 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 157.000 & total_deductions_by_hh_size > 365.000","4+","national","ranger","any_error",49,0.4898,0.3332,102.69,4,2,71,"core"
"medical_deductions > 227.000 & percent_abawd <=   0.250 & unc_rawben_rel_max >   0.823 & unc_rawben_rel_max <=   0.991","1","national","ranger","any_error",137,0.4234,0.3299,75.61,7,3,72,"core"
"medical_deductions >  132.00 & medical_deductions <=  438.00 & shelter_expenses_by_hh_size <= 2230.00 & unc_rawben_rel_max >    1.95","1","national","ranger","any_error",47,0.4894,0.3298,97.6,2,1,73,"core"
"count_divisible_by_100 >   0.5 & months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 253.0 & utilities > 790.0","4+","national","ranger","any_error",35,0.5143,0.3295,98.97,3,3,74,"core"
"shelter_expenses_by_hh_size >= 2500.00 & unc_rawben_rel_max <    1.21","1","national","xgboost","any_error",57,0.4737,0.3289,83.47,1,1,75,"core"
"medical_deductions <   4.5 & months_since_cert_n >=  10.5 & total_deductions_by_hh_size >= 217.0","4+","national","xgboost","any_error",146,0.4178,0.3275,92.32,9,1,76,"core"
"elderly_disabled_i >=   0.500 & rawben_rel_max >=   0.986 & rawben_rel_max <   0.991 & total_deductions_by_hh_size >= 766.000","1","national","xgboost","any_error",272,0.3934,0.3272,65.26,18,8,77,"core"
"months_since_cert_n <   19.5 & shelter_expenses_by_hh_size < 1770.0 & unc_rawben_rel_max >=    2.6","1","national","xgboost","any_error",117,0.4274,0.3265,85.17,5,4,78,"core"
"months_since_cert_n <   7.500 & rawben_rel_max <   0.995 & total_deductions_by_hh_size >= 611.000","2-3","national","xgboost","any_error",304,0.3882,0.3256,70.74,17,1,79,"core"
"HH_size_n >=   4.500 & months_since_cert_n >=   6.500 & rawben_rel_max <   0.976 & utilities >= 902.000","4+","national","xgboost","any_error",91,0.4396,0.3253,128.36,22,17,80,"core"
