"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"medical_deductions >= 182 & medical_deductions < 268 & shelter_expenses_by_hh_size >= 537","2-3","national","xgboost","any_error",68,0.4412,0.3106,68.37,2,1,59,"core"
"months_since_cert_n >=  12.500 & rawben_rel_max >=   0.584 & shelter_expenses_by_hh_size < 794.000 & total_deductions_by_hh_size >= 602.000","1","national","xgboost","any_error",146,0.3973,0.3084,63.38,2,1,60,"core"
"percent_abawd > 0.125 & rawben_rel_max <= 0.700 & unc_rawben_rel_max > 0.675","2-3","national","ranger","any_error",50,0.46,0.3081,79.32,1,1,61,"core"
"cat_elig <   1.500 & medical_deductions >= 104.000 & rawben_rel_max >=   0.886 & utilities < 682.000","2-3","national","xgboost","any_error",53,0.4528,0.3056,107.3,3,2,62,"core"
"rawben_rel_max <   0.996 & total_deductions_by_hh_size >= 444.000 & utilities < 436.000","2-3","national","xgboost","any_error",534,0.3502,0.3039,68.17,8,4,63,"core"
"HH_size_n >   5.5 & married >   0.5 & months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 330.0","4+","national","ranger","any_error",64,0.4375,0.3038,126.42,1,1,64,"core"
"count_divisible_by_100 >= 0.500 & months_since_cert_n < 5.500 & rawben_rel_max >= 0.403 & rawben_rel_max < 0.486","2-3","national","xgboost","any_error",75,0.4267,0.3032,53.69,2,2,65,"core"
"rawben_rel_max >=   0.351 & rawben_rel_max <   0.414 & total_deductions_by_hh_size >= 192.000 & total_deductions_by_hh_size < 294.000","4+","national","xgboost","any_error",134,0.3955,0.3032,70.13,1,1,66,"core"
"HH_size_n >   2.50 & total_deductions_by_hh_size > 468.00 & unc_rawben_rel_max <=   0.78 & utilities <= 578.00","2-3","national","ranger","any_error",78,0.4231,0.3021,69.42,1,1,67,"core"
"elderly_disabled_i <=  0.500 & expedited_i >  0.500 & rawben_rel_max <=  0.535 & utilities > 18.500","1","national","ranger","any_error",112,0.4018,0.301,76.62,2,2,68,"core"
"count_divisible_by_100 <= 0.500 & expedited_i <= 0.500 & rawben_rel_max > 0.998 & unc_rawben_rel_max > 1.350","4+","national","ranger","any_error",38,0.4737,0.3007,136.76,2,1,69,"core"
"married > 0.500 & months_since_cert_n > 5.500 & rawben_rel_max > 0.809 & rawben_rel_max <= 0.959","4+","national","ranger","any_error",226,0.3717,0.3007,91.95,8,4,70,"core"
"expedited_i >  0.500 & total_deductions_by_hh_size >  9.500 & unc_rawben_rel_max <=  0.914 & utilities <= 31.500","2-3","national","ranger","any_error",110,0.4,0.2985,77.6,3,3,71,"core"
"HH_size_n > 4.500 & months_since_cert_n > 5.500 & percent_abawd > 0.191 & percent_abawd <= 0.550","4+","national","ranger","any_error",93,0.4086,0.2983,109.15,1,1,72,"core"
"count_divisible_by_100 >   0.5 & months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 297.0 & utilities >  30.5","4+","national","ranger","any_error",114,0.3947,0.2954,86.54,1,1,73,"core"
"count_divisible_by_100 > 1.500 & married > 0.500 & unc_rawben_rel_max > 0.502 & unc_rawben_rel_max <= 0.976","4+","national","ranger","any_error",36,0.4722,0.2954,84.69,1,1,74,"core"
"HH_size_n <=   2.500 & rawben_rel_max >   0.997 & shelter_expenses_by_hh_size <= 679.000 & total_deductions_by_hh_size > 616.000","2-3","national","ranger","any_error",52,0.4423,0.2952,116.06,2,1,75,"core"
"months_since_cert_n >=  2.5 & shelter_expenses_by_hh_size < 60.3 & total_deductions_by_hh_size >= 50.0 & total_deductions_by_hh_size < 58.1","4+","national","xgboost","any_error",44,0.4545,0.2947,98,1,1,76,"core"
"HH_size_n >   4.500 & rawben_rel_max <=   0.961 & shelter_expenses_by_hh_size > 251.000 & unc_rawben_rel_max >   0.813","4+","national","ranger","any_error",307,0.355,0.2945,99.49,6,4,77,"core"
"homeless >=   0.500 & rawben_rel_max <   0.995 & shelter_expenses_by_hh_size >= 618.000 & utilities < 826.000","1","national","xgboost","any_error",171,0.3743,0.2933,51.16,2,2,78,"core"
"children_i <=    0.500 & medical_deductions >  570.000 & total_deductions_by_hh_size <= 1200.000 & unc_rawben_rel_max <=    0.993","1","national","ranger","any_error",39,0.4615,0.2922,86.13,3,2,79,"core"
"shelter_expenses_by_hh_size >= 1830.00 & total_deductions_by_hh_size >= 1120.00 & unc_rawben_rel_max <    1.02","1","national","xgboost","any_error",300,0.35,0.2891,55.34,2,1,80,"core"
"HH_size_n >=   2.500 & percent_abawd >=   0.167 & rawben_rel_max <   0.667 & total_deductions_by_hh_size >= 169.000","2-3","national","xgboost","any_error",165,0.3697,0.2877,72.04,1,1,81,"core"
"expedited_i >  0.500 & rawben_rel_max <=  0.947 & unc_rawben_rel_max >  0.910 & utilities > 30.500","4+","national","ranger","any_error",39,0.4615,0.2922,97.05,4,3,82,"buffer"
"HH_size_n >=   2.500 & rawben_rel_max <   0.943 & total_deductions_by_hh_size >= 437.000 & utilities < 451.000","2-3","national","xgboost","any_error",90,0.4,0.2889,66.22,4,2,83,"buffer"
"cat_elig >=   0.500 & medical_deductions >= 124.000 & rawben_rel_max >=   0.614 & unc_rawben_rel_max >=  -0.012","2-3","national","xgboost","any_error",242,0.3554,0.2877,69.76,2,1,84,"buffer"
"medical_deductions > 108.000 & months_since_cert_n >  11.500 & rawben_rel_max >   0.160 & unc_rawben_rel_max >   0.157","2-3","national","ranger","any_error",150,0.3733,0.2874,55.47,15,8,85,"buffer"
"HH_size_n >  5.500 & married <=  0.500 & rawben_rel_max <=  0.976 & total_deductions_by_hh_size > 11.900","4+","national","ranger","any_error",1047,0.32,0.2874,73.47,24,15,86,"buffer"
"shelter_expenses_by_hh_size < 401.00 & total_deductions_by_hh_size >= 306.00 & total_deductions_by_hh_size < 341.00 & unc_rawben_rel_max <   1.31","4+","national","xgboost","any_error",82,0.4024,0.2863,78.63,5,3,87,"buffer"
"expedited_i >  0.500 & percent_abawd >  0.500 & total_deductions_by_hh_size > 57.200 & unc_rawben_rel_max <=  0.804","1","national","ranger","any_error",94,0.3936,0.2853,66.09,1,1,88,"buffer"
"cat_elig >   0.500 & months_since_cert_n >   5.500 & shelter_expenses_by_hh_size > 260.000 & unc_rawben_rel_max <=   0.973","4+","national","ranger","any_error",1311,0.3135,0.2845,71.69,2,1,89,"buffer"
"cat_elig >   0.500 & medical_deductions > 138.000 & percent_abawd <=   0.417 & rawben_rel_max >   0.142","2-3","national","ranger","any_error",473,0.3319,0.2837,51.47,4,2,90,"buffer"
"unc_rawben_rel_max > 1.43","4+","national","ranger","any_error",32,0.4688,0.2834,125.38,2,1,91,"buffer"
"children_i >   0.50 & count_divisible_by_100 <=   0.50 & medical_deductions > 192.00 & total_deductions_by_hh_size >   1.27","2-3","national","ranger","any_error",43,0.4419,0.2822,68.4,5,3,92,"buffer"
"elderly_disabled_i >   0.5 & HH_size_n >   2.5 & months_since_cert_n <=   7.5 & total_deductions_by_hh_size > 339.0","2-3","national","ranger","any_error",194,0.3557,0.2806,83.4,1,1,93,"buffer"
"percent_abawd >   0.0885 & rawben_rel_max <=   0.9820 & shelter_expenses_by_hh_size > 249.0000 & total_deductions_by_hh_size <= 211.0000","4+","national","ranger","any_error",154,0.3636,0.2795,75.82,1,1,94,"buffer"
"shelter_expenses_by_hh_size >= 597.00000 & total_deductions_by_hh_size < 604.00000 & unc_rawben_rel_max >=  -0.00756 & unc_rawben_rel_max <  -0.00172","1","national","xgboost","any_error",96,0.3854,0.2789,66.42,1,1,95,"buffer"
