"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"HH_size_n <=   6.500 & months_since_cert_n >   5.500 & rawben_rel_max <=   0.976 & total_deductions_by_hh_size > 135.000","4+","state","ranger","any_error",34,0.5588,0.3666,129.71,34,33,41,"core"
"months_since_cert_n >   5.5 & months_since_cert_n <=   9.5 & shelter_expenses_by_hh_size > 103.0 & utilities >  26.0","4+","state","ranger","any_error",54,0.5185,0.366,116.48,54,31,42,"core"
"months_since_cert_n >=   6.50 & unc_rawben_rel_max >=   1.79 & utilities < 466.00","1","national","xgboost","any_error",358,0.4246,0.3654,80.81,10,5,43,"core"
"children_i > 0.500 & rawben_rel_max <= 0.748 & unc_rawben_rel_max > 0.612 & unc_rawben_rel_max <= 0.705","2-3","state","ranger","any_error",32,0.5625,0.3646,68.12,32,6,44,"core"
"elderly_disabled_i >=   0.50 & total_deductions_by_hh_size >= 293.00 & unc_rawben_rel_max >=   1.52 & utilities < 388.00","1","national","xgboost","any_error",363,0.4187,0.3601,74.72,11,4,45,"core"
"medical_deductions >= 181.0000 & rawben_rel_max >=   0.3140 & unc_rawben_rel_max >=  -0.0271 & utilities < 726.0000","2-3","national","xgboost","any_error",144,0.4514,0.3584,70.95,11,6,46,"core"
"children_i >  0.500 & elderly_disabled_i >  0.500 & unc_rawben_rel_max > -0.447","1","national","ranger","any_error",37,0.5405,0.3573,105.03,1,1,47,"core"
"HH_size_n >=   4.500 & rawben_rel_max <   0.997 & total_deductions_by_hh_size >= 385.000","4+","national","xgboost","any_error",35,0.5429,0.3548,105.2,1,1,48,"core"
"medical_deductions > 216.000 & rawben_rel_max >   0.315 & rawben_rel_max <=   0.997 & utilities <= 414.000","1","national","ranger","any_error",143,0.4476,0.3545,66.15,9,6,49,"core"
"elderly_disabled_i >   0.5 & expedited_i <=   0.5 & total_deductions_by_hh_size > 539.0 & utilities <= 490.0","2-3","national","ranger","any_error",148,0.4459,0.3545,99.03,5,1,50,"core"
"cat_elig >   0.5 & elderly_disabled_i >   0.5 & total_deductions_by_hh_size > 494.0 & utilities <=  30.5","1","national","ranger","any_error",400,0.4075,0.352,66.35,9,1,51,"core"
"elderly_disabled_i >=   0.50 & total_deductions_by_hh_size < 684.00 & unc_rawben_rel_max >=   1.53 & utilities < 454.00","1","national","xgboost","any_error",259,0.4208,0.3518,77.03,6,1,52,"core"
"elderly_disabled_i >   0.5 & shelter_expenses_by_hh_size > 922.0 & total_deductions_by_hh_size > 343.0 & utilities <=   8.0","1","national","ranger","any_error",227,0.4229,0.3493,70.67,5,2,53,"core"
"months_since_cert_n >=  3.500 & rawben_rel_max <  0.494 & utilities >= 56.500","4+","state","xgboost","any_error",31,0.5484,0.3492,95.06,31,15,54,"buffer"
"rawben_rel_max <   0.995 & total_deductions_by_hh_size >= 640.000 & utilities < 282.000","1","national","xgboost","any_error",374,0.4064,0.3491,68.9,17,4,55,"buffer"
"elderly_disabled_i >   0.5 & homeless >   0.5 & shelter_expenses_by_hh_size > 620.0 & utilities <= 428.0","1","national","ranger","any_error",47,0.5106,0.3489,75.87,2,2,56,"buffer"
"elderly_disabled_i <= 0.500 & rawben_rel_max > 0.612 & unc_rawben_rel_max <= 0.724","2-3","state","ranger","any_error",38,0.5263,0.3467,63.37,38,4,57,"buffer"
"cat_elig >  0.50 & unc_rawben_rel_max >  1.55 & utilities > 29.50","2-3","national","ranger","any_error",227,0.4185,0.3451,125.34,5,1,58,"buffer"
"married <=   0.500 & total_deductions_by_hh_size > 187.000 & unc_rawben_rel_max <=   0.794 & utilities > 382.000","2-3","state","ranger","any_error",36,0.5278,0.3437,88.39,36,25,59,"buffer"
"months_since_cert_n <=  15.500 & shelter_expenses_by_hh_size <= 674.000 & unc_rawben_rel_max >   0.612 & unc_rawben_rel_max <=   0.703","2-3","state","ranger","any_error",36,0.5278,0.3437,74.28,36,2,60,"buffer"
"medical_deductions >= 194.000 & rawben_rel_max >=   0.225 & total_deductions_by_hh_size >=  52.500 & utilities < 451.000","2-3","national","xgboost","any_error",94,0.4574,0.3435,61.6,15,1,61,"buffer"
"HH_size_n > 4.500 & percent_abawd > 0.050 & rawben_rel_max > 0.851 & unc_rawben_rel_max <= 0.982","4+","national","ranger","any_error",43,0.5116,0.3432,164.09,11,6,62,"buffer"
"months_since_cert_n <=  9.500 & rawben_rel_max >  0.657 & total_deductions_by_hh_size > 57.600 & unc_rawben_rel_max <=  0.973","4+","state","ranger","any_error",72,0.4722,0.3422,117.92,72,49,63,"buffer"
"children_i <=   0.500 & total_deductions_by_hh_size > 471.000 & unc_rawben_rel_max <=   0.863 & utilities <= 490.000","2-3","national","ranger","any_error",135,0.437,0.3421,74.13,5,1,64,"buffer"
"rawben_rel_max <   0.86 & total_deductions_by_hh_size >= 585.00 & utilities < 416.00","2-3","national","xgboost","any_error",82,0.4634,0.3416,90.37,9,2,65,"buffer"
"percent_abawd >=   0.167 & percent_abawd <   0.417 & total_deductions_by_hh_size >= 222.000","2-3","state","xgboost","any_error",34,0.5294,0.3404,103.85,34,20,66,"buffer"
"months_since_cert_n > 6.500 & months_since_cert_n <= 9.500 & unc_rawben_rel_max <= 0.988","4+","state","ranger","any_error",41,0.5122,0.3401,119.41,41,3,67,"buffer"
"medical_deductions >= 202.000 & rawben_rel_max >=   0.495","2-3","national","xgboost","any_error",123,0.439,0.3397,80.56,3,1,68,"buffer"
"HH_size_n >=   4.500 & rawben_rel_max <   0.793 & total_deductions_by_hh_size >= 321.000","4+","national","xgboost","any_error",75,0.4667,0.3395,93.43,2,1,69,"buffer"
"months_since_cert_n >=  15.500 & rawben_rel_max >=   0.943 & total_deductions_by_hh_size >= 344.000 & utilities < 360.000","1","national","xgboost","any_error",149,0.4295,0.3393,76.04,4,1,70,"buffer"
"months_since_cert_n >=   6.500 & rawben_rel_max >=   0.996 & unc_rawben_rel_max >=   1.630 & utilities < 411.000","1","national","xgboost","any_error",341,0.3988,0.3392,75.58,10,1,71,"buffer"
"elderly_disabled_i >   0.50 & medical_deductions <=   0.50 & percent_abawd >   0.75 & total_deductions_by_hh_size > 684.00","1","national","ranger","any_error",32,0.5312,0.3369,81.38,5,3,72,"buffer"
"married <= 0.500 & rawben_rel_max > 0.629 & rawben_rel_max <= 0.731","2-3","state","ranger","any_error",32,0.5312,0.3369,62.78,32,2,73,"buffer"
"rawben_rel_max >   0.608 & rawben_rel_max <=   0.732 & shelter_expenses_by_hh_size <= 819.000 & total_deductions_by_hh_size >  87.100","2-3","state","ranger","any_error",39,0.5128,0.3368,64.59,39,1,74,"buffer"
"HH_size_n >=   2.5 & months_since_cert_n >=   2.5 & total_deductions_by_hh_size >= 645.0","2-3","national","xgboost","any_error",51,0.4902,0.3363,108.2,2,1,75,"buffer"
"HH_size_n >= 4.500 & rawben_rel_max >= 0.875 & rawben_rel_max < 0.881","4+","national","xgboost","any_error",61,0.4754,0.3349,77.23,2,1,76,"buffer"
"children_i <=   0.500 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 504.000 & utilities <=  14.500","1","national","ranger","any_error",415,0.388,0.3341,62.49,11,2,77,"buffer"
"HH_size_n >   5.5 & HH_size_n <=   6.5 & months_since_cert_n >   1.5 & total_deductions_by_hh_size > 205.0","4+","national","ranger","any_error",154,0.4221,0.3337,111.01,2,1,78,"buffer"
"percent_abawd >=   0.167 & percent_abawd <   0.417 & rawben_rel_max >=   0.288 & shelter_expenses_by_hh_size >= 299.000","2-3","state","xgboost","any_error",37,0.5135,0.3333,99.19,37,9,79,"buffer"
"rawben_rel_max >  0.602 & rawben_rel_max <=  0.734 & total_deductions_by_hh_size > 87.100","2-3","state","ranger","any_error",42,0.5,0.3311,67.17,42,1,80,"buffer"
"medical_deductions >= 196.000 & rawben_rel_max >=   0.684 & rawben_rel_max <   0.961 & shelter_expenses_by_hh_size < 738.000","1","national","xgboost","any_error",82,0.4512,0.3304,77.44,5,2,81,"buffer"
"months_since_cert_n >   5.500 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 182.000 & utilities <= 278.000","4+","national","ranger","any_error",82,0.4512,0.3304,85.67,7,3,82,"buffer"
"rawben_rel_max >=   0.309 & rawben_rel_max <   0.995 & total_deductions_by_hh_size >= 502.000 & utilities < 304.000","1","national","xgboost","any_error",727,0.37,0.3295,54.35,23,1,83,"buffer"
"medical_deductions >= 178.000 & rawben_rel_max >=   0.151 & total_deductions_by_hh_size >=  39.700 & utilities < 451.000","2-3","national","xgboost","any_error",114,0.4298,0.3276,55.36,17,2,84,"buffer"
"married <   0.500 & percent_abawd <   0.417 & rawben_rel_max <   0.683 & total_deductions_by_hh_size >= 236.000","2-3","state","xgboost","any_error",40,0.5,0.3274,75.8,40,12,85,"buffer"
"elderly_disabled_i <   0.5 & shelter_expenses_by_hh_size < 454.0 & total_deductions_by_hh_size >= 312.0","4+","national","xgboost","any_error",264,0.3939,0.3268,83.98,5,2,86,"buffer"
"cat_elig >   1.5000 & percent_abawd >   0.0833 & shelter_expenses_by_hh_size > 252.0000 & total_deductions_by_hh_size > 246.0000","4+","national","ranger","any_error",33,0.5152,0.3254,106.97,11,2,87,"buffer"
"rawben_rel_max <   0.841 & shelter_expenses_by_hh_size >= 543.000 & total_deductions_by_hh_size >= 453.000 & utilities < 362.000","2-3","national","xgboost","any_error",99,0.4343,0.3249,96.66,6,2,88,"buffer"
"months_since_cert_n >  10.5 & total_deductions_by_hh_size > 424.0 & utilities <=  29.5","1","national","ranger","any_error",205,0.4,0.324,67.07,8,2,89,"buffer"
"HH_size_n >   5.5 & HH_size_n <=   6.5 & total_deductions_by_hh_size > 218.0 & total_deductions_by_hh_size <= 468.0","4+","national","ranger","any_error",145,0.4138,0.3234,109.41,2,1,90,"buffer"
"months_since_cert_n >=  5.5 & months_since_cert_n <  9.5 & shelter_expenses_by_hh_size >= 94.4","4+","state","xgboost","any_error",63,0.4603,0.3233,105.02,63,5,91,"buffer"
"cat_elig > 1.500 & percent_abawd <= 0.167 & rawben_rel_max > 0.994 & rawben_rel_max <= 0.997","2-3","national","ranger","any_error",58,0.4655,0.3227,82.02,3,1,92,"buffer"
"children_i > 0.500 & months_since_cert_n > 5.500 & months_since_cert_n <= 9.500 & rawben_rel_max <= 0.883","4+","state","ranger","any_error",58,0.4655,0.3227,89.6,58,3,93,"buffer"
"expedited_i <= 0.500 & HH_size_n > 4.500 & months_since_cert_n > 5.500 & percent_abawd > 0.268","4+","national","ranger","any_error",58,0.4655,0.3227,153.29,19,2,94,"buffer"
"rawben_rel_max >=   0.9850 & rawben_rel_max <   0.9910 & unc_rawben_rel_max >=  -0.0227 & utilities < 476.0000","1","national","xgboost","any_error",396,0.3763,0.3217,55.73,8,1,95,"buffer"
"rawben_rel_max <   0.996 & shelter_expenses_by_hh_size >= 843.000 & unc_rawben_rel_max <   1.680 & utilities < 552.000","2-3","national","xgboost","any_error",288,0.3854,0.3214,89.09,6,2,96,"buffer"
"children_i >   0.5 & married <=   0.5 & medical_deductions > 203.0 & utilities >  14.0","2-3","national","ranger","any_error",31,0.5161,0.3211,85.32,2,2,97,"buffer"
"HH_size_n <=   6.500 & months_since_cert_n >   6.500 & percent_abawd >   0.155 & shelter_expenses_by_hh_size > 184.000","4+","state","ranger","any_error",31,0.5161,0.3211,122.26,31,2,98,"buffer"
"cat_elig >   0.5 & HH_size_n >   5.5 & shelter_expenses_by_hh_size <= 310.0 & total_deductions_by_hh_size > 183.0","4+","national","ranger","any_error",160,0.4062,0.3204,105.61,2,1,99,"buffer"
"rawben_rel_max <   0.991 & total_deductions_by_hh_size >= 848.000 & utilities < 340.000","1","national","xgboost","any_error",191,0.3979,0.3194,72.05,13,4,100,"buffer"
"percent_abawd >=  0.191 & rawben_rel_max >=  0.656 & rawben_rel_max <  0.971 & total_deductions_by_hh_size >= 55.400","4+","state","xgboost","any_error",56,0.4643,0.3194,105.77,56,1,101,"buffer"
