"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"elderly_disabled_i >   0.5 & medical_deductions > 138.0 & total_deductions_by_hh_size > 503.0","2-3","national","ranger","any_error",185,0.4432,0.3611,81.37,23,1,64,"core"
"medical_deductions > 128 & shelter_expenses_by_hh_size > 967 & utilities <= 902","2-3","national","ranger","any_error",57,0.5088,0.3608,91.02,11,1,65,"core"
"elderly_disabled_i >=   0.50 & total_deductions_by_hh_size >= 293.00 & unc_rawben_rel_max >=   1.52 & utilities < 388.00","1","national","xgboost","any_error",363,0.4187,0.3601,74.72,4,1,66,"core"
"rawben_rel_max >=   0.987 & rawben_rel_max <   0.991 & total_deductions_by_hh_size >=   2.800 & utilities < 574.000","1","national","xgboost","any_error",432,0.412,0.3584,59.67,10,3,67,"core"
"married >=   0.500 & rawben_rel_max <   0.482 & shelter_expenses_by_hh_size >= 847.000 & utilities < 856.000","2-3","national","xgboost","any_error",105,0.4667,0.3579,96.67,6,3,68,"core"
"expedited_i >   0.500 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 987.000","1","national","ranger","any_error",86,0.4767,0.3566,81.98,9,3,69,"core"
"HH_size_n >=   4.500 & rawben_rel_max <   0.997 & total_deductions_by_hh_size >= 385.000","4+","national","xgboost","any_error",35,0.5429,0.3548,105.2,6,2,70,"core"
"expedited_i <=   0.500 & rawben_rel_max >   0.997 & shelter_expenses_by_hh_size <= 670.000 & unc_rawben_rel_max >   1.520","2-3","national","ranger","any_error",143,0.4476,0.3545,126.97,4,1,71,"core"
"elderly_disabled_i >=   0.500 & rawben_rel_max >=   0.987 & rawben_rel_max <   0.991 & utilities < 824.000","1","national","xgboost","any_error",567,0.4004,0.3537,55.21,18,9,72,"core"
"HH_size_n >   2.500 & months_since_cert_n <=   9.500 & percent_abawd <=   0.583 & total_deductions_by_hh_size > 387.000","2-3","state","ranger","any_error",33,0.5455,0.3521,114.39,33,15,73,"core"
"months_since_cert_n >=  11.50 & shelter_expenses_by_hh_size >= 413.00 & unc_rawben_rel_max >=   1.35 & utilities >= 598.00","2-3","national","xgboost","any_error",33,0.5455,0.3521,163.58,3,1,74,"core"
"elderly_disabled_i >=   0.50 & total_deductions_by_hh_size < 684.00 & unc_rawben_rel_max >=   1.53 & utilities < 454.00","1","national","xgboost","any_error",259,0.4208,0.3518,77.03,3,1,75,"core"
"cat_elig >   0.500 & medical_deductions > 574.000 & percent_abawd <=   0.250 & rawben_rel_max <=   0.991","1","national","ranger","any_error",68,0.4853,0.3507,90.15,5,1,76,"core"
"rawben_rel_max <   0.995 & total_deductions_by_hh_size >= 640.000 & utilities < 282.000","1","national","xgboost","any_error",374,0.4064,0.3491,68.9,10,1,77,"core"
"rawben_rel_max >=   0.600 & rawben_rel_max <   0.997 & shelter_expenses_by_hh_size >= 976.000 & total_deductions_by_hh_size >= 438.000","2-3","national","xgboost","any_error",133,0.4436,0.3476,107.05,10,2,78,"core"
"expedited_i <=   0.500 & shelter_expenses_by_hh_size > 898.000 & total_deductions_by_hh_size > 602.000 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",226,0.4204,0.3467,84.38,21,1,79,"core"
"cat_elig >    0.500 & rawben_rel_max <=    0.991 & shelter_expenses_by_hh_size > 2120.000 & unc_rawben_rel_max <=    0.323","1","national","ranger","any_error",45,0.5111,0.3462,100.71,8,2,80,"core"
"medical_deductions >=   3.50 & medical_deductions <   7.00 & percent_abawd <   0.25 & utilities >= 470.00","1","national","xgboost","any_error",45,0.5111,0.3462,37.42,5,2,81,"core"
"elderly_disabled_i >   0.5 & total_deductions_by_hh_size <= 960.0 & unc_rawben_rel_max >   1.8 & utilities <= 820.0","1","national","ranger","any_error",380,0.4026,0.3459,64.37,7,3,82,"core"
"months_since_cert_n <   11.50 & shelter_expenses_by_hh_size < 1800.00 & unc_rawben_rel_max >=    2.54 & utilities <  748.00","1","national","xgboost","any_error",96,0.4583,0.3454,88.03,2,2,83,"core"
"elderly_disabled_i >=   0.5 & total_deductions_by_hh_size >= 562.0 & utilities < 278.0","1","national","xgboost","any_error",518,0.3938,0.3452,65.68,11,1,84,"core"
"HH_size_n > 4.500 & percent_abawd > 0.050 & rawben_rel_max > 0.851 & unc_rawben_rel_max <= 0.982","4+","national","ranger","any_error",43,0.5116,0.3432,164.09,1,1,85,"core"
"cat_elig <   1.500 & months_since_cert_n >=  10.500 & rawben_rel_max >=   0.429 & total_deductions_by_hh_size >= 239.000","4+","national","xgboost","any_error",60,0.4833,0.341,76.8,1,1,86,"core"
"elderly_disabled_i >   0.500 & shelter_expenses_by_hh_size > 955.000 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",222,0.4144,0.3404,78.65,17,1,87,"core"
"medical_deductions >= 122.000 & medical_deductions < 130.000 & rawben_rel_max >=   0.382","1","national","xgboost","any_error",85,0.4588,0.3394,36.74,2,2,88,"core"
"HH_size_n >=   2.50 & medical_deductions < 122.00 & unc_rawben_rel_max >=   1.45 & utilities >= 372.00","2-3","national","xgboost","any_error",53,0.4906,0.3393,127.66,2,1,89,"core"
"children_i <=   0.500 & married >   0.500 & total_deductions_by_hh_size > 541.000 & unc_rawben_rel_max <=   0.996","2-3","national","ranger","any_error",228,0.4123,0.3393,76.66,14,1,90,"core"
"elderly_disabled_i >   0.50 & shelter_expenses_by_hh_size <= 902.00 & unc_rawben_rel_max >   1.79","1","national","ranger","any_error",382,0.3953,0.339,64.41,7,1,91,"core"
"total_deductions_by_hh_size >= 568 & utilities < 856","2-3","state","xgboost","any_error",46,0.5,0.3378,121.54,46,2,92,"core"
"children_i > 0.50 & HH_size_n > 2.50 & unc_rawben_rel_max > 1.41","2-3","national","ranger","any_error",68,0.4706,0.3372,127.16,3,1,93,"core"
"shelter_expenses_by_hh_size >= 481 & total_deductions_by_hh_size >= 232 & total_deductions_by_hh_size < 260","4+","national","xgboost","any_error",91,0.4505,0.3354,114.93,2,2,94,"core"
"months_since_cert_n <=   32.5 & shelter_expenses_by_hh_size > 2310.0 & unc_rawben_rel_max <=    1.0","1","national","ranger","any_error",86,0.4535,0.3351,82.62,13,2,95,"core"
"children_i <=   0.500 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 504.000 & utilities <=  14.500","1","national","ranger","any_error",415,0.388,0.3341,62.49,8,1,96,"core"
"HH_size_n >   5.5 & HH_size_n <=   6.5 & months_since_cert_n >   1.5 & total_deductions_by_hh_size > 205.0","4+","national","ranger","any_error",154,0.4221,0.3337,111.01,5,2,97,"core"
"children_i <=   0.500 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 539.000","2-3","national","ranger","any_error",333,0.3934,0.3333,73.17,23,1,98,"core"
"expedited_i <=    0.500 & months_since_cert_n >    2.500 & rawben_rel_max <=    0.312 & shelter_expenses_by_hh_size > 2110.000","1","national","ranger","any_error",30,0.5333,0.3332,102.97,4,1,99,"core"
"medical_deductions <= 168.0 & months_since_cert_n <=   5.5 & total_deductions_by_hh_size > 570.0","2-3","state","ranger","any_error",30,0.5333,0.3332,128.07,30,1,100,"core"
"months_since_cert_n >   5.500 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 182.000 & utilities <= 278.000","4+","national","ranger","any_error",82,0.4512,0.3304,85.67,1,1,101,"core"
"shelter_expenses_by_hh_size >=  800.00 & shelter_expenses_by_hh_size < 1990.00 & unc_rawben_rel_max >=    2.41 & utilities <  820.00","1","national","xgboost","any_error",215,0.4047,0.3301,78.93,6,4,102,"core"
"medical_deductions > 227.000 & percent_abawd <=   0.250 & unc_rawben_rel_max >   0.823 & unc_rawben_rel_max <=   0.991","1","national","ranger","any_error",137,0.4234,0.3299,75.61,6,4,103,"core"
