"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","n_flagged_state","n_new_at_rank","rank","role"
"HH_size_n >   4.500 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size <= 248.000 & total_deductions_by_hh_size > 178.000","4+","national","ranger","any_error",178,0.3764,0.2968,3,1,116,"core"
"months_since_cert_n >  8.500 & total_deductions_by_hh_size > 12.200 & unc_rawben_rel_max >  0.566 & unc_rawben_rel_max <=  0.998","4+","national","ranger","any_error",1035,0.3295,0.2964,13,2,117,"core"
"months_since_cert_n >=  2.00000 & rawben_rel_max >=  0.08000 & unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max < -0.00344","1","national","xgboost","any_error",164,0.378,0.2952,5,1,118,"core"
"expedited_i <=   0.500 & medical_deductions > 140.000 & rawben_rel_max >   0.131 & utilities <= 578.000","2-3","national","ranger","any_error",285,0.3579,0.2951,6,2,119,"core"
"rawben_rel_max >=   0.957 & total_deductions_by_hh_size >= 426.000 & unc_rawben_rel_max <   0.998","2-3","national","xgboost","any_error",120,0.3917,0.2948,2,1,120,"core"
"HH_size_n >   4.500 & rawben_rel_max <=   0.961 & shelter_expenses_by_hh_size > 251.000 & unc_rawben_rel_max >   0.813","4+","national","ranger","any_error",307,0.355,0.2945,1,1,121,"core"
"HH_size_n <   3 & total_deductions_by_hh_size >= 577 & utilities < 580","2-3","national","xgboost","any_error",345,0.3507,0.2937,4,1,122,"core"
"months_since_cert_n >=  10.000 & rawben_rel_max >=   0.581 & unc_rawben_rel_max <   0.823 & utilities < 732.000","4+","national","xgboost","any_error",409,0.3447,0.2924,6,1,123,"core"
"elderly_disabled_i <= 0.500 & expedited_i > 0.500 & months_since_cert_n > 5.500 & unc_rawben_rel_max <= 0.939","4+","national","ranger","any_error",136,0.3824,0.2917,2,1,124,"core"
"HH_size_n >   2.5 & months_since_cert_n <=  10.5 & total_deductions_by_hh_size > 468.0","2-3","national","ranger","any_error",267,0.3558,0.2911,2,1,125,"buffer"
"homeless <=   0.5 & months_since_cert_n >   5.5 & total_deductions_by_hh_size > 426.0 & utilities <=  29.5","1","national","ranger","any_error",462,0.3398,0.2907,18,1,126,"buffer"
"total_deductions_by_hh_size >= 361.000 & unc_rawben_rel_max <   0.998 & utilities < 361.000","2-3","national","xgboost","any_error",396,0.3434,0.2904,9,2,127,"buffer"
"children_i >   0.50 & total_deductions_by_hh_size <= 174.00 & unc_rawben_rel_max <=   0.71","1","national","ranger","any_error",42,0.4524,0.2896,1,1,128,"buffer"
"elderly_disabled_i >   0.5 & homeless >   0.5 & shelter_expenses_by_hh_size > 500.0 & utilities <=  30.5","1","national","ranger","any_error",34,0.4706,0.2896,2,1,129,"buffer"
"count_divisible_by_100 > 0.500 & HH_size_n > 5.500 & unc_rawben_rel_max > 0.417 & unc_rawben_rel_max <= 0.923","4+","national","ranger","any_error",167,0.3713,0.2896,4,2,130,"buffer"
"rawben_rel_max >=   0.581 & shelter_expenses_by_hh_size >=  91.500 & utilities >= 353.000 & utilities < 361.000","4+","national","xgboost","any_error",42,0.4524,0.2896,23,8,131,"buffer"
"expedited_i >=  1.000 & total_deductions_by_hh_size >= 11.300 & unc_rawben_rel_max >=  0.455 & unc_rawben_rel_max <  0.945","4+","national","xgboost","any_error",317,0.347,0.2879,5,1,132,"buffer"
"shelter_expenses_by_hh_size < 457.000 & total_deductions_by_hh_size >= 269.000 & unc_rawben_rel_max >=   0.347 & unc_rawben_rel_max <   0.945","4+","national","xgboost","any_error",537,0.3333,0.2879,8,2,133,"buffer"
"medical_deductions >= 123.000 & shelter_expenses_by_hh_size < 688.000 & unc_rawben_rel_max >=   0.865","2-3","national","xgboost","any_error",73,0.411,0.2877,1,1,134,"buffer"
"months_since_cert_n >   4.5 & total_deductions_by_hh_size >  65.7 & utilities >  31.5 & utilities <= 510.0","4+","state","ranger","any_error",73,0.411,0.2877,73,17,135,"buffer"
"medical_deductions > 108.000 & months_since_cert_n >  11.500 & rawben_rel_max >   0.160 & unc_rawben_rel_max >   0.157","2-3","national","ranger","any_error",150,0.3733,0.2874,3,1,136,"buffer"
"HH_size_n >  5.500 & married <=  0.500 & rawben_rel_max <=  0.976 & total_deductions_by_hh_size > 11.900","4+","national","ranger","any_error",1047,0.32,0.2874,23,10,137,"buffer"
"months_since_cert_n >   4.5 & total_deductions_by_hh_size <= 122.0 & utilities > 362.0 & utilities <= 510.0","4+","state","ranger","any_error",37,0.4595,0.2866,37,8,138,"buffer"
"count_divisible_by_100 >   1.500 & expedited_i <=   0.500 & unc_rawben_rel_max <=   0.903 & utilities <= 457.000","4+","national","ranger","any_error",62,0.4194,0.2859,3,1,139,"buffer"
"expedited_i <=  0.5 & months_since_cert_n >  5.5 & shelter_expenses_by_hh_size > 90.9 & unc_rawben_rel_max <=  1.0","4+","state","ranger","any_error",48,0.4375,0.2858,48,1,140,"buffer"
"expedited_i >  0.500 & percent_abawd >  0.500 & total_deductions_by_hh_size > 57.200 & unc_rawben_rel_max <=  0.804","1","national","ranger","any_error",94,0.3936,0.2853,2,2,141,"buffer"
"elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size < 347.00 & total_deductions_by_hh_size < 565.00 & unc_rawben_rel_max >=   1.24","1","national","xgboost","any_error",142,0.3732,0.2851,6,1,142,"buffer"
"HH_size_n >   2.500 & percent_abawd <=   0.125 & shelter_expenses_by_hh_size <= 519.000 & total_deductions_by_hh_size > 451.000","2-3","national","ranger","any_error",130,0.3769,0.2848,1,1,143,"buffer"
"shelter_expenses_by_hh_size > 898.000 & unc_rawben_rel_max >   0.737 & utilities <=   8.000","1","national","ranger","any_error",251,0.3506,0.2844,7,1,144,"buffer"
"total_deductions_by_hh_size >= 95.000 & unc_rawben_rel_max >=  0.993 & unc_rawben_rel_max <  0.998","2-3","national","xgboost","any_error",204,0.3578,0.2844,5,1,145,"buffer"
