"state","vocab","budget","n_admitted","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_ratio"
"North Carolina","pct",0.05,13045,878,43,10,0.2326,0.131,0.0985,3
"North Carolina","pct",0.1,13045,878,87,25,0.2874,0.131,0.2396,3
"North Dakota","ps",0.05,6750,434,21,3,0.1429,0.0968,0.05,2.95
"North Dakota","ps",0.1,6750,434,43,10,0.2326,0.0968,0.2113,3
"North Dakota","pct",0.05,5695,434,16,3,0.1875,0.0968,0.039,3
"North Dakota","pct",0.1,5695,434,40,8,0.2,0.0968,0.2042,3
"Ohio","ps",0.05,9913,895,41,8,0.1951,0.1017,0.0564,3
"Ohio","ps",0.1,9913,895,89,12,0.1348,0.1017,0.0831,3
"Ohio","pct",0.05,9184,895,44,8,0.1818,0.1017,0.0591,3
"Ohio","pct",0.1,9184,895,89,10,0.1124,0.1017,0.0697,3
"Oklahoma","ps",0.05,17601,873,43,9,0.2093,0.1592,0.0467,3
"Oklahoma","ps",0.1,17601,873,87,20,0.2299,0.1592,0.1148,3
"Oklahoma","pct",0.05,17238,873,43,10,0.2326,0.1592,0.0705,3
"Oklahoma","pct",0.1,17238,873,87,19,0.2184,0.1592,0.1325,3
"Oregon","ps",0.05,15895,823,39,16,0.4103,0.1507,0.1348,3
"Oregon","ps",0.1,15895,823,82,29,0.3537,0.1507,0.2487,3
"Oregon","pct",0.05,15983,823,41,16,0.3902,0.1507,0.1544,3
"Oregon","pct",0.1,15983,823,82,34,0.4146,0.1507,0.3488,3
"Pennsylvania","ps",0.05,10628,760,37,10,0.2703,0.1434,0.0611,3
"Pennsylvania","ps",0.1,10628,760,76,14,0.1842,0.1434,0.0952,3
"Pennsylvania","pct",0.05,11266,760,38,9,0.2368,0.1434,0.0554,3
"Pennsylvania","pct",0.1,11266,760,76,20,0.2632,0.1434,0.164,3
"Rhode Island","ps",0.05,22067,933,44,20,0.4545,0.1801,0.1152,3
"Rhode Island","ps",0.1,22067,933,93,38,0.4086,0.1801,0.2192,3
"Rhode Island","pct",0.05,21511,933,45,21,0.4667,0.1801,0.1412,3
"Rhode Island","pct",0.1,21511,933,93,41,0.4409,0.1801,0.2301,3
"South Carolina","ps",0.05,13267,828,37,10,0.2703,0.1329,0.1493,2.987
"South Carolina","ps",0.1,13267,828,77,21,0.2727,0.1329,0.247,3
"South Carolina","pct",0.05,12636,828,33,7,0.2121,0.1329,0.0722,3
"South Carolina","pct",0.1,12636,828,74,22,0.2973,0.1329,0.2563,3
"South Dakota","ps",0.05,2239,590,29,3,0.1034,0.0492,0.1141,3
"South Dakota","ps",0.1,2239,590,59,11,0.1864,0.0492,0.3838,3
"South Dakota","pct",0.05,2171,590,28,4,0.1429,0.0492,0.2347,3
"South Dakota","pct",0.1,2171,590,59,7,0.1186,0.0492,0.2942,3
"Tennessee","ps",0.05,16469,938,45,9,0.2,0.0991,0.0868,3
"Tennessee","ps",0.1,16469,938,93,17,0.1828,0.0991,0.1604,3
"Tennessee","pct",0.05,15153,938,46,9,0.1957,0.0991,0.0749,3
"Tennessee","pct",0.1,15153,938,93,15,0.1613,0.0991,0.1353,3
"Texas","ps",0.05,10755,832,40,9,0.225,0.149,0.0445,3
"Texas","ps",0.1,10755,832,83,21,0.253,0.149,0.142,3
"Texas","pct",0.05,11048,832,39,8,0.2051,0.149,0.0415,3
"Texas","pct",0.1,11048,832,83,23,0.2771,0.149,0.1835,3
"Utah","ps",0.05,4216,982,49,2,0.0408,0.0438,0.0192,3
"Utah","ps",0.1,4216,982,98,8,0.0816,0.0438,0.2263,3
"Utah","pct",0.05,3381,982,41,1,0.0244,0.0438,0.0266,2.979
"Utah","pct",0.1,3381,982,98,3,0.0306,0.0438,0.0579,3
"Vermont","ps",0.05,6769,631,29,8,0.2759,0.0634,0.2489,3
"Vermont","ps",0.1,6769,631,63,12,0.1905,0.0634,0.3823,3
"Vermont","pct",0.05,6461,631,30,8,0.2667,0.0634,0.2944,3
"Vermont","pct",0.1,6461,631,63,11,0.1746,0.0634,0.35,3
"Virginia","ps",0.05,14984,695,32,11,0.3438,0.1698,0.1392,3
"Virginia","ps",0.1,14984,695,68,22,0.3235,0.1698,0.2657,3
"Virginia","pct",0.05,15126,695,34,13,0.3824,0.1698,0.1934,3
"Virginia","pct",0.1,15126,695,69,26,0.3768,0.1698,0.2977,3
"Washington","ps",0.05,8197,678,33,12,0.3636,0.09,0.2249,3
"Washington","ps",0.1,8197,678,67,20,0.2985,0.09,0.3448,3
"Washington","pct",0.05,9215,678,32,9,0.2812,0.09,0.1511,3
"Washington","pct",0.1,9215,678,67,14,0.209,0.09,0.223,3
"West Virginia","ps",0.05,10589,643,32,10,0.3125,0.0715,0.2052,3
"West Virginia","ps",0.1,10589,643,64,16,0.25,0.0715,0.2947,3
"West Virginia","pct",0.05,9639,643,32,6,0.1875,0.0715,0.1126,3
"West Virginia","pct",0.1,9639,643,64,12,0.1875,0.0715,0.2255,3
"Wisconsin","ps",0.05,10388,979,48,6,0.125,0.0603,0.0772,3
"Wisconsin","ps",0.1,10388,979,97,14,0.1443,0.0603,0.2183,3
"Wisconsin","pct",0.05,9257,979,48,8,0.1667,0.0603,0.1185,3
"Wisconsin","pct",0.1,9257,979,97,15,0.1546,0.0603,0.2984,3
"Wyoming","ps",0.05,0,266,0,0,NA,0.0752,NA,0
"Wyoming","ps",0.1,0,266,0,0,NA,0.0752,NA,0
"Wyoming","pct",0.05,0,266,0,0,NA,0.0752,NA,0
"Wyoming","pct",0.1,0,266,0,0,NA,0.0752,NA,0
