"hh_size","rule_id","n_errors_targeted","max_error_jaccard","nearest_rule","mean_error_jaccard","n_near_duplicates"
"3","rule13232",10,0.13,"rule14190",0.014,0
"3","rule15779",18,0.75,"rule527",0.045,0
"3","rule5099",18,0.5,"rule527",0.037,0
"3","rule527",24,0.75,"rule15779",0.053,0
"3","rule14190",16,0.13,"rule13232",0.015,0
"3","rule13044",75,0.357,"rule17509",0.031,0
"3","rule6230",23,0.486,"rule20833",0.025,0
"3","rule9758",24,0.077,"rule5099",0.013,0
"3","rule17509",96,0.452,"rule12548",0.058,0
"3","rule20833",29,0.486,"rule6230",0.029,0
"3","rule12548",87,0.452,"rule17509",0.048,0
"4","rule2574",39,0.288,"rule5396",0.038,0
"4","rule7139",96,0.053,"rule7256",0.032,0
"4","rule5396",37,0.288,"rule2574",0.037,0
"4","rule8658",20,0.909,"rule8609",0.184,2
"4","rule7544",32,0.062,"rule25351",0.021,0
"4","rule8609",22,0.955,"rule3534",0.193,2
"4","rule3534",21,0.955,"rule8609",0.188,2
"4","rule3661",19,0.4,"rule7256",0.089,0
"4","rule8622",10,0.074,"rule3661",0.017,0
"4","rule7256",44,0.4,"rule3661",0.086,0
"4","rule25351",19,0.357,"rule3661",0.079,0
"5+","rule2536",13,0.591,"rule9592",0.07,0
"5+","rule14272",15,0.038,"rule1763",0.004,0
"5+","rule9592",22,0.591,"rule2536",0.073,0
"5+","rule1763",39,0.449,"rule5742",0.07,0
"5+","rule3648",16,0.1,"rule12764",0.03,0
"5+","rule6141",28,0.057,"rule12764",0.015,0
"5+","rule12764",28,0.1,"rule3648",0.031,0
"5+","rule5742",32,0.449,"rule1763",0.072,0
"5+","rule700",24,0.018,"rule5742",0.004,0
"5+","rule5045",13,0.047,"rule5742",0.01,0
