"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag","collapsed","dominated","dominated_by","pruned_conditions","rule_pruned","precision_recomputed","n_flagged_recomputed"
"1","rule3259","rawunearn < 15.5 & months_since_cert_n >= 3.5 & shelter_expenses >= 793",3,"INCLUDE",0.065,0.012,3.8,451,140,311,0.31,0.177,0.186,4.66,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawunearn < 15.5 & months_since_cert_n >= 3.5 & shelter_expenses >= 793",NA,NA
"1","rule10820","rawgross < 27.5 & shelter_expenses >= 9.5 & utilities < 78",3,"INCLUDE",-0.223,0.031,1.9,228,69,159,0.303,0.087,0.096,4.54,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawgross < 27.5 & shelter_expenses >= 9.5 & utilities < 78",NA,NA
"1","rule1821","rawunearn >= 5.5 & rawearn >= 2.5 & rawgross < 1354 & rawben_rel_max < 0.9769",4,"INCLUDE",-0.084,0.009,1.1,129,39,90,0.302,0.049,0.035,4.53,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawunearn >= 5.5 & rawearn >= 2.5 & rawgross < 1354 & rawben_rel_max < 0.9769",NA,NA
"1","rule4073","rawunearn < 690 & total_deductions >= 18.5 & utilities < 76.5 & rawgross < 51",4,"INCLUDE",-0.102,0.014,2,241,71,170,0.295,0.09,0.099,4.42,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawunearn < 690 & total_deductions >= 18.5 & utilities < 76.5 & rawgross < 51",NA,NA
"1","rule7740","rawunearn >= 220.5 & rawearn >= 3.5 & months_since_cert_n >= 4.5",3,"INCLUDE",-0.503,0.056,1.3,150,44,106,0.293,0.055,0.039,4.4,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawunearn >= 220.5 & rawearn >= 3.5 & months_since_cert_n >= 4.5",NA,NA
"1","rule127","rawunearn >= 0.5 & rawearn >= 1 & months_since_cert_n >= 5.5",3,"INCLUDE",-0.134,0.015,1.3,150,44,106,0.293,0.055,0.041,4.4,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawunearn >= 0.5 & rawearn >= 1 & months_since_cert_n >= 5.5",NA,NA
"1","rule524","rawunearn < 499.5 & shelter_expenses < 1254 & rawben_rel_max < 0.982 & unc_rawben_rel_max >= 0.4344",4,"INCLUDE",-0.071,0.013,3.6,424,124,300,0.292,0.156,0.132,4.39,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawunearn < 499.5 & shelter_expenses < 1254 & rawben_rel_max < 0.982 & unc_rawben_rel_max >= 0.4344",NA,NA
"1","rule9752","percent_abawd < 0.5 & rawearn >= 1 & rawben_rel_max < 0.9566 & rawearn < 690",4,"INCLUDE",-0.35,0.047,1.8,215,62,153,0.288,0.078,0.061,4.33,0.067,"earned_overissuance",FALSE,FALSE,NA,"","percent_abawd < 0.5 & rawearn >= 1 & rawben_rel_max < 0.9566 & rawearn < 690",NA,NA
"1","rule500","rawearn >= 807 & shelter_expenses < 1318 & utilities >= 279 & rawben_rel_max >= 0.6631",4,"INCLUDE",-0.187,0.02,1.1,132,38,94,0.288,0.048,0.036,4.32,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawearn >= 807 & shelter_expenses < 1318 & utilities >= 279 & rawben_rel_max >= 0.6631",NA,NA
"1","rule11363","unc_rawben_rel_max < 1.773 & rawearn >= 1 & rawben_rel_max < 0.9729 & rawearn < 484.5",4,"INCLUDE",-0.013,0.002,1.5,182,52,130,0.286,0.066,0.05,4.29,0.067,"earned_overissuance",FALSE,FALSE,NA,"","unc_rawben_rel_max < 1.773 & rawearn >= 1 & rawben_rel_max < 0.9729 & rawearn < 484.5",NA,NA
"1","rule5117","rawunearn < 450.5 & total_deductions >= 512.8 & total_deductions < 556.4",3,"INCLUDE",-0.364,0.032,0.8,92,26,66,0.283,0.033,0.029,4.24,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawunearn < 450.5 & total_deductions >= 512.8 & total_deductions < 556.4",NA,NA
"1","rule3852","unc_rawben_rel_max >= 1.655 & utilities < 455.5 & months_since_cert_n < 8.5",3,"INCLUDE",-0.026,0.004,2.3,276,78,198,0.283,0.098,0.111,4.24,0.067,"earned_overissuance",FALSE,FALSE,NA,"","unc_rawben_rel_max >= 1.655 & utilities < 455.5 & months_since_cert_n < 8.5",NA,NA
"1","rule2972","rawunearn < 267.5 & total_deductions >= 9.6 & shelter_expenses < 78 & utilities >= 7.5",4,"INCLUDE",-0.158,0.017,1.2,143,40,103,0.28,0.05,0.048,4.2,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawunearn < 267.5 & total_deductions >= 9.6 & shelter_expenses < 78 & utilities >= 7.5",NA,NA
"1","rule8596","elderly_disabled_i %in% c(""FALSE"") & months_since_cert_n >= 13.5 & months_since_cert_n < 21",3,"INCLUDE",-0.2,0.016,0.6,75,21,54,0.28,0.026,0.031,4.2,0.067,"earned_overissuance",FALSE,FALSE,NA,"","elderly_disabled_i %in% c(""FALSE"") & months_since_cert_n >= 13.5 & months_since_cert_n < 21",NA,NA
"1","rule6400","rawgross < 2.5 & count_divisible_by_100 < 0.5 & shelter_expenses >= 15.5 & total_deductions < 320.5",4,"INCLUDE",-0.17,0.016,0.9,112,31,81,0.277,0.039,0.038,4.15,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawgross < 2.5 & count_divisible_by_100 < 0.5 & shelter_expenses >= 15.5 & total_deductions < 320.5",NA,NA
