"hh","rule","source","n_flagged_train","clean_rate_train","clean_rate_train_lcb","n_flagged_holdout","clean_flagged_holdout","clean_rate_holdout","clean_cut_holdout","err_dollars_lost_holdout","workload_pct_holdout","stratum_base_error","stratum_clean_floor","safety_multiple"
"1","elderly_disabled_i >   0.500 & total_deductions_by_hh_size <= 184.000 & unc_rawben_rel_max <=  -0.181","ranger",1437,0.99513,0.99104,666,660,0.991,0.0297,0.0038,2.768,0.0772,0.9846,8.6
"1","cat_elig <=   0.5 & shelter_expenses_by_hh_size > 167.0 & total_deductions_by_hh_size <=   8.8","ranger",297,1,0.99097,150,146,0.9733,0.0066,0.0024,0.623,0.0772,0.9846,8.5
"1","cat_elig <= 0.500 & homeless > 0.500 & rawben_rel_max > 0.991 & unc_rawben_rel_max > 1.200","ranger",493,0.99797,0.99096,230,227,0.987,0.0102,0.002,0.956,0.0772,0.9846,8.5
"1","cat_elig <= 0.5 & expedited_i > 0.5 & homeless > 0.5 & utilities <= 5.0","ranger",296,1,0.99094,138,136,0.9855,0.0061,0.0012,0.573,0.0772,0.9846,8.5
"1","homeless <   1.000 & medical_deductions >= 116.000 & unc_rawben_rel_max <  -0.004","xgboost",824,0.99636,0.99092,388,382,0.9845,0.0172,0.0032,1.612,0.0772,0.9846,8.5
"1","expedited_i <    1.000 & shelter_expenses_by_hh_size < 1530.000 & unc_rawben_rel_max <   -0.056 & utilities >=  426.000","xgboost",1394,0.99498,0.99076,621,614,0.9887,0.0276,0.0061,2.581,0.0772,0.9846,8.4
"1","shelter_expenses_by_hh_size < 1030.000 & unc_rawben_rel_max <   -0.096 & utilities >=  426.000","xgboost",910,0.9956,0.99024,404,399,0.9876,0.018,0.005,1.679,0.0772,0.9846,7.9
"1","married <=   0.5000 & rawben_rel_max >   0.0795 & shelter_expenses_by_hh_size > 406.0000 & total_deductions_by_hh_size <=   8.9000","ranger",272,1,0.99015,299,293,0.9799,0.0132,0.0034,1.243,0.0772,0.9846,7.8
"1","children_i <=   0.50 & total_deductions_by_hh_size <=   7.80 & unc_rawben_rel_max <=   0.24 & utilities > 242.00","ranger",899,0.99555,0.99013,436,430,0.9862,0.0193,0.0047,1.812,0.0772,0.9846,7.8
"1","total_deductions_by_hh_size <  63.000 & unc_rawben_rel_max <  -0.004 & utilities >= 369.000","xgboost",451,0.99778,0.99012,227,226,0.9956,0.0102,0.001,0.943,0.0772,0.9846,7.8
"1","medical_deductions >= 104.000 & rawben_rel_max <   0.288 & total_deductions_by_hh_size >= 174.000 & unc_rawben_rel_max <  -0.016","xgboost",595,0.99664,0.98989,258,254,0.9845,0.0114,0.0018,1.072,0.0772,0.9846,7.6
"1","cat_elig <= 0.5 & count_divisible_by_100 <= 0.5 & elderly_disabled_i <= 0.5 & total_deductions_by_hh_size <= 1.5","ranger",1504,0.99402,0.98974,789,778,0.9861,0.035,0.0071,3.279,0.0772,0.9846,7.5
"1","elderly_disabled_i >=  1.000 & expedited_i <  1.000 & unc_rawben_rel_max >= -1.170 & unc_rawben_rel_max < -0.056","xgboost",3028,0.99273,0.98972,1411,1396,0.9894,0.0628,0.0088,5.864,0.0772,0.9846,7.5
"1","medical_deductions >  0.50000 & unc_rawben_rel_max <= -0.00544","ranger",996,0.99498,0.98972,436,430,0.9862,0.0193,0.0032,1.812,0.0772,0.9846,7.5
"1","cat_elig <= 0.500 & rawben_rel_max <= 0.113 & total_deductions_by_hh_size <= 7.800","ranger",259,1,0.98966,120,117,0.975,0.0053,0.0016,0.499,0.0772,0.9846,7.5
"1","percent_abawd <=   0.500 & rawben_rel_max <=   0.134 & total_deductions_by_hh_size <=   2.800 & utilities > 293.000","ranger",569,0.99649,0.98943,339,335,0.9882,0.0151,0.0028,1.409,0.0772,0.9846,7.3
"1","percent_abawd <=   0.75 & total_deductions_by_hh_size <=   5.80 & utilities > 360.00","ranger",421,0.99762,0.98942,221,219,0.991,0.0099,8e-04,0.918,0.0772,0.9846,7.3
"1","rawben_rel_max <   0.092 & shelter_expenses_by_hh_size >= 376.000 & total_deductions_by_hh_size <  22.400 & utilities >=  57.000","xgboost",565,0.99646,0.98936,285,278,0.9754,0.0125,0.0038,1.184,0.0772,0.9846,7.3
"1","expedited_i <=   0.500 & medical_deductions > 144.000 & rawben_rel_max <=   0.085 & utilities >  28.500","ranger",418,0.99761,0.98935,188,184,0.9787,0.0083,0.0021,0.781,0.0772,0.9846,7.2
"1","cat_elig <=  0.500 & percent_abawd <=  0.500 & total_deductions_by_hh_size <= 66.700 & unc_rawben_rel_max <=  0.222","ranger",416,0.9976,0.9893,212,208,0.9811,0.0094,0.0021,0.881,0.0772,0.9846,7.2
"1","rawben_rel_max <    0.948 & shelter_expenses_by_hh_size < 1410.000 & unc_rawben_rel_max <   -0.096 & utilities >=  417.000","xgboost",1318,0.99393,0.98926,557,549,0.9856,0.0247,0.0071,2.315,0.0772,0.9846,7.2
"1","medical_deductions >= 104.000 & rawben_rel_max <   0.084 & utilities >= 431.000 & utilities < 643.000","xgboost",408,0.99755,0.98909,182,181,0.9945,0.0081,7e-04,0.756,0.0772,0.9846,7.1
"1","cat_elig <=  2.5000 & expedited_i <=  0.5000 & total_deductions_by_hh_size <= 56.7000 & unc_rawben_rel_max <= -0.0389","ranger",1408,0.99361,0.98904,665,659,0.991,0.0296,0.004,2.764,0.0772,0.9846,7
"1","medical_deductions >=  85.000 & rawben_rel_max <   0.124 & total_deductions_by_hh_size < 535.000 & unc_rawben_rel_max <   0.076","xgboost",802,0.99501,0.98894,359,353,0.9833,0.0159,0.003,1.492,0.0772,0.9846,7
"1","cat_elig <=  0.5 & homeless >  0.5 & shelter_expenses_by_hh_size <= 14.5","ranger",539,0.99629,0.98885,252,248,0.9841,0.0112,0.0023,1.047,0.0772,0.9846,6.9
"1","shelter_expenses_by_hh_size < 1030.000 & unc_rawben_rel_max <   -0.096 & utilities >=  426.000 & utilities <  550.000","xgboost",536,0.99627,0.98879,228,226,0.9912,0.0102,0.002,0.948,0.0772,0.9846,6.9
"1","cat_elig <=  0.5 & homeless >  0.5 & medical_deductions <=  4.5 & shelter_expenses_by_hh_size <= 14.5","ranger",535,0.99626,0.98877,250,246,0.984,0.0111,0.0023,1.039,0.0772,0.9846,6.9
"1","cat_elig <= 0.5 & children_i <= 0.5 & elderly_disabled_i <= 0.5 & total_deductions_by_hh_size <= 8.9","ranger",1481,0.99325,0.98874,773,764,0.9884,0.0344,0.0053,3.212,0.0772,0.9846,6.9
"1","children_i <=  0.5000 & total_deductions_by_hh_size <=  7.8000 & unc_rawben_rel_max > -4.1000 & unc_rawben_rel_max <= -0.0389","ranger",1250,0.9936,0.98868,581,577,0.9931,0.026,0.0027,2.414,0.0772,0.9846,6.8
"1","cat_elig <=  0.500 & homeless >  0.500 & unc_rawben_rel_max >  0.533 & utilities <= 12.500","ranger",528,0.99621,0.98862,247,243,0.9838,0.0109,0.0023,1.026,0.0772,0.9846,6.8
"1","children_i <=   0.5 & months_since_cert_n <=  37.5 & total_deductions_by_hh_size <=   2.8 & utilities > 245.0","ranger",898,0.99443,0.98861,445,439,0.9865,0.0197,0.0047,1.849,0.0772,0.9846,6.8
"1","elderly_disabled_i >   0.5000 & total_deductions_by_hh_size <= 296.0000 & unc_rawben_rel_max <=  -0.0463","ranger",2519,0.99206,0.98858,1173,1163,0.9915,0.0523,0.0058,4.875,0.0772,0.9846,6.8
"1","cat_elig <=  0.5 & children_i <=  0.5 & months_since_cert_n <= 28.5 & total_deductions_by_hh_size <=  2.8","ranger",1979,0.99242,0.98847,1026,1010,0.9844,0.0454,0.0098,4.264,0.0772,0.9846,6.7
"1","cat_elig <= 0.5 & count_divisible_by_100 <= 0.5 & elderly_disabled_i <= 0.5 & homeless > 0.5","ranger",518,0.99614,0.9884,240,238,0.9917,0.0107,0.0012,0.997,0.0772,0.9846,6.7
"1","cat_elig <= 0.5 & count_divisible_by_100 <= 1.5 & months_since_cert_n <= 4.5 & total_deductions_by_hh_size <= 2.8","ranger",1328,0.99322,0.98839,684,673,0.9839,0.0303,0.008,2.843,0.0772,0.9846,6.6
"1","cat_elig <=  0.5 & children_i <=  0.5 & count_divisible_by_100 <=  0.5 & total_deductions_by_hh_size <= 65.4","ranger",2161,0.99213,0.98833,1143,1127,0.986,0.0507,0.0096,4.75,0.0772,0.9846,6.6
"1","cat_elig <=   0.5 & shelter_expenses_by_hh_size > 167.0 & total_deductions_by_hh_size <=  65.5","ranger",380,0.99737,0.98829,209,202,0.9665,0.0091,0.0038,0.869,0.0772,0.9846,6.6
"1","cat_elig <= 0.5 & elderly_disabled_i <= 0.5 & total_deductions_by_hh_size <= 1.5","ranger",1525,0.99279,0.98825,798,786,0.985,0.0354,0.0076,3.316,0.0772,0.9846,6.6
"1","expedited_i <=  0.5000 & total_deductions_by_hh_size <= 56.7000 & unc_rawben_rel_max <= -0.0389","ranger",1416,0.99294,0.98822,665,659,0.991,0.0296,0.004,2.764,0.0772,0.9846,6.6
"1","total_deductions_by_hh_size < 344.000 & unc_rawben_rel_max <  -0.056 & utilities >= 277.000 & utilities < 886.000","xgboost",1611,0.99255,0.98811,759,753,0.9921,0.0339,0.0047,3.154,0.0772,0.9846,6.5
"1","elderly_disabled_i >=  1.000 & expedited_i <  1.000 & unc_rawben_rel_max < -0.056","xgboost",3131,0.99106,0.98783,1460,1443,0.9884,0.0649,0.0106,6.067,0.0772,0.9846,6.3
"1","cat_elig <= 0.500 & elderly_disabled_i <= 0.500 & rawben_rel_max > 0.991 & shelter_expenses_by_hh_size <= 5.500","ranger",1568,0.99235,0.98778,814,804,0.9877,0.0362,0.0068,3.383,0.0772,0.9846,6.3
"1","cat_elig >  1.50 & medical_deductions >  3.50 & unc_rawben_rel_max <= -0.01","ranger",363,0.99725,0.98775,12,12,1,5e-04,0,0.05,0.0772,0.9846,6.3
"1","cat_elig <=   0.5 & homeless >   0.5 & months_since_cert_n >   0.5 & total_deductions_by_hh_size <= 197.0","ranger",490,0.99592,0.98774,219,217,0.9909,0.0098,0.0017,0.91,0.0772,0.9846,6.3
"1","total_deductions_by_hh_size <=  7.8000 & unc_rawben_rel_max > -4.1000 & unc_rawben_rel_max <= -0.0389","ranger",1251,0.99281,0.98767,582,578,0.9931,0.026,0.0027,2.419,0.0772,0.9846,6.3
"1","rawben_rel_max <   0.992 & total_deductions_by_hh_size < 303.000 & unc_rawben_rel_max <  -0.056 & utilities >= 201.000","xgboost",1541,0.99221,0.98757,717,712,0.993,0.032,0.0038,2.98,0.0772,0.9846,6.2
"1","cat_elig <=  0.5 & count_divisible_by_100 <=  1.5 & expedited_i >  0.5 & shelter_expenses_by_hh_size <= 33.5","ranger",822,0.99392,0.98756,411,406,0.9878,0.0183,0.0029,1.708,0.0772,0.9846,6.2
"1","cat_elig <=   0.5 & expedited_i >   0.5 & medical_deductions <= 233.0 & shelter_expenses_by_hh_size <=  25.0","ranger",820,0.9939,0.98753,413,407,0.9855,0.0183,0.0035,1.716,0.0772,0.9846,6.2
"1","unc_rawben_rel_max >=  1.02 & unc_rawben_rel_max <  1.20 & utilities < 80.00","xgboost",1132,0.99293,0.9875,633,629,0.9937,0.0283,0.0032,2.631,0.0772,0.9846,6.2
"1","cat_elig <=  0.5 & expedited_i >  0.5 & months_since_cert_n <= 35.5 & shelter_expenses_by_hh_size <=  5.5","ranger",817,0.99388,0.98748,412,406,0.9854,0.0183,0.0035,1.712,0.0772,0.9846,6.2
"1","cat_elig <=  0.5 & expedited_i >  0.5 & total_deductions_by_hh_size <= 62.1 & utilities <= 32.5","ranger",815,0.99387,0.98745,411,406,0.9878,0.0183,0.0026,1.708,0.0772,0.9846,6.2
"1","cat_elig <= 0.5 & children_i <= 0.5 & total_deductions_by_hh_size <= 2.5","ranger",2001,0.9915,0.9874,1045,1029,0.9847,0.0463,0.0098,4.343,0.0772,0.9846,6.1
"1","cat_elig <=  0.5 & elderly_disabled_i <=  0.5 & total_deductions_by_hh_size <= 66.1 & utilities <= 18.5","ranger",1615,0.99195,0.98738,833,821,0.9856,0.0369,0.0076,3.462,0.0772,0.9846,6.1
"1","cat_elig <=  0.5 & count_divisible_by_100 <=  0.5 & months_since_cert_n <= 26.5 & total_deductions_by_hh_size <= 65.4","ranger",2184,0.9913,0.98737,1148,1126,0.9808,0.0507,0.0139,4.771,0.0772,0.9846,6.1
"1","elderly_disabled_i >=   1.000 & expedited_i <   1.000 & total_deductions_by_hh_size < 803.000 & unc_rawben_rel_max <  -0.016","xgboost",3380,0.99053,0.98737,1600,1579,0.9869,0.071,0.0126,6.649,0.0772,0.9846,6.1
"1","shelter_expenses_by_hh_size < 1640.000 & total_deductions_by_hh_size >=    9.000 & unc_rawben_rel_max <   -0.056 & utilities >=  430.000","xgboost",1216,0.9926,0.98732,565,556,0.9841,0.025,0.0081,2.348,0.0772,0.9846,6.1
"1","children_i <=   0.5 & total_deductions_by_hh_size <=   2.8 & utilities > 218.0","ranger",904,0.99336,0.98722,451,442,0.98,0.0199,0.0054,1.874,0.0772,0.9846,6
