"state","arm","budget","n_pool","n_core","n_buffer","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_gap_core","fill_gap_total"
"Virginia","national",0.1,53420,51,119,695,69,28,0.4058,0.1698,0.2774,0,0
"Virginia","blended",0.05,60169,32,23,695,34,17,0.5,0.1698,0.1735,0,0
"Virginia","blended",0.1,60169,35,68,695,69,29,0.4203,0.1698,0.2654,0,0
"Washington","state",0.05,3234,11,6,678,30,8,0.2667,0.09,0.1419,0,0
"Washington","state",0.1,3234,4,18,678,63,13,0.2063,0.09,0.2267,0,0
"Washington","national",0.05,53420,35,69,678,33,11,0.3333,0.09,0.2351,0,0
"Washington","national",0.1,53420,65,136,678,67,17,0.2537,0.09,0.3068,0,0
"Washington","blended",0.05,56626,24,67,678,33,9,0.2727,0.09,0.1463,0,0
"Washington","blended",0.1,56626,54,133,678,67,15,0.2239,0.09,0.2697,0,0
"West Virginia","state",0.05,4185,2,10,643,32,5,0.1562,0.0715,0.0981,0,0
"West Virginia","state",0.1,4185,7,14,643,64,10,0.1562,0.0715,0.199,0,0
"West Virginia","national",0.05,53420,47,73,643,32,10,0.3125,0.0715,0.1639,0,0
"West Virginia","national",0.1,53420,86,152,643,64,15,0.2344,0.0715,0.26,0,0
"West Virginia","blended",0.05,57580,47,44,643,32,8,0.25,0.0715,0.1423,0,0
"West Virginia","blended",0.1,57580,66,149,643,64,15,0.2344,0.0715,0.2701,0,0
"Wisconsin","state",0.05,4241,7,8,979,36,5,0.1389,0.0603,0.0784,0,0
"Wisconsin","state",0.1,4241,10,20,979,97,13,0.134,0.0603,0.1908,0,0
"Wisconsin","national",0.05,53420,45,92,979,48,4,0.0833,0.0603,0.0523,0,0
"Wisconsin","national",0.1,53420,89,167,979,97,9,0.0928,0.0603,0.1346,0,0
"Wisconsin","blended",0.05,57637,45,92,979,48,4,0.0833,0.0603,0.0523,0,0
"Wisconsin","blended",0.1,57637,89,167,979,97,9,0.0928,0.0603,0.1346,0,0
"Wyoming","state",0.05,0,0,0,266,0,0,NA,0.0752,NA,NA,NA
"Wyoming","state",0.1,0,0,0,266,0,0,NA,0.0752,NA,NA,NA
"Wyoming","national",0.05,53420,21,38,266,13,2,0.1538,0.0752,0.1009,0,0
"Wyoming","national",0.1,53420,41,70,266,26,5,0.1923,0.0752,0.2206,0,0
"Wyoming","blended",0.05,53420,21,38,266,13,2,0.1538,0.0752,0.1009,0,0
"Wyoming","blended",0.1,53420,41,70,266,26,5,0.1923,0.0752,0.2206,0,0
