"state","arm","budget","n_pool","n_dropped_by_floor","n_core","n_buffer","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_gap_core","fill_gap_total"
"Nebraska","floor05",0.05,53346,644,40,75,881,44,5,0.1136,0.0613,0.0974,0,0
"Nebraska","floor05",0.1,53346,644,81,119,881,88,10,0.1136,0.0613,0.1917,0,0
"Nevada","unfiltered",0.05,60909,0,38,62,911,45,14,0.3111,0.0911,0.2249,0,0
"Nevada","unfiltered",0.1,60909,0,73,128,911,91,22,0.2418,0.0911,0.3278,0,0
"Nevada","floor02",0.05,60716,193,37,63,911,45,14,0.3111,0.0911,0.2249,0,0
"Nevada","floor02",0.1,60716,193,72,130,911,91,22,0.2418,0.0911,0.3278,0,0
"Nevada","floor05",0.05,60274,635,37,62,911,45,14,0.3111,0.0911,0.2249,0,0
"Nevada","floor05",0.1,60274,635,69,128,911,91,22,0.2418,0.0911,0.3278,0,0
"New Hampshire","unfiltered",0.05,57154,0,33,46,620,31,10,0.3226,0.1113,0.1866,0,0
"New Hampshire","unfiltered",0.1,57154,0,57,73,620,62,18,0.2903,0.1113,0.2999,0,0
"New Hampshire","floor02",0.05,56960,194,34,45,620,31,10,0.3226,0.1113,0.1866,0,0
"New Hampshire","floor02",0.1,56960,194,57,68,620,62,18,0.2903,0.1113,0.2999,0,0
"New Hampshire","floor05",0.05,56514,640,34,45,620,31,10,0.3226,0.1113,0.1866,0,0
"New Hampshire","floor05",0.1,56514,640,56,73,620,62,18,0.2903,0.1113,0.2999,0,0
"New Jersey","unfiltered",0.05,56343,0,29,51,621,31,7,0.2258,0.095,0.11,0,0
"New Jersey","unfiltered",0.1,56343,0,58,102,621,62,15,0.2419,0.095,0.3184,0,0
"New Jersey","floor02",0.05,56150,193,29,51,621,31,7,0.2258,0.095,0.11,0,0
"New Jersey","floor02",0.1,56150,193,58,101,621,62,16,0.2581,0.095,0.3269,0,0
"New Jersey","floor05",0.05,55709,634,29,51,621,31,7,0.2258,0.095,0.11,0,0
"New Jersey","floor05",0.1,55709,634,58,100,621,62,16,0.2581,0.095,0.3269,0,0
"New Mexico","unfiltered",0.05,62393,0,17,31,959,47,22,0.4681,0.1575,0.151,0,0
"New Mexico","unfiltered",0.1,62393,0,33,71,959,95,36,0.3789,0.1575,0.251,0,0
"New Mexico","floor02",0.05,62200,193,17,31,959,47,22,0.4681,0.1575,0.151,0,0
"New Mexico","floor02",0.1,62200,193,33,71,959,95,36,0.3789,0.1575,0.251,0,0
"New Mexico","floor05",0.05,61757,636,17,27,959,47,21,0.4468,0.1575,0.1387,0,0
"New Mexico","floor05",0.1,61757,636,33,68,959,95,37,0.3895,0.1575,0.242,0,0
"New York","unfiltered",0.05,55866,0,25,43,673,33,7,0.2121,0.1456,0.0531,0,0
"New York","unfiltered",0.1,55866,0,47,83,673,67,20,0.2985,0.1456,0.2017,0,0
"New York","floor02",0.05,55673,193,25,42,673,33,7,0.2121,0.1456,0.0531,0,0
"New York","floor02",0.1,55673,193,46,83,673,67,20,0.2985,0.1456,0.2017,0,0
"New York","floor05",0.05,55232,634,25,42,673,33,7,0.2121,0.1456,0.0531,0,0
"New York","floor05",0.1,55232,634,46,83,673,67,20,0.2985,0.1456,0.2017,0,0
"North Carolina","unfiltered",0.05,57714,0,46,58,878,43,11,0.2558,0.131,0.1165,0,0
"North Carolina","unfiltered",0.1,57714,0,68,121,878,87,23,0.2644,0.131,0.221,0,0
"North Carolina","floor02",0.05,57521,193,45,59,878,43,11,0.2558,0.131,0.1165,0,0
"North Carolina","floor02",0.1,57521,193,69,119,878,87,23,0.2644,0.131,0.221,0,0
"North Carolina","floor05",0.05,57076,638,45,58,878,43,13,0.3023,0.131,0.1293,0,0
"North Carolina","floor05",0.1,57076,638,68,129,878,87,23,0.2644,0.131,0.2191,0,0
