"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any"
"1","rawben_rel_max <   0.69400 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <   0.00344 & utilities >= 369.00000","xgboost",87,18,0.2069,0.1246,39,10,0.2564,0.1333,0.1578,0.19,39,10,0.2564,0.0077,0.009,0.179
"1","percent_abawd > 0.75 & rawben_rel_max <= 0.68 & total_deductions_by_hh_size <= 4.50","ranger",41,10,0.2439,0.1241,25,1,0.04,0.0133,0.0118,0.122,25,1,0.04,8e-04,7e-04,0.115
"1","elderly_disabled_i <=   0.5 & expedited_i >   0.5 & shelter_expenses_by_hh_size > 341.0 & total_deductions_by_hh_size <= 315.0","ranger",16,5,0.3125,0.1221,13,0,0,0,0,0.063,13,0,0,0,0,0.06
"1","percent_abawd >  0.750 & rawben_rel_max <=  0.801 & total_deductions_by_hh_size <=  4.500 & utilities <= 49.500","ranger",48,11,0.2292,0.12,18,1,0.0556,0.0133,0.0118,0.088,18,1,0.0556,8e-04,7e-04,0.083
"1","elderly_disabled_i <   1.000 & rawben_rel_max <   0.804 & total_deductions_by_hh_size < 105.000 & unc_rawben_rel_max >=  -0.004","xgboost",162,29,0.179,0.1197,74,9,0.1216,0.12,0.102,0.36,78,13,0.1667,0.0101,0.0078,0.358
"1","elderly_disabled_i <=   0.500 & rawben_rel_max <=   0.649 & total_deductions_by_hh_size <= 121.000 & unc_rawben_rel_max <=   0.802","ranger",129,24,0.186,0.1196,63,7,0.1111,0.0933,0.1059,0.307,67,11,0.1642,0.0085,0.0081,0.308
"1","count_divisible_by_100 <=  0.500 & percent_abawd >  0.500 & rawben_rel_max <=  0.777 & total_deductions_by_hh_size <= 85.700","ranger",60,13,0.2167,0.1193,29,2,0.069,0.0267,0.0269,0.141,29,2,0.069,0.0015,0.0015,0.133
"1","percent_abawd >  0.500 & percent_abawd <=  1.500 & rawben_rel_max <=  0.801 & total_deductions_by_hh_size <= 84.200","ranger",67,14,0.209,0.1175,31,2,0.0645,0.0267,0.0269,0.151,31,2,0.0645,0.0015,0.0015,0.142
"1","total_deductions_by_hh_size >= 452.00000 & unc_rawben_rel_max >=  -0.01600 & unc_rawben_rel_max <   0.00344","xgboost",67,14,0.209,0.1175,30,5,0.1667,0.0667,0.0866,0.146,30,5,0.1667,0.0039,0.0049,0.138
"1","elderly_disabled_i <   1.000 & rawben_rel_max <   0.628 & total_deductions_by_hh_size < 122.000 & utilities < 287.000","xgboost",105,20,0.1905,0.1174,40,2,0.05,0.0267,0.0276,0.195,43,5,0.1163,0.0039,0.0033,0.198
"1","homeless >   0.500 & percent_abawd >   0.500 & total_deductions_by_hh_size <= 217.000 & unc_rawben_rel_max <=   0.649","ranger",12,4,0.3333,0.1173,5,3,0.6,0.04,0.0279,0.024,5,3,0.6,0.0023,0.0016,0.023
"1","months_since_cert_n >=  3.00000 & rawben_rel_max >=  0.08000 & unc_rawben_rel_max >= -0.01600 & unc_rawben_rel_max <  0.00344","xgboost",125,23,0.184,0.1171,113,19,0.1681,0.2533,0.297,0.55,113,19,0.1681,0.0147,0.0169,0.519
"1","expedited_i >   0.500 & percent_abawd >   0.500 & rawben_rel_max <=   0.802 & total_deductions_by_hh_size <= 634.000","ranger",38,9,0.2368,0.116,9,0,0,0,0,0.044,12,3,0.25,0.0023,0.0031,0.055
"1","percent_abawd >  0.750 & rawben_rel_max <=  0.799 & total_deductions_by_hh_size <= 82.500","ranger",68,14,0.2059,0.1157,31,2,0.0645,0.0267,0.0269,0.151,31,2,0.0645,0.0015,0.0015,0.142
"1","expedited_i >   0.500 & percent_abawd >   0.500 & unc_rawben_rel_max <=   0.802 & utilities <= 715.000","ranger",44,10,0.2273,0.1153,13,0,0,0,0,0.063,18,5,0.2778,0.0039,0.0059,0.083
"1","elderly_disabled_i <=   0.500 & rawben_rel_max <=   0.636 & total_deductions_by_hh_size <= 121.000","ranger",127,23,0.1811,0.1152,63,7,0.1111,0.0933,0.1059,0.307,67,11,0.1642,0.0085,0.0081,0.308
