"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any","error_frame","side","status","mean_threshold_shift_pct"
"2-3","rawben_rel_max >=   0.994 & shelter_expenses_by_hh_size >= 317.000 & unc_rawben_rel_max <   0.998","xgboost",65,33,0.5077,0.3685,39,10,0.2564,0.0065,0.0079,0.372,39,10,0.2564,0.0065,0.0079,0.372,"any_error","new","overlap",NA
"2-3","cat_elig >   1.500 & shelter_expenses_by_hh_size > 863.000 & total_deductions_by_hh_size > 701.000 & unc_rawben_rel_max <=   0.997","ranger",47,25,0.5319,0.3683,1,0,0,0,0,0.01,1,0,0,0,0,0.01,"any_error","new","overlap",NA
"2-3","children_i >   0.5 & HH_size_n >   2.5 & married <=   0.5 & total_deductions_by_hh_size > 613.0","ranger",56,29,0.5179,0.368,29,10,0.3448,0.0065,0.0104,0.276,29,10,0.3448,0.0065,0.0104,0.276,"any_error","new","overlap",NA
"2-3","medical_deductions <= 1450.000 & rawben_rel_max >    0.994 & total_deductions_by_hh_size >  168.000 & unc_rawben_rel_max <=    0.997","ranger",79,39,0.4937,0.3675,45,13,0.2889,0.0085,0.0091,0.429,45,13,0.2889,0.0085,0.0091,0.429,"any_error","new","overlap",NA
"2-3","expedited_i <=   0.500 & months_since_cert_n <=  24.000 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 624.000","ranger",234,103,0.4402,0.3669,123,38,0.3089,0.0247,0.0256,1.173,123,38,0.3089,0.0247,0.0256,1.173,"any_error","new","shifted",5.4
"2-3","elderly_disabled_i >   0.5 & married >   0.5 & total_deductions_by_hh_size > 540.0 & utilities <= 490.0","ranger",63,32,0.5079,0.3667,33,10,0.303,0.0065,0.0077,0.315,33,10,0.303,0.0065,0.0077,0.315,"any_error","new","new",NA
"2-3","elderly_disabled_i <=   0.500 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 765.000 & utilities <= 962.000","ranger",45,24,0.5333,0.3663,16,3,0.1875,0.002,0.0024,0.153,16,3,0.1875,0.002,0.0024,0.153,"any_error","new","new",NA
"2-3","married >    0.500 & percent_abawd <=    0.583 & shelter_expenses_by_hh_size > 1150.000 & total_deductions_by_hh_size >  471.000","ranger",45,24,0.5333,0.3663,30,7,0.2333,0.0046,0.0056,0.286,30,7,0.2333,0.0046,0.0056,0.286,"any_error","new","shifted",52
"2-3","medical_deductions > 206.000 & percent_abawd <=   0.167 & total_deductions_by_hh_size > 626.000","ranger",45,24,0.5333,0.3663,31,16,0.5161,0.0104,0.0123,0.296,31,16,0.5161,0.0104,0.0123,0.296,"any_error","new","overlap",NA
"2-3","cat_elig >   0.5 & medical_deductions > 127.0 & total_deductions_by_hh_size > 698.0","ranger",54,28,0.5185,0.366,38,14,0.3684,0.0091,0.0128,0.362,38,14,0.3684,0.0091,0.0128,0.362,"any_error","new","shifted",23.2
"2-3","shelter_expenses_by_hh_size >=  714.000 & shelter_expenses_by_hh_size < 1190.000 & total_deductions_by_hh_size >=  677.000 & unc_rawben_rel_max <    0.998","xgboost",77,38,0.4935,0.3658,50,18,0.36,0.0117,0.0107,0.477,50,18,0.36,0.0117,0.0107,0.477,"any_error","new","overlap",NA
"2-3","expedited_i <=   0.500 & married >   0.500 & total_deductions_by_hh_size > 550.000 & unc_rawben_rel_max <=   0.996","ranger",144,66,0.4583,0.365,80,25,0.3125,0.0163,0.0145,0.763,80,25,0.3125,0.0163,0.0145,0.763,"any_error","new","overlap",NA
"2-3","married >   0.500 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 552.000","ranger",149,68,0.4564,0.3647,82,25,0.3049,0.0163,0.0153,0.782,82,25,0.3049,0.0163,0.0153,0.782,"any_error","new","shifted",27.5
"2-3","married >   0.5 & months_since_cert_n >   5.5 & total_deductions_by_hh_size > 806.0 & utilities >  38.5","ranger",32,18,0.5625,0.3646,20,4,0.2,0.0026,0.0022,0.191,20,4,0.2,0.0026,0.0022,0.191,"any_error","new","new",NA
"2-3","cat_elig >   0.5 & expedited_i <=   0.5 & months_since_cert_n >   5.5 & total_deductions_by_hh_size > 766.0","ranger",68,34,0.5,0.3643,37,9,0.2432,0.0059,0.0056,0.353,37,9,0.2432,0.0059,0.0056,0.353,"any_error","new","new",NA
"2-3","cat_elig >   1.500 & married <=   0.500 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 673.000","ranger",68,34,0.5,0.3643,0,0,NA,0,0,0,0,0,NA,0,0,0,"any_error","new","new",NA
"2-3","elderly_disabled_i >   0.5 & medical_deductions > 172.0 & total_deductions_by_hh_size > 546.0","ranger",68,34,0.5,0.3643,47,19,0.4043,0.0124,0.0133,0.448,47,19,0.4043,0.0124,0.0133,0.448,"any_error","new","overlap",NA
"2-3","rawben_rel_max <   0.82100 & unc_rawben_rel_max >=  -0.00871 & utilities >= 360.00000 & utilities < 361.00000","xgboost",82,40,0.4878,0.3642,0,0,NA,0,0,0,0,0,NA,0,0,0,"any_error","new","new",NA
"2-3","cat_elig > 0.500 & rawben_rel_max > 0.997 & unc_rawben_rel_max > 1.740","ranger",75,37,0.4933,0.3641,45,21,0.4667,0.0137,0.017,0.429,45,21,0.4667,0.0137,0.017,0.429,"any_error","new","overlap",NA
"2-3","HH_size_n <=   2.500 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 637.000","ranger",201,89,0.4428,0.3639,103,30,0.2913,0.0195,0.0195,0.982,103,30,0.2913,0.0195,0.0195,0.982,"any_error","new","overlap",NA
"2-3","medical_deductions > 140 & total_deductions_by_hh_size > 504 & utilities >  22","ranger",101,48,0.4752,0.3639,64,25,0.3906,0.0163,0.0164,0.61,64,25,0.3906,0.0163,0.0164,0.61,"any_error","new","shifted",12
"2-3","elderly_disabled_i >   0.500 & homeless <=   0.500 & total_deductions_by_hh_size > 579.000 & unc_rawben_rel_max <=   0.996","ranger",169,76,0.4497,0.3636,84,25,0.2976,0.0163,0.0142,0.801,84,25,0.2976,0.0163,0.0142,0.801,"any_error","new","overlap",NA
"2-3","cat_elig >    1.500 & total_deductions_by_hh_size >  662.000 & unc_rawben_rel_max <=    0.997 & utilities <= 1000.000","ranger",94,45,0.4787,0.3633,1,0,0,0,0,0.01,1,0,0,0,0,0.01,"any_error","new","overlap",NA
"2-3","elderly_disabled_i <=   0.500 & expedited_i <=   0.500 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 665.000","ranger",94,45,0.4787,0.3633,53,12,0.2264,0.0078,0.0108,0.505,53,12,0.2264,0.0078,0.0108,0.505,"any_error","new","overlap",NA
"2-3","rawben_rel_max <   0.996 & total_deductions_by_hh_size >= 517.000 & utilities >= 318.000 & utilities < 488.000","xgboost",194,86,0.4433,0.363,94,29,0.3085,0.0189,0.0187,0.896,94,29,0.3085,0.0189,0.0187,0.896,"any_error","new","shifted",11.6
"2-3","children_i <=    0.5 & medical_deductions <= 1420.0 & shelter_expenses_by_hh_size > 1160.0 & total_deductions_by_hh_size >  468.0","ranger",59,30,0.5085,0.3629,36,9,0.25,0.0059,0.0087,0.343,36,9,0.25,0.0059,0.0087,0.343,"any_error","new","overlap",NA
"2-3","months_since_cert_n >=   2 & total_deductions_by_hh_size >= 837 & utilities >= 452 & utilities < 875","xgboost",59,30,0.5085,0.3629,25,9,0.36,0.0059,0.0089,0.238,25,9,0.36,0.0059,0.0089,0.238,"any_error","new","shifted",41.5
"2-3","elderly_disabled_i > 0.500 & percent_abawd <= 0.167 & unc_rawben_rel_max > 1.690","ranger",66,33,0.5,0.3624,47,21,0.4468,0.0137,0.0183,0.448,47,21,0.4468,0.0137,0.0183,0.448,"any_error","new","shifted",1.4
"2-3","unc_rawben_rel_max >=   1.74 & utilities >= 415.00","xgboost",66,33,0.5,0.3624,35,17,0.4857,0.0111,0.0134,0.334,35,17,0.4857,0.0111,0.0134,0.334,"any_error","new","shifted",8.9
"2-3","children_i <= 0.500 & expedited_i <= 0.500 & rawben_rel_max > 0.154 & unc_rawben_rel_max > 1.750","ranger",41,22,0.5366,0.362,24,8,0.3333,0.0052,0.0061,0.229,24,8,0.3333,0.0052,0.0061,0.229,"any_error","new","overlap",NA
"2-3","rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 467.000 & total_deductions_by_hh_size <= 482.000 & utilities <= 471.000","ranger",41,22,0.5366,0.362,34,8,0.2353,0.0052,0.0056,0.324,34,8,0.2353,0.0052,0.0056,0.324,"any_error","new","new",NA
"2-3","married >   0.5 & shelter_expenses_by_hh_size > 848.0 & utilities <= 701.0","ranger",143,65,0.4545,0.3611,76,14,0.1842,0.0091,0.0104,0.724,76,14,0.1842,0.0091,0.0104,0.724,"any_error","new","shifted",15
"2-3","children_i <=   0.500 & total_deductions_by_hh_size > 546.000 & unc_rawben_rel_max <=   0.998","ranger",205,90,0.439,0.361,108,35,0.3241,0.0228,0.02,1.03,108,35,0.3241,0.0228,0.02,1.03,"any_error","new","overlap",NA
"2-3","elderly_disabled_i <=   0.500 & rawben_rel_max <=   0.742 & total_deductions_by_hh_size > 617.000","ranger",109,51,0.4679,0.3609,47,10,0.2128,0.0065,0.0084,0.448,47,10,0.2128,0.0065,0.0084,0.448,"any_error","new","overlap",NA
"2-3","HH_size_n >   2.5 & married <=   0.5 & total_deductions_by_hh_size > 613.0","ranger",57,29,0.5088,0.3608,30,11,0.3667,0.0072,0.0112,0.286,30,11,0.3667,0.0072,0.0112,0.286,"any_error","new","overlap",NA
"2-3","count_divisible_by_100 >   0.500 & rawben_rel_max <=   0.603 & shelter_expenses_by_hh_size > 846.000 & utilities <= 940.000","ranger",28,16,0.5714,0.3604,21,5,0.2381,0.0033,0.0043,0.2,21,5,0.2381,0.0033,0.0043,0.2,"any_error","new","overlap",NA
"2-3","months_since_cert_n >= 7.00 & unc_rawben_rel_max >= 1.74","xgboost",28,16,0.5714,0.3604,23,10,0.4348,0.0065,0.0062,0.219,23,10,0.4348,0.0065,0.0062,0.219,"any_error","new","shifted",13.9
"2-3","medical_deductions > 112.0 & months_since_cert_n <=  34.5 & total_deductions_by_hh_size > 552.0","ranger",114,53,0.4649,0.3603,71,26,0.3662,0.0169,0.0195,0.677,71,26,0.3662,0.0169,0.0195,0.677,"any_error","new","overlap",NA
"2-3","married <=    0.500 & shelter_expenses_by_hh_size <= 1090.000 & total_deductions_by_hh_size >  665.000 & unc_rawben_rel_max <=    0.997","ranger",102,48,0.4706,0.36,57,16,0.2807,0.0104,0.0118,0.543,57,16,0.2807,0.0104,0.0118,0.543,"any_error","new","overlap",NA
"2-3","children_i <= 0.50 & expedited_i <= 0.50 & HH_size_n <= 2.50 & unc_rawben_rel_max > 1.75","ranger",39,21,0.5385,0.3597,22,7,0.3182,0.0046,0.0055,0.21,22,7,0.3182,0.0046,0.0055,0.21,"any_error","new","shifted",0.9
"2-3","count_divisible_by_100 <= 0.500 & months_since_cert_n > 5.500 & rawben_rel_max > 0.996 & unc_rawben_rel_max > 1.650","ranger",39,21,0.5385,0.3597,27,11,0.4074,0.0072,0.0066,0.257,27,11,0.4074,0.0072,0.0066,0.257,"any_error","new","overlap",NA
"2-3","medical_deductions >= 175 & medical_deductions < 321 & total_deductions_by_hh_size >= 477","xgboost",48,25,0.5208,0.3597,25,8,0.32,0.0052,0.0044,0.238,25,8,0.32,0.0052,0.0044,0.238,"any_error","new","shifted",678.5
"2-3","medical_deductions >= 194.000 & rawben_rel_max >=   0.664","xgboost",39,21,0.5385,0.3597,42,20,0.4762,0.013,0.015,0.4,42,20,0.4762,0.013,0.015,0.4,"any_error","new","shifted",17.7
"2-3","months_since_cert_n >=   7.00 & total_deductions_by_hh_size >= 765.00 & unc_rawben_rel_max <   1.31","xgboost",39,21,0.5385,0.3597,18,2,0.1111,0.0013,0.0019,0.172,18,2,0.1111,0.0013,0.0019,0.172,"any_error","new","shifted",23.2
"2-3","total_deductions_by_hh_size >= 989 & utilities >= 431 & utilities < 912","xgboost",39,21,0.5385,0.3597,14,6,0.4286,0.0039,0.0082,0.133,14,6,0.4286,0.0039,0.0082,0.133,"any_error","new","new",NA
"2-3","medical_deductions > 112.0 & medical_deductions <= 324.0 & months_since_cert_n <=  34.5 & total_deductions_by_hh_size > 552.0","ranger",83,40,0.4819,0.3594,43,12,0.2791,0.0078,0.0093,0.41,43,12,0.2791,0.0078,0.0093,0.41,"any_error","new","overlap",NA
"2-3","rawben_rel_max <=   0.996 & shelter_expenses_by_hh_size > 858.000 & unc_rawben_rel_max <=   0.992 & utilities <= 578.000","ranger",186,82,0.4409,0.359,104,27,0.2596,0.0176,0.0203,0.991,104,27,0.2596,0.0176,0.0203,0.991,"any_error","new","overlap",NA
"2-3","count_divisible_by_100 <=   1.500 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size <= 858.000 & total_deductions_by_hh_size > 673.000","ranger",76,37,0.4868,0.3589,41,10,0.2439,0.0065,0.0074,0.391,41,10,0.2439,0.0065,0.0074,0.391,"any_error","new","overlap",NA
"2-3","medical_deductions > 124.000 & percent_abawd <=   0.167 & shelter_expenses_by_hh_size > 854.000 & total_deductions_by_hh_size > 549.000","ranger",69,34,0.4928,0.3585,41,13,0.3171,0.0085,0.0085,0.391,41,13,0.3171,0.0085,0.0085,0.391,"any_error","new","shifted",25.8
"2-3","shelter_expenses_by_hh_size > 252.00 & unc_rawben_rel_max >   1.78","ranger",69,34,0.4928,0.3585,41,16,0.3902,0.0104,0.0131,0.391,41,16,0.3902,0.0104,0.0131,0.391,"any_error","new","overlap",NA
"2-3","medical_deductions > 122.000 & months_since_cert_n >   0.500 & total_deductions_by_hh_size > 578.000 & unc_rawben_rel_max <=   0.996","ranger",62,31,0.5,0.3583,37,14,0.3784,0.0091,0.008,0.353,37,14,0.3784,0.0091,0.008,0.353,"any_error","new","overlap",NA
"2-3","medical_deductions >=   5.000 & months_since_cert_n >=   9.000 & total_deductions_by_hh_size >= 439.000 & unc_rawben_rel_max >=   0.198","xgboost",62,31,0.5,0.3583,32,9,0.2812,0.0059,0.0053,0.305,32,9,0.2812,0.0059,0.0053,0.305,"any_error","new","new",NA
"2-3","elderly_disabled_i >   0.50 & unc_rawben_rel_max >   1.81 & utilities > 588.00","ranger",26,15,0.5769,0.3582,15,7,0.4667,0.0046,0.0048,0.143,15,7,0.4667,0.0046,0.0048,0.143,"any_error","new","overlap",NA
"2-3","months_since_cert_n >    6.50 & percent_abawd <=    1.67 & shelter_expenses_by_hh_size > 1240.00 & total_deductions_by_hh_size >  347.00","ranger",26,15,0.5769,0.3582,20,3,0.15,0.002,0.0016,0.191,20,3,0.15,0.002,0.0016,0.191,"any_error","new","shifted",12.8
"2-3","married >   0.500 & rawben_rel_max >   0.154 & total_deductions_by_hh_size > 685.000 & unc_rawben_rel_max <=   0.997","ranger",46,24,0.5217,0.3574,25,9,0.36,0.0059,0.006,0.238,25,9,0.36,0.0059,0.006,0.238,"any_error","new","overlap",NA
"2-3","homeless <=   0.500 & married >   0.500 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 552.000","ranger",147,66,0.449,0.3571,81,24,0.2963,0.0156,0.0145,0.772,81,24,0.2963,0.0156,0.0145,0.772,"any_error","new","shifted",6.3
"2-3","cat_elig > 0.500 & count_divisible_by_100 <= 1.500 & rawben_rel_max > 0.997 & unc_rawben_rel_max > 1.740","ranger",74,36,0.4865,0.3569,45,21,0.4667,0.0137,0.017,0.429,45,21,0.4667,0.0137,0.017,0.429,"any_error","new","overlap",NA
"2-3","count_divisible_by_100 >   0.500 & HH_size_n <=   2.500 & medical_deductions > 122.000 & rawben_rel_max >   0.153","ranger",24,14,0.5833,0.356,16,4,0.25,0.0026,0.0018,0.153,16,4,0.25,0.0026,0.0018,0.153,"any_error","new","shifted",9.1
"2-3","percent_abawd >   0.167 & shelter_expenses_by_hh_size > 552.000 & total_deductions_by_hh_size > 628.000 & utilities <= 921.000","ranger",24,14,0.5833,0.356,9,3,0.3333,0.002,0.0014,0.086,9,3,0.3333,0.002,0.0014,0.086,"any_error","new","new",NA
"2-3","elderly_disabled_i >   0.500 & shelter_expenses_by_hh_size > 900.000 & unc_rawben_rel_max >   0.129 & unc_rawben_rel_max <=   0.997","ranger",180,79,0.4389,0.3559,86,23,0.2674,0.015,0.0131,0.82,86,23,0.2674,0.015,0.0131,0.82,"any_error","new","overlap",NA
"2-3","cat_elig > 0.500 & children_i <= 0.500 & rawben_rel_max > 0.997 & unc_rawben_rel_max > 1.750","ranger",44,23,0.5227,0.3549,28,12,0.4286,0.0078,0.0099,0.267,28,12,0.4286,0.0078,0.0099,0.267,"any_error","new","overlap",NA
"2-3","children_i <=    0.50 & total_deductions_by_hh_size <= 1390.00 & unc_rawben_rel_max >    1.75","ranger",44,23,0.5227,0.3549,28,12,0.4286,0.0078,0.0099,0.267,28,12,0.4286,0.0078,0.0099,0.267,"any_error","new","overlap",NA
"2-3","children_i <=   0.50 & unc_rawben_rel_max >   1.76 & utilities > 342.00","ranger",44,23,0.5227,0.3549,29,11,0.3793,0.0072,0.0093,0.276,29,11,0.3793,0.0072,0.0093,0.276,"any_error","new","shifted",11.6
"2-3","elderly_disabled_i <=   0.500 & shelter_expenses_by_hh_size > 688.000 & total_deductions_by_hh_size > 678.000 & unc_rawben_rel_max <=   0.997","ranger",44,23,0.5227,0.3549,27,4,0.1481,0.0026,0.004,0.257,27,4,0.1481,0.0026,0.004,0.257,"any_error","new","overlap",NA
"2-3","months_since_cert_n <= 3.500 & rawben_rel_max > 0.994 & unc_rawben_rel_max <= 0.997","ranger",44,23,0.5227,0.3549,35,7,0.2,0.0046,0.0027,0.334,35,7,0.2,0.0046,0.0027,0.334,"any_error","new","shifted",12.2
"2-3","rawben_rel_max > 0.999 & unc_rawben_rel_max > 1.770","ranger",72,35,0.4861,0.3549,43,17,0.3953,0.0111,0.0144,0.41,43,17,0.3953,0.0111,0.0144,0.41,"any_error","new","shifted",0.2
"2-3","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size >= 563.00 & unc_rawben_rel_max <   1.34 & utilities < 577.00","xgboost",84,40,0.4762,0.3548,44,14,0.3182,0.0091,0.0086,0.419,44,14,0.3182,0.0091,0.0086,0.419,"any_error","new","shifted",47.2
"2-3","cat_elig >   1.500 & children_i <=   0.500 & total_deductions_by_hh_size > 546.000 & unc_rawben_rel_max <=   0.998","ranger",106,49,0.4623,0.3542,1,0,0,0,0,0.01,1,0,0,0,0,0.01,"any_error","new","overlap",NA
"2-3","cat_elig <   2.000 & elderly_disabled_i >=   1.000 & rawben_rel_max <   0.834 & shelter_expenses_by_hh_size >= 986.000","xgboost",51,26,0.5098,0.354,52,13,0.25,0.0085,0.0073,0.496,52,13,0.25,0.0085,0.0073,0.496,"any_error","new","overlap",NA
"2-3","cat_elig >   0.5 & HH_size_n <=   2.5 & medical_deductions > 127.0 & total_deductions_by_hh_size > 698.0","ranger",51,26,0.5098,0.354,36,13,0.3611,0.0085,0.0119,0.343,36,13,0.3611,0.0085,0.0119,0.343,"any_error","new","overlap",NA
"2-3","HH_size_n >   2.500 & total_deductions_by_hh_size > 648.000 & unc_rawben_rel_max <=   0.743","ranger",22,13,0.5909,0.3538,7,2,0.2857,0.0013,0.0018,0.067,7,2,0.2857,0.0013,0.0018,0.067,"any_error","new","new",NA
"2-3","count_divisible_by_100 <=   0.500 & rawben_rel_max <=   0.996 & shelter_expenses_by_hh_size > 852.000 & utilities <= 578.000","ranger",181,79,0.4365,0.3538,86,24,0.2791,0.0156,0.0188,0.82,86,24,0.2791,0.0156,0.0188,0.82,"any_error","new","overlap",NA
"2-3","count_divisible_by_100 >   0.500 & expedited_i <=   0.500 & percent_abawd >   0.167 & shelter_expenses_by_hh_size > 590.000","ranger",22,13,0.5909,0.3538,19,4,0.2105,0.0026,0.0025,0.181,19,4,0.2105,0.0026,0.0025,0.181,"any_error","new","new",NA
"2-3","medical_deductions >  11.5 & months_since_cert_n <=   2.5 & shelter_expenses_by_hh_size > 852.0","ranger",22,13,0.5909,0.3538,12,5,0.4167,0.0033,0.0032,0.114,12,5,0.4167,0.0033,0.0032,0.114,"any_error","new","new",NA
"2-3","months_since_cert_n >   5.500 & months_since_cert_n <=   6.500 & unc_rawben_rel_max <=   0.997 & utilities > 902.000","ranger",22,13,0.5909,0.3538,30,8,0.2667,0.0052,0.0042,0.286,30,8,0.2667,0.0052,0.0042,0.286,"any_error","new","new",NA
"2-3","months_since_cert_n >   5.500 & percent_abawd <=   0.167 & total_deductions_by_hh_size > 738.000","ranger",77,37,0.4805,0.3538,48,12,0.25,0.0078,0.0076,0.458,48,12,0.25,0.0078,0.0076,0.458,"any_error","new","shifted",63
"2-3","total_deductions_by_hh_size > 685.000 & total_deductions_by_hh_size <= 704.000 & unc_rawben_rel_max <=   0.997","ranger",22,13,0.5909,0.3538,14,3,0.2143,0.002,9e-04,0.133,14,3,0.2143,0.002,9e-04,0.133,"any_error","new","shifted",16.7
"2-3","months_since_cert_n <=   5.500 & total_deductions_by_hh_size > 624.000 & unc_rawben_rel_max <=   0.997 & utilities > 138.000","ranger",156,69,0.4423,0.3533,63,17,0.2698,0.0111,0.0111,0.601,63,17,0.2698,0.0111,0.0111,0.601,"any_error","new","overlap",NA
"2-3","percent_abawd <= 1.25 & unc_rawben_rel_max > 1.78","ranger",70,34,0.4857,0.3529,42,16,0.381,0.0104,0.0131,0.4,42,16,0.381,0.0104,0.0131,0.4,"any_error","new","overlap",NA
"2-3","children_i <=   0.50 & HH_size_n <=   2.50 & unc_rawben_rel_max >   1.76 & utilities > 342.00","ranger",42,22,0.5238,0.3524,27,10,0.3704,0.0065,0.0087,0.257,27,10,0.3704,0.0065,0.0087,0.257,"any_error","new","overlap",NA
"2-3","cat_elig > 0.50 & percent_abawd <= 1.75 & unc_rawben_rel_max > 1.63","ranger",109,50,0.4587,0.3523,62,29,0.4677,0.0189,0.0277,0.591,62,29,0.4677,0.0189,0.0277,0.591,"any_error","new","overlap",NA
"2-3","elderly_disabled_i >   0.500 & months_since_cert_n <=   5.500 & total_deductions_by_hh_size > 546.000 & unc_rawben_rel_max <=   0.998","ranger",109,50,0.4587,0.3523,39,17,0.4359,0.0111,0.0098,0.372,39,17,0.4359,0.0111,0.0098,0.372,"any_error","new","new",NA
"2-3","count_divisible_by_100 <=    0.5 & HH_size_n <=    2.5 & shelter_expenses_by_hh_size > 1290.0 & total_deductions_by_hh_size >  450.0","ranger",33,18,0.5455,0.3521,23,4,0.1739,0.0026,0.0036,0.219,23,4,0.1739,0.0026,0.0036,0.219,"any_error","new","shifted",8.1
"2-3","months_since_cert_n <=   8.000 & rawben_rel_max >   0.994 & rawben_rel_max <=   0.996 & shelter_expenses_by_hh_size > 339.000","ranger",33,18,0.5455,0.3521,24,6,0.25,0.0039,0.0057,0.229,24,6,0.25,0.0039,0.0057,0.229,"any_error","new","overlap",NA
"2-3","months_since_cert_n >=   3.00 & total_deductions_by_hh_size >= 184.00 & unc_rawben_rel_max >=   1.74","xgboost",63,31,0.4921,0.3521,41,20,0.4878,0.013,0.0169,0.391,41,20,0.4878,0.013,0.0169,0.391,"any_error","new","overlap",NA
"2-3","elderly_disabled_i >   0.500 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 969.000 & unc_rawben_rel_max <=   0.951","ranger",119,54,0.4538,0.352,69,21,0.3043,0.0137,0.0124,0.658,69,21,0.3043,0.0137,0.0124,0.658,"any_error","new","overlap",NA
"2-3","count_divisible_by_100 >   0.500 & HH_size_n <=   2.500 & medical_deductions > 132.000 & unc_rawben_rel_max >   0.252","ranger",20,12,0.6,0.3517,12,3,0.25,0.002,0.0016,0.114,12,3,0.25,0.002,0.0016,0.114,"any_error","new","overlap",NA
"2-3","months_since_cert_n >   8.500 & rawben_rel_max >   0.867 & total_deductions_by_hh_size > 857.000","ranger",20,12,0.6,0.3517,9,3,0.3333,0.002,0.0019,0.086,9,3,0.3333,0.002,0.0019,0.086,"any_error","new","new",NA
"2-3","elderly_disabled_i >   0.500 & shelter_expenses_by_hh_size > 910.000 & unc_rawben_rel_max <=   0.996","ranger",190,82,0.4316,0.351,102,27,0.2647,0.0176,0.0163,0.972,102,27,0.2647,0.0176,0.0163,0.972,"any_error","new","shifted",18.4
"2-3","cat_elig > 0.500 & expedited_i <= 0.500 & rawben_rel_max > 0.996 & unc_rawben_rel_max > 1.610","ranger",102,47,0.4608,0.3509,58,25,0.431,0.0163,0.0239,0.553,58,25,0.431,0.0163,0.0239,0.553,"any_error","new","overlap",NA
"2-3","rawben_rel_max <   0.383 & shelter_expenses_by_hh_size >= 918.000 & unc_rawben_rel_max >=  -0.497 & utilities < 789.000","xgboost",68,33,0.4853,0.3507,39,10,0.2564,0.0065,0.0089,0.372,39,10,0.2564,0.0065,0.0089,0.372,"any_error","new","shifted",145
"2-3","elderly_disabled_i > 0.50 & expedited_i <= 0.50 & unc_rawben_rel_max > 2.09","ranger",18,11,0.6111,0.3497,7,2,0.2857,0.0013,0.0019,0.067,7,2,0.2857,0.0013,0.0019,0.067,"any_error","new","overlap",NA
"2-3","months_since_cert_n <=  10.500 & percent_abawd >   0.167 & percent_abawd <=   1.750 & total_deductions_by_hh_size > 689.000","ranger",18,11,0.6111,0.3497,4,1,0.25,7e-04,0.0015,0.038,4,1,0.25,7e-04,0.0015,0.038,"any_error","new","new",NA
"2-3","rawben_rel_max >=   0.882 & unc_rawben_rel_max >=   1.740 & utilities >= 340.000","xgboost",73,35,0.4795,0.3496,43,18,0.4186,0.0117,0.0151,0.41,43,18,0.4186,0.0117,0.0151,0.41,"any_error","new","overlap",NA
"2-3","cat_elig >   1.50 & shelter_expenses_by_hh_size > 334.00 & unc_rawben_rel_max >   2.12","ranger",10,7,0.7,0.3493,0,0,NA,0,0,0,0,0,NA,0,0,0,"any_error","new","new",NA
"2-3","count_divisible_by_100 >   0.500 & rawben_rel_max <=   0.979 & total_deductions_by_hh_size > 770.000","ranger",10,7,0.7,0.3493,6,1,0.1667,7e-04,3e-04,0.057,6,1,0.1667,7e-04,3e-04,0.057,"any_error","new","shifted",25.6
"2-3","medical_deductions > 128 & medical_deductions <= 156 & total_deductions_by_hh_size > 699 & utilities > 628","ranger",10,7,0.7,0.3493,6,2,0.3333,0.0013,0.0011,0.057,6,2,0.3333,0.0013,0.0011,0.057,"any_error","new","new",NA
"2-3","percent_abawd >   0.167 & percent_abawd <=   1.420 & total_deductions_by_hh_size > 383.000 & unc_rawben_rel_max <=  -0.290","ranger",10,7,0.7,0.3493,6,1,0.1667,7e-04,9e-04,0.057,6,1,0.1667,7e-04,9e-04,0.057,"any_error","new","new",NA
"2-3","expedited_i <   1 & months_since_cert_n >=   5 & total_deductions_by_hh_size >= 588 & utilities < 475","xgboost",54,27,0.5,0.3491,35,12,0.3429,0.0078,0.0091,0.334,35,12,0.3429,0.0078,0.0091,0.334,"any_error","new","new",NA
"2-3","cat_elig >   1.500 & elderly_disabled_i <=   0.500 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 678.000","ranger",47,24,0.5106,0.3489,0,0,NA,0,0,0,0,0,NA,0,0,0,"any_error","new","new",NA
"2-3","HH_size_n <=   2.5 & total_deductions_by_hh_size > 916.0","ranger",78,37,0.4744,0.3488,40,11,0.275,0.0072,0.0115,0.381,40,11,0.275,0.0072,0.0115,0.381,"any_error","new","overlap",NA
"2-3","rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size <= 858.000 & total_deductions_by_hh_size > 673.000","ranger",78,37,0.4744,0.3488,41,10,0.2439,0.0065,0.0074,0.391,41,10,0.2439,0.0065,0.0074,0.391,"any_error","new","overlap",NA
