"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any","error_frame","side","status","mean_threshold_shift_pct"
"1","married <=   0.50 & unc_rawben_rel_max >   1.93 & utilities >  14.50 & utilities <= 302.00","ranger",22,11,0.5,0.2779,8,1,0.125,0.0051,0.0083,0.039,8,1,0.125,8e-04,0.0014,0.037,"unearned_income","old","shifted",NA
"1","count_divisible_by_100 <   1.00 & months_since_cert_n >=  13.00 & unc_rawben_rel_max >=   2.45 & utilities >= 676.00","xgboost",17,9,0.5294,0.277,5,0,0,0,0,0.024,6,1,0.1667,8e-04,0.0014,0.028,"unearned_income","old","overlap",NA
"1","shelter_expenses_by_hh_size <= 642.00 & total_deductions_by_hh_size <= 758.00 & unc_rawben_rel_max >   1.93","ranger",17,9,0.5294,0.277,1,0,0,0,0,0.005,1,0,0,0,0,0.005,"unearned_income","old","shifted",NA
"1","count_divisible_by_100 <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.93 & utilities <= 664.00","ranger",122,45,0.3689,0.2748,55,18,0.3273,0.0923,0.0944,0.266,57,20,0.3509,0.0155,0.0187,0.262,"unearned_income","old","shifted",NA
"1","expedited_i <=   0.50 & total_deductions_by_hh_size <= 639.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   3.19","ranger",10,6,0.6,0.2725,0,0,NA,0,0,0,0,0,NA,0,0,0,"unearned_income","old","shifted",NA
"1","medical_deductions >  132.0 & medical_deductions <=  174.0 & months_since_cert_n >    4.5 & total_deductions_by_hh_size > 1780.0","ranger",10,6,0.6,0.2725,6,1,0.1667,0.0051,0.0083,0.029,7,2,0.2857,0.0015,0.0028,0.032,"unearned_income","old","dropped",NA
"1","shelter_expenses_by_hh_size <= 1540.00 & unc_rawben_rel_max >    1.93 & utilities <=  302.00","ranger",36,16,0.4444,0.2719,20,6,0.3,0.0308,0.0371,0.097,20,6,0.3,0.0046,0.0063,0.092,"unearned_income","old","shifted",NA
"1","elderly_disabled_i >   0.50 & unc_rawben_rel_max >   1.79 & utilities <= 364.00","ranger",80,31,0.3875,0.2718,44,21,0.4773,0.1077,0.1152,0.213,46,23,0.5,0.0178,0.0224,0.211,"unearned_income","old","shifted",NA
"1","elderly_disabled_i >   0.500 & rawben_rel_max >   0.283 & unc_rawben_rel_max >   1.850 & utilities <= 364.000","ranger",68,27,0.3971,0.2716,40,17,0.425,0.0872,0.0954,0.194,42,19,0.4524,0.0147,0.019,0.193,"unearned_income","old","shifted",NA
"1","expedited_i <=  0.50 & medical_deductions > 15.50 & unc_rawben_rel_max >  2.39","ranger",20,10,0.5,0.2693,6,3,0.5,0.0154,0.025,0.029,7,4,0.5714,0.0031,0.0048,0.032,"unearned_income","old","overlap",NA
"1","expedited_i <= 0.50 & months_since_cert_n > 3.50 & unc_rawben_rel_max > 3.19","ranger",20,10,0.5,0.2693,10,3,0.3,0.0154,0.0206,0.048,11,4,0.3636,0.0031,0.004,0.051,"unearned_income","old","shifted",NA
"1","elderly_disabled_i >   0.50 & medical_deductions <= 130.00 & shelter_expenses_by_hh_size <= 642.00 & unc_rawben_rel_max >   1.93","ranger",15,8,0.5333,0.2675,0,0,NA,0,0,0,0,0,NA,0,0,0,"unearned_income","old","shifted",NA
"1","medical_deductions <=  15.50 & shelter_expenses_by_hh_size <= 642.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   1.99","ranger",15,8,0.5333,0.2675,1,0,0,0,0,0.005,1,0,0,0,0,0.005,"unearned_income","old","dropped",NA
"1","unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   2.10 & utilities <= 327.00","ranger",15,8,0.5333,0.2675,10,3,0.3,0.0154,0.0154,0.048,10,3,0.3,0.0023,0.0026,0.046,"unearned_income","old","shifted",NA
"1","months_since_cert_n >=   6.00 & total_deductions_by_hh_size >= 175.00 & unc_rawben_rel_max >=   1.93 & utilities < 370.00","xgboost",34,15,0.4412,0.2651,13,5,0.3846,0.0256,0.0299,0.063,14,6,0.4286,0.0046,0.0065,0.064,"unearned_income","old","shifted",NA
"1","homeless <=   0.50 & percent_abawd <=   0.25 & unc_rawben_rel_max >   1.93 & utilities <= 288.00","ranger",37,16,0.4324,0.2639,15,6,0.4,0.0308,0.0371,0.073,16,7,0.4375,0.0054,0.0077,0.074,"unearned_income","old","overlap",NA
"1","medical_deductions >  15.50 & medical_deductions <= 495.00 & unc_rawben_rel_max >   1.93 & utilities <= 600.00","ranger",18,9,0.5,0.2596,8,4,0.5,0.0205,0.0334,0.039,8,4,0.5,0.0031,0.0057,0.037,"unearned_income","old","dropped",NA
"1","cat_elig >  1.5 & expedited_i <=  0.5 & unc_rawben_rel_max >  2.6 & utilities > 74.5","ranger",29,13,0.4483,0.259,2,0,0,0,0,0.01,2,0,0,0,0,0.009,"unearned_income","old","overlap",NA
