"state","year","category","status"
"Idaho",2017,"Electronic Case Files","Completely electronic files statewide"
"Idaho",2017,"Online Application","Apply & recertify"
"Idaho",2017,"Online Case Management","View case information, report changes, & upload documents for verification"
"Idaho",2017,"Call Centers","Respond to general inquiries, respond to application or case-specific inquiries, accept client-reported case changes, process case changes, initial application intake, recertification application intake, & conduct interviews"
"Idaho",2017,"Mobile Technology","No"
"Illinois",2017,"Program Administration","State-administered"
"Illinois",2017,"SNAP Certification Workflow and Case Management","Casebanking statewide"
"Illinois",2017,"Joint Processing—Medicaid","Joint application & processing"
"Illinois",2017,"Joint Processing—TANF","Joint application & processing"
"Illinois",2017,"Reporting Requirements","Simplified & change reporting"
"Illinois",2017,"Simplified Reporting—Certification Length","12 months only"
"Illinois",2017,"Income and Resource Alignment with Medicaid and TANF","Resources only"
"Illinois",2017,"Treatment of Self-Employment Income","Actual costs only"
"Illinois",2017,"Simplified Homeless Housing Cost","No"
"Illinois",2017,"Standard Utility Allowances (SUAs)","Mandatory SUAs Count all for gross income test"
"Illinois",2017,"Treatment of Child Support Payments","Child support income expense exclusion"
"Illinois",2017,"Child Support Related Disqualification","None"
"Illinois",2017,"Comparable Disqualifications","No"
"Illinois",2017,"Drug Felony Disqualifications","No ban"
"Illinois",2017,"Work Requirements and Disqualification Policy","Extended DQ"
"Illinois",2017,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Illinois",2017,"Transitional Benefits Alternative (TBA)","Yes"
"Illinois",2017,"Demonstrations for the Elderly and Disabled","SMD"
"Illinois",2017,"Combined Application Projects (CAPs)","No"
"Illinois",2017,"Electronic Case Files","No"
"Illinois",2017,"Online Application","Apply"
"Illinois",2017,"Online Case Management","Report changes"
"Illinois",2017,"Call Centers","Respond to general inquiries, respond to application or case-specific inquiries, accept client reported case changes, process case changes, initial application intake, & conduct interviews"
"Illinois",2017,"Mobile Technology","No"
"Indiana",2017,"Program Administration","State-administered"
"Indiana",2017,"SNAP Certification Workflow and Case Management","Casebanking statewide"
"Indiana",2017,"Joint Processing—Medicaid","Joint processing only"
"Indiana",2017,"Joint Processing—TANF","Joint application & processing"
"Indiana",2017,"Reporting Requirements","Simplified reporting only"
"Indiana",2017,"Simplified Reporting—Certification Length","12 months only"
"Indiana",2017,"Income and Resource Alignment with Medicaid and TANF","Neither"
"Indiana",2017,"Treatment of Self-Employment Income","Another method"
"Indiana",2017,"Simplified Homeless Housing Cost","No"
"Indiana",2017,"Standard Utility Allowances (SUAs)","Mandatory SUAs Count all for gross income test"
"Indiana",2017,"Treatment of Child Support Payments","Child support income expense deduction"
"Indiana",2017,"Child Support Related Disqualification","None"
"Indiana",2017,"Comparable Disqualifications","No"
"Indiana",2017,"Drug Felony Disqualifications","Lifetime ban"
"Indiana",2017,"Work Requirements and Disqualification Policy","Extended DQ"
"Indiana",2017,"Broad Based Categorical Eligibility (BBCE)","No"
"Indiana",2017,"Transitional Benefits Alternative (TBA)","No"
"Indiana",2017,"Demonstrations for the Elderly and Disabled","None"
"Indiana",2017,"Combined Application Projects (CAPs)","No"
"Indiana",2017,"Electronic Case Files","Completely electronic files statewide"
"Indiana",2017,"Online Application","Apply"
"Indiana",2017,"Online Case Management","View case information & report changes"
"Indiana",2017,"Call Centers","Respond to general inquiries, respond to application or case-specific inquiries, accept client-reported case changes, & process case changes"
"Indiana",2017,"Mobile Technology","No"
"Iowa",2017,"Program Administration","State-administered"
"Iowa",2017,"SNAP Certification Workflow and Case Management","Casebanking statewide"
"Iowa",2017,"Joint Processing—Medicaid","Joint processing in some cases only"
"Iowa",2017,"Joint Processing—TANF","Joint application & processing"
"Iowa",2017,"Reporting Requirements","Simplified reporting only"
"Iowa",2017,"Simplified Reporting—Certification Length","4, 6, & 12 months"
"Iowa",2017,"Income and Resource Alignment with Medicaid and TANF","Income only"
"Iowa",2017,"Treatment of Self-Employment Income","Another method"
"Iowa",2017,"Simplified Homeless Housing Cost","No"
"Iowa",2017,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Iowa",2017,"Treatment of Child Support Payments","Child support income expense exclusion"
"Iowa",2017,"Child Support Related Disqualification","None"
"Iowa",2017,"Comparable Disqualifications","No"
"Iowa",2017,"Drug Felony Disqualifications","No ban"
"Iowa",2017,"Work Requirements and Disqualification Policy","Extended DQ"
"Iowa",2017,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Iowa",2017,"Transitional Benefits Alternative (TBA)","No"
"Iowa",2017,"Demonstrations for the Elderly and Disabled","SMD"
"Iowa",2017,"Combined Application Projects (CAPs)","No"
"Iowa",2017,"Electronic Case Files","Completely electronic files statewide"
"Iowa",2017,"Online Application","Apply"
"Iowa",2017,"Online Case Management",""
"Iowa",2017,"Call Centers","No reported case changes, & process case changes"
"Iowa",2017,"Mobile Technology","No"
"Kansas",2017,"Program Administration","State-administered"
"Kansas",2017,"SNAP Certification Workflow and Case Management","Casebanking statewide"
"Kansas",2017,"Joint Processing—Medicaid","Neither joint application or processing"
"Kansas",2017,"Joint Processing—TANF","Joint application & processing"
"Kansas",2017,"Reporting Requirements","Simplified reporting only"
"Kansas",2017,"Simplified Reporting—Certification Length","12 & 24 months"
"Kansas",2017,"Income and Resource Alignment with Medicaid and TANF","Neither"
"Kansas",2017,"Treatment of Self-Employment Income","Another method"
"Kansas",2017,"Simplified Homeless Housing Cost","No"
"Kansas",2017,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Kansas",2017,"Treatment of Child Support Payments","Child support income expense deduction"
"Kansas",2017,"Child Support Related Disqualification","For failure to cooperate"
"Kansas",2017,"Comparable Disqualifications","Yes"
"Kansas",2017,"Drug Felony Disqualifications","Modified ban: limiting the circumstances in which the permanent disqualification applies; requiring drug testing; requiring participation in drug treatment; imposing temporary DQ period; & 2nd conviction after 7/1/2015 results in permanent DQ"
"Kansas",2017,"Work Requirements and Disqualification Policy","Extended DQ"
"Kansas",2017,"Broad Based Categorical Eligibility (BBCE)","No"
"Kansas",2017,"Transitional Benefits Alternative (TBA)","No"
"Kansas",2017,"Demonstrations for the Elderly and Disabled","SMD"
"Kansas",2017,"Combined Application Projects (CAPs)","No"
"Kansas",2017,"Electronic Case Files","Partially electronic files statewide"
"Kansas",2017,"Online Application","Apply"
"Kansas",2017,"Online Case Management","View case information, report changes, & upload documents for verification"
"Kansas",2017,"Call Centers","No call center"
