report_year,source,jurisdiction,page,variable,label_raw,label_norm,value_raw
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,,SNAP Name,snap name,Food Benefits
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,program_admin,Program Administration,program administration,State-administered
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,reporting,Reporting Requirements,reporting requirements,Simplified reporting only
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,,Simplified Reporting - Action on Changes,simplified reporting action on changes,Act on all changes
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,cert_periods,Simplified Reporting - Certification Length,simplified reporting certification length,12 & 24 months only
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,,Simplified Income and Resources,simplified income and resources,Neither
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,self_employment,Simplified Self-Employment Determination,simplified self employment determination,Flat percentage: 51%
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,,Simplified Homeless Housing Cost,simplified homeless housing cost,Yes
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,suas,Standard Utility Allowances (SUAs),standard utility allowances suas,Mandatory SUAs
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,,Treatment of Vehicles,treatment of vehicles,At least one vehicle excluded
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,,Treatment of Income and Deductions of Ineligible Non-Citizens,treatment of income and deductions of ineligible non citizens,Prorate for both categories
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,child_support,Child Support Expense Exclusion,child support expense exclusion,Yes
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,child_support_disq,Child Support Related Disqualification,child support related disqualification,None
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,comparable_disq,Comparable Disqualifications,comparable disqualifications,No
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,drug_felony,Drug Felony Disqualifications,drug felony disqualifications,No ban
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,work_requirements,Work Requirements and Disqualification Policy,work requirements and disqualification policy,Entire household DQ
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,bbce,Broad Based Categorical Eligibility (BBCE),broad based categorical eligibility bbce,Yes
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,tba,Transitional Benefits Alternative (TBA),transitional benefits alternative tba,No
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,,Document Imaging,document imaging,Completely electronic files statewide
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,demonstrations,Demonstrations for the Elderly and Disabled,demonstrations for the elderly and disabled,None
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,cap,Combined Application Project (CAP),combined application project cap,No
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,,Online Application,online application,Apply & recertify
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,,Online Case Management,online case management,"View case information, report changes, & upload documents for verification"
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,,Call Centers,call centers,"Respond to general inquiries, respond to application or case-specific inquiries, accept case changes, & process changes"
2016,12-State_Options_Oct1_2015.pdf,Delaware,37,,Mobile Technology,mobile technology,No mobile technology
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,,SNAP Name,snap name,Supplemental Nutrition Assistance Program
