Year,State,ProgramAdministration,ReportingRequirements,CertificationPeriods,SelfEmploymentIncome,SUAs,IneligibleNoncitizensPrePRWORA,IneligibleNoncitizensPostPRWORA,ChildSupportPayments,ChildSupportDisqualifications,ComparableDisqualification,DrugFelonyDisqualifications,WorkRequirements,SNAPETPrograms,ABAWDTimeLimitWaiver,ABAWDDiscretionaryExemptions,BBCE,TBA,DemonstrationsElderlyDisability,CAP
2024,New Jersey,"Region, district, or county administered",Simplified and change reporting,"12 months, 24 months",Another method,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense exclusion,None,Comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,No TBA,No SMD or ESAP,Modified CAP
2024,New Mexico,State administered,Simplified reporting only,"12 months, 24 months",Actual costs,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,Comparable disqualifications,No disqualification,Extended disqualification periods,Voluntary only,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,TBA,No SMD or ESAP,No CAP
2024,New York,"Region, district, or county administered",Simplified and change reporting,"6 months, 12 months, 24 months",Actual costs,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense exclusion,None,Comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary and mandatory,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,TBA,ESAP only,Standard CAP
2024,North Carolina,"Region, district, or county administered",Simplified reporting only,"6 months, 12 months, 24 months",Actual costs,Mandatory SUAs,"Count all for gross income test, then count all but a prorated share for net income test",Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,No SMD or ESAP,Modified CAP
2024,North Dakota,"Region, district, or county administered",Simplified reporting only,"6 months, 12 months",Actual costs,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,SMD only,No CAP
2024,Ohio,"Region, district, or county administered",Simplified reporting only,"4 months, 6 months, 12 months",Another method,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,Comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary and mandatory,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,ESAP only,No CAP
2024,Oklahoma,State administered,Simplified and change reporting,"12 months, 24 months",Another method,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,No SMD or ESAP,No CAP
2024,Oregon,State administered,Simplified and change reporting,"12 months, 24 months",Another method,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense exclusion,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,SMD only,No CAP
2024,Pennsylvania,State administered,Simplified and change reporting,"4 months, 6 months, 12 months, 24 months",Actual costs,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,No disqualification Note: State law allows for modified or no disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,ESAP only,Standard CAP
2024,Rhode Island,State administered,Simplified and change reporting,"6 months, 12 months, 24 months",Actual costs,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense exclusion,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,SMD and ESAP,No CAP
2024,South Carolina,State administered,Simplified reporting only,"12 months, 24 months",Another method,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,Lifetime disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,No use of discretionary exemptions,BBCE,No TBA,SMD and ESAP,Standard CAP
2024,South Dakota,State administered,Simplified reporting only,12 months,Another method,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense exclusion,Failure to cooperate: disqualification for custodial parent,Comparable disqualifications,No disqualification,Extended disqualification periods,Voluntary and mandatory,Partial ABAWD time limit waiver,Use of discretionary exemptions,No BBCE,No TBA,SMD only,Modified CAP
2024,Tennessee,State administered,Simplified and change reporting,"4 months, 6 months, 12 months",Actual costs,SUAs not mandatory,Count all,Count all but a prorated share,Child support income expense deduction,None,Comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,No BBCE,TBA,No SMD or ESAP,No CAP
2024,Texas,State administered,Under review,6 months,Actual costs,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary and mandatory,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,SMD and ESAP,Modified CAP
2024,Utah,State administered,Simplified reporting only,"4 months, 6 months, 12 months, 24 months",Another method,Mandatory SUAs,Count all,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Mandatory only,No ABAWD time limit waiver,Use of discretionary exemptions,No BBCE,No TBA,No SMD or ESAP,No CAP
2024,Vermont,State administered,Simplified reporting only,"12 months, 24 months",Actual costs,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense exclusion,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,SMD and ESAP,No CAP
2024,Virgin Islands,State administered,Simplified reporting only,"12 months, 24 months",Actual costs,SUAs not mandatory,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,TBA,No SMD or ESAP,No CAP
